,requisitioner,n_replicates_gas,subset,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
56,Breeding,9,2,CIAT-CIAT-26936,Megathyrsus maximus,Grass,14.43,15.75,44.14,53.71
57,Breeding,9,2,CIAT-BH-16-1763,Urochloa humidicola,Grass,12.28,13.81,41.73,53.52
58,Breeding,9,2,CIAT-BR-12-4400,Urochloa interespecific,Grass,12.41,13.98,46.5,53.36
59,Benchmark,9,3,CIAT-606-Basilisk-Opt,Urochloa interespecific,Grass,13.0,13.8,46.81,53.35
60,Breeding,9,1,CIAT-CIAT-16888,Urochloa humidicola,Grass,16.38,18.25,62.67,53.26
61,Breeding,9,2,CIAT-PM-21-0072,Megathyrsus maximus,Grass,13.57,15.25,42.67,53.17
62,Breeding,9,2,CIAT-CIAT-26149,Urochloa humidicola,Grass,12.44,14.02,43.75,52.93
63,Breeding,9,2,CIAT-BR-15-7659,Urochloa interespecific,Grass,12.39,14.07,41.22,52.92
64,Breeding,9,1,CIAT-PM-21-2195,Megathyrsus maximus,Grass,14.39,15.76,44.07,52.92
65,Breeding,9,1,CIAT-CIAT-6890,Megathyrsus maximus,Grass,14.33,16.21,47.38,52.75
66,Benchmark,8,3,CIAT-36087-MulatoII-Opt,Urochloa interespecific,Grass,12.8,13.62,46.69,52.6
67,Breeding,9,2,CIAT-CIAT-26160,Urochloa humidicola,Grass,12.82,14.34,44.14,52.52
68,Breeding,9,2,CIAT-BR-15-3025,Urochloa interespecific,Grass,12.84,14.28,42.43,52.27
69,Breeding,9,2,CIAT-BR-19-5515,Urochloa interespecific,Grass,12.34,14.04,45.3,52.02
70,Breeding,9,2,CIAT-CIAT-26146,Urochloa humidicola,Grass,12.61,14.08,44.07,51.97
71,Breeding,9,2,CIAT-PM-21-0819,Megathyrsus maximus,Grass,13.78,15.26,46.72,51.88
72,Breeding,6,2,CIAT-BH-22-0456,Urochloa humidicola,Grass,13.02,13.9,49.34,51.84
73,Breeding,7,2,CIAT-BR-15-8887,Urochloa interespecific,Grass,12.51,14.3,46.78,51.77
74,Breeding,9,2,CIAT-PM-21-6641,Megathyrsus maximus,Grass,14.36,15.8,48.44,51.47
75,Breeding,9,1,CIAT-PM-21-0053,Megathyrsus maximus,Grass,14.63,16.41,49.04,51.43
76,Breeding,9,2,CIAT-BR-19-5029,Urochloa interespecific,Grass,13.11,14.43,45.62,51.34
77,Breeding,9,2,CIAT-BR-15-1851,Urochloa interespecific,Grass,12.8,14.36,45.29,51.12
78,Breeding,9,2,CIAT-BR-15-8919,Urochloa interespecific,Grass,12.42,14.02,43.24,50.93
79,Breeding,9,2,CIAT-PM-21-6598,Megathyrsus maximus,Grass,13.47,15.17,46.34,50.76
80,Breeding,9,2,CIAT-BR-15-3434,Urochloa interespecific,Grass,13.16,14.18,49.11,50.69
81,Breeding,9,2,CIAT-BR-19-1343,Urochloa interespecific,Grass,11.84,13.31,39.18,50.61
82,LMF,3,1,Sample-2,Cynodon nlemfuensis ,Grass,14.37,15.49,44.7,50.61
83,Breeding,9,2,CIAT-BR-12-5049,Urochloa interespecific,Grass,12.74,14.58,44.66,50.57
84,Breeding,9,2,CIAT-PM-21-6647,Megathyrsus maximus,Grass,14.16,15.47,48.25,50.51
85,Breeding,9,2,CIAT-BR-15-6547,Urochloa interespecific,Grass,12.37,13.83,41.87,50.44
86,Breeding,9,1,CIAT-PM-21-0052,Megathyrsus maximus,Grass,14.21,16.2,47.43,50.41
87,Isabel Molina,8,4,Cayman-Br-02-1752,Urochloa interespecific,Grass,12.99,13.37,50.17,50.22
88,Breeding,9,2,CIAT-BR-19-5877,Urochloa interespecific,Grass,12.69,14.25,46.91,50.02
89,Breeding,9,2,CIAT-CIAT-16891,Urochloa humidicola,Grass,12.63,14.02,41.7,49.99
90,Breeding,9,2,CIAT-PM-21-6640,Megathyrsus maximus,Grass,13.7,15.53,44.24,49.86
91,Breeding,9,2,CIAT-BH-16-B-2167,Urochloa humidicola,Grass,12.67,13.87,43.77,49.81
92,Breeding,9,1,CIAT-PM-21-6638,Megathyrsus maximus,Grass,14.13,15.91,45.83,49.71
93,Breeding,9,2,CIAT-BR-15-3811,Urochloa interespecific,Grass,12.68,13.72,48.25,49.7
94,Breeding,9,2,CIAT-PM-21-0065,Megathyrsus maximus,Grass,14.13,15.53,49.51,49.57
95,Breeding,9,2,CIAT-BR-12-4856,Urochloa interespecific,Grass,12.56,14.1,40.7,49.54
96,Breeding,9,2,CIAT-CIAT-26110,Urochloa interespecific,Grass,13.28,14.5,48.14,49.43
97,Breeding,9,2,CIAT-CIAT-26646,Urochloa interespecific,Grass,11.56,13.74,45.13,49.08
98,Breeding,9,1,CIAT-PM-21-0059,Megathyrsus maximus,Grass,14.2,16.39,48.85,49.0
99,Breeding,9,2,CIAT-BR-04-3025,Urochloa interespecific,Grass,13.46,14.64,54.31,48.78
100,Breeding,9,1,CIAT-PM-21-0906,Megathyrsus maximus,Grass,13.73,15.55,43.95,48.6
101,Breeding,8,1,CIAT-CIAT-16048,Megathyrsus maximus,Grass,15.24,16.67,48.72,48.5
102,Breeding,9,2,CIAT-BR-19-5357,Urochloa interespecific,Grass,12.81,14.24,49.66,48.47
103,Breeding,9,1,CIAT-PM-21-0047,Megathyrsus maximus,Grass,14.43,16.14,50.93,48.46
104,Breeding,9,2,CIAT-CIAT-26415,Urochloa humidicola,Grass,12.09,13.65,42.34,48.43
105,Breeding,6,2,CIAT-CIAT-26570,Urochloa humidicola,Grass,13.32,14.65,45.45,48.12
106,Breeding,7,2,CIAT-PM-21-0079,Megathyrsus maximus,Grass,13.37,14.95,48.6,48.02
107,Breeding,9,1,CIAT-PM-21-2627,Megathyrsus maximus,Grass,14.24,15.97,43.9,47.9
108,Breeding,9,1,CIAT-PM-21-2195,Megathyrsus maximus,Grass,14.26,15.93,49.68,47.86
109,Breeding,9,2,CIAT-BH-22-4092,Urochloa humidicola,Grass,12.6,14.1,47.18,47.84
110,Breeding,9,2,CIAT-BR-19-4678,Urochloa interespecific,Grass,12.79,13.9,51.68,47.83
111,Breeding,9,2,CIAT-BR-15-7121,Urochloa interespecific,Grass,11.98,14.1,50.81,47.76
112,Breeding,9,1,CIAT-PM-21-0076,Megathyrsus maximus,Grass,14.89,16.81,56.0,47.61
113,Breeding,9,2,CIAT-BR-19-5381,Urochloa interespecific,Grass,12.34,14.04,46.28,47.56
114,LMF,6,1,ILRI-7384-52-120169,Chloris gayana,Grass,12.87,16.89,54.67,47.47
115,Breeding,9,1,CIAT-PM-21-0215,Megathyrsus maximus,Grass,14.64,16.56,52.38,47.29
116,Breeding,9,2,CIAT-CIAT-6297,Urochloa interespecific,Grass,12.91,14.27,50.2,47.27
117,Breeding,8,2,CIAT-BR-09-3660,Urochloa interespecific,Grass,12.94,14.27,47.59,47.25
118,Breeding,9,1,CIAT-PM-21-0185,Megathyrsus maximus,Grass,14.37,16.5,50.84,46.89
119,Breeding,9,1,CIAT-PM-21-6529,Megathyrsus maximus,Grass,14.17,15.99,46.72,46.81
120,Breeding,6,2,CIAT-BH-22-0071,Urochloa humidicola,Grass,12.98,14.11,47.41,46.77
121,Breeding,5,3,CIAT-BH-22-0765,Urochloa humidicola,Grass,13.78,14.24,54.29,46.75
122,Breeding,9,1,CIAT-PM-21-0055,Megathyrsus maximus,Grass,14.16,16.3,49.43,46.4
123,Breeding,7,2,CIAT-BH-22-1832,Urochloa humidicola,Grass,13.07,14.05,60.01,46.12
124,Breeding,9,2,CIAT-BR-19-6136,Urochloa interespecific,Grass,12.63,14.14,48.9,46.05
125,Breeding,9,2,CIAT-BH-22-2074,Urochloa humidicola,Grass,13.33,14.6,59.36,45.93
126,Breeding,9,1,CIAT-PM-21-6080,Megathyrsus maximus,Grass,15.08,16.84,50.46,45.89
127,Benchmark,9,3,CIAT-6133-Llanero-Opt,Urochloa humidicola,Grass,13.67,14.0,54.66,45.88
128,Breeding,9,2,CIAT-CIAT-16025,Megathyrsus maximus,Grass,13.42,14.98,49.69,45.83
129,Breeding,9,1,CIAT-CIAT-16051,Megathyrsus maximus,Grass,14.93,16.89,53.87,45.79
130,Breeding,9,1,CIAT-PM-21-0086,Megathyrsus maximus,Grass,14.82,16.59,51.77,45.62
131,Breeding,6,2,CIAT-BH-22-1303,Urochloa humidicola,Grass,13.0,14.14,53.84,45.5
132,Breeding,8,2,CIAT-BR-19-1264,Urochloa interespecific,Grass,12.4,14.3,49.0,45.46
133,Breeding,9,1,CIAT-PM-21-0062,Megathyrsus maximus,Grass,13.96,15.8,51.57,45.38
