,requisitioner,n_replicates_gas,subset,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
51,LMF,3,1,CIAT-17488,Leucaena leucocephala,Shrub_Trees,11.2,12.94,46.4,42.03
52,Genetic_bank,9,2,CIAT-33249,Desmodium velutinum,Shrub_Trees,14.49,15.65,50.33,41.65
53,Genetic_bank,8,4,CIAT-7976,Cassia sp.,Shrub_Trees,12.78,14.12,44.81,41.56
54,Genetic_bank,5,4,CIAT-7934,Sesbania sesban,Shrub_Trees,14.54,14.7,66.79,40.75
55,Genetic_bank,9,2,CIAT-13692,Desmodium velutinum,Shrub_Trees,15.48,16.96,56.63,40.73
56,Genetic_bank,9,1,CIAT-17024,Desmanthus pernambucanus,Shrub_Trees,14.17,16.84,46.29,40.14
57,Genetic_bank,8,2,CIAT-22784,Desmanthus bicornutus,Shrub_Trees,12.88,14.99,44.64,39.85
58,Genetic_bank,9,2,CIAT-32380,Desmanthus pubescens,Shrub_Trees,12.96,15.24,44.36,39.27
59,Genetic_bank,8,4,CIAT-21809,Acacia farnesiana,Shrub_Trees,13.66,15.72,54.95,38.97
60,Genetic_bank,9,1,CIAT-22594,Desmanthus pernambucanus,Shrub_Trees,13.66,14.94,35.36,38.96
61,Genetic_bank,8,4,CIAT-23116,Desmodium tortuosum,Shrub_Trees,14.11,15.66,69.81,38.29
62,Breeding,6,3,CIAT-17462,Leucaena leucocephala ,Shrub_Trees,13.3,14.49,50.44,37.48
63,Genetic_bank,9,3,CIAT-3001,Codariocalyx gyroides,Shrub_Trees,12.27,13.71,49.08,36.92
64,Genetic_bank,7,2,CIAT-43477,Desmodium cinereum,Shrub_Trees,15.09,15.83,57.22,36.81
65,Genetic_bank,8,1,CIAT-22570,Desmanthus bicornutus,Shrub_Trees,13.38,14.61,24.79,36.77
66,Genetic_bank,8,4,CIAT-23416,Codariocalyx motorius,Shrub_Trees,13.0,14.48,56.65,36.61
67,Genetic_bank,7,4,CIAT-21899,Sesbania sesban,Shrub_Trees,14.06,14.81,61.07,36.07
