id_lab,id,subset,no,requisitioner,tax_name,functional_group,n_replicates_nutrition,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_gas,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
F24-3507,CIAT-20093,1,323.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,94.36,12.87,87.13,24.07,16.58,50.41,9.0,14.71,15.94,37.98,65.75
F24-3508,CIAT-20113,1,325.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,94.64,15.79,84.21,18.07,15.92,48.43,9.0,13.02,15.11,38.26,65.3
F24-3510,CIAT-20298,1,329.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,93.66,16.19,83.81,22.85,21.72,43.09,9.0,13.89,15.34,39.36,56.36
F24-3511,CIAT-20305,1,331.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,93.54,18.34,81.66,23.35,19.38,39.7,9.0,12.71,14.72,35.46,62.07
F24-3512,CIAT-20803,1,333.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,93.38,15.93,84.06,22.07,15.58,49.53,9.0,13.8,15.98,42.61,55.7
F24-3513,CIAT-21031,1,335.0,Genetic_bank,Christia obcordata,Herbaceous_legumes,2,94.06,19.67,80.33,20.42,8.94,46.57,9.0,13.8,15.58,37.14,55.29
F24-3514,CIAT-21128,1,337.0,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,2,93.46,10.34,89.66,29.38,36.54,43.84,9.0,15.13,17.95,47.36,53.1
F24-3515,CIAT-21212,1,339.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,93.67,15.0,85.0,22.98,20.77,39.82,9.0,13.34,16.14,40.3,66.3
F24-3518,CIAT-21565,1,345.0,Genetic_bank,Chamaecrista rotundifolia,Herbaceous_legumes,2,92.64,7.89,92.11,19.59,33.72,58.3,9.0,12.47,14.73,39.86,57.7
F24-3521,CIAT-22475,1,351.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,94.16,12.42,87.57,17.41,31.68,64.15,9.0,14.0,15.47,44.51,43.56
F24-3523,CIAT-22520,1,355.0,Genetic_bank,Arachis pusilla,Herbaceous_legumes,2,93.06,14.93,85.07,20.36,22.79,61.22,9.0,13.09,14.92,40.72,51.33
F24-3526,CIAT-22754,1,361.0,Genetic_bank,Lablab purpureus,Herbaceous_legumes,2,91.68,12.14,87.86,30.03,24.88,51.34,8.0,13.58,15.12,43.14,51.68
F24-3527,CIAT-22915,1,363.0,Genetic_bank,Aeschynomene villosa,Herbaceous_legumes,2,92.06,7.92,92.07,27.06,34.54,64.51,9.0,13.71,15.35,41.67,58.09
F24-3530,CIAT-23761,1,369.0,Genetic_bank,Uraria picta,Herbaceous_legumes,2,95.0,13.68,86.32,18.09,26.64,61.9,9.0,12.26,13.68,33.56,44.14
F24-3531,CIAT-24360,1,371.0,Genetic_bank,Vigna umbellata,Herbaceous_legumes,2,92.73,17.22,82.78,23.17,28.73,53.68,9.0,13.99,15.44,37.12,52.16
F24-3532,CIAT-24466,1,373.0,Genetic_bank,Vigna umbellata,Herbaceous_legumes,2,92.86,19.77,80.23,22.39,20.0,37.53,9.0,13.63,14.71,31.71,61.87
F24-3533,CIAT-32246,1,375.0,Genetic_bank,Chamaecrista nictitans,Herbaceous_legumes,2,91.54,8.03,91.97,26.83,26.64,79.4,9.0,13.48,15.7,46.27,42.36
F24-3428,CIAT-3240,1,115.0,Genetic_bank,Desmodium cinereum,Herbaceous_legumes,4,92.86,12.01,87.99,22.63,24.91,56.34,9.0,19.2,19.67,40.86,54.72
F24-3429,CIAT-3522,1,117.0,Genetic_bank,Desmodium incanum,Herbaceous_legumes,2,93.28,11.05,88.95,17.94,47.97,64.48,9.0,17.03,18.51,42.18,36.5
F24-3430,CIAT-4134,1,119.0,Genetic_bank,Macroptilium lathyroides,Herbaceous_legumes,2,91.91,14.36,85.64,22.09,24.29,43.65,9.0,17.4,18.91,47.73,65.38
F24-3431,CIAT-4279,1,121.0,Genetic_bank,Vigna umbellata,Herbaceous_legumes,2,91.04,11.02,88.98,25.72,13.14,52.82,9.0,17.63,19.09,47.82,66.91
F24-3432,CIAT-5124,1,123.0,Genetic_bank,Centrosema molle x acutifolium,Herbaceous_legumes,2,91.54,10.36,89.64,25.78,37.61,65.51,8.0,17.54,18.89,42.1,56.75
F24-3433,CIAT-5234,1,125.0,Genetic_bank,Centrosema brasilianum,Herbaceous_legumes,2,92.53,11.22,88.78,17.22,33.38,60.63,8.0,15.51,17.45,40.52,62.56
F24-3417,CIAT-707,1,3.0,Genetic_bank,Alysicarpus ovalifolius,Herbaceous_legumes,2,90.09,12.07,87.93,25.4,25.44,54.11,9.0,13.54,16.25,36.44,65.97
F24-3418,CIAT-712,1,5.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,91.3,7.76,92.24,31.19,25.82,54.88,9.0,12.57,14.79,40.73,62.66
F24-3434,CIAT-7292,1,127.0,Genetic_bank,Chamaecrista desvauxii,Herbaceous_legumes,2,92.0,9.42,90.58,31.83,44.14,59.53,9.0,15.74,17.19,38.18,48.05
F24-3435,CIAT-7317,1,129.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,92.45,19.06,80.94,23.88,24.73,52.26,9.0,15.92,17.4,34.3,70.24
F24-3436,CIAT-7322,1,131.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,89.37,15.19,84.81,21.52,18.16,47.54,9.0,17.21,19.04,43.86,74.64
F24-3437,CIAT-7339,1,133.0,Genetic_bank,Indigofera lespedezioides,Herbaceous_legumes,2,91.99,16.46,83.54,24.97,42.71,57.94,9.0,16.06,17.66,34.71,53.95
F24-3438,CIAT-7469,1,135.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,92.16,8.09,91.91,26.37,22.54,60.53,9.0,16.63,18.01,47.75,65.71
F24-3420,CIAT-768,1,9.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,92.17,8.7,91.3,29.46,25.73,54.21,9.0,13.49,15.73,39.08,64.82
F24-3440,CIAT-7703,1,139.0,Genetic_bank,Aeschynomene indica,Herbaceous_legumes,2,91.95,8.85,91.15,22.08,32.1,67.29,8.0,16.48,17.45,44.47,57.36
F24-3441,CIAT-7714,1,21.0,Genetic_bank,Alysicarpus glumaceus,Herbaceous_legumes,4,93.05,17.46,82.54,20.67,27.79,67.31,12.0,17.38,18.66,44.37,65.53
F24-3421,CIAT-772,1,11.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,91.49,6.18,93.82,18.97,16.74,67.42,9.0,13.46,14.99,37.92,65.1
F24-3442,CIAT-7757,1,23.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,4,92.11,8.25,91.75,23.68,21.95,57.24,12.0,17.82,19.58,54.11,64.83
F24-3443,CIAT-7759,1,25.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,4,93.55,5.87,94.13,18.44,14.68,60.81,6.0,17.9,19.08,56.38,66.8
F24-3444,CIAT-7790,1,27.0,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,4,92.13,5.86,94.14,24.76,20.08,67.6,6.0,17.65,21.04,54.82,64.54
F24-3445,CIAT-7792,1,29.0,Genetic_bank,Chamaecrista rotundifolia,Herbaceous_legumes,4,92.91,8.06,91.94,21.83,23.49,63.97,6.0,16.63,19.18,49.52,65.27
F24-3446,CIAT-7816,1,31.0,Genetic_bank,Indigofera spicata,Herbaceous_legumes,4,92.5,17.6,82.4,26.04,23.11,54.74,6.0,15.45,17.82,41.04,64.89
F24-3447,CIAT-7858,1,33.0,Genetic_bank,Crotalaria incana,Herbaceous_legumes,4,93.18,9.16,90.84,30.23,23.57,60.74,6.0,16.68,18.6,46.55,73.8
F24-3448,CIAT-7972,1,35.0,Genetic_bank,Canavalia brasiliensis,Herbaceous_legumes,4,91.92,17.83,82.17,27.77,23.86,56.09,6.0,16.23,18.63,44.18,66.01
F24-3451,CIAT-8408,1,41.0,Genetic_bank,Chamaecrista nictitans,Herbaceous_legumes,4,94.03,6.87,93.13,24.12,38.38,58.64,6.0,17.22,20.47,58.52,47.3
F24-3452,CIAT-8409,1,43.0,Genetic_bank,Chamaecrista nictitans,Herbaceous_legumes,4,91.94,7.66,92.34,26.82,38.02,61.85,5.0,16.98,20.56,54.13,49.94
F24-3453,CIAT-8719,1,45.0,Genetic_bank,Canavalia sp. ,Herbaceous_legumes,8,93.52,17.12,82.88,22.04,15.95,40.19,12.0,16.52,19.17,44.01,65.39
F24-3423,CIAT-905,1,15.0,Genetic_bank,Canavalia brasiliensis,Herbaceous_legumes,2,91.88,14.53,85.47,24.61,17.08,36.56,9.0,12.08,15.4,40.88,63.42
F24-3456,CIAT-9170,1,171.0,Genetic_bank,Indigofera lespedezioides,Herbaceous_legumes,2,93.09,15.38,84.62,20.75,41.99,54.57,6.0,15.12,16.69,38.2,42.54
F24-3457,CIAT-9254,1,173.0,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,2,90.83,6.64,93.36,24.65,20.58,55.34,6.0,18.25,20.76,52.29,59.58
F24-3458,CIAT-9283,1,175.0,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,2,92.8,8.19,91.81,25.56,15.01,54.16,6.0,18.13,20.82,50.83,60.12
F24-3460,CIAT-9336,1,179.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,90.39,8.11,91.89,31.66,19.15,48.61,6.0,18.63,20.19,50.58,69.15
F24-3461,CIAT-9349,1,181.0,Genetic_bank,Mucuna pruriens,Herbaceous_legumes,2,91.42,8.63,91.37,30.38,27.8,55.56,6.0,17.35,18.52,43.23,56.47
F24-3463,CIAT-9432,1,185.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,91.28,8.03,91.97,31.25,17.92,44.95,5.0,17.36,18.9,57.24,50.87
F24-3464,CIAT-9433,1,187.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,94.27,9.44,90.56,31.68,21.94,43.14,6.0,17.95,19.36,46.43,61.82
F24-3466,CIAT-9530,1,191.0,Genetic_bank,Crotalaria maypurensis,Herbaceous_legumes,2,93.26,8.79,91.21,32.65,10.84,32.2,6.0,17.02,19.21,51.12,68.2
F24-3425,CIAT-955,1,19.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,91.82,5.7,94.3,22.01,21.55,61.67,9.0,12.82,14.54,45.45,59.65
F24-3467,CIAT-9562,1,193.0,Genetic_bank,Eriosema diffusum,Herbaceous_legumes,2,93.93,8.4,91.6,18.11,51.96,64.55,4.0,16.85,18.0,45.14,28.14
F24-3426,CIAT-989,1,111.0,Genetic_bank,Indigofera hirsuta,Herbaceous_legumes,2,92.37,13.66,86.34,25.35,47.63,53.1,9.0,15.57,16.78,32.85,52.31
F24-3468,CIAT-9982,1,195.0,Genetic_bank,Crotalaria incana,Herbaceous_legumes,2,93.82,8.65,91.35,26.86,14.33,46.83,6.0,17.05,19.0,47.26,72.64
F24-3636,CIAT-11162,2,55.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,2,91.46,22.3,77.69,17.11,23.0,51.4,8.0,12.46,14.92,50.47,56.82
F25-0989,CIAT-11833,2,323.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,2,94.97,9.91,90.08,13.53,41.13,65.0,9.0,11.63,13.19,63.62,30.51
F25-0970,CIAT-11998,2,285.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,2,94.6,12.78,87.22,14.22,33.38,63.5,8.0,11.15,11.91,38.27,44.05
F25-0971,CIAT-13149,2,287.0,Genetic_bank,Desmodium strigillosum,Herbaceous_legumes,4,93.78,8.18,91.82,13.45,35.33,49.68,9.0,13.58,14.95,42.43,52.81
F25-0931,CIAT-13268,2,201.0,Genetic_bank,Tadehagi triquetrum,Herbaceous_legumes,2,94.21,7.54,92.46,14.85,42.8,50.67,9.0,11.21,12.93,30.9,38.94
F25-0973,CIAT-13651,2,291.0,Genetic_bank,Desmodium heterocarpon,Herbaceous_legumes,2,95.04,9.16,90.84,16.15,38.99,55.6,7.0,13.16,14.0,60.65,26.5
F24-3540,CIAT-1467,2,111.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,4,92.62,8.54,91.46,13.64,34.78,74.94,5.0,12.74,14.4,52.16,58.12
F24-3541,CIAT-1475,2,113.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,4,90.79,8.75,91.24,17.29,37.43,72.12,9.0,13.22,14.72,54.15,56.26
F25-0943,CIAT-15121,2,225.0,Genetic_bank,Centrosema macrocarpum,Herbaceous_legumes,2,93.92,11.18,88.82,19.77,30.28,50.42,6.0,13.62,15.27,43.07,53.13
F25-0944,CIAT-15150,2,227.0,Genetic_bank,Centrosema molle,Herbaceous_legumes,2,93.1,8.72,91.28,20.03,28.83,62.44,9.0,13.48,14.24,48.67,43.89
F25-0945,CIAT-15154,2,229.0,Genetic_bank,Centrosema molle,Herbaceous_legumes,2,94.36,7.93,92.07,26.23,33.34,65.84,9.0,13.42,14.17,50.54,34.19
F25-0975,CIAT-15160,2,295.0,Genetic_bank,Centrosema molle,Herbaceous_legumes,2,94.54,10.0,90.0,21.46,35.17,61.86,8.0,13.45,14.19,57.4,33.15
F24-3638,CIAT-15401,2,59.0,Genetic_bank,Centrosema brasilianum,Herbaceous_legumes,2,93.22,17.65,82.35,17.11,28.58,49.64,7.0,13.84,15.7,45.47,52.1
F25-0930,CIAT-15470,2,199.0,Genetic_bank,Centrosema molle,Herbaceous_legumes,2,94.26,9.21,90.79,24.65,32.1,58.39,9.0,13.77,14.6,40.38,45.55
F25-0929,CIAT-15474,2,197.0,Genetic_bank,Centrosema molle,Herbaceous_legumes,2,92.3,9.16,90.84,30.58,34.16,56.03,6.0,13.15,13.56,35.27,47.0
F25-0946,CIAT-15561,2,231.0,Genetic_bank,Centrosema molle,Herbaceous_legumes,2,92.51,9.54,90.46,25.06,39.02,70.84,7.0,13.34,14.8,41.13,47.01
F25-0947,CIAT-15799,2,233.0,Genetic_bank,Centrosema macrocarpum,Herbaceous_legumes,2,92.82,19.53,80.47,17.46,31.86,59.55,9.0,13.26,14.06,37.78,47.56
F25-0948,CIAT-15816,2,235.0,Genetic_bank,Centrosema acutifolium,Herbaceous_legumes,2,95.74,10.18,89.82,20.6,27.52,51.4,7.0,13.39,14.86,47.5,46.2
F24-3542,CIAT-1650,2,115.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,2,91.92,12.67,87.33,15.65,34.65,103.48,7.0,12.96,14.21,52.62,41.78
F25-0976,CIAT-17000,2,297.0,Genetic_bank,Chamaecrista rotundifolia,Herbaceous_legumes,2,94.58,7.84,92.16,17.38,24.2,48.8,8.0,4.96,9.02,31.98,42.81
F25-0977,CIAT-17009,2,299.0,Genetic_bank,Canavalia brasiliensis,Herbaceous_legumes,2,94.78,11.77,88.23,22.97,15.64,39.88,8.0,13.86,16.38,64.87,47.23
F24-3543,CIAT-1706,2,117.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,2,92.7,14.73,85.27,19.4,31.88,99.59,7.0,12.77,14.31,58.93,39.5
F24-3539,CIAT-172,2,109.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,2,91.18,10.02,89.98,14.34,35.0,86.21,6.0,12.82,14.22,64.24,39.14
F24-3544,CIAT-1727,2,119.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,2,92.12,13.82,86.18,18.76,34.12,101.34,9.0,11.83,14.23,64.29,36.15
F24-3639,CIAT-17360,2,67.0,Genetic_bank,Alysicarpus vaginalis,Herbaceous_legumes,2,92.85,21.71,78.29,24.55,20.16,37.06,8.0,15.72,16.94,39.91,62.8
F24-3640,CIAT-17768,2,69.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,93.48,6.89,93.11,15.45,12.14,48.08,9.0,14.83,16.26,54.62,62.31
F24-3641,CIAT-18004,2,71.0,Genetic_bank,Chamaecrista rotundifolia,Herbaceous_legumes,2,92.94,6.78,93.22,15.74,14.9,45.46,9.0,13.81,15.73,53.53,58.72
F24-3545,CIAT-1803,2,121.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,2,91.86,8.67,91.33,17.76,34.2,77.62,,,,,
F24-3642,CIAT-18430,2,73.0,Genetic_bank,Alysicarpus vaginalis,Herbaceous_legumes,2,92.65,12.1,87.9,24.28,21.54,40.06,9.0,15.38,16.74,46.1,62.24
F24-3644,CIAT-18708,2,75.0,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,2,92.86,10.77,89.22,23.89,18.17,42.86,9.0,15.06,17.16,49.94,59.88
F24-3645,CIAT-18850,2,77.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,93.94,14.28,85.72,23.09,20.43,40.56,9.0,15.3,15.95,41.53,58.68
F24-3646,CIAT-18865,2,79.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,93.43,13.54,86.46,18.24,23.38,41.27,9.0,14.34,15.09,45.67,51.17
F25-0979,CIAT-18873,2,303.0,Genetic_bank,Alysicarpus ferrugineus,Herbaceous_legumes,2,95.02,9.34,90.66,15.36,34.52,51.78,7.0,15.74,16.3,62.93,34.7
F24-3647,CIAT-19032,2,81.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,92.42,14.73,85.28,23.96,17.66,39.85,9.0,13.27,15.33,45.7,59.15
F24-3648,CIAT-19119,2,83.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,92.5,23.76,76.24,20.28,22.2,41.36,9.0,14.11,15.47,40.18,56.58
F24-3546,CIAT-1964,2,123.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,2,90.29,9.43,90.57,16.9,34.86,79.75,6.0,13.22,14.24,52.88,40.86
F25-0980,CIAT-19867,2,305.0,Genetic_bank,Uraria lagopodioides,Herbaceous_legumes,4,95.9,15.46,84.54,19.32,25.83,44.28,6.0,15.53,16.05,47.81,52.36
F25-1655,CIAT-1992,2,437.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,4,92.47,8.32,91.68,19.95,38.55,60.22,9.0,12.16,13.57,46.61,49.82
F24-3650,CIAT-20303,2,85.0,Genetic_bank,Canavalia brasiliensis,Herbaceous_legumes,2,88.98,16.2,83.8,21.53,12.76,33.06,9.0,13.51,15.82,52.89,58.61
F25-0949,CIAT-20304,2,237.0,Genetic_bank,Canavalia brasiliensis,Herbaceous_legumes,2,94.54,12.08,87.92,22.84,20.76,47.58,8.0,13.52,16.93,47.76,65.02
F24-3651,CIAT-20589,2,87.0,Genetic_bank,Uraria lagopodioides,Herbaceous_legumes,2,92.04,21.08,78.93,20.68,21.06,38.55,9.0,14.99,16.47,41.75,55.03
F25-0982,CIAT-20709,2,309.0,Genetic_bank,Calopogonium mucunoides,Herbaceous_legumes,2,93.94,9.01,90.99,16.64,33.13,48.82,6.0,14.98,15.95,61.02,37.16
