requisitioner,n_replicates_gas,subset,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm,ranking,quartile
Genetic_bank,9,3,CIAT-907,Dioclea virgata,Herbaceous_legumes,13.26,14.93,52.97,45.26,215,Q3
Genetic_bank,7,4,CIAT-827,Indigofera jamaicensis,Herbaceous_legumes,13.93,15.38,52.87,45.19,216,Q3
Genetic_bank,8,2,CIAT-9900,Pueraria phaseoloides,Herbaceous_legumes,14.05,14.64,43.37,45.12,217,Q3
Genetic_bank,9,1,CIAT-19667,Indigofera hirsuta,Herbaceous_legumes,13.07,14.31,32.52,44.81,218,Q3
Genetic_bank,7,4,CIAT-590,Macroptilium bracteatum,Herbaceous_legumes,13.09,14.56,55.65,44.66,219,Q3
Genetic_bank,9,2,CIAT-5568,Centrosema acutifolium,Herbaceous_legumes,14.09,15.92,52.67,44.5,220,Q3
Genetic_bank,6,3,CIAT-12758,Stylosanthes guianensis,Herbaceous_legumes,12.05,11.74,45.59,44.41,221,Q3
Genetic_bank,7,4,CIAT-14080,Zornia brasiliensis,Herbaceous_legumes,12.21,14.63,54.79,44.37,222,Q3
Genetic_bank,7,4,CIAT-9326,Crotalaria retusa,Herbaceous_legumes,12.16,13.58,62.07,44.24,223,Q3
Genetic_bank,8,2,CIAT-20207,Aeschynomene sensitiva,Herbaceous_legumes,12.4,13.02,42.6,44.19,224,Q3
Genetic_bank,9,1,CIAT-23761,Uraria picta,Herbaceous_legumes,12.26,13.68,33.56,44.14,225,Q3
Genetic_bank,9,3,CIAT-11762,Stylosanthes hamata,Herbaceous_legumes,13.2,14.58,64.94,44.09,226,Q3
Genetic_bank,8,2,CIAT-11998,Stylosanthes guianensis,Herbaceous_legumes,11.15,11.91,38.27,44.05,227,Q3
Genetic_bank,8,4,CIAT-23806,Desmodium angustifolium,Herbaceous_legumes,13.49,15.07,60.64,44.04,228,Q3
Genetic_bank,9,2,CIAT-5733,Centrosema macrocarpum,Herbaceous_legumes,13.21,14.72,48.62,43.99,229,Q3
Genetic_bank,9,2,CIAT-15150,Centrosema molle,Herbaceous_legumes,13.48,14.24,48.67,43.89,230,Q3
Genetic_bank,9,1,CIAT-22475,Alysicarpus rugosus,Herbaceous_legumes,14.0,15.47,44.51,43.56,231,Q3
Genetic_bank,8,2,CIAT-5911,Centrosema macrocarpum,Herbaceous_legumes,13.08,14.91,57.79,43.41,232,Q3
Genetic_bank,9,3,CIAT-11417,Stylosanthes guianensis,Herbaceous_legumes,12.13,12.21,43.95,43.31,233,Q3
Genetic_bank,9,2,CIAT-442,Centrosema molle x acutifolium,Herbaceous_legumes,14.57,15.9,52.27,43.3,234,Q3
Genetic_bank,8,4,CIAT-33561,Desmodium wigginsii,Herbaceous_legumes,13.89,15.32,62.43,43.12,235,Q3
Genetic_bank,9,1,CIAT-13575,Desmodium incanum,Herbaceous_legumes,13.6,16.23,42.43,42.85,236,Q3
Genetic_bank,8,2,CIAT-17000,Chamaecrista rotundifolia,Herbaceous_legumes,4.96,9.02,31.98,42.81,237,Q3
Genetic_bank,6,1,CIAT-9170,Indigofera lespedezioides,Herbaceous_legumes,15.12,16.69,38.2,42.54,238,Q3
Genetic_bank,7,4,CIAT-997,Macroptilium atropurpureum,Herbaceous_legumes,12.11,13.85,46.31,42.42,239,Q4
Genetic_bank,9,1,CIAT-32246,Chamaecrista nictitans,Herbaceous_legumes,13.48,15.7,46.27,42.36,240,Q4
Genetic_bank,6,2,CIAT-8512,Calopogonium caeruleum,Herbaceous_legumes,14.64,15.93,51.26,42.35,241,Q4
Genetic_bank,7,4,CIAT-10026,Stylosanthes seabrana,Herbaceous_legumes,11.29,13.31,51.61,42.25,242,Q4
Genetic_bank,9,3,CIAT-11313,Stylosanthes guianensis,Herbaceous_legumes,12.26,13.51,55.16,41.97,243,Q4
Genetic_bank,9,3,CIAT-11690,Stylosanthes humilis,Herbaceous_legumes,12.24,13.52,61.77,41.84,244,Q4
Genetic_bank,7,2,CIAT-1650,Stylosanthes guianensis,Herbaceous_legumes,12.96,14.21,52.62,41.78,245,Q4
Genetic_bank,9,3,CIAT-11784,Stylosanthes hamata,Herbaceous_legumes,13.21,14.46,64.6,41.61,246,Q4
LMF,6,1,ILRI-2273-27-119732,Trifolium burchellianum,Herbaceous_legumes,10.1,11.34,23.97,41.6,247,Q4
Genetic_bank,7,4,CIAT-7162,Indigofera jamaicensis,Herbaceous_legumes,12.81,14.44,53.04,41.56,248,Q4
Genetic_bank,7,2,CIAT-350,Desmodium heterocarpon,Herbaceous_legumes,12.3,13.37,32.84,41.39,249,Q4
Breeding,6,3,CIAT-17768,Clitoria ternatea ,Herbaceous_legumes,14.97,15.84,70.01,40.98,250,Q4
Genetic_bank,8,4,CIAT-563,Macroptilium bracteatum,Herbaceous_legumes,12.19,13.66,53.49,40.95,251,Q4
Genetic_bank,6,2,CIAT-1964,Stylosanthes guianensis,Herbaceous_legumes,13.22,14.24,52.88,40.86,252,Q4
Genetic_bank,6,4,CIAT-4141,Vigna radiata,Herbaceous_legumes,13.4,14.7,67.86,40.83,253,Q4
Genetic_bank,8,4,CIAT-789,Zornia latifolia,Herbaceous_legumes,13.2,14.71,84.23,40.55,254,Q4
Genetic_bank,7,3,CIAT-8434,Dioclea sericea,Herbaceous_legumes,13.79,15.04,57.16,39.65,255,Q4
Genetic_bank,9,2,CIAT-7991,Indigofera suffruticosa,Herbaceous_legumes,14.83,16.72,63.57,39.55,256,Q4
Genetic_bank,8,2,CIAT-5744,Centrosema macrocarpum,Herbaceous_legumes,14.21,16.11,52.4,39.53,257,Q4
Genetic_bank,7,2,CIAT-1706,Stylosanthes humilis,Herbaceous_legumes,12.77,14.31,58.93,39.5,258,Q4
Genetic_bank,9,3,CIAT-10613,Stylosanthes scabra,Herbaceous_legumes,12.26,13.87,63.05,39.5,259,Q4
Genetic_bank,6,4,CIAT-18277,Indigofera jamaicensis,Herbaceous_legumes,12.42,14.44,51.22,39.46,260,Q4
Genetic_bank,6,4,CIAT-18953,Indigofera atriceps,Herbaceous_legumes,13.88,13.92,51.33,39.31,261,Q4
Genetic_bank,7,4,CIAT-19193,Tephrosia villosa,Herbaceous_legumes,14.99,16.7,68.15,39.26,262,Q4
Genetic_bank,6,2,CIAT-172,Stylosanthes hamata,Herbaceous_legumes,12.82,14.22,64.24,39.14,263,Q4
Genetic_bank,6,4,CIAT-326,Desmodium scorpiurus,Herbaceous_legumes,13.77,15.23,55.45,39.09,264,Q4
Genetic_bank,9,2,CIAT-13268,Tadehagi triquetrum,Herbaceous_legumes,11.21,12.93,30.9,38.94,265,Q4
Genetic_bank,5,4,CIAT-1405,Stylosanthes capitata,Herbaceous_legumes,13.26,15.08,58.91,38.77,266,Q4
Genetic_bank,7,4,CIAT-778,Macroptilium atropurpureum,Herbaceous_legumes,11.24,13.13,48.69,38.62,267,Q4
Genetic_bank,7,4,CIAT-4080,Macroptilium bracteatum,Herbaceous_legumes,13.34,14.91,60.76,38.61,268,Q4
Genetic_bank,7,2,CIAT-25704,Centrosema molle x acutifolium,Herbaceous_legumes,13.13,14.05,52.85,38.46,269,Q4
Genetic_bank,9,1,CIAT-13609,Desmodium incanum,Herbaceous_legumes,13.66,16.31,46.39,38.4,270,Q4
Genetic_bank,9,2,CIAT-438,Centrosema molle x acutifolium,Herbaceous_legumes,14.41,15.63,44.76,38.37,271,Q4
Genetic_bank,6,2,CIAT-2613,Stylosanthes guianensis,Herbaceous_legumes,11.4,12.03,40.06,38.22,272,Q4
Genetic_bank,8,4,CIAT-517,Macroptilium atropurpureum,Herbaceous_legumes,11.58,13.23,52.88,37.99,273,Q4
Genetic_bank,9,2,CIAT-398,Desmodium incanum,Herbaceous_legumes,13.99,15.66,49.86,37.94,274,Q4
Genetic_bank,8,4,CIAT-8849,Zornia brasiliensis,Herbaceous_legumes,12.7,15.12,65.41,37.41,275,Q4
Genetic_bank,8,4,CIAT-4532,Vigna unguiculata,Herbaceous_legumes,13.18,14.6,78.97,37.31,276,Q4
Genetic_bank,6,2,CIAT-20709,Calopogonium mucunoides,Herbaceous_legumes,14.98,15.95,61.02,37.16,277,Q4
Genetic_bank,7,4,CIAT-19641,Tephrosia purpurea,Herbaceous_legumes,14.43,16.25,71.68,36.64,278,Q4
Genetic_bank,9,1,CIAT-3522,Desmodium incanum,Herbaceous_legumes,17.03,18.51,42.18,36.5,279,Q4
Genetic_bank,9,2,CIAT-1727,Stylosanthes humilis,Herbaceous_legumes,11.83,14.23,64.29,36.15,280,Q4
Genetic_bank,6,4,CIAT-2085,Stylosanthes seabrana,Herbaceous_legumes,10.87,13.13,60.41,35.99,281,Q4
Genetic_bank,9,3,CIAT-12042,Stylosanthes humilis,Herbaceous_legumes,12.24,13.34,62.22,35.98,282,Q4
Genetic_bank,7,4,CIAT-24333,Macroptilium bracteatum,Herbaceous_legumes,14.54,15.59,84.68,35.63,283,Q4
Genetic_bank,9,2,CIAT-5172,Centrosema molle,Herbaceous_legumes,13.16,14.26,50.12,35.41,284,Q4
Genetic_bank,7,4,CIAT-9472,Zornia brasiliensis,Herbaceous_legumes,12.33,14.86,61.18,35.27,285,Q4
Genetic_bank,6,4,CIAT-7289,Chamaecrista mimosoides,Herbaceous_legumes,14.05,15.85,78.43,34.88,286,Q4
Genetic_bank,7,2,CIAT-18873,Alysicarpus ferrugineus,Herbaceous_legumes,15.74,16.3,62.93,34.7,287,Q4
Genetic_bank,8,4,CIAT-7826,Tephrosia purpurea,Herbaceous_legumes,13.38,14.83,66.85,34.59,288,Q4
Genetic_bank,6,4,CIAT-13593,Desmodium scorpiurus,Herbaceous_legumes,14.68,15.99,76.03,34.39,289,Q4
Genetic_bank,9,2,CIAT-15154,Centrosema molle,Herbaceous_legumes,13.42,14.17,50.54,34.19,290,Q4
Genetic_bank,7,4,CIAT-33235,Desmodium scorpiurus,Herbaceous_legumes,14.79,15.42,58.31,33.78,291,Q4
Genetic_bank,8,4,CIAT-4069,Macroptilium atropurpureum,Herbaceous_legumes,11.35,12.68,57.03,33.68,292,Q4
Genetic_bank,7,4,CIAT-18954,Indigofera atriceps,Herbaceous_legumes,12.03,13.02,49.98,33.48,293,Q4
Genetic_bank,8,2,CIAT-15160,Centrosema molle,Herbaceous_legumes,13.45,14.19,57.4,33.15,294,Q4
Genetic_bank,7,4,CIAT-23503,Desmodium macrodesmum,Herbaceous_legumes,12.94,14.37,64.16,32.87,295,Q4
Genetic_bank,6,3,CIAT-7381,Galactia glaucescens,Herbaceous_legumes,12.52,14.43,48.82,32.56,296,Q4
Genetic_bank,6,4,CIAT-18952,Indigofera atriceps,Herbaceous_legumes,12.62,13.8,51.46,32.47,297,Q4
Genetic_bank,7,2,CIAT-5452,Centrosema macrocarpum,Herbaceous_legumes,12.71,14.26,58.64,32.09,298,Q4
Genetic_bank,6,3,CIAT-7803,Dioclea holtiana,Herbaceous_legumes,11.57,12.6,52.88,31.87,299,Q4
Genetic_bank,7,4,CIAT-33605,Desmodium sandwicense x intortum,Herbaceous_legumes,13.69,14.84,60.55,31.27,300,Q4
Genetic_bank,6,4,CIAT-13608,Desmodium incanum,Herbaceous_legumes,13.08,14.88,64.77,31.24,301,Q4
Genetic_bank,9,2,CIAT-4028,Galactia glaucescens,Herbaceous_legumes,11.34,13.36,40.58,30.52,302,Q4
Genetic_bank,9,2,CIAT-11833,Stylosanthes guianensis,Herbaceous_legumes,11.63,13.19,63.62,30.51,303,Q4
Genetic_bank,8,4,CIAT-2690,Stylosanthes angustifolia,Herbaceous_legumes,11.0,13.35,85.57,29.9,304,Q4
Genetic_bank,9,3,CIAT-852,Dioclea sericea,Herbaceous_legumes,11.81,12.93,41.49,28.48,305,Q4
Genetic_bank,4,1,CIAT-9562,Eriosema diffusum,Herbaceous_legumes,16.85,18.0,45.14,28.14,306,Q4
Genetic_bank,6,2,CIAT-13301,Desmodium sequax,Herbaceous_legumes,14.0,15.79,48.61,26.72,307,Q4
Genetic_bank,5,3,CIAT-7799,Dioclea guianensis,Herbaceous_legumes,12.18,13.09,49.38,26.54,308,Q4
Genetic_bank,7,2,CIAT-13651,Desmodium heterocarpon,Herbaceous_legumes,13.16,14.0,60.65,26.5,309,Q4
Genetic_bank,9,2,CIAT-3813,Desmodium sequax,Herbaceous_legumes,13.71,15.03,47.74,23.81,310,Q4
Genetic_bank,8,2,CIAT-7131,Eriosema diffusum,Herbaceous_legumes,13.3,14.58,55.01,23.05,311,Q4
Genetic_bank,7,3,CIAT-13946,Desmodium sequax,Herbaceous_legumes,11.69,12.42,29.93,22.65,312,Q4
Genetic_bank,6,2,CIAT-33827,Desmodium incanum,Herbaceous_legumes,12.48,14.67,68.58,22.28,313,Q4
Genetic_bank,6,3,CIAT-8182,Eriosema diffusum,Herbaceous_legumes,13.12,14.35,73.24,21.74,314,Q4
Genetic_bank,8,2,CIAT-13389,Desmodium sequax,Herbaceous_legumes,12.72,13.54,48.91,21.43,315,Q4
Genetic_bank,7,4,CIAT-3694,Desmodium sandwicense,Herbaceous_legumes,14.04,15.41,96.04,21.4,316,Q4
Genetic_bank,6,4,CIAT-1812,Stylosanthes viscosa,Herbaceous_legumes,12.6,13.22,51.65,19.42,317,Q4
