id_lab,id,subset,no,requisitioner,tax_name,functional_group,n_replicates_nutrition,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_gas,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
F25-0995,CIAT-PM-21-0185,1,271.0,Breeding,Megathyrsus maximus,Grass,2,96.49,13.88,86.12,16.73,27.9,66.83,9.0,14.37,16.5,50.84,46.89
F24-3593,CIAT-PM-21-0215,1,73.0,Breeding,Megathyrsus maximus,Grass,2,96.02,15.05,84.95,9.73,29.91,65.24,9.0,14.81,16.18,41.92,54.75
F25-0996,CIAT-PM-21-0215,1,273.0,Breeding,Megathyrsus maximus,Grass,2,95.59,13.71,86.29,15.16,30.25,67.23,9.0,14.64,16.56,52.38,47.29
F24-3594,CIAT-PM-21-0631,1,75.0,Breeding,Megathyrsus maximus,Grass,2,96.8,13.99,86.01,9.06,28.78,62.86,9.0,14.13,15.82,43.25,57.12
F25-1014,CIAT-PM-21-0906,1,309.0,Breeding,Megathyrsus maximus,Grass,2,97.41,15.32,84.68,14.67,19.5,67.2,9.0,13.73,15.55,43.95,48.6
F24-3595,CIAT-PM-21-2195,1,77.0,Breeding,Megathyrsus maximus,Grass,2,96.76,14.14,85.86,8.72,30.92,68.05,9.0,14.39,15.76,44.07,52.92
F25-1009,CIAT-PM-21-2195,1,299.0,Breeding,Megathyrsus maximus,Grass,2,97.0,14.0,86.0,15.49,30.71,67.21,9.0,14.26,15.93,49.68,47.86
F25-1010,CIAT-PM-21-2627,1,301.0,Breeding,Megathyrsus maximus,Grass,2,97.37,14.9,85.1,17.29,33.54,65.79,9.0,14.24,15.97,43.9,47.9
F24-3596,CIAT-PM-21-3522,1,79.0,Breeding,Megathyrsus maximus,Grass,2,96.42,15.65,84.35,8.71,29.82,64.72,9.0,14.39,15.89,41.34,58.99
F25-1012,CIAT-PM-21-3522,1,305.0,Breeding,Megathyrsus maximus,Grass,2,97.18,14.6,85.4,13.12,24.9,66.47,9.0,13.74,15.62,50.63,43.41
F24-3597,CIAT-PM-21-3534,1,81.0,Breeding,Megathyrsus maximus,Grass,2,96.5,15.56,84.44,9.0,30.92,67.23,9.0,17.12,18.84,50.14,58.31
F24-3598,CIAT-PM-21-3537,1,83.0,Breeding,Megathyrsus maximus,Grass,2,97.29,14.48,85.52,10.87,26.81,61.94,8.0,17.0,19.23,52.93,62.32
F24-3599,CIAT-PM-21-3545,1,85.0,Breeding,Megathyrsus maximus,Grass,2,97.12,14.78,85.22,8.41,30.0,65.74,7.0,16.87,18.98,51.18,58.21
F25-0991,CIAT-PM-21-3550,1,263.0,Breeding,Megathyrsus maximus,Grass,2,96.68,14.27,85.73,14.64,30.14,69.18,9.0,14.62,16.61,50.76,45.11
F25-0992,CIAT-PM-21-3595,1,265.0,Breeding,Megathyrsus maximus,Grass,2,95.88,16.61,83.39,14.26,30.86,68.73,9.0,14.84,16.26,50.57,45.29
F24-3600,CIAT-PM-21-3670,1,87.0,Breeding,Megathyrsus maximus,Grass,2,97.13,14.6,85.4,8.83,29.26,64.38,8.0,16.51,18.79,48.38,58.76
F25-0999,CIAT-PM-21-3684,1,279.0,Breeding,Megathyrsus maximus,Grass,2,97.38,13.46,86.54,14.78,30.39,70.03,9.0,14.59,16.22,47.31,53.76
F25-1004,CIAT-PM-21-4449,1,289.0,Breeding,Megathyrsus maximus,Grass,2,96.14,12.8,87.2,14.54,32.67,70.18,9.0,14.56,16.39,52.89,42.72
F25-0998,CIAT-PM-21-6080,1,277.0,Breeding,Megathyrsus maximus,Grass,2,96.35,15.44,84.56,18.29,31.99,67.47,9.0,15.08,16.84,50.46,45.89
F25-1007,CIAT-PM-21-6529,1,295.0,Breeding,Megathyrsus maximus,Grass,2,96.56,14.92,85.08,12.68,30.15,68.18,9.0,14.17,15.99,46.72,46.81
F24-3601,CIAT-PM-21-6628,1,89.0,Breeding,Megathyrsus maximus,Grass,2,95.22,14.1,85.9,9.98,29.83,64.96,9.0,17.23,19.34,49.84,60.12
F25-1002,CIAT-PM-21-6638,1,285.0,Breeding,Megathyrsus maximus,Grass,2,95.67,16.65,83.35,14.24,34.54,67.34,9.0,14.13,15.91,45.83,49.71
F25-2144,CIAT-BH-16-1763,2,465.0,Breeding,Urochloa humidicola,Grass,2,97.83,11.86,88.14,7.2,30.68,67.87,9.0,12.28,13.81,41.73,53.52
F25-2145,CIAT-BH-16-B-2165,2,467.0,Breeding,Urochloa humidicola,Grass,2,97.83,10.78,89.22,6.57,31.35,71.26,9.0,12.58,14.25,43.54,54.76
F25-2146,CIAT-BH-16-B-2167,2,469.0,Breeding,Urochloa humidicola,Grass,2,98.1,11.51,88.49,6.34,34.92,72.45,9.0,12.67,13.87,43.77,49.81
F25-2178,CIAT-BH-22-0071,2,539.0,Breeding,Urochloa humidicola,Grass,2,97.09,13.53,86.47,7.41,36.88,70.97,6.0,12.98,14.11,47.41,46.77
F25-2172,CIAT-BH-22-0132,2,521.0,Breeding,Urochloa humidicola,Grass,2,96.53,10.96,89.04,6.6,35.42,71.89,6.0,12.77,13.95,69.18,33.38
F25-2175,CIAT-BH-22-0456,2,533.0,Breeding,Urochloa humidicola,Grass,2,96.71,10.99,89.01,6.02,29.8,67.9,6.0,13.02,13.9,49.34,51.84
F25-2166,CIAT-BH-22-0528,2,509.0,Breeding,Urochloa humidicola,Grass,4,98.21,13.78,86.22,8.77,36.8,73.56,7.0,13.67,14.81,61.79,43.19
F25-2170,CIAT-BH-22-0765,2,517.0,Breeding,Urochloa humidicola,Grass,4,97.49,10.75,89.25,9.79,36.16,72.26,5.0,13.96,14.43,69.89,36.68
F25-2163,CIAT-BH-22-1258,2,503.0,Breeding,Urochloa humidicola,Grass,2,97.73,12.53,87.47,7.02,34.18,71.11,9.0,12.87,14.04,82.25,27.68
F25-2180,CIAT-BH-22-1267,2,543.0,Breeding,Urochloa humidicola,Grass,2,97.72,10.32,89.68,5.99,32.77,70.79,6.0,12.68,14.02,56.47,42.58
F25-2181,CIAT-BH-22-1303,2,545.0,Breeding,Urochloa humidicola,Grass,2,96.86,11.54,88.46,7.59,35.25,72.12,6.0,13.0,14.14,53.84,45.5
F25-2164,CIAT-BH-22-1370,2,505.0,Breeding,Urochloa humidicola,Grass,2,97.72,15.36,84.64,8.67,29.64,66.17,7.0,12.9,13.96,48.47,41.92
F25-2157,CIAT-BH-22-1375,2,491.0,Breeding,Urochloa humidicola,Grass,2,97.27,13.89,86.11,7.61,32.47,67.66,7.0,12.43,14.07,58.78,41.97
F25-2161,CIAT-BH-22-1706,2,499.0,Breeding,Urochloa humidicola,Grass,2,97.71,11.63,88.37,5.66,34.58,72.37,6.0,12.4,13.86,60.81,36.12
F25-2176,CIAT-BH-22-1832,2,535.0,Breeding,Urochloa humidicola,Grass,2,97.35,10.82,89.18,6.64,32.6,72.56,7.0,13.07,14.05,60.01,46.12
F25-2177,CIAT-BH-22-1872,2,537.0,Breeding,Urochloa humidicola,Grass,2,97.63,11.57,88.43,6.9,33.73,71.31,8.0,12.99,14.32,81.86,40.81
F25-2183,CIAT-BH-22-2046,2,549.0,Breeding,Urochloa humidicola,Grass,2,97.08,10.35,89.65,6.71,32.18,70.29,7.0,12.5,13.83,68.15,39.13
F25-2174,CIAT-BH-22-2074,2,531.0,Breeding,Urochloa humidicola,Grass,2,96.84,13.34,86.66,7.65,31.56,67.8,9.0,13.33,14.6,59.36,45.93
F25-2169,CIAT-BH-22-2189,2,515.0,Breeding,Urochloa humidicola,Grass,2,96.9,15.59,84.41,8.01,33.24,68.2,9.0,12.93,14.05,76.17,27.59
F25-2165,CIAT-BH-22-2225,2,507.0,Breeding,Urochloa humidicola,Grass,2,98.06,10.2,89.8,6.62,36.25,73.12,6.0,13.15,14.31,56.26,39.81
F25-2182,CIAT-BH-22-2508,2,547.0,Breeding,Urochloa humidicola,Grass,2,97.89,13.19,86.81,8.68,33.88,70.43,8.0,13.3,14.46,67.68,40.88
F25-2171,CIAT-BH-22-2531,2,519.0,Breeding,Urochloa humidicola,Grass,4,96.45,12.34,87.66,6.22,33.04,71.22,7.0,13.04,14.14,71.64,40.48
F25-2156,CIAT-BH-22-3115,2,489.0,Breeding,Urochloa humidicola,Grass,2,97.62,11.25,88.75,5.65,33.37,70.99,9.0,12.14,13.86,62.57,37.57
F25-2167,CIAT-BH-22-3507,2,511.0,Breeding,Urochloa humidicola,Grass,2,97.94,12.18,87.82,6.61,35.29,71.87,8.0,12.8,13.95,88.9,25.03
F25-2173,CIAT-BH-22-3521,2,523.0,Breeding,Urochloa humidicola,Grass,2,97.41,11.34,88.66,8.41,27.69,67.79,6.0,13.08,13.92,55.84,36.99
F25-2153,CIAT-BH-22-4092,2,483.0,Breeding,Urochloa humidicola,Grass,2,98.22,14.52,85.48,7.39,30.64,67.4,9.0,12.6,14.1,47.18,47.84
