id_lab,id,subset,no,requisitioner,tax_name,functional_group,n_replicates_nutrition,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_gas,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
F25-2083,CIAT-PM-21-0072,2,345.0,Breeding,Megathyrsus maximus,Grass,2,93.4,14.4,85.6,14.7,29.08,66.23,9.0,13.57,15.25,42.67,53.17
F25-2082,CIAT-PM-21-0074,2,343.0,Breeding,Megathyrsus maximus,Grass,2,94.59,13.6,86.4,13.1,30.94,64.42,9.0,13.9,15.36,41.79,54.87
F25-2100,CIAT-PM-21-0078,2,379.0,Breeding,Megathyrsus maximus,Grass,2,92.6,13.65,86.35,13.84,31.98,66.45,7.0,13.74,15.27,50.97,42.9
F25-2097,CIAT-PM-21-0079,2,373.0,Breeding,Megathyrsus maximus,Grass,2,93.91,12.49,87.51,13.48,31.24,68.55,7.0,13.37,14.95,48.6,48.02
F25-2086,CIAT-PM-21-0819,2,351.0,Breeding,Megathyrsus maximus,Grass,2,92.5,14.13,85.87,15.22,28.57,64.82,9.0,13.78,15.26,46.72,51.88
F25-2102,CIAT-PM-21-0876,2,383.0,Breeding,Megathyrsus maximus,Grass,2,92.49,13.21,86.79,13.1,31.07,66.68,7.0,13.43,14.91,53.15,41.2
F25-2079,CIAT-PM-21-2580,2,337.0,Breeding,Megathyrsus maximus,Grass,2,93.76,12.79,87.21,16.17,31.2,65.05,9.0,13.72,15.38,42.58,60.3
F25-2077,CIAT-PM-21-3535,2,333.0,Breeding,Megathyrsus maximus,Grass,2,95.24,13.79,86.21,11.95,34.88,68.35,9.0,14.12,15.52,41.28,53.93
F25-2103,CIAT-PM-21-3641,2,385.0,Breeding,Megathyrsus maximus,Grass,2,93.72,12.53,87.47,12.37,32.19,69.06,8.0,13.44,15.02,58.19,38.93
F25-2095,CIAT-PM-21-3662,2,369.0,Breeding,Megathyrsus maximus,Grass,2,93.28,14.51,85.49,11.58,32.05,68.09,6.0,13.7,15.27,40.94,57.71
F25-2096,CIAT-PM-21-4448,2,371.0,Breeding,Megathyrsus maximus,Grass,4,95.49,11.27,88.73,12.03,31.22,72.07,9.0,13.27,14.66,59.28,47.46
F25-2099,CIAT-PM-21-4852,2,377.0,Breeding,Megathyrsus maximus,Grass,2,92.72,11.02,88.98,10.66,34.89,72.86,6.0,13.85,15.26,53.27,40.75
F25-2094,CIAT-PM-21-4926,2,367.0,Breeding,Megathyrsus maximus,Grass,2,93.67,11.76,88.24,14.67,30.03,71.37,7.0,14.4,15.78,53.71,39.9
F25-2078,CIAT-PM-21-6106,2,335.0,Breeding,Megathyrsus maximus,Grass,2,93.92,12.99,87.01,15.69,30.99,66.48,9.0,14.51,16.02,40.45,58.82
F25-2084,CIAT-PM-21-6598,2,347.0,Breeding,Megathyrsus maximus,Grass,2,94.64,14.45,85.55,12.94,28.83,65.49,9.0,13.47,15.17,46.34,50.76
F25-2090,CIAT-PM-21-6629,2,359.0,Breeding,Megathyrsus maximus,Grass,2,93.86,11.33,88.67,11.28,37.88,73.0,9.0,13.68,15.16,47.95,44.82
F25-2088,CIAT-PM-21-6640,2,355.0,Breeding,Megathyrsus maximus,Grass,2,93.05,15.15,84.85,15.78,26.65,65.68,9.0,13.7,15.53,44.24,49.86
F25-2091,CIAT-PM-21-6641,2,361.0,Breeding,Megathyrsus maximus,Grass,2,94.15,15.35,84.65,15.59,28.73,63.07,9.0,14.36,15.8,48.44,51.47
F25-2085,CIAT-PM-21-6647,2,349.0,Breeding,Megathyrsus maximus,Grass,2,93.16,13.01,86.99,12.43,29.49,66.17,9.0,14.16,15.47,48.25,50.51
F25-2131,Muestra-#-02,2,325.0,LMF-invivo,Cynodon nlemfuensis,Grass,4,92.18,9.3,90.7,5.74,40.04,77.78,4.0,13.48,14.31,64.84,35.0
F25-0008,Sample-8,2,331.0,LMF,Cynodon nlemfuensis ,Grass,172,93.69,11.41,88.59,0.76,2.2,22.12,514.0,14.49,15.58,72.12,30.47
F25-2627,BR-02-1752-Cayman-Exc,3,209.0,Benchmark,Urochloa interespecific,Grass,2,96.64,17.21,82.79,10.93,29.65,59.76,9.0,13.62,14.68,51.03,55.11
F25-2628,BR-06-423-Cayman-Exc,3,211.0,Benchmark,Urochloa interespecific,Grass,2,96.67,10.43,89.57,13.87,29.45,61.6,9.0,13.48,14.77,50.2,55.73
F25-2625,CIAT-36087-MulatoII-Exc,3,205.0,Benchmark,Urochloa interespecific,Grass,2,97.01,10.33,89.67,12.48,29.37,62.99,6.0,13.38,14.5,48.27,58.75
F25-2139,CIAT-36087-MulatoII-Opt,3,141.0,Benchmark,Urochloa interespecific,Grass,2,96.95,11.55,88.45,7.59,29.44,59.23,8.0,12.86,13.63,49.16,51.91
F25-2626,CIAT-606-Basilisk-Exc,3,207.0,Benchmark,Urochloa interespecific,Grass,2,96.88,9.46,90.54,11.82,30.3,65.32,9.0,13.33,14.44,52.25,56.72
F25-2137,CIAT-606-Basilisk-Opt,3,137.0,Benchmark,Urochloa interespecific,Grass,2,96.79,10.59,89.41,5.25,31.27,62.47,9.0,13.06,14.05,52.51,48.32
F25-2140,CIAT-6133-Llanero-Opt,3,143.0,Benchmark,Urochloa humidicola,Grass,2,97.39,13.06,86.94,10.33,30.98,64.12,9.0,13.33,13.86,50.79,48.53
F25-2624,CIAT-6294-Marandu-Exc,3,203.0,Benchmark,Urochloa interespecific,Grass,2,96.18,10.3,89.7,12.8,30.47,63.4,8.0,14.1,15.13,53.09,51.57
F25-2138,CIAT-6294-Marandu-Opt,3,139.0,Benchmark,Urochloa interespecific,Grass,2,96.12,11.3,88.7,8.5,32.37,64.62,9.0,13.08,13.72,54.61,48.61
F25-2136,CIAT-6962-Mombaza-Ex,3,135.0,Benchmark,Megathyrsus maximus,Grass,2,96.94,12.03,87.97,0.0,37.83,68.79,6.0,12.72,12.75,53.88,39.84
F25-2141,CIAT-6962-Mombaza-Opt,3,145.0,Benchmark,Megathyrsus maximus ,Grass,2,97.52,12.24,87.76,9.46,32.96,65.42,9.0,13.03,14.08,55.76,44.44
F25-2567,Humidicola-679,3,149.0,Benchmark,Urochloa humidicola,Grass,2,92.25,6.07,93.93,6.02,43.86,81.88,8.0,13.12,13.68,70.74,19.02
F25-2566,Paja-Sabana-Madura,3,147.0,Benchmark,,Grass,2,92.41,7.33,92.67,7.21,46.15,77.96,7.0,12.43,13.74,58.75,26.61
F25-2568,Sabana-Quemada,3,151.0,Benchmark,,Grass,2,93.62,11.39,88.61,2.29,49.66,77.83,6.0,12.72,13.52,53.78,17.8
F25-2184,CIAT-BH-22-0303,4,103.0,Genetic_bank,Urochloa humidicola,Grass,2,94.84,9.51,90.49,8.02,33.13,68.08,5.0,14.06,14.79,129.3,22.13
F25-2186,CIAT-BH-22-0468,4,107.0,Genetic_bank,Urochloa humidicola,Grass,2,96.02,10.67,89.33,9.59,33.18,67.84,8.0,14.35,14.8,75.5,34.63
F25-2191,CIAT-BH-22-0517,4,117.0,Genetic_bank,Urochloa humidicola,Grass,2,96.87,10.26,89.74,8.21,34.31,69.46,,,,,
F25-2192,CIAT-BH-22-0519,4,119.0,Genetic_bank,Urochloa humidicola,Grass,2,97.66,11.14,88.86,9.36,31.68,64.58,,,,,
F25-2193,CIAT-BH-22-0521,4,121.0,Genetic_bank,Urochloa humidicola,Grass,2,96.53,10.99,89.01,9.03,31.72,66.88,7.0,29.81,3.54,45.56,13.48
F25-2185,CIAT-BH-22-1594,4,105.0,Genetic_bank,Urochloa humidicola,Grass,2,95.08,11.59,88.41,7.96,34.08,68.32,6.0,14.28,14.91,77.18,37.18
F25-2188,CIAT-BH-22-1710,4,111.0,Genetic_bank,Urochloa humidicola,Grass,2,97.27,9.94,90.06,7.56,35.3,69.39,7.0,13.94,14.66,73.82,36.11
F25-2189,CIAT-BH-22-2365,4,113.0,Genetic_bank,Urochloa humidicola,Grass,2,97.1,12.34,87.66,9.98,31.98,64.14,5.0,14.0,14.44,66.84,39.83
F25-2190,CIAT-BH-22-3572,4,115.0,Genetic_bank,Urochloa humidicola,Grass,2,96.5,10.04,89.96,7.98,32.77,68.19,5.0,13.58,14.19,154.85,20.76
F25-2187,CIAT-BH-22-3830,4,109.0,Genetic_bank,Urochloa humidicola,Grass,2,95.96,10.19,89.81,8.04,32.62,67.43,6.0,13.9,14.78,75.1,40.8
F25-2640,Cayman-Br-02-1752,4,61.0,Isabel Molina,Urochloa interespecific,Grass,2,97.0,9.65,90.35,8.05,26.24,62.13,8.0,12.99,13.37,50.17,50.22
