id_lab,id,subset,no,requisitioner,tax_name,functional_group,n_replicates_nutrition,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_gas,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm,ch4_category,tddm_category,lmf_category,lmf_category_rank,quartile,quartile_rank
F24-3496,CIAT-19129,1,251,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,93.46,11.98,88.02,17.81,36.71,62.08,9,15.91,18.28,49.18,49.9,Medium,Not High,Category_2,115,Q3,166
F24-3497,CIAT-19133,1,253,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,93.13,11.81,88.19,17.49,35.06,55.15,9,15.61,18.06,55.12,48.23,Medium,Not High,Category_2,181,Q3,175
F24-3498,CIAT-19137,1,255,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,93.77,10.96,89.04,18.13,33.34,57.07,9,15.31,17.59,48.49,53.2,Medium,Not High,Category_2,107,Q2,120
F24-3499,CIAT-19138,1,257,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,92.69,11.37,88.63,21.32,32.54,54.03,9,15.26,17.55,43.21,54.86,Low,Not High,Category_2,52,Q2,108
F24-3500,CIAT-19139,1,259,Genetic_bank,Alysicarpus ovalifolius,Herbaceous_legumes,2,94.61,12.04,87.96,18.54,35.03,58.31,9,14.24,17.2,39.74,52.41,Low,Not High,Category_2,27,Q2,134
F24-3417,CIAT-707,1,3,Genetic_bank,Alysicarpus ovalifolius,Herbaceous_legumes,2,90.09,12.07,87.93,25.4,25.44,54.11,9,13.54,16.25,36.44,65.97,Low,High,Category_1a,4,Q1,13
F24-3502,CIAT-19421,1,313,Genetic_bank,Uraria lagopodioides,Herbaceous_legumes,2,94.09,18.68,81.32,20.04,27.8,46.04,9,14.13,15.13,33.82,54.27,Low,Not High,Category_2,11,Q2,114
F24-3503,CIAT-19566,1,315,Genetic_bank,Tephrosia noctiflora,Shrub_Trees,2,93.74,12.42,87.58,25.36,19.49,42.6,9,15.42,16.28,37.31,64.11,Low,High,Category_1a,8,Q1,9
F24-3504,CIAT-19667,1,317,Genetic_bank,Indigofera hirsuta,Herbaceous_legumes,2,92.42,9.96,90.04,26,37.56,50.53,9,13.07,14.31,32.52,44.81,Low,Not High,Category_2,7,Q3,207
F24-3505,CIAT-19673,1,319,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,92.51,11.98,88.02,25.41,27.8,53.08,9,14.38,15.9,43.95,51.27,Low,Not High,Category_2,60,Q2,152
F24-3506,CIAT-19895,1,321,Genetic_bank,Aeschynomene americana,Shrub_Trees,2,93.36,11.41,88.59,25.26,25.71,62.06,9,14.14,15.62,38.27,67.43,Low,High,Category_1a,7,Q1,4
F24-3511,CIAT-20305,1,331,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,93.54,18.34,81.66,23.35,19.38,39.7,9,12.71,14.72,35.46,62.07,Low,High,Category_1a,5,Q1,43
F24-3507,CIAT-20093,1,323,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,94.36,12.87,87.13,24.07,16.58,50.41,9,14.71,15.94,37.98,65.75,Low,High,Category_1a,7,Q1,14
F24-3509,CIAT-20125,1,327,Genetic_bank,Coursetia caribaea,Shrub_Trees,2,93.5,13.24,86.76,20.44,18.08,44.23,9,15.43,17.01,40,57.96,Low,Not High,Category_2,27,Q1,24
F24-3510,CIAT-20298,1,329,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,93.66,16.19,83.81,22.85,21.72,43.09,9,13.89,15.34,39.36,56.36,Low,Not High,Category_2,26,Q2,89
F24-3421,CIAT-772,1,11,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,91.49,6.18,93.82,18.97,16.74,67.42,9,13.46,14.99,37.92,65.1,Low,High,Category_1a,8,Q1,21
F24-3512,CIAT-20803,1,333,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,93.38,15.93,84.06,22.07,15.58,49.53,9,13.8,15.98,42.61,55.7,Low,Not High,Category_2,47,Q2,94
F24-3513,CIAT-21031,1,335,Genetic_bank,Christia obcordata,Herbaceous_legumes,2,94.06,19.67,80.33,20.42,8.94,46.57,9,13.8,15.58,37.14,55.29,Low,Not High,Category_2,20,Q2,99
F24-3514,CIAT-21128,1,337,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,2,93.46,10.34,89.66,29.38,36.54,43.84,9,15.13,17.95,47.36,53.1,Medium,Not High,Category_2,97,Q2,123
F24-3487,CIAT-18749,1,233,Genetic_bank,Arachis pintoi,Herbaceous_legumes,2,92.7,14.32,85.68,21.13,27.42,51.53,9,11.69,15.84,36.23,61.12,Low,High,Category_1a,9,Q1,48
