id_lab,id,subset,no,requisitioner,tax_name,functional_group,n_replicates_nutrition,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_gas,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm,ch4_category,tddm_category,lmf_category,lmf_category_rank,quartile,quartile_rank
F24-3461,CIAT-9349,1,181,Genetic_bank,Mucuna pruriens,Herbaceous_legumes,2,91.42,8.63,91.37,30.38,27.8,55.56,6,17.35,18.52,43.23,56.47,Low,Not High,Category_2,54,Q2,86
F24-3462,CIAT-9356,1,183,Genetic_bank,Tephrosia noctiflora,Shrub_Trees,2,93.03,8.36,91.64,30.62,20.6,55.98,6,18.7,20.48,49.48,53.77,Medium,Not High,Category_2,69,Q1,33
F24-3463,CIAT-9432,1,185,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,91.28,8.03,91.97,31.25,17.92,44.95,5,17.36,18.9,57.24,50.87,High,Not High,Category_4,15,Q3,157
F24-3463,CIAT-9432,1,185,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,91.28,8.03,91.97,31.25,17.92,44.95,5,17.36,18.9,57.24,50.87,High,Not High,Category_4,15,Q3,171
F24-3463,CIAT-9432,1,185,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,91.28,8.03,91.97,31.25,17.92,44.95,5,17.36,18.9,57.24,50.87,High,Not High,Category_4,15,Q3,182
F24-3464,CIAT-9433,1,187,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,94.27,9.44,90.56,31.68,21.94,43.14,6,17.95,19.36,46.43,61.82,Medium,High,Category_1b,10,Q1,46
F24-3465,CIAT-9435,1,189,Genetic_bank,Desmanthus pubescens,Shrub_Trees,2,94.59,8.48,91.52,26.78,36.06,53.83,6,16.03,18.91,44.69,43.26,Low,Not High,Category_2,47,Q2,73
F24-3466,CIAT-9530,1,191,Genetic_bank,Crotalaria maypurensis,Herbaceous_legumes,2,93.26,8.79,91.21,32.65,10.84,32.2,6,17.02,19.21,51.12,68.2,Medium,High,Category_1b,14,Q1,8
F24-3425,CIAT-955,1,19,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,91.82,5.7,94.3,22.01,21.55,61.67,9,12.82,14.54,45.45,59.65,Medium,Not High,Category_2,72,Q1,55
F24-3467,CIAT-9562,1,193,Genetic_bank,Eriosema diffusum,Herbaceous_legumes,2,93.93,8.4,91.6,18.11,51.96,64.55,4,16.85,18,45.14,28.14,Medium,Not High,Category_2,69,Q4,301
F24-3426,CIAT-989,1,111,Genetic_bank,Indigofera hirsuta,Herbaceous_legumes,2,92.37,13.66,86.34,25.35,47.63,53.1,9,15.57,16.78,32.85,52.31,Low,Not High,Category_2,9,Q2,136
F24-3468,CIAT-9982,1,195,Genetic_bank,Crotalaria incana,Herbaceous_legumes,2,93.82,8.65,91.35,26.86,14.33,46.83,6,17.05,19,47.26,72.64,Medium,High,Category_1b,2,Q1,3
F24-3602,CIAT-BH-08-1149,1,91,Breeding,Urochloa humidicola,Grasses,2,94.43,13.32,86.68,7.53,28.61,68.73,9,16.71,18.65,55.06,58.29,Medium,Not High,Category_2,124,Q1,25
F24-3603,CIAT-BH-16-0550,1,93,Breeding,Urochloa humidicola,Grasses,2,94.11,11.52,88.48,6.43,30.15,69.16,9,16.28,18.26,58.06,56.56,Medium,Not High,Category_2,137,Q1,36
F24-3604,CIAT-BH-16-0562,1,95,Breeding,Urochloa humidicola,Grasses,2,95.17,11.17,88.83,5.94,30.47,69.59,8,15.85,18.02,57.88,56.42,Medium,Not High,Category_2,136,Q1,38
F24-3605,CIAT-BH-16-3249,1,97,Breeding,Urochloa humidicola,Grasses,2,95.82,12.04,87.96,6.65,28.86,69.65,9,16.17,18.16,55.41,59.07,Medium,Not High,Category_2,125,Q1,18
F24-3606,CIAT-BH-16-B-0733,1,99,Breeding,Urochloa humidicola,Grasses,2,96.31,12.64,87.36,8.1,29.36,68.83,9,16.61,18.55,54.65,57.87,Medium,Not High,Category_2,122,Q1,29
F24-3607,CIAT-BH-16-B-0741,1,101,Breeding,Urochloa humidicola,Grasses,2,96.67,14.23,85.77,7.5,28.14,65.68,9,16.41,18.67,53.66,58.82,Medium,Not High,Category_2,114,Q1,21
F24-3608,CIAT-BH-16-B-1194,1,103,Breeding,Urochloa humidicola,Grasses,2,96.74,11.91,88.09,5.47,29.54,67.77,9,15.93,17.98,56.09,57.89,Medium,Not High,Category_2,130,Q1,28
F24-3609,CIAT-BH-16-B-1618,1,105,Breeding,Urochloa humidicola,Grasses,2,97.16,13.98,86.02,8.13,28.05,66.39,9,16.37,17.53,49.87,55.96,Low,Not High,Category_2,83,Q1,41
F24-3610,CIAT-BH-16-B-1707,1,107,Breeding,Urochloa humidicola,Grasses,2,96.95,10.52,89.48,5.97,26.74,68.59,9,15.83,17.95,58.33,56.99,Medium,Not High,Category_2,139,Q1,33
F24-3582,CIAT-BR-02-1752,1,51,Breeding,Urochloa interespecific,Grasses,2,96.03,15.7,84.3,10.92,21.14,55.41,9,13.98,14.61,33.83,67.39,Low,High,Category_1a,1,Q1,1
F24-3583,CIAT-BR-02-1794,1,53,Breeding,Urochloa interespecific,Grasses,2,97.05,15.02,84.98,9.39,21.84,55.76,9,13.79,14.51,35.77,63.97,Low,High,Category_1a,6,Q1,7
F24-3584,CIAT-BR-06-0423,1,55,Breeding,Urochloa interespecific,Grasses,2,96.77,15.97,84.03,11.01,22.02,57.36,8,14.61,15.14,35.98,64.27,Low,High,Category_1a,5,Q1,6
F24-3585,CIAT-BR-09-1232,1,57,Breeding,Urochloa interespecific,Grasses,2,97.24,13.8,86.2,10.08,21.03,55.66,8,13.76,14.37,36.04,66.64,Low,High,Category_1a,3,Q1,2
F24-3586,CIAT-BR-12-4951,1,59,Breeding,Urochloa interespecific,Grasses,2,95.75,15.48,84.52,11.1,23.29,56.86,9,14.34,15.02,35.76,65.93,Low,High,Category_1a,4,Q1,3
F24-3587,CIAT-BR-15-0722,1,61,Breeding,Urochloa interespecific,Grasses,2,95.22,14.06,85.94,10.31,26.18,60.21,9,14.28,14.74,36.15,60.89,Low,High,Category_1a,10,Q1,13
F24-3588,CIAT-BR-15-6487,1,63,Breeding,Urochloa interespecific,Grasses,2,95.07,13.57,86.43,9.61,24.55,59.73,8,14.01,14.41,36.06,61.15,Low,High,Category_1a,9,Q1,12
F24-3589,CIAT-BR-19-0029,1,65,Breeding,Urochloa interespecific,Grasses,2,96.07,14.13,85.87,10.08,23.98,58.41,8,13.94,14.87,38.23,62,Low,High,Category_1a,13,Q1,10
F24-3590,CIAT-BR-19-0423,1,67,Breeding,Urochloa interespecific,Grasses,2,95.35,13.9,86.1,10.11,24.49,59.22,9,13.93,14.41,37.16,63.48,Low,High,Category_1a,8,Q1,8
F25-0994,CIAT-CIAT-16048,1,269,Breeding,Megathyrsus maximus,Grasses,2,97.56,15.28,84.72,17.34,32,67.1,8,15.24,16.67,48.72,48.5,Low,Not High,Category_2,71,Q3,102
F25-0997,CIAT-CIAT-16051,1,275,Breeding,Megathyrsus maximus,Grasses,2,96.15,13.98,86.02,14.91,31.61,68.22,9,14.93,16.89,53.87,45.79,Medium,Not High,Category_2,118,Q3,129
F24-3611,CIAT-CIAT-16888,1,109,Breeding,Urochloa humidicola,Grasses,2,96.78,11.69,88.31,6.11,30.81,70,9,16.38,18.25,62.67,53.26,Medium,Not High,Category_2,150,Q2,59
F25-1005,CIAT-CIAT-6799,1,291,Breeding,Megathyrsus maximus,Grasses,2,96.01,12.66,87.34,13.54,33.7,71.55,9,14.92,16.22,51.97,42.1,Low,Not High,Category_2,105,Q4,152
F25-1001,CIAT-CIAT-6890,1,283,Breeding,Megathyrsus maximus,Grasses,2,96.17,12.32,87.68,15.87,34.27,71.39,9,14.33,16.21,47.38,52.75,Low,Not High,Category_2,58,Q2,64
F24-3591,CIAT-CIAT-6962,1,69,Breeding,Megathyrsus maximus,Grasses,2,95.73,14.25,85.75,8.59,32.14,67.62,9,14.82,15.87,40.73,56.51,Low,Not High,Category_2,12,Q1,37
F24-3592,CIAT-Mulato-II,1,71,Breeding,Urochloa interespecific,Grasses,2,96.66,14.97,85.03,11.85,24.36,59.42,9,14.21,14.64,34.27,65.32,Low,High,Category_1a,2,Q1,4
F25-1008,CIAT-PM-21-0047,1,297,Breeding,Megathyrsus maximus,Grasses,2,96.13,14.93,85.07,14.15,32.29,65.85,9,14.43,16.14,50.93,48.46,Low,Not High,Category_2,94,Q3,104
F25-1003,CIAT-PM-21-0052,1,287,Breeding,Megathyrsus maximus,Grasses,2,95.44,14.13,85.87,15.41,31.81,65.13,9,14.21,16.2,47.43,50.41,Low,Not High,Category_2,60,Q2,85
F25-0990,CIAT-PM-21-0053,1,261,Breeding,Megathyrsus maximus,Grasses,2,95.8,11.41,88.59,14.92,32.66,67.93,9,14.63,16.41,49.04,51.43,Low,Not High,Category_2,75,Q2,75
F25-1006,CIAT-PM-21-0055,1,293,Breeding,Megathyrsus maximus,Grasses,2,96.3,13.33,86.67,16.48,31.62,65.68,9,14.16,16.3,49.43,46.4,Low,Not High,Category_2,79,Q3,123
F25-1011,CIAT-PM-21-0059,1,303,Breeding,Megathyrsus maximus,Grasses,2,97.53,14.03,85.97,16.71,31.7,65.46,9,14.2,16.39,48.85,49,Low,Not High,Category_2,72,Q2,97
F25-1013,CIAT-PM-21-0062,1,307,Breeding,Megathyrsus maximus,Grasses,2,98.12,15.74,84.26,13.47,24.42,67.94,9,13.96,15.8,51.57,45.38,Low,Not High,Category_2,102,Q3,133
F25-1000,CIAT-PM-21-0076,1,281,Breeding,Megathyrsus maximus,Grasses,2,94.91,15.42,84.58,16.15,32.19,67.6,9,14.89,16.81,56,47.61,Medium,Not High,Category_2,129,Q3,114
F25-0993,CIAT-PM-21-0086,1,267,Breeding,Megathyrsus maximus,Grasses,2,97.47,15.36,84.64,14.81,31.02,67.38,9,14.82,16.59,51.77,45.62,Low,Not High,Category_2,104,Q3,130
F25-0995,CIAT-PM-21-0185,1,271,Breeding,Megathyrsus maximus,Grasses,2,96.49,13.88,86.12,16.73,27.9,66.83,9,14.37,16.5,50.84,46.89,Low,Not High,Category_2,93,Q3,120
F24-3593,CIAT-PM-21-0215,1,73,Breeding,Megathyrsus maximus,Grasses,2,96.02,15.05,84.95,9.73,29.91,65.24,9,14.81,16.18,41.92,54.75,Low,Not High,Category_2,55,Q1,49
F24-3593,CIAT-PM-21-0215,1,73,Breeding,Megathyrsus maximus,Grasses,2,96.02,15.05,84.95,9.73,29.91,65.24,9,14.81,16.18,41.92,54.75,Low,Not High,Category_2,55,Q3,117
F25-0996,CIAT-PM-21-0215,1,273,Breeding,Megathyrsus maximus,Grasses,2,95.59,13.71,86.29,15.16,30.25,67.23,9,14.64,16.56,52.38,47.29,Low,Not High,Category_2,55,Q1,49
F25-0996,CIAT-PM-21-0215,1,273,Breeding,Megathyrsus maximus,Grasses,2,95.59,13.71,86.29,15.16,30.25,67.23,9,14.64,16.56,52.38,47.29,Low,Not High,Category_2,55,Q3,117
F24-3594,CIAT-PM-21-0631,1,75,Breeding,Megathyrsus maximus,Grasses,2,96.8,13.99,86.01,9.06,28.78,62.86,9,14.13,15.82,43.25,57.12,Low,Not High,Category_2,26,Q1,32
F25-1014,CIAT-PM-21-0906,1,309,Breeding,Megathyrsus maximus,Grasses,2,97.41,15.32,84.68,14.67,19.5,67.2,9,13.73,15.55,43.95,48.6,Low,Not High,Category_2,31,Q3,100
F24-3595,CIAT-PM-21-2195,1,77,Breeding,Megathyrsus maximus,Grasses,2,96.76,14.14,85.86,8.72,30.92,68.05,9,14.39,15.76,44.07,52.92,Low,Not High,Category_2,53,Q2,63
F24-3595,CIAT-PM-21-2195,1,77,Breeding,Megathyrsus maximus,Grasses,2,96.76,14.14,85.86,8.72,30.92,68.05,9,14.39,15.76,44.07,52.92,Low,Not High,Category_2,53,Q3,110
F25-1009,CIAT-PM-21-2195,1,299,Breeding,Megathyrsus maximus,Grasses,2,97,14,86,15.49,30.71,67.21,9,14.26,15.93,49.68,47.86,Low,Not High,Category_2,53,Q2,63
F25-1009,CIAT-PM-21-2195,1,299,Breeding,Megathyrsus maximus,Grasses,2,97,14,86,15.49,30.71,67.21,9,14.26,15.93,49.68,47.86,Low,Not High,Category_2,53,Q3,110
F25-1010,CIAT-PM-21-2627,1,301,Breeding,Megathyrsus maximus,Grasses,2,97.37,14.9,85.1,17.29,33.54,65.79,9,14.24,15.97,43.9,47.9,Low,Not High,Category_2,30,Q3,109
F24-3596,CIAT-PM-21-3522,1,79,Breeding,Megathyrsus maximus,Grasses,2,96.42,15.65,84.35,8.71,29.82,64.72,9,14.39,15.89,41.34,58.99,Low,Not High,Category_2,46,Q1,19
F24-3596,CIAT-PM-21-3522,1,79,Breeding,Megathyrsus maximus,Grasses,2,96.42,15.65,84.35,8.71,29.82,64.72,9,14.39,15.89,41.34,58.99,Low,Not High,Category_2,46,Q3,144
F25-1012,CIAT-PM-21-3522,1,305,Breeding,Megathyrsus maximus,Grasses,2,97.18,14.6,85.4,13.12,24.9,66.47,9,13.74,15.62,50.63,43.41,Low,Not High,Category_2,46,Q1,19
F25-1012,CIAT-PM-21-3522,1,305,Breeding,Megathyrsus maximus,Grasses,2,97.18,14.6,85.4,13.12,24.9,66.47,9,13.74,15.62,50.63,43.41,Low,Not High,Category_2,46,Q3,144
F24-3597,CIAT-PM-21-3534,1,81,Breeding,Megathyrsus maximus,Grasses,2,96.5,15.56,84.44,9,30.92,67.23,9,17.12,18.84,50.14,58.31,Low,Not High,Category_2,84,Q1,24
F24-3598,CIAT-PM-21-3537,1,83,Breeding,Megathyrsus maximus,Grasses,2,97.29,14.48,85.52,10.87,26.81,61.94,8,17,19.23,52.93,62.32,Low,High,Category_1a,17,Q1,9
F24-3599,CIAT-PM-21-3545,1,85,Breeding,Megathyrsus maximus,Grasses,2,97.12,14.78,85.22,8.41,30,65.74,7,16.87,18.98,51.18,58.21,Low,Not High,Category_2,99,Q1,26
F25-0991,CIAT-PM-21-3550,1,263,Breeding,Megathyrsus maximus,Grasses,2,96.68,14.27,85.73,14.64,30.14,69.18,9,14.62,16.61,50.76,45.11,Low,Not High,Category_2,90,Q3,136
F25-0992,CIAT-PM-21-3595,1,265,Breeding,Megathyrsus maximus,Grasses,2,95.88,16.61,83.39,14.26,30.86,68.73,9,14.84,16.26,50.57,45.29,Low,Not High,Category_2,89,Q3,135
F24-3600,CIAT-PM-21-3670,1,87,Breeding,Megathyrsus maximus,Grasses,2,97.13,14.6,85.4,8.83,29.26,64.38,8,16.51,18.79,48.38,58.76,Low,Not High,Category_2,67,Q1,22
F25-0999,CIAT-PM-21-3684,1,279,Breeding,Megathyrsus maximus,Grasses,2,97.38,13.46,86.54,14.78,30.39,70.03,9,14.59,16.22,47.31,53.76,Low,Not High,Category_2,57,Q2,55
F25-1004,CIAT-PM-21-4449,1,289,Breeding,Megathyrsus maximus,Grasses,2,96.14,12.8,87.2,14.54,32.67,70.18,9,14.56,16.39,52.89,42.72,Low,Not High,Category_2,109,Q4,148
F25-0998,CIAT-PM-21-6080,1,277,Breeding,Megathyrsus maximus,Grasses,2,96.35,15.44,84.56,18.29,31.99,67.47,9,15.08,16.84,50.46,45.89,Low,Not High,Category_2,88,Q3,127
F25-1007,CIAT-PM-21-6529,1,295,Breeding,Megathyrsus maximus,Grasses,2,96.56,14.92,85.08,12.68,30.15,68.18,9,14.17,15.99,46.72,46.81,Low,Not High,Category_2,50,Q3,121
F24-3601,CIAT-PM-21-6628,1,89,Breeding,Megathyrsus maximus,Grasses,2,95.22,14.1,85.9,9.98,29.83,64.96,9,17.23,19.34,49.84,60.12,Low,High,Category_1a,16,Q1,17
F25-1002,CIAT-PM-21-6638,1,285,Breeding,Megathyrsus maximus,Grasses,2,95.67,16.65,83.35,14.24,34.54,67.34,9,14.13,15.91,45.83,49.71,Low,Not High,Category_2,45,Q2,91
F24-3636,CIAT-11162,2,55,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,2,91.46,22.3,77.69,17.11,23,51.4,8,12.46,14.92,50.47,56.82,Medium,Not High,Category_2,133,Q2,79
F25-0989,CIAT-11833,2,323,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,2,94.97,9.91,90.08,13.53,41.13,65,9,11.63,13.19,63.62,30.51,High,Not High,Category_4,59,Q4,297
F25-0970,CIAT-11998,2,285,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,2,94.6,12.78,87.22,14.22,33.38,63.5,8,11.15,11.91,38.27,44.05,Low,Not High,Category_2,24,Q3,214
F25-0971,CIAT-13149,2,287,Genetic_bank,Desmodium strigillosum,Herbaceous_legumes,4,93.78,8.18,91.82,13.45,35.33,49.68,9,13.58,14.95,42.43,52.81,Low,Not High,Category_2,45,Q2,129
F25-0931,CIAT-13268,2,201,Genetic_bank,Tadehagi triquetrum,Herbaceous_legumes,2,94.21,7.54,92.46,14.85,42.8,50.67,9,11.21,12.93,30.9,38.94,Low,Not High,Category_2,3,Q4,256
F24-3637,CIAT-13301,2,57,Genetic_bank,Desmodium sequax,Shrub_Trees,2,92.57,20.83,79.17,19.83,51,58.71,6,14,15.79,48.61,26.72,Low,Not High,Category_2,65,Q4,121
F25-0972,CIAT-13389,2,289,Genetic_bank,Desmodium sequax,Shrub_Trees,2,93.82,8.25,91.76,14.94,48.34,57.13,8,12.72,13.54,48.91,21.43,Low,Not High,Category_2,68,Q4,139
F25-0973,CIAT-13651,2,291,Genetic_bank,Desmodium heterocarpon,Herbaceous_legumes,2,95.04,9.16,90.84,16.15,38.99,55.6,7,13.16,14,60.65,26.5,High,Not High,Category_4,61,Q4,303
F25-0942,CIAT-13692,2,223,Genetic_bank,Desmodium velutinum,Shrub_Trees,2,94.92,10.58,89.42,18.55,32.17,55.22,9,15.48,16.96,56.63,40.73,Medium,Not High,Category_2,88,Q3,82
F25-0974,CIAT-13946,2,293,Genetic_bank,Desmodium sequax,Shrub_Trees,4,93.82,6.8,93.2,14.37,53.08,60.83,7,12.26,13.16,35.66,32.25,Low,Not High,Category_2,18,Q3,102
F24-3540,CIAT-1467,2,111,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,4,92.62,8.54,91.46,13.64,34.78,74.94,5,12.74,14.4,52.16,58.12,Medium,Not High,Category_2,147,Q1,69
F24-3541,CIAT-1475,2,113,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,4,90.79,8.75,91.24,17.29,37.43,72.12,9,13.22,14.72,54.15,56.26,Medium,Not High,Category_2,172,Q2,90
F25-0943,CIAT-15121,2,225,Genetic_bank,Centrosema macrocarpum,Herbaceous_legumes,2,93.92,11.18,88.82,19.77,30.28,50.42,6,13.62,15.27,43.07,53.13,Low,Not High,Category_2,49,Q2,122
F25-0944,CIAT-15150,2,227,Genetic_bank,Centrosema molle,Herbaceous_legumes,2,93.1,8.72,91.28,20.03,28.83,62.44,9,13.48,14.24,48.67,43.89,Medium,Not High,Category_2,110,Q3,217
F25-0945,CIAT-15154,2,229,Genetic_bank,Centrosema molle,Herbaceous_legumes,2,94.36,7.93,92.07,26.23,33.34,65.84,9,13.42,14.17,50.54,34.19,Medium,Not High,Category_2,135,Q4,283
F25-0975,CIAT-15160,2,295,Genetic_bank,Centrosema molle,Herbaceous_legumes,2,94.54,10,90,21.46,35.17,61.86,8,13.45,14.19,57.4,33.15,High,Not High,Category_4,41,Q4,289
F24-3638,CIAT-15401,2,59,Genetic_bank,Centrosema brasilianum,Herbaceous_legumes,2,93.22,17.65,82.35,17.11,28.58,49.64,7,13.84,15.7,45.47,52.1,Medium,Not High,Category_2,73,Q2,138
F25-0930,CIAT-15470,2,199,Genetic_bank,Centrosema molle,Herbaceous_legumes,2,94.26,9.21,90.79,24.65,32.1,58.39,9,13.77,14.6,40.38,45.55,Low,Not High,Category_2,31,Q3,200
F25-0929,CIAT-15474,2,197,Genetic_bank,Centrosema molle,Herbaceous_legumes,2,92.3,9.16,90.84,30.58,34.16,56.03,6,13.15,13.56,35.27,47,Low,Not High,Category_2,14,Q3,190
F25-0946,CIAT-15561,2,231,Genetic_bank,Centrosema molle,Herbaceous_legumes,2,92.51,9.54,90.46,25.06,39.02,70.84,7,13.34,14.8,41.13,47.01,Low,Not High,Category_2,35,Q3,189
F25-0947,CIAT-15799,2,233,Genetic_bank,Centrosema macrocarpum,Herbaceous_legumes,2,92.82,19.53,80.47,17.46,31.86,59.55,9,13.26,14.06,37.78,47.56,Low,Not High,Category_2,21,Q3,180
F25-0948,CIAT-15816,2,235,Genetic_bank,Centrosema acutifolium,Herbaceous_legumes,2,95.74,10.18,89.82,20.6,27.52,51.4,7,13.39,14.86,47.5,46.2,Medium,Not High,Category_2,100,Q3,196
F24-3542,CIAT-1650,2,115,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,2,91.92,12.67,87.33,15.65,34.65,103.48,7,12.96,14.21,52.62,41.78,Medium,Not High,Category_2,152,Q4,235
F25-0976,CIAT-17000,2,297,Genetic_bank,Chamaecrista rotundifolia,Herbaceous_legumes,2,94.58,7.84,92.16,17.38,24.2,48.8,8,4.96,9.02,31.98,42.81,Low,Not High,Category_2,6,Q3,225
F25-0977,CIAT-17009,2,299,Genetic_bank,Canavalia brasiliensis,Herbaceous_legumes,2,94.78,11.77,88.23,22.97,15.64,39.88,8,13.86,16.38,64.87,47.23,High,Not High,Category_4,28,Q3,185
F24-3543,CIAT-1706,2,117,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,2,92.7,14.73,85.27,19.4,31.88,99.59,7,12.77,14.31,58.93,39.5,High,Not High,Category_4,31,Q4,249
F24-3539,CIAT-172,2,109,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,2,91.18,10.02,89.98,14.34,35,86.21,6,12.82,14.22,64.24,39.14,High,Not High,Category_4,44,Q4,254
F24-3544,CIAT-1727,2,119,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,2,92.12,13.82,86.18,18.76,34.12,101.34,9,11.83,14.23,64.29,36.15,High,Not High,Category_4,51,Q4,272
F25-2609,CIAT-22423,4,197,Genetic_bank,Vigna unguiculata,Herbaceous_legumes,2,90.61,12.05,87.95,27.74,27.28,48.09,7,13.5,14.82,42.49,64.95,Low,High,Category_1a,22,Q1,23
F24-3641,CIAT-18004,2,71,Genetic_bank,Chamaecrista rotundifolia,Herbaceous_legumes,2,92.94,6.78,93.22,15.74,14.9,45.46,9,13.81,15.73,53.53,58.72,Medium,Not High,Category_2,168,Q1,63
F24-3545,CIAT-1803,2,121,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,2,91.86,8.67,91.33,17.76,34.2,77.62,,,,,,,,,,,
F24-3642,CIAT-18430,2,73,Genetic_bank,Alysicarpus vaginalis,Herbaceous_legumes,2,92.65,12.1,87.9,24.28,21.54,40.06,9,15.38,16.74,46.1,62.24,Medium,High,Category_1b,5,Q1,42
F25-0983,CIAT-18437,2,311,Genetic_bank,Flemingia macrophylla,Shrub_Trees,2,95.67,4.88,95.12,17.19,47.66,65.07,5,12.28,13.05,41.87,22.61,Low,Not High,Category_2,32,Q4,136
F25-0978,CIAT-18700,2,301,Genetic_bank,Cajanus cajan,Shrub_Trees,2,93.9,7.36,92.64,22.88,42.28,54.12,6,13.9,15.46,59.27,32.23,Medium,Not High,Category_2,96,Q3,103
F25-0934,CIAT-18701,2,207,Genetic_bank,Cajanus cajan,Shrub_Trees,2,94.79,7.06,92.94,23.9,48.14,60.12,9,13.36,15.11,54.17,31.19,Medium,Not High,Category_2,79,Q3,107
F24-3644,CIAT-18708,2,75,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,2,92.86,10.77,89.22,23.89,18.17,42.86,9,15.06,17.16,49.94,59.88,Medium,Not High,Category_2,126,Q1,52
F24-3645,CIAT-18850,2,77,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,93.94,14.28,85.72,23.09,20.43,40.56,9,15.3,15.95,41.53,58.68,Low,Not High,Category_2,38,Q1,64
F24-3646,CIAT-18865,2,79,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,93.43,13.54,86.46,18.24,23.38,41.27,9,14.34,15.09,45.67,51.17,Medium,Not High,Category_2,74,Q3,156
F25-0979,CIAT-18873,2,303,Genetic_bank,Alysicarpus ferrugineus,Herbaceous_legumes,2,95.02,9.34,90.66,15.36,34.52,51.78,7,15.74,16.3,62.93,34.7,High,Not High,Category_4,50,Q4,280
F24-3647,CIAT-19032,2,81,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,92.42,14.73,85.28,23.96,17.66,39.85,9,13.27,15.33,45.7,59.15,Medium,Not High,Category_2,75,Q1,60
F24-3648,CIAT-19119,2,83,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,2,92.5,23.76,76.24,20.28,22.2,41.36,9,14.11,15.47,40.18,56.58,Low,Not High,Category_2,30,Q2,84
F24-3546,CIAT-1964,2,123,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,2,90.29,9.43,90.57,16.9,34.86,79.75,6,13.22,14.24,52.88,40.86,Medium,Not High,Category_2,159,Q4,242
F25-0980,CIAT-19867,2,305,Genetic_bank,Uraria lagopodioides,Herbaceous_legumes,4,95.9,15.46,84.54,19.32,25.83,44.28,6,15.53,16.05,47.81,52.36,Medium,Not High,Category_2,102,Q2,135
F25-1655,CIAT-1992,2,437,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,4,92.47,8.32,91.68,19.95,38.55,60.22,9,12.16,13.57,46.61,49.82,Medium,Not High,Category_2,87,Q3,167
F25-0981,CIAT-20207,2,307,Genetic_bank,Aeschynomene sensitiva,Shrub_Trees,2,90.74,5.98,94.02,21.92,25.34,52.9,8,12.4,13.02,42.6,44.19,Low,Not High,Category_2,38,Q2,70
F24-3650,CIAT-20303,2,85,Genetic_bank,Canavalia brasiliensis,Herbaceous_legumes,2,88.98,16.2,83.8,21.53,12.76,33.06,9,13.51,15.82,52.89,58.61,Medium,Not High,Category_2,160,Q1,65
F25-0949,CIAT-20304,2,237,Genetic_bank,Canavalia brasiliensis,Herbaceous_legumes,2,94.54,12.08,87.92,22.84,20.76,47.58,8,13.52,16.93,47.76,65.02,Medium,High,Category_1b,9,Q1,22
F24-3651,CIAT-20589,2,87,Genetic_bank,Uraria lagopodioides,Herbaceous_legumes,2,92.04,21.08,78.93,20.68,21.06,38.55,9,14.99,16.47,41.75,55.03,Low,Not High,Category_2,41,Q2,105
F25-0982,CIAT-20709,2,309,Genetic_bank,Calopogonium mucunoides,Herbaceous_legumes,2,93.94,9.01,90.99,16.64,33.13,48.82,6,14.98,15.95,61.02,37.16,High,Not High,Category_4,40,Q4,269
F25-0935,CIAT-20891,2,209,Genetic_bank,Cajanus cajan,Shrub_Trees,2,95.25,8.19,91.81,20.08,43.44,53.83,9,12.92,14.44,47.98,29.51,Low,Not High,Category_2,64,Q4,118
F25-0950,CIAT-21603,2,239,Genetic_bank,Lablab purpureus,Herbaceous_legumes,2,94.28,8.46,91.54,18.15,20.07,52.44,8,13.82,15.45,56.99,53.45,High,Not High,Category_4,5,Q2,119
F24-3652,CIAT-21687,2,89,Genetic_bank,Desmanthus virgatus,Shrub_Trees,2,91.86,8.54,91.46,28.43,32.71,47.95,9,12.63,14.66,42.42,45.4,Low,Not High,Category_2,36,Q2,64
F24-3653,CIAT-22048,2,91,Genetic_bank,Aeschynomene americana,Shrub_Trees,2,89.4,10.14,89.85,21.74,16.05,41.36,6,13.2,14.47,44.16,63.48,Low,High,Category_1a,13,Q1,10
