id_lab,id,subset,no,requisitioner,tax_name,functional_group,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h,n_replicates_gas
F25-2581,CIAT-2690,4,395,Genetic_bank,Stylosanthes angustifolia,Herbaceous_legumes,2.12,3.73,8.18,8.11,0.47,0.57,0.34,0.92,33.7,0.89,8
F25-2582,CIAT-4069,4,398,Genetic_bank,Macroptilium atropurpureum,Herbaceous_legumes,1.74,2.12,4.58,9.58,0.68,0.33,0.32,0.78,20.37,0.43,8
F25-2583,CIAT-4141,4,401,Genetic_bank,Vigna radiata,Herbaceous_legumes,5.44,5.11,11.24,8.76,0.45,0.62,0.6,2.64,13.83,2.85,12
F25-2584,CIAT-4532,4,404,Genetic_bank,Vigna unguiculata,Herbaceous_legumes,2.13,2.49,5.36,9.48,0.54,0.52,0.27,0.63,23.83,2.45,8
F25-2585,CIAT-4537,4,407,Genetic_bank,Vigna unguiculata,Herbaceous_legumes,1.94,3.09,6.64,9.11,0.53,0.29,0.2,1.11,15.2,3.7,7
F25-2586,CIAT-7289,4,411,Genetic_bank,Chamaecrista mimosoides,Herbaceous_legumes,1.56,2.92,6.4,7.3,0.43,0.42,0.26,0.97,17.63,1.88,12
F25-2587,CIAT-7826,4,413,Genetic_bank,Tephrosia purpurea,Herbaceous_legumes,1.69,3.95,8.71,6.89,0.52,0.32,0.32,1.1,14.36,0.51,8
F25-2588,CIAT-8014,4,416,Genetic_bank,Crotalaria retusa,Herbaceous_legumes,6.55,5.3,11.65,6.85,0.33,0.59,0.48,2.42,7.96,4.05,13
F25-2589,CIAT-8849,4,419,Genetic_bank,Zornia brasiliensis,Herbaceous_legumes,1.68,2.52,5.57,5.98,0.39,0.34,0.18,0.85,11.38,0.53,8
F25-2590,CIAT-9326,4,422,Genetic_bank,Crotalaria retusa,Herbaceous_legumes,1.75,2.4,5.19,7.88,0.43,0.27,0.27,0.46,11.46,2.46,7
F25-2591,CIAT-9337,4,425,Genetic_bank,Crotalaria retusa,Herbaceous_legumes,1.09,2.99,6.48,9.84,0.53,0.09,0.15,0.81,11.51,1.11,6
F25-2592,CIAT-9350,4,428,Genetic_bank,Crotalaria pumila,Herbaceous_legumes,2.09,0.98,2.11,7.98,0.4,0.25,0.21,0.4,6.92,1.04,8
F25-2593,CIAT-9352,4,431,Genetic_bank,Crotalaria pumila,Herbaceous_legumes,2.12,2.53,5.39,7.16,0.42,0.26,0.22,0.91,9.74,11.82,8
F25-2594,CIAT-9472,4,434,Genetic_bank,Zornia brasiliensis,Herbaceous_legumes,2.12,3.47,7.51,8.85,0.74,0.2,0.18,1.27,19.05,0.21,7
F25-2595,CIAT-9531,4,437,Genetic_bank,Indigofera spicata,Herbaceous_legumes,1.74,2.57,5.59,5.44,0.38,0.19,0.34,0.86,5.91,1.3,7
F25-2596,CIAT-10026,4,440,Genetic_bank,Stylosanthes seabrana,Herbaceous_legumes,1.73,2.73,5.89,9.44,0.57,0.2,0.21,0.83,10.79,4.81,7
