id_lab,id,subset,no,requisitioner,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_nutrition
F24-3442,CIAT-7757,1,23.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,0.1,0.01,0.01,2.13,0.75,1.34,4
F24-3443,CIAT-7759,1,25.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,0.05,0.01,0.01,3.95,0.17,2.12,4
F24-3444,CIAT-7790,1,27.0,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,0.05,0.09,0.09,5.36,0.3,1.85,4
F24-3445,CIAT-7792,1,29.0,Genetic_bank,Chamaecrista rotundifolia,Herbaceous_legumes,0.08,0.01,0.01,3.6,0.72,0.32,4
F24-3446,CIAT-7816,1,31.0,Genetic_bank,Indigofera spicata,Herbaceous_legumes,0.1,0.1,0.1,3.95,0.69,2.22,4
F24-3447,CIAT-7858,1,33.0,Genetic_bank,Crotalaria incana,Herbaceous_legumes,0.1,0.06,0.06,1.61,2.47,1.18,4
F24-3448,CIAT-7972,1,35.0,Genetic_bank,Canavalia brasiliensis,Herbaceous_legumes,0.08,0.39,0.39,2.47,0.78,0.62,4
F24-3449,CIAT-8205,1,37.0,Genetic_bank,Indigofera suffruticosa,Shrub_Trees,0.11,0.12,0.12,1.11,0.32,0.55,4
F24-3450,CIAT-8402,1,39.0,Genetic_bank,Indigofera suffruticosa,Shrub_Trees,0.1,0.07,0.07,1.31,0.37,1.85,4
F24-3451,CIAT-8408,1,41.0,Genetic_bank,Chamaecrista nictitans,Herbaceous_legumes,0.06,0.06,0.06,1.47,0.48,0.17,4
F24-3452,CIAT-8409,1,43.0,Genetic_bank,Chamaecrista nictitans,Herbaceous_legumes,0.05,0.06,0.06,1.93,1.48,0.63,4
F24-3453,CIAT-8719,1,45.0,Genetic_bank,Canavalia sp. ,Herbaceous_legumes,0.11,0.02,0.02,3.26,0.4,1.46,8
F24-3454,CIAT-8797,1,47.0,Genetic_bank,Desmanthus virgatus,Shrub_Trees,0.18,0.06,0.06,2.73,0.12,0.83,4
F24-3455,CIAT-8819,1,49.0,Genetic_bank,Coursetia caribaea,Shrub_Trees,0.14,0.23,0.23,2.18,2.21,9.28,4
F24-3456,CIAT-9170,1,171.0,Genetic_bank,Indigofera lespedezioides,Herbaceous_legumes,0.01,0.08,0.08,1.08,0.41,0.36,2
