id_lab,id,subset,no,requisitioner,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_nutrition
F24-3443,CIAT-7759,1,25.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,93.55,5.87,94.13,18.44,14.68,60.81,4
F24-3444,CIAT-7790,1,27.0,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,92.13,5.86,94.14,24.76,20.08,67.6,4
F24-3445,CIAT-7792,1,29.0,Genetic_bank,Chamaecrista rotundifolia,Herbaceous_legumes,92.91,8.06,91.94,21.83,23.49,63.97,4
F24-3446,CIAT-7816,1,31.0,Genetic_bank,Indigofera spicata,Herbaceous_legumes,92.5,17.6,82.4,26.04,23.11,54.74,4
F24-3447,CIAT-7858,1,33.0,Genetic_bank,Crotalaria incana,Herbaceous_legumes,93.18,9.16,90.84,30.23,23.57,60.74,4
F24-3448,CIAT-7972,1,35.0,Genetic_bank,Canavalia brasiliensis,Herbaceous_legumes,91.92,17.83,82.17,27.77,23.86,56.09,4
F24-3449,CIAT-8205,1,37.0,Genetic_bank,Indigofera suffruticosa,Shrub_Trees,92.21,14.65,85.35,24.78,26.76,51.2,4
F24-3450,CIAT-8402,1,39.0,Genetic_bank,Indigofera suffruticosa,Shrub_Trees,92.0,17.72,82.28,26.24,18.99,47.9,4
F24-3451,CIAT-8408,1,41.0,Genetic_bank,Chamaecrista nictitans,Herbaceous_legumes,94.03,6.87,93.13,24.12,38.38,58.64,4
F24-3452,CIAT-8409,1,43.0,Genetic_bank,Chamaecrista nictitans,Herbaceous_legumes,91.94,7.66,92.34,26.82,38.02,61.85,4
F24-3453,CIAT-8719,1,45.0,Genetic_bank,Canavalia sp. ,Herbaceous_legumes,93.52,17.12,82.88,22.04,15.95,40.19,8
F24-3454,CIAT-8797,1,47.0,Genetic_bank,Desmanthus virgatus,Shrub_Trees,92.9,7.05,92.95,24.5,30.23,59.98,4
F24-3455,CIAT-8819,1,49.0,Genetic_bank,Coursetia caribaea,Shrub_Trees,91.77,13.95,86.05,22.92,19.59,43.99,4
F24-3456,CIAT-9170,1,171.0,Genetic_bank,Indigofera lespedezioides,Herbaceous_legumes,93.09,15.38,84.62,20.75,41.99,54.57,2
F24-3457,CIAT-9254,1,173.0,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,90.83,6.64,93.36,24.65,20.58,55.34,2
F24-3458,CIAT-9283,1,175.0,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,92.8,8.19,91.81,25.56,15.01,54.16,2
F24-3459,CIAT-9288,1,177.0,Genetic_bank,Indigofera suffruticosa,Shrub_Trees,93.76,11.91,88.09,27.58,16.46,52.41,2
F24-3460,CIAT-9336,1,179.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,90.39,8.11,91.89,31.66,19.15,48.61,2
F24-3461,CIAT-9349,1,181.0,Genetic_bank,Mucuna pruriens,Herbaceous_legumes,91.42,8.63,91.37,30.38,27.8,55.56,2
F24-3462,CIAT-9356,1,183.0,Genetic_bank,Tephrosia noctiflora,Shrub_Trees,93.03,8.36,91.64,30.62,20.6,55.98,2
