gene_bank_breeding_id,tax_name,functional_group,ch4_percentage_8h,ch4_percentage_24h,ch4_intensity_ml_g_tddm,tddm_mg_g,ch4_intensity_decrease_percentage,benchmark_vs_control,ch4_intensity_category,tddm_category,score_ch4_intensity,score_tddm,composite_score,x,overall_rank,selected,ch4_percentage_8h_reduction_percentage,ch4_percentage_24h_reduction,top_10_percentage_of_methane_emitters
Gene bank / Breeding ID,Tax Name,"Functional 
Group",CH4% (8h),CH4% (24h),"CH4 Intensity 
[ml/g TDDM]",TDDM [mg/g],CH4 Intensity  Decrease%,Benchmark vs. Control,"CH4 Intensity 
Category","TDDM 
Category","Score
CH4 Intensity","Score
TDDM","Composite 
Score",,"Overall 
Rank",Selected,"CH4% (8h)
Reduction%","CH4% (24h)
Reduction%",Top 10% of methane emitters
CIAT-13301,Desmodium sequax,Herbaceous legume,13.2,14.14448117,34.7881529,52.57905626,0.5,,Low,Not High,0,0,0,-99,0,0,0.056,0.097,CIAT-3187
CIAT-13389,Desmodium sequax,Herbaceous legume,12.85714286,14.40299974,49.56558831,42.13162819,0.28,,Medium,Not High,0,0,0,-99,0,0,0.081,0.08,CIAT-32379
CIAT-13575,Desmodium incanum,Herbaceous legume,13.6,16.22765565,42.43278646,42.85033336,0.39,,Low,Not High,0,0,0,-99,0,0,0.027,-0.036,CIAT-33114
CIAT-13609,Desmodium incanum,Herbaceous legume,13.65555556,16.31007432,46.38743434,38.40313447,0.33,,Medium,Not High,0,0,0,-99,0,0,0.023,-0.042,CIAT-33729
CIAT-13651,Desmodium heterocarpon,Herbaceous legume,12.98571429,14.53389491,67.17064882,36.12205293,0.03,,High,Not High,0,0,0,-99,0,0,0.071,0.072,CIAT-33827
CIAT-13692,Desmodium velutinum,Shrub,13.57777778,15.30963118,45.77565573,48.40187974,0.34,,Medium,Not High,0,0,0,-99,0,0,0.029,0.022,CIAT-350
CIAT-15121,Centrosema macrocarpum,Climber,13.6,15.39584797,43.27789324,51.01353978,0.37,,Low,Not High,0,0,0,-99,0,0,0.027,0.017,CIAT-4028
CIAT-15150,Centrosema molle,Climber,14.625,17.36299726,45.93246131,60.23814968,0.34,,Medium,High,0,0,0,-99,0,0,-0.046,-0.109,CIAT-5512
CIAT-15154,Centrosema molle,Climber,14,16.05586855,38.16587888,61.94677938,0.45,,Low,High,0.956,1.18,3.092,3.092,37,1,-0.001,-0.025,CIAT-7131
CIAT-15160,Centrosema molle,Climber,12.63333333,14.0434111,60.49826975,42.24405669,0.13,,High,Not High,0,0,0,-99,0,0,0.097,0.103,CIAT-7894
CIAT-15401,Centrosema brasilianum,Climber,13.7,14.29085867,41.61940177,44.31351189,0.4,,Low,Not High,0,0,0,-99,0,0,0.02,0.087,CIAT-8013
CIAT-15470,Centrosema molle,Climber,13.31428571,14.39388023,50.24145575,38.98741696,0.27,,Medium,Not High,0,0,0,-99,0,0,0.048,0.081,CIAT-8156
CIAT-15474,Centrosema molle,Climber,14.02222222,14.87009771,46.85856482,45.0101317,0.32,,Medium,Not High,0,0,0,-99,0,0,-0.003,0.05,CIAT-8512
CIAT-15551,Centrosema molle,Climber,14.78888889,17.4926182,50.02881514,49.71902488,0.28,,Medium,Not High,0,0,0,-99,0,0,-0.058,-0.117,CIAT-923
CIAT-15561,Centrosema molle,Climber,13.58,16.04183987,51.75623603,49.92254524,0.25,,Medium,Not High,0,0,0,-99,0,0,0.029,-0.024,CIAT-9537
CIAT-15799,Centrosema macrocarpum,Climber,13.76666667,16.25901912,48.35160629,60.82643799,0.3,,Medium,High,0,0,0,-99,0,0,0.015,-0.038,CIAT-BH16B_1707
CIAT-15816,Centrosema acutifolium,Climber,13.38333333,15.3095804,42.51671563,61.84951203,0.39,,Low,High,0.523,1.17,2.216,2.216,50,1,0.043,0.022,CIAT-BH22_0456
CIAT-1650,Stylosanthes guianensis,Herbaceous legume,14.33333333,15.91491865,48.10579523,47.34099319,0.3,,Medium,Not High,0,0,0,-99,0,0,-0.025,-0.016,CIAT-BH22_1258
CIAT-17000,Chamaecrista rotundifolia,Herbaceous legume,12.42857143,13.81173159,54.39977553,42.26243466,0.21,,Medium,Not High,0,0,0,-99,0,0,0.111,0.118,CIAT-BH22_1267
CIAT-17009,Canavalia brasiliensis,Climber,12.76666667,14.19438157,47.68616323,48.65778627,0.31,,Medium,Not High,0,0,0,-99,0,0,0.087,0.094,CIAT-BH22_1370
CIAT-17024,Desmanthus pernambucanus,Shrub,14.16666667,16.84477229,46.29247607,40.13920631,0.33,,Medium,Not High,0,0,0,-99,0,0,-0.013,-0.076,CIAT-BH22_1706
