subset,no,requisitioner,id_lab,id,tax_order,family,genus,species,tax_name,functional_group,set_ciat,batch,run,replication,syrange,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,ch4_ml_g_ndf_digested_24h,methane_intensity,tddm
1,467,Breeding,F24-3583,ABC-BR-02-1794,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,3,59.0,38.86654671,73.60306188,5.208117258,10.41859453,13.4,14.15511022,151.6579511,113.3385986,33.97853795,63.17914612
1,468,Breeding,F24-3584,ABC-BR-06-0423,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,1,60.0,33.99900955,70.50553824,4.895857375,10.26231709,14.4,14.55533473,145.6366745,87.03367166,31.64262565,66.99161346
1,469,Breeding,F24-3584,ABC-BR-06-0423,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,2,61.0,35.32651968,74.48806864,5.016365795,10.96892124,14.2,14.72574257,153.7708067,104.987294,35.26874445,64.20385389
1,470,Breeding,F24-3584,ABC-BR-06-0423,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,3,62.0,34.8840163,72.27555175,4.918646299,10.60215969,14.1,14.66908163,149.2331679,137.2926819,37.36932239,58.58049817
1,471,Breeding,F24-3585,ABC-BR-09-1232,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,1,63.0,40.63656022,78.02809566,5.445299069,10.90446324,13.4,13.97504726,160.3321453,115.0662745,35.1116572,63.81496877
1,472,Breeding,F24-3585,ABC-BR-09-1232,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,2,64.0,,,,,13.3,,,,,
1,473,Breeding,F24-3585,ABC-BR-09-1232,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,3,65.0,38.86654671,76.70058553,5.208117258,10.69405289,13.4,13.94259615,157.6043772,95.68183371,32.64708459,67.30812908
1,474,Breeding,F24-3586,ABC-BR-12-4951,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,1,66.0,36.21152644,74.04556526,5.105825228,10.93226721,14.1,14.76424303,154.5165964,93.84131606,33.8242631,67.44627588
1,475,Breeding,F24-3586,ABC-BR-12-4951,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,2,67.0,36.65402981,75.37307539,5.131564174,10.97814006,14,14.56506849,157.4126185,98.47667494,34.51975414,66.4177839
1,476,Breeding,F24-3586,ABC-BR-12-4951,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,3,68.0,35.76902306,73.1605585,5.007663228,10.72856815,14,14.66441532,152.700294,104.0165129,34.62927419,64.66380205
1,477,Breeding,F24-3587,ABC-BR-15-0722,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,1,69.0,33.11400279,70.06303486,4.536618382,9.968126096,13.7,14.22736842,147.0202793,98.16363714,34.23666437,61.09566215
1,478,Breeding,F24-3587,ABC-BR-15-0722,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,2,70.0,32.22899603,70.06303486,4.479830449,10.00360012,13.9,14.278,147.0790522,94.88259487,33.91474983,61.91980533
1,479,Breeding,F24-3587,ABC-BR-15-0722,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,3,71.0,25.59144536,62.09797405,3.582802351,8.985768597,14,14.47030879,130.4367013,84.24735557,30.34938377,62.191027
1,480,Breeding,F24-3588,ABC-BR-15-6487,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,1,72.0,33.99900955,70.50553824,4.691863317,9.985309977,13.8,14.1624477,148.2048572,104.9646287,34.82474881,60.271606
1,481,Breeding,F24-3588,ABC-BR-15-6487,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,2,73.0,30.9014859,68.29302135,4.388010998,9.735000566,14.2,14.25475162,143.6401924,90.93041405,32.60814378,62.79275753
1,482,Breeding,F24-3588,ABC-BR-15-6487,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,3,74.0,33.99900955,71.39054499,4.691863317,10.07624442,13.8,14.1142562,150.1852214,122.2798982,36.79475779,57.61018197
1,485,Breeding,F24-3589,ABC-BR-19-0029,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,1,77.0,37.98153995,75.37307539,5.127507893,10.96058742,13.5,14.54178082,156.9121863,103.427173,35.84797172,63.65165202
1,486,Breeding,F24-3589,ABC-BR-19-0029,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,2,78.0,37.53903657,74.48806864,5.067769937,10.75792088,13.5,14.44247525,155.0077701,109.6782388,36.10717931,62.00140596
1,487,Breeding,F24-3589,ABC-BR-19-0029,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,3,79.0,37.98153995,76.70058553,5.089526353,11.09097842,13.4,14.46009615,159.580058,108.0546481,36.65952383,62.94525246
1,488,Breeding,F24-3590,ABC-BR-19-0423,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,1,80.0,38.86654671,75.81557877,5.169250712,10.52686036,13.3,13.8848249,158.9698628,93.0344655,34.22056762,64.50123021
1,489,Breeding,F24-3590,ABC-BR-19-0423,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,2,81.0,38.42404333,74.04556526,5.187245849,10.38798805,13.5,14.02918327,155.3206076,78.73435019,31.83303946,68.45156183
1,490,Breeding,F24-3590,ABC-BR-19-0423,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,3,82.0,38.42404333,75.37307539,5.225669892,10.65717761,13.6,14.13923679,158.0104337,77.3343153,32.06967106,69.66541482
1,491,Breeding,F24-3591,ABC-CIAT-6962,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,10,1,1,83.0,30.45898252,66.52300783,4.386093483,10.26452961,14.4,15.43004435,138.9034372,92.92063023,38.65887286,55.44099032
1,492,Breeding,F24-3591,ABC-CIAT-6962,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,10,1,2,84.0,40.63656022,74.93057202,5.892301232,11.68798923,14.5,15.5984252,156.4275938,111.3881279,44.95186545,54.28082008
1,493,Breeding,F24-3591,ABC-CIAT-6962,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,10,1,3,85.0,29.57397577,66.96551121,4.288226486,10.34565523,14.5,15.44922907,139.8833266,95.40785664,39.27377031,55.02628192
1,494,Breeding,F24-3592,ABC-Mulato-II,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,1,86.0,35.32651968,73.60306188,4.839733196,10.42810836,13.7,14.16803607,152.2000623,86.86393125,32.96965151,65.40487614
1,495,Breeding,F24-3592,ABC-Mulato-II,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,2,87.0,35.32651968,71.39054499,4.804406677,10.1058184,13.6,14.15568182,147.6249101,86.63287813,32.29788076,64.70180727
1,496,Breeding,F24-3592,ABC-Mulato-II,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,10,1,3,88.0,33.99900955,69.62053148,4.725862327,9.890983007,13.9,14.20699153,143.90726,63.9919931,28.18847469,72.52926048
1,497,Breeding,F24-3593,ABC-PM-21-0215,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,10,1,1,89.0,32.67149941,69.1780281,4.770038914,11.04916185,14.6,15.97206823,143.9247778,103.4858472,40.3468988,56.97529278
1,498,Breeding,F24-3593,ABC-PM-21-0215,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,10,1,2,90.0,33.11400279,69.62053148,4.834644407,11.15027387,14.6,16.0157839,144.9032973,129.7380596,44.0788451,52.64974365
1,499,Breeding,F24-3593,ABC-PM-21-0215,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,10,1,3,91.0,33.99900955,69.1780281,4.895857375,10.91146955,14.4,15.77302772,144.0110809,102.1846639,39.85691873,56.99112835
1,500,Breeding,F24-3594,ABC-PM-21-0631,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,10,1,1,92.0,39.30905008,69.62053148,5.424648911,10.75946964,13.8,15.45444915,143.7930437,150.5654889,42.82005073,51.8972361
1,501,Breeding,F24-3594,ABC-PM-21-0631,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,10,1,2,93.0,38.86654671,72.27555175,5.363583445,11.17675032,13.8,15.46408163,149.2468393,125.1298091,41.52323875,55.58249732
1,502,Breeding,F24-3594,ABC-PM-21-0631,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,10,1,3,94.0,40.63656022,76.25808215,5.485935629,11.6128374,13.5,15.22833656,157.4077194,116.661587,41.55424055,57.68503276
1,503,Breeding,F24-3595,ABC-PM-21-2195,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,10,1,1,95.0,34.8840163,69.1780281,4.953530315,10.68063029,14.2,15.43933902,142.8168204,128.1756683,44.86096867,49.15179886
1,504,Breeding,F24-3595,ABC-PM-21-2195,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,10,1,2,96.0,34.8840163,68.29302135,4.883762282,10.42965712,14,15.27192225,140.9897396,98.83301872,40.07046346,53.73494975
1,505,Breeding,F24-3595,ABC-PM-21-2195,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,10,1,3,97.0,35.32651968,69.1780281,4.910386236,10.46203362,13.9,15.12334755,142.8168204,122.7533882,43.59490976,49.54405051
1,506,Breeding,F24-3596,ABC-PM-21-3522,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,10,1,1,98.0,38.42404333,72.71805513,5.417790109,11.24777211,14.1,15.46764706,150.8131393,99.15237401,39.66443871,58.81148168
1,507,Breeding,F24-3596,ABC-PM-21-3522,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,10,1,2,99.0,37.53903657,70.50553824,5.180387047,10.71875933,13.8,15.20271967,146.078455,96.08821429,38.02930056,58.39680897
1,508,Breeding,F24-3596,ABC-PM-21-3522,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,10,1,3,100.0,40.19405684,73.1605585,5.707556071,11.24592835,14.2,15.37157258,151.6702103,116.4608159,42.15652194,55.30365265
1,516,Breeding,F24-3582,ABC-BR-02-1752,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,1,54.0,37.6865377,77.17996419,5.125369127,10.73343569,13.6,13.90702341,160.6526808,86.48540391,31.72615579,70.421409
1,517,Breeding,F24-3582,ABC-BR-02-1752,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,2,55.0,37.6865377,78.06497094,5.163055664,10.93717162,13.7,14.01034483,162.462379,97.51391398,33.50735545,67.92997896
1,518,Breeding,F24-3582,ABC-BR-02-1752,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,3,56.0,38.57154445,78.9499777,5.130015412,10.9445098,13.3,13.86258758,164.2385392,99.70716576,33.76860396,67.42272008
1,519,Breeding,F24-3583,ABC-BR-02-1794,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,1,57.0,39.89905459,79.39248108,5.266675206,10.95372862,13.2,13.79693451,163.4235674,107.8175159,34.60805932,65.15084352
1,520,Breeding,F24-3583,ABC-BR-02-1794,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,2,58.0,39.45655121,78.9499777,5.129351657,10.81640507,13,13.70032695,162.6751871,119.4859349,35.43773591,62.89067832
1,521,Breeding,F24-3583,ABC-BR-02-1794,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,3,59.0,39.89905459,79.39248108,5.226776151,10.91382957,13.1,13.74667905,163.4562195,122.7086985,35.9230909,62.54974536
1,522,Breeding,F24-3584,ABC-BR-06-0423,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,1,60.0,28.83647014,66.11737974,3.950596409,9.39360921,13.7,14.20747351,136.5451746,95.8849134,30.85778789,62.86782311
1,523,Breeding,F24-3584,ABC-BR-06-0423,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,2,61.0,35.47402081,78.06497094,5.072784975,11.33365465,14.3,14.51823335,161.2192608,118.0988332,37.47701429,62.45478444
1,524,Breeding,F24-3584,ABC-BR-06-0423,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,3,62.0,35.47402081,79.39248108,0.212844125,6.668857785,0.6,8.39986066,164.0591828,58.14122783,20.77358438,66.33781875
1,525,Breeding,F24-3585,ABC-BR-09-1232,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,1,63.0,40.34155797,83.81751486,5.325085651,11.45519557,13.2,13.66682798,172.262663,97.9807748,34.43430835,68.37030555
1,526,Breeding,F24-3585,ABC-BR-09-1232,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,2,64.0,39.89905459,82.49000472,5.266675206,11.14422632,13.2,13.5097899,169.5343499,96.97994797,33.70215233,67.95926339
1,527,Breeding,F24-3585,ABC-BR-09-1232,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,3,65.0,40.34155797,80.71999121,5.244402535,10.89738319,13,13.50022841,165.962931,116.544009,35.24680813,63.56710285
1,528,Breeding,F24-3586,ABC-BR-12-4951,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,1,66.0,30.60648365,70.98491689,4.407333645,10.26220647,14.4,14.45688312,148.2778349,101.0804342,33.31570269,64.34309213
1,529,Breeding,F24-3586,ABC-BR-12-4951,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,2,67.0,36.35902756,78.50747432,4.908468721,11.14643884,13.5,14.1979333,163.9586423,103.6110855,35.48410259,65.60328985
1,530,Breeding,F24-3586,ABC-BR-12-4951,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,3,68.0,35.91652418,72.31242703,4.920563813,10.30715743,13.7,14.2536461,150.9904268,96.65916454,32.90702197,65.40136357
