subset,no,requisitioner,id_lab,id,tax_order,family,genus,species,tax_name,functional_group,set_ciat,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm
3,31,Genetic bank,F25-1660,CIAT-7799,Fabales,Fabaceae,Dioclea,guianensis,Dioclea guianensis,Herbaceous_legumes,23,93.39198241,7.818936959,92.18106304,20.9527222,52.63036648,65.46390562
3,32,Genetic bank,F25-1660,CIAT-7799,Fabales,Fabaceae,Dioclea,guianensis,Dioclea guianensis,Herbaceous_legumes,23,93.53387967,7.720355565,92.27964444,19.80206186,53.20924133,65.03028307
3,33,Genetic bank,F25-1661,CIAT-7803,Fabales,Fabaceae,Dioclea,holtiana,Dioclea holtiana,Herbaceous_legumes,23,94.21289355,11.443454,88.556546,20.26242214,42.34795436,57.90467215
3,34,Genetic bank,F25-1661,CIAT-7803,Fabales,Fabaceae,Dioclea,holtiana,Dioclea holtiana,Herbaceous_legumes,23,94.27229108,11.46581123,88.53418877,20.3519669,39.68333463,58.57238508
3,35,Genetic bank,F25-1662,CIAT-8182,Fabales,Fabaceae,Eriosema,diffusum,Eriosema diffusum,Herbaceous_legumes,23,93.16478465,7.26000462,92.73999538,13.82686494,47.43167711,63.34230175
3,36,Genetic bank,F25-1662,CIAT-8182,Fabales,Fabaceae,Eriosema,diffusum,Eriosema diffusum,Herbaceous_legumes,23,93.48130374,7.37076714,92.62923286,13.82686494,46.55769802,63.37780974
3,37,Genetic bank,F25-1663,CIAT-8434,Fabales,Fabaceae,Dioclea,sericea,Dioclea sericea,Herbaceous_legumes,23,93.49195241,8.41315038,91.58684962,18.04924226,45.53654535,63.32727069
3,38,Genetic bank,F25-1663,CIAT-8434,Fabales,Fabaceae,Dioclea,sericea,Dioclea sericea,Herbaceous_legumes,23,93.54,8.319434086,91.68056591,18.04924226,47.40185878,61.49264118
3,39,Genetic bank,F25-1664,CIAT-8702,Fabales,Fabaceae,Calopogonium,caeruleum,Calopogonium caeruleum,Herbaceous_legumes,23,92.91495953,8.670523453,91.32947655,23.9176173,31.95085835,50.63369361
3,40,Genetic bank,F25-1664,CIAT-8702,Fabales,Fabaceae,Calopogonium,caeruleum,Calopogonium caeruleum,Herbaceous_legumes,23,93.1027589,8.683870935,91.31612906,23.9176173,30.82732663,51.35503515
3,41,Genetic bank,F25-1665,CIAT-8816,Fabales,Fabaceae,Crotalaria,micans,Crotalaria micans,Herbaceous_legumes,23,93.40065993,9.319961125,90.68003887,25.37682176,21.39620134,41.25203665
3,42,Genetic bank,F25-1665,CIAT-8816,Fabales,Fabaceae,Crotalaria,micans,Crotalaria micans,Herbaceous_legumes,23,93.49130174,9.265533166,90.73446683,25.37682176,20.83102622,42.18096301
3,43,Genetic bank,F25-1666,CIAT-8826,Fabales,Fabaceae,Zapoteca,formosa,Zapoteca formosa,Shrub_Trees,23,93.62063794,9.560776092,90.43922391,17.79474143,12.29338578,37.82826716
3,44,Genetic bank,F25-1666,CIAT-8826,Fabales,Fabaceae,Zapoteca,formosa,Zapoteca formosa,Shrub_Trees,23,93.79310345,9.482289992,90.51771001,17.79474143,10.08313569,39.40247468
