id_lab,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
F25-2629,CIAT 20692,Clitoria ternatea ,Herbaceous_legumes,14.62,15.61,53.69,53.12
F25-2634,CIAT 712,Clitoria ternatea ,Herbaceous_legumes,14.51,15.75,60.02,51.87
F25-2633,CIAT 712,Clitoria ternatea ,Herbaceous_legumes,14.45,15.49,51.23,54.46
F25-2636,CIAT 9432,Clitoria ternatea ,Herbaceous_legumes,15.41,16.53,61.58,49.83
F25-2635,CIAT 9432,Clitoria ternatea ,Herbaceous_legumes,15.09,15.89,59.15,46.43
F25-1670,CIAT-13158,Desmodium strigillosum,Herbaceous_legumes,12.54,13.4,36.32,48.82
F25-1671,CIAT-13329,Desmodium cajanifolium,Shrub_Trees,12.79,13.44,38.88,62.48
F25-1672,CIAT-13387,Desmodium sequax,Shrub_Trees,11.42,12.77,37.58,23.45
F25-1673,CIAT-13547,Codariocalyx gyroides,Shrub_Trees,11.87,13.5,43.63,33.02
F25-1674,CIAT-13953,Desmodium velutinum,Shrub_Trees,13.43,15.24,40.68,59.37
F25-1675,CIAT-15086,Centrosema acutifolium,Herbaceous_legumes,13.18,14.43,45.6,54.01
F25-1676,CIAT-17403,Flemingia macrophylla,Shrub_Trees,12.22,12.51,43.13,24.99
F25-1677,CIAT-17519,Mimosa somnians,Herbaceous_legumes,9.57,9.77,21.6,49.51
F25-1678,CIAT-17896,Chamaecrista desvauxii,Herbaceous_legumes,9.71,11.54,27.97,37.42
F25-1679,CIAT-18123,Dioclea virgata,Herbaceous_legumes,11.3,13.4,40.83,38.27
F25-1680,CIAT-18126,Dioclea virgata,Herbaceous_legumes,11.87,13.69,43.02,43.69
F25-1681,CIAT-18127,Dioclea virgata,Herbaceous_legumes,11.99,13.57,43.53,42.01
F25-1682,CIAT-18668,Cratylia argentea,Shrub_Trees,14.24,16.66,47.26,53.02
F25-1683,CIAT-19228,Eriosema psoraleoides,Herbaceous_legumes,12.02,13.3,41.79,36.13
F25-1684,CIAT-19537,Crotalaria verrucosa,Herbaceous_legumes,13.38,14.49,47.07,62.52
F25-1655,CIAT-1992,Stylosanthes guianensis,Herbaceous_legumes,11.7,12.94,46.23,45.78
F25-1685,CIAT-20208,Aeschynomene sensitiva,Herbaceous_legumes,12.97,14.42,46.88,61.03
F25-1686,CIAT-20345,Pachyrhizus erosus,Herbaceous_legumes,13.47,14.01,40.32,64.42
F25-1687,CIAT-20927,Mimosa albida,Herbaceous_legumes,11.49,12.64,40.98,30.56
F25-1688,CIAT-21849,Chamaecrista desvauxii,Herbaceous_legumes,10.79,12.38,41.17,37.13
F25-1689,CIAT-22072,Bauhinia sp.,Shrub_Trees,13.92,15.91,49.67,57.81
F25-1690,CIAT-22409,Cratylia argentea,Shrub_Trees,14.69,16.5,57.24,43.43
F25-1691,CIAT-22692,Lablab purpureus,Herbaceous_legumes,14.09,15.64,56.38,59.54
F25-1693,CIAT-23746,Codariocalyx gyroides,Shrub_Trees,11.6,13.4,50.62,31.72
F25-1694,CIAT-23985,Desmodium velutinum,Shrub_Trees,14.68,15.78,45.87,50.91
F25-1656,CIAT-3001,Codariocalyx gyroides,Shrub_Trees,12.41,13.88,47.11,35.63
F25-1695,CIAT-32265,Chamaecrista diphylla,Herbaceous_legumes,9.59,13.65,49.52,48.44
F25-1657,CIAT-3304,Desmodium cajanifolium,Shrub_Trees,13.25,14.41,51.13,52.12
F25-1696,CIAT-33070,Desmodium oblongum,Shrub_Trees,11.83,13.16,47.69,41.3
F25-1697,CIAT-33079,Desmodium oblongum,Shrub_Trees,14.23,15.79,47.0,55.27
F25-1698,CIAT-33131,Codariocalyx gyroides,Shrub_Trees,11.54,12.5,39.36,34.63
F25-1699,CIAT-33195,Dalea carthagenensis,Herbaceous_legumes,12.86,15.82,57.8,50.65
F25-1700,CIAT-43055,Desmodium discolor,Herbaceous_legumes,14.99,15.61,45.85,59.08
F25-1658,CIAT-5713,Centrosema macrocarpum,Herbaceous_legumes,13.63,15.1,61.0,42.14
F25-1659,CIAT-7381,Galactia glaucescens,Herbaceous_legumes,12.52,14.47,80.11,26.47
F25-1660,CIAT-7799,Dioclea guianensis,Herbaceous_legumes,12.23,13.32,79.66,18.89
F25-1661,CIAT-7803,Dioclea holtiana,Herbaceous_legumes,11.48,12.66,60.27,27.84
F25-1651,CIAT-798,Galactia striata,Herbaceous_legumes,12.67,14.65,52.14,53.65
F25-1662,CIAT-8182,Eriosema diffusum,Herbaceous_legumes,13.09,14.47,95.78,22.41
