id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
21930,Macroptilium  atropurpureum,Herbaceous_legumes,11.57,17.6,51.68,51.72
22068,Macroptilium lathyroides,Herbaceous_legumes,7.43,16.5,42.22,75.53
22069,Macroptilium lathyroides,Herbaceous_legumes,8.97,17.15,45.05,70.17
22070,Macroptilium lathyroides,Herbaceous_legumes,7.57,16.3,39.41,70.32
22071,Macroptilium lathyroides,Herbaceous_legumes,8.97,16.63,48.06,69.45
22210,Neonotonia wightii,Herbaceous_legumes,10.18,17.08,45.24,71.18
22221,Neonotonia wightii    ,Herbaceous_legumes,11.28,17.8,54.83,61.06
22295,Neonotonia  wightii,Herbaceous_legumes,10.05,16.32,44.6,64.18
22353,Neonotonia wightii    ,Herbaceous_legumes,10.87,18.47,55.63,62.2
22394,Neonotonia wightii var. longicauda,Herbaceous_legumes,8.17,17.52,38.27,73.88
22396,Neonotonia wightii var. longicauda,Herbaceous_legumes,9.32,18.5,48.54,61.17
22397,Neonotonia wightii    ,Herbaceous_legumes,9.2,17.08,44.18,75.13
22416,Neonotonia wightii    ,Herbaceous_legumes,9.52,16.98,43.33,74.72
22965,Psoralea sp.,Herbaceous_legumes,10.28,18.72,53.1,67.74
23043,Neustanthus phaseoloides    ,Herbaceous_legumes,8.85,14.12,37.86,47.39
23046,Neustanthus  phaseoloides,Herbaceous_legumes,10.85,17.9,48.19,58.5
23654,Sesbania grandiflora,Shrub_Trees,4.58,10.05,22.0,73.98
23658,Sesbania grandiflora,Shrub_Trees,5.43,11.65,23.86,82.12
24139,Teramnus labialis,Herbaceous_legumes,10.03,18.45,46.44,70.24
24140,Teramnus labialis,Herbaceous_legumes,10.8,17.9,48.97,60.72
24145,Teramnus labialis,Herbaceous_legumes,10.92,18.98,50.28,74.62
24148,Teramnus labialis,Herbaceous_legumes,11.27,17.78,47.63,63.93
24175,Teramnus labialis,Herbaceous_legumes,10.12,16.7,43.4,65.85
24234,Teramnus micans,Herbaceous_legumes,9.58,17.08,36.47,54.52
24268,Teramnus sp.,Herbaceous_legumes,9.37,18.8,32.59,73.19
24282,Teramnus   uncinatus,Herbaceous_legumes,11.4,16.73,48.66,57.03
24287,Teramnus   uncinatus,Herbaceous_legumes,11.2,16.67,45.75,60.32
24309,Teramnus uncinatus subsp. axilliflorus,Herbaceous_legumes,10.42,17.23,33.73,68.58
24628,Chamaecrista nictitans subsp. patellaria,Herbaceous_legumes,9.27,16.57,36.64,57.96
24727,Clitoria ternatea,Herbaceous_legumes,7.0,19.07,36.43,70.44
24747,Lablab purpureus,Herbaceous_legumes,6.2,14.77,35.8,65.28
24800,Lablab purprues subsp. Uncinatus,Herbaceous_legumes,5.92,17.42,45.3,60.75
24874,Vigna luteola    ,Herbaceous_legumes,9.98,16.66,47.98,71.98
24877,Vigna luteola,Herbaceous_legumes,9.22,17.0,47.47,73.8
24881,Vigna luteola,Herbaceous_legumes,10.53,17.05,47.71,70.95
24931,Vigna parkeri,Herbaceous_legumes,8.4,18.08,45.55,75.38
24986,Vigna sp.,Herbaceous_legumes,10.18,17.72,37.8,68.36
25335,Vigna unguiculata,Herbaceous_legumes,9.67,14.48,40.39,64.46
ABC sample,cynodon Nlemfuensis,Grass,10.08,14.88,46.82,50.69
AF3583,Medicago sativa    ,Herbaceous_legumes,11.23,19.27,63.97,58.9
BAGCE 100,Cenchrus purpureus,Grass,5.59,11.53,14.38,51.0
BAGCE 30,Cenchrus purpureus,Grass,6.19,15.81,30.12,65.27
BAGCE 34,Cenchrus purpureus,Grass,5.64,15.29,27.38,64.06
BAGCE 81,Cenchrus purpureus,Grass,7.28,16.56,32.02,66.73
CNPGL-91-25-1,Cenchrus purpures,Grass,10.8,17.47,43.94,58.82
CNPGL-93-08-1,Cenchrus purpures,Grass,10.77,16.18,49.41,59.58
Doli-I/11640,Lablab purpures,Herbaceous_legumes,9.38,15.78,41.15,62.52
Doli-II/147,Lablab purpures,Herbaceous_legumes,9.59,16.37,42.43,66.2
internal control 2,Wheat bran,,8.88,15.37,45.29,69.09
internal control1,wheat straw,,9.29,12.99,40.63,45.64
