subset,no,requisitioner,id_lab,id,tax_order,family,genus,species,tax_name,functional_group,set_ciat,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm
1,11,Genetic bank,F24-3421,CIAT-772,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,91.48085191,6.153677998,93.846322,18.97317122,16.19061161,68.96562435
1,12,Genetic bank,F24-3421,CIAT-772,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,91.49085091,6.207650273,93.79234973,18.97317122,17.2935295,65.87084445
1,13,Genetic bank,F24-3422,CIAT-819,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,1,90.75,17.06887052,82.93112948,26.78170271,25.19997454,52.93970501
1,14,Genetic bank,F24-3422,CIAT-819,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,1,90.76,17.04495372,82.95504628,26.78170271,26.97372917,53.16123389
1,15,Genetic bank,F24-3423,CIAT-905,Fabales,Fabaceae,Canavalia,brasiliensis,Canavalia brasiliensis,Herbaceous_legumes,1,91.85,14.61077844,85.38922156,24.61245901,16.6837954,37.10603201
1,16,Genetic bank,F24-3423,CIAT-905,Fabales,Fabaceae,Canavalia,brasiliensis,Canavalia brasiliensis,Herbaceous_legumes,1,91.91161768,14.4566518,85.5433482,24.61245901,17.47960642,36.0165929
1,17,Genetic bank,F24-3424,CIAT-913,Fabales,Fabaceae,Cajanus,cajan,Cajanus cajan,Shrub_Trees,1,94.74,9.193582436,90.80641756,25.17714256,39.66617808,59.68853241
1,18,Genetic bank,F24-3424,CIAT-913,Fabales,Fabaceae,Cajanus,cajan,Cajanus cajan,Shrub_Trees,1,94.80155953,9.216492671,90.78350733,25.17714256,41.1819606,62.03477938
1,19,Genetic bank,F24-3425,CIAT-955,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,91.80081992,5.674763098,94.3252369,22.01184157,21.79751615,62.34385176
1,20,Genetic bank,F24-3425,CIAT-955,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,91.83,5.71708592,94.28291408,22.01184157,21.29660663,61.00237303
1,21,Genetic bank,F24-3441,CIAT-7714,Fabales,Fabaceae,Alysicarpus,glumaceus,Alysicarpus glumaceus,Herbaceous_legumes,3,93,17.52688172,82.47311828,20.28455956,27.92187461,52.4951478
1,22,Genetic bank,F24-3441,CIAT-7714,Fabales,Fabaceae,Alysicarpus,glumaceus,Alysicarpus glumaceus,Herbaceous_legumes,3,93.1,17.40064447,82.59935553,20.28455956,27.65472942,52.03015512
