#,Treatment,Additive,Batch,Run,Replication,Syrange_No,Sample_weight_g,DM_Incubated_mg,Digested_feed_mg,CH4_24h_ml,Gas_ml_g_DM_Incubated_24h,TDDM_percentage,Part_Fact,CH4_percentage_in_gas_8h,CH4_percentage_in_gas_24h,CH4_ml_g_DM_incubated_24h,"CH4_ml_g_DMD,_24h",CH4_g_g_DM_incubated_24h,CH4_g_g_DMD_24h,pH,NH4_ppm,BLANK_24H_promedio_corrida_ppm,Amonio_corregido_ppm
60,T14,MON_2X,96,2,3,47,0.5002,459.7,324.3,15.6,204.7,70.5,3.4,15.6,16.6,33.9,48,18.8,26.7,7.38,659.6,363.4,296.2
61,T14,MON_2X,97,3,1,45,0.5003,459.8,285.7,16.5,198.9,62.1,3.1,16.8,18.1,35.9,57.8,19.9,32.1,7.26,470,439.525,30.475
62,T14,MON_2X,97,3,2,46,0.5002,459.7,286.1,16.8,205.5,62.2,3,16.4,17.8,36.6,58.8,20.3,32.6,7.25,428,439.525,-11.525
63,T14,MON_2X,97,3,3,47,0.5003,459.8,295.9,16.4,198.9,64.4,3.2,16.6,18,35.8,55.6,19.8,30.8,7.27,445.3,439.525,5.775
64,T15,NUT_2X,95,1,1,48,0.5003,460.1,304.5,17.3,212.8,66.2,3.1,16.5,17.7,37.7,56.9,20.9,31.6,7.2,571.3,419.25,152.05
65,T15,NUT_2X,95,1,2,49,0.5004,460.2,313.1,16.8,210.6,68,3.2,16.3,17.3,36.5,53.6,20.2,29.7,7.15,494.5,419.25,75.25
66,T15,NUT_2X,95,1,3,50,0.5003,460.1,295.1,16.9,209.5,64.1,3.1,16.2,17.5,36.7,57.2,20.4,31.8,7.19,511.8,419.25,92.55
67,T15,NUT_2X,96,2,1,48,0.5002,460,327.8,16.1,204.6,71.3,3.5,15.8,17.1,35.1,49.2,19.5,27.3,7.42,549.7,363.4,186.3
68,T15,NUT_2X,96,2,2,49,0.5004,460.2,315.8,15.9,203.4,68.6,3.4,15.5,17,34.5,50.3,19.2,27.9,7.27,512.1,363.4,148.7
69,T15,NUT_2X,96,2,3,50,0.5001,459.9,318.2,14.6,187.3,69.2,3.7,15.7,17,31.8,45.9,17.6,25.5,7.22,460.4,363.4,97
70,T15,NUT_2X,97,3,1,48,0.5002,460,251.4,17.6,206.5,54.7,2.6,16.8,18.6,38.3,70.1,21.3,38.9,7.29,534,439.525,94.475
71,T15,NUT_2X,97,3,2,49,0.5003,460.1,309.6,17.8,211.9,67.3,3.2,16.5,18.2,38.7,57.4,21.5,31.9,7.19,502.6,439.525,63.075
72,T15,NUT_2X,97,3,3,50,0.5003,460.1,284.5,17,201,61.8,3.1,16.5,18.4,36.9,59.7,20.5,33.2,7.53,509.7,439.525,70.175
73,T16,BOV_MON_2X,95,1,1,51,0.5003,460.1,314.2,14.5,206.2,68.3,3.3,11.2,15.3,31.5,46.1,17.5,25.6,7.14,511.8,419.25,92.55
74,T16,BOV_MON_2X,95,1,2,52,0.5005,460.3,315.5,15,214.9,68.5,3.2,10.7,15.1,32.5,47.4,18,26.3,7.28,568.5,419.25,149.25
75,T16,BOV_MON_2X,95,1,3,53,0.5005,460.3,291.3,14.1,205.1,63.3,3.1,10.6,14.9,30.6,48.4,17,26.8,7.16,514.4,419.25,95.15
76,T16,BOV_MON_2X,96,2,1,51,0.5004,460.2,317.3,12.7,200.2,68.9,3.4,8.6,13.8,27.6,40.1,15.3,22.2,7.27,545.3,363.4,181.9
77,T16,BOV_MON_2X,96,2,2,52,0.5002,460,326.2,11.3,194.8,70.9,3.6,6,12.6,24.5,34.6,13.6,19.2,7.35,530.7,363.4,167.3
78,T16,BOV_MON_2X,96,2,3,53,0.5003,460.1,333.7,11.6,188.3,72.5,3.9,7.7,13.4,25.3,34.9,14,19.4,7.33,521.9,363.4,158.5
79,T16,BOV_MON_2X,97,3,1,51,0.5002,460,295.9,14,197.8,64.3,3.3,10.1,15.4,30.4,47.3,16.9,26.3,7.35,475.8,439.525,36.275
80,T16,BOV_MON_2X,97,3,2,52,0.5003,460.1,315,14.2,201,68.5,3.4,9.7,15.3,30.8,45,17.1,25,7.18,554.2,439.525,114.675
81,T16,BOV_MON_2X,97,3,3,53,0.5,459.9,297.3,13.4,192.4,64.6,3.4,9.3,15.2,29.2,45.2,16.2,25.1,7.21,585.2,439.525,145.675
82,T17,AGO_1X_DIR,95,1,1,118,0.5002,459.8,340.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.28,462.7,419.25,43.45
83,T17,AGO_1X_DIR,95,1,2,119,0.5005,460.1,301.6,16.2,204.1,65.6,3.2,15.9,17.2,35.2,53.6,19.5,29.8,7.17,404.9,419.25,-14.35
84,T17,AGO_1X_DIR,95,1,3,120,0.5006,460.2,332.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.34,517.5,419.25,98.25
85,T17,AGO_1X_DIR,96,2,1,54,0.5005,460.1,339.9,15.4,198.1,73.9,3.7,15.3,16.8,33.4,45.2,18.5,25.1,7.38,537.3,363.4,173.9
86,T17,AGO_1X_DIR,96,2,2,55,0.5006,460.2,321.7,13.8,176.3,69.9,4,15.6,17.1,30.1,43,16.7,23.9,7.31,522.8,363.4,159.4
87,T17,AGO_1X_DIR,96,2,3,56,0.5004,460,324.1,15.7,200.3,70.5,3.5,15.8,17,34.1,48.4,18.9,26.8,7.23,434.7,363.4,71.3
88,T17,AGO_1X_DIR,97,3,1,118,0.5003,459.9,319.9,15.2,189.1,69.6,3.7,15.3,17.4,33,47.4,18.3,26.3,7.25,574.7,439.525,135.175
89,T17,AGO_1X_DIR,97,3,2,55,0.5003,459.9,291.5,16,193.5,63.4,3.3,16.4,18,34.9,55,19.4,30.5,7.32,592.4,439.525,152.875
90,T17,AGO_1X_DIR,97,3,3,56,0.5004,460,310.3,16.1,192.3,67.5,3.5,16.3,18.2,35,51.9,19.4,28.8,7.28,621,439.525,181.475
91,T18,BOV_1X_DIR,95,1,1,59,0.5004,460,316.7,14.6,194.3,68.8,3.5,13.1,16.4,31.8,46.3,17.7,25.7,7.45,470,419.25,50.75
92,T18,BOV_1X_DIR,95,1,2,60,0.5001,459.7,314.7,15,201,68.5,3.4,12.5,16.2,32.6,47.6,18.1,26.4,7.18,491.1,419.25,71.85
93,T18,BOV_1X_DIR,95,1,3,61,0.5002,459.8,308.4,14.8,198.8,67.1,3.4,12.5,16.2,32.2,48,17.9,26.7,7.16,415.2,419.25,-4.05
94,T18,BOV_1X_DIR,96,2,1,59,0.5005,460.1,313.2,12.4,182.8,68.1,3.7,9.2,14.8,27,39.7,15,22,7.36,444.2,363.4,80.8
95,T18,BOV_1X_DIR,96,2,2,60,0.5005,460.1,322.6,12.4,186.1,70.1,3.8,8.2,14.4,26.9,38.3,14.9,21.3,7.4,493.9,363.4,130.5
96,T18,BOV_1X_DIR,96,2,3,61,0.5006,460.2,312.3,12.1,183.9,67.9,3.7,8.2,14.3,26.3,38.8,14.6,21.5,7.31,426.6,363.4,63.2
97,T18,BOV_1X_DIR,97,3,1,59,0.5005,460.1,314.8,16.1,197.7,68.4,3.5,14.8,17.7,35,51.1,19.4,28.4,7.2,614.2,439.525,174.675
98,T18,BOV_1X_DIR,97,3,2,60,0.5004,460,320.3,14.8,183.6,69.6,3.8,13.7,17.5,32.2,46.2,17.9,25.6,7.2,685.5,439.525,245.975
99,T18,BOV_1X_DIR,97,3,3,61,0.5004,460,313.7,14.1,177.1,68.2,3.9,13.7,17.3,30.7,45,17,25,7.11,712.1,439.525,272.575
100,T19,FAT_P_1X_DIR,95,1,1,62,0.5005,460.1,332.1,16.6,209.5,72.2,3.4,15.9,17.2,36,49.9,20,27.7,7.15,466.7,419.25,47.45
101,T19,FAT_P_1X_DIR,95,1,2,63,0.5004,460,307.1,16.2,205.2,66.8,3.3,16,17.2,35.3,52.9,19.6,29.4,7.16,598.5,419.25,179.25
102,T19,FAT_P_1X_DIR,95,1,3,64,0.5005,460.1,319.8,16.7,210.6,69.5,3.3,16.1,17.3,36.4,52.3,20.2,29,7.26,567.4,419.25,148.15
103,T19,FAT_P_1X_DIR,96,2,1,62,0.5005,460.1,318.9,13.4,175.2,69.3,4,14.7,16.6,29.1,42,16.2,23.3,7.32,419.4,363.4,56
104,T19,FAT_P_1X_DIR,96,2,2,63,0.5004,460,308.7,15.6,201.4,67.1,3.3,15.4,16.9,33.9,50.6,18.8,28.1,7.21,385.9,363.4,22.5
105,T19,FAT_P_1X_DIR,96,2,3,64,0.5003,459.9,339.8,15.4,197,73.9,3.7,15.6,17,33.6,45.4,18.6,25.2,7.24,396.6,363.4,33.2
106,T19,FAT_P_1X_DIR,97,3,1,62,0.5001,459.7,312.7,14.9,175.1,68,3.9,17.4,18.5,32.4,47.6,18,26.4,7.25,653.1,439.525,213.575
107,T19,FAT_P_1X_DIR,97,3,2,63,0.5002,459.8,304.9,15.8,183.7,66.3,3.6,17.6,18.7,34.3,51.7,19,28.7,7.09,704.7,439.525,265.175
108,T19,FAT_P_1X_DIR,97,3,3,64,0.5002,459.8,323.9,16,187,70.4,3.8,17.5,18.6,34.7,49.2,19.3,27.3,7.07,621.3,439.525,181.775
109,T2,CTRL_K70P30,95,1,1,9,0.5004,460,311.2,16.9,213.9,67.7,3.2,15.6,17.2,36.8,54.4,20.4,30.2,7.18,469.6,419.25,50.35
110,T2,CTRL_K70P30,95,1,2,10,0.5008,460.4,327.6,17.8,223.5,71.2,3.2,16,17.3,38.6,54.3,21.4,30.1,7.13,598.6,419.25,179.35
111,T2,CTRL_K70P30,95,1,3,11,0.5004,460,286,16.6,209.6,62.2,3,15.9,17.3,36.2,58.2,20.1,32.3,7.21,483.6,419.25,64.35
112,T2,CTRL_K70P30,96,2,1,9,0.5002,459.8,315.2,16.1,206.9,68.6,3.3,15.2,16.9,35,51,19.4,28.3,7.34,524.7,363.4,161.3
113,T2,CTRL_K70P30,96,2,2,10,0.5002,459.8,316.3,17,214.5,68.8,3.2,15.9,17.3,37,53.8,20.5,29.9,7.47,630.4,363.4,267
114,T2,CTRL_K70P30,96,2,3,11,0.5003,459.9,332.3,16.6,206.8,72.3,3.5,15.9,17.4,36,49.9,20,27.7,7.4,656.9,363.4,293.5
115,T2,CTRL_K70P30,97,3,1,9,0.5002,459.8,275.5,18.1,213.1,59.9,2.8,16.2,18.5,39.4,65.7,21.8,36.5,7.36,458.3,439.525,18.775
116,T2,CTRL_K70P30,97,3,2,10,0.5001,459.7,302.7,18.3,214.2,65.9,3.1,16.5,18.6,39.8,60.5,22.1,33.6,7.17,436,439.525,-3.525
117,T2,CTRL_K70P30,97,3,3,11,0.5002,459.8,297.8,17.7,207.6,64.8,3.1,16.3,18.5,38.4,59.3,21.3,32.9,7.23,505,439.525,65.475
118,T20,ANA_1X_DIR,95,1,1,65,0.5003,459.9,312.4,15.6,194.4,67.9,3.5,16.2,17.5,33.9,50,18.8,27.7,7.16,500.9,419.25,81.65
119,T20,ANA_1X_DIR,95,1,2,66,0.5004,460,311.4,16,198.7,67.7,3.4,16.2,17.5,34.7,51.3,19.3,28.5,7.14,493.3,419.25,74.05
120,T20,ANA_1X_DIR,95,1,3,67,0.5003,459.9,310.9,15.8,199.8,67.6,3.4,16,17.2,34.4,50.9,19.1,28.2,7.16,539.7,419.25,120.45
121,T20,ANA_1X_DIR,96,2,1,65,0.5002,459.8,331.6,14.3,184,72.1,3.9,15.4,17,31.2,43.3,17.3,24,7.22,414.3,363.4,50.9
122,T20,ANA_1X_DIR,96,2,2,66,0.5002,459.8,324.5,14.4,184,70.6,3.8,15.3,17,31.2,44.2,17.3,24.5,7.2,436.9,363.4,73.5
123,T20,ANA_1X_DIR,96,2,3,67,0.5002,459.8,364,14.3,180.8,79.2,4.4,15.7,17.2,31.1,39.3,17.2,21.8,7.27,387.1,363.4,23.7
124,T20,ANA_1X_DIR,97,3,1,65,0.5003,459.9,316.3,16.1,193.5,68.8,3.6,16.9,18.1,35,50.9,19.4,28.3,7.05,643.2,439.525,203.675
125,T20,ANA_1X_DIR,97,3,2,66,0.5002,459.8,315.9,15.2,180.5,68.7,3.8,17.1,18.3,33.1,48.2,18.4,26.7,7.21,599.9,439.525,160.375
126,T20,ANA_1X_DIR,97,3,3,67,0.5001,459.7,309.3,14.8,177.2,67.3,3.8,16.5,18.2,32.2,47.8,17.9,26.6,7.27,609.6,439.525,170.075
127,T21,MON_1X_DIR,95,1,1,68,0.5005,460.1,281.6,14.1,187.8,61.2,3.3,15.6,16.4,30.7,50.2,17.1,27.9,7.13,500.4,419.25,81.15
128,T21,MON_1X_DIR,95,1,2,69,0.5004,460,308.9,13.5,175.9,67.2,3.8,15.9,16.7,29.3,43.7,16.3,24.2,7.2,362.2,419.25,-57.05
129,T21,MON_1X_DIR,95,1,3,70,0.5004,460,312.5,14.4,187.8,67.9,3.6,15.8,16.7,31.4,46.2,17.4,25.6,7.26,337.1,419.25,-82.15
130,T21,MON_1X_DIR,96,2,1,68,0.5005,460.1,315.3,13.5,185,68.5,3.7,15,15.9,29.3,42.8,16.3,23.8,7.43,433.9,363.4,70.5
131,T21,MON_1X_DIR,96,2,2,69,0.5004,460,304.4,14.1,190.5,66.2,3.5,15.2,16.1,30.7,46.4,17.1,25.8,7.33,380.2,363.4,16.8
132,T21,MON_1X_DIR,96,2,3,70,0.5003,459.9,298.6,13.1,179.6,64.9,3.6,14.7,15.8,28.5,43.8,15.8,24.3,7.43,400.4,363.4,37
133,T21,MON_1X_DIR,97,3,1,68,0.5002,459.8,309.5,13.4,170.7,67.3,3.9,16,17.1,29.2,43.4,16.2,24.1,7.23,646.5,439.525,206.975
134,T21,MON_1X_DIR,97,3,2,69,0.5004,460,305.1,13,168.4,66.3,3.9,15.8,16.8,28.3,42.7,15.7,23.7,7.24,638.2,439.525,198.675
135,T21,MON_1X_DIR,97,3,3,70,0.5006,460.2,306.3,13.7,176,66.6,3.8,16.2,16.9,29.8,44.8,16.6,24.9,7.17,698.3,439.525,258.775
136,T22,NUT_1X_DIR,95,1,1,71,0.5005,460.1,319.8,16.4,208.4,69.5,3.3,15.8,17.1,35.6,51.2,19.7,28.4,7.24,318.2,419.25,-101.05
137,T22,NUT_1X_DIR,95,1,2,72,0.5004,460,310.4,16.2,204.1,67.5,3.3,16.1,17.3,35.3,52.3,19.6,29,7.2,327.3,419.25,-91.95
138,T22,NUT_1X_DIR,95,1,3,73,0.5002,459.8,310.8,14.8,185.7,67.6,3.6,15.8,17.3,32.2,47.7,17.9,26.4,7.32,380,419.25,-39.25
139,T22,NUT_1X_DIR,96,2,1,71,0.5006,460.2,330,14.6,189.3,71.7,3.8,15.4,16.7,31.7,44.2,17.6,24.5,7.41,368.3,363.4,4.9
140,T22,NUT_1X_DIR,96,2,2,72,0.5005,460.1,315.5,14.4,182.8,68.6,3.8,15.8,17.2,31.4,45.8,17.4,25.4,7.47,346.4,363.4,-17
141,T22,NUT_1X_DIR,96,2,3,73,0.5003,459.9,324.6,15.6,200.3,70.6,3.5,15.7,17,34,48.2,18.9,26.8,7.41,346.3,363.4,-17.1
142,T22,NUT_1X_DIR,97,3,1,71,0.5003,459.9,306.8,14.5,178.2,66.7,3.7,16.4,17.7,31.5,47.3,17.5,26.2,7.25,664.9,439.525,225.375
143,T22,NUT_1X_DIR,97,3,2,72,0.5006,460.2,307.9,14.4,177.1,66.9,3.8,16.6,17.6,31.2,46.6,17.3,25.9,7.27,654.5,439.525,214.975
144,T22,NUT_1X_DIR,97,3,3,73,0.5002,459.8,329.3,16.6,198.9,71.6,3.6,17.5,18.2,36.2,50.5,20.1,28,7.28,,439.525,
145,T23,BOV_MON_1X_DIR,95,1,1,74,0.5002,459.8,307,12.9,195.5,66.8,3.4,10.6,14.3,28,42,15.6,23.3,7.25,315.3,419.25,-103.95
146,T23,BOV_MON_1X_DIR,95,1,2,75,0.5001,459.7,317.9,12.1,183.6,69.2,3.8,10.2,14.3,26.3,38,14.6,21.1,7.29,389.4,419.25,-29.85
147,T23,BOV_MON_1X_DIR,95,1,3,76,0.5002,459.8,307.2,14.1,202,66.8,3.3,10.7,15.1,30.6,45.8,17,25.4,7.32,419.9,419.25,0.65
148,T23,BOV_MON_1X_DIR,96,2,1,74,0.5002,459.8,318.6,10.7,178.6,69.3,3.9,7.8,13,23.2,33.5,12.9,18.6,7.54,329.4,363.4,-34
149,T23,BOV_MON_1X_DIR,96,2,2,75,0.5002,459.8,307.9,10,175.3,67,3.8,6.5,12.4,21.8,32.5,12.1,18,7.25,365.2,363.4,1.8
150,T23,BOV_MON_1X_DIR,96,2,3,76,0.5001,459.7,297.9,9.3,164.5,64.8,3.9,6.6,12.4,20.3,31.3,11.3,17.4,7.31,331.9,363.4,-31.5
151,T23,BOV_MON_1X_DIR,97,3,1,74,0.5003,459.9,299.4,12.2,182.6,65.1,3.6,10.2,14.5,26.5,40.7,14.7,22.6,7.21,549.1,439.525,109.575
152,T23,BOV_MON_1X_DIR,97,3,2,75,0.5003,459.9,311.3,11.7,188,67.7,3.6,8.6,13.5,25.4,37.6,14.1,20.8,7.18,540.6,439.525,101.075
153,T23,BOV_MON_1X_DIR,97,3,3,76,0.5003,459.9,281.1,11,177.2,61.1,3.5,8.3,13.4,23.8,39,13.2,21.6,7.14,575.5,439.525,135.975
