#,Treatment,Additive,Batch,Run,Replication,Syrange_No,Sample_weight_g,DM_Incubated_mg,Digested_feed_mg,CH4_24h_ml,Gas_ml_g_DM_Incubated_24h,TDDM_percentage,Part_Fact,CH4_percentage_in_gas_8h,CH4_percentage_in_gas_24h,CH4_ml_g_DM_incubated_24h,"CH4_ml_g_DMD,_24h",CH4_g_g_DM_incubated_24h,CH4_g_g_DMD_24h,pH,NH4_ppm,BLANK_24H_promedio_corrida_ppm,Amonio_corregido_ppm
176,T26,AGO_2x_DIR,96,2,2,84,0.5004,460,314,15.9,206.8,68.3,3.3,15.3,16.7,34.6,50.7,19.2,28.1,7.42,342.7,363.4,-20.7
177,T26,AGO_2x_DIR,96,2,3,85,0.5002,459.8,321.7,15.6,199.3,70,3.5,15.8,17,33.8,48.3,18.8,26.8,7.38,294.2,363.4,-69.2
178,T26,AGO_2x_DIR,97,3,1,83,0.5003,459.9,331.2,14.6,183.7,72,3.9,15.7,17.2,31.7,44,17.6,24.4,7.17,614.9,439.525,175.375
179,T26,AGO_2x_DIR,97,3,2,84,0.5,459.7,314.7,14.8,186,68.5,3.7,16.1,17.3,32.1,47,17.8,26.1,7.1,506,439.525,66.475
180,T26,AGO_2x_DIR,97,3,3,85,0.5001,459.7,339.8,14.8,181.6,73.9,4.1,16.8,17.7,32.2,43.5,17.9,24.2,7.06,590.5,439.525,150.975
181,T27,BOV_2x_DIR,95,1,1,86,0.5002,459.8,309.4,10.3,179.2,67.3,3.8,5.9,12.5,22.4,33.3,12.4,18.5,7.29,411.4,419.25,-7.85
182,T27,BOV_2x_DIR,95,1,2,87,0.5003,459.9,308.5,10.1,181.3,67.1,3.7,4.8,12.1,22,32.8,12.2,18.2,7.43,453.7,419.25,34.45
183,T27,BOV_2x_DIR,95,1,3,88,0.5004,460,314.4,9.9,182.4,68.3,3.7,4.3,11.8,21.5,31.4,11.9,17.4,7.39,438.7,419.25,19.45
184,T27,BOV_2x_DIR,96,2,1,86,0.5002,459.8,315.2,9,182.9,68.6,3.7,3.7,10.6,19.5,28.4,10.8,15.8,7.43,312,363.4,-51.4
185,T27,BOV_2x_DIR,96,2,2,87,0.5002,459.8,308.6,6.9,176.4,67.1,3.8,1.8,8.5,15,22.3,8.3,12.4,7.5,263.3,363.4,-100.1
186,T27,BOV_2x_DIR,96,2,3,88,0.5001,459.7,310.7,7.4,186.2,67.6,3.6,1.7,8.6,16,23.7,8.9,13.1,7.51,289.7,363.4,-73.7
187,T27,BOV_2x_DIR,97,3,1,86,0.5002,459.8,315.9,5.9,152.2,68.7,4.5,3.5,8.4,12.8,18.6,7.1,10.3,7.17,628.5,439.525,188.975
188,T27,BOV_2x_DIR,97,3,2,87,0.5002,459.8,329.7,7,170.7,71.7,4.2,2.7,8.9,15.2,21.2,8.4,11.8,7.14,686.1,439.525,246.575
189,T27,BOV_2x_DIR,97,3,3,88,0.5002,459.8,297.2,5.5,148.9,64.6,4.3,2.1,8,12,18.5,6.6,10.3,7.1,690.3,439.525,250.775
190,T28,FAT_P_2x_DIR,95,1,1,89,0.5003,459.9,314.1,14.2,186.8,68.3,3.7,14.4,16.5,30.9,45.2,17.2,25.1,7.31,600.9,419.25,181.65
191,T28,FAT_P_2x_DIR,95,1,2,90,0.5004,460,317.4,15.5,195.4,69,3.5,16.2,17.2,33.6,48.7,18.7,27,7.33,551.1,419.25,131.85
192,T28,FAT_P_2x_DIR,95,1,3,91,0.5005,460.1,320.7,16.9,209.5,69.7,3.3,16.3,17.5,36.6,52.6,20.3,29.2,7.25,545.4,419.25,126.15
193,T28,FAT_P_2x_DIR,96,2,1,89,0.5002,459.8,335,14.8,192.7,72.9,3.8,15,16.7,32.1,44,17.8,24.4,7.46,467.6,363.4,104.2
194,T28,FAT_P_2x_DIR,96,2,2,90,0.5,459.7,326.5,15.4,200.4,71,3.5,15.6,16.7,33.5,47.2,18.6,26.2,7.44,437.2,363.4,73.8
195,T28,FAT_P_2x_DIR,96,2,3,91,0.5005,460.1,310,15,198.1,67.4,3.4,15.2,16.5,32.6,48.4,18.1,26.9,7.37,387.7,363.4,24.3
196,T28,FAT_P_2x_DIR,97,3,1,89,0.5002,459.8,328.6,12.7,175,71.5,4.1,13.5,15.8,27.6,38.7,15.3,21.5,7.18,609.1,439.525,169.575
197,T28,FAT_P_2x_DIR,97,3,2,90,0.5002,459.8,294.8,15,178.3,64.1,3.6,16.9,18.3,32.7,51,18.1,28.3,7.19,733,439.525,293.475
198,T28,FAT_P_2x_DIR,97,3,3,91,0.5001,459.7,279.4,16.5,181.6,60.8,3.3,18.7,19.7,35.8,58.9,19.9,32.7,7.13,,439.525,
199,T29,ANA_2x_DIR,95,1,1,92,0.5003,459.9,305.6,14.6,181.3,66.5,3.7,16.1,17.5,31.7,47.6,17.6,26.4,7.31,525.8,419.25,106.55
200,T29,ANA_2x_DIR,95,1,2,93,0.5006,460.2,322.4,14.3,175.8,70.1,4,16.3,17.7,31.1,44.5,17.3,24.7,7.33,447.7,419.25,28.45
201,T29,ANA_2x_DIR,95,1,3,94,0.5003,459.9,315,15.6,194.4,68.5,3.5,16.1,17.4,33.9,49.5,18.8,27.5,7.31,442.2,419.25,22.95
202,T29,ANA_2x_DIR,96,2,1,92,0.5006,460.2,322.3,13.1,171.9,70,4.1,15.2,16.6,28.5,40.6,15.8,22.6,7.54,458.9,363.4,95.5
203,T29,ANA_2x_DIR,96,2,2,93,0.5002,459.8,313.6,13.6,178.6,68.2,3.8,15.2,16.5,29.5,43.3,16.4,24,7.35,385.7,363.4,22.3
204,T29,ANA_2x_DIR,96,2,3,94,0.5005,460.1,308.8,14.5,188.3,67.1,3.6,15.2,16.7,31.5,46.9,17.5,26,7.44,329.5,363.4,-33.9
205,T29,ANA_2x_DIR,97,3,1,92,0.5005,460.1,287.5,18.2,192.3,62.5,3.2,19.7,20.6,39.6,63.4,22,35.2,7.21,690.9,439.525,251.375
206,T29,ANA_2x_DIR,97,3,2,93,0.5005,460.1,294.3,17.6,189,64,3.4,19.2,20.2,38.2,59.7,21.2,33.1,7.22,766,439.525,326.475
207,T29,ANA_2x_DIR,97,3,3,94,0.5002,459.8,293.6,18.1,195.7,63.9,3.3,19,20.1,39.3,61.5,21.8,34.1,7.2,764.2,439.525,324.675
208,T3,AGO_1X,95,1,1,12,0.5005,458.7,306.6,16.9,215.6,66.8,3.1,15.6,17.1,36.8,55.1,20.4,30.6,7.25,559.4,419.25,140.15
209,T3,AGO_1X,95,1,2,13,0.5002,458.4,282.9,17,214.7,61.7,2.9,15.9,17.3,37.2,60.3,20.6,33.4,7.3,489.2,419.25,69.95
210,T3,AGO_1X,95,1,3,14,0.5005,458.7,298.7,16,197.1,65.1,3.3,16.2,17.7,34.8,53.4,19.3,29.7,7.37,609.1,419.25,189.85
211,T3,AGO_1X,96,2,1,12,0.5002,458.4,312.4,15.9,198.8,68.1,3.4,16.1,17.5,34.7,50.9,19.3,28.3,7.54,777.3,363.4,413.9
212,T3,AGO_1X,96,2,2,13,0.5003,458.5,321.9,16.2,203.1,70.2,3.5,15.9,17.4,35.4,50.5,19.7,28,7.31,651.2,363.4,287.8
213,T3,AGO_1X,96,2,3,14,0.5003,458.5,308.7,15.9,199.8,67.3,3.4,15.7,17.3,34.7,51.5,19.2,28.6,7.37,757,363.4,393.6
214,T3,AGO_1X,97,3,1,12,0.5002,458.4,254.4,17.6,209.4,55.5,2.7,16.3,18.4,38.5,69.3,21.3,38.5,7.21,612.8,439.525,173.275
215,T3,AGO_1X,97,3,2,13,0.5003,458.5,297,18.4,219.2,64.8,3,16.1,18.3,40.2,62,22.3,34.4,7.12,879.3,439.525,439.775
216,T3,AGO_1X,97,3,3,14,0.5,458.2,291,16.6,204,63.5,3.1,16.4,17.7,36.2,56.9,20.1,31.6,7.16,927.6,439.525,488.075
217,T30,MON_2x_DIR,95,1,1,95,0.5002,459.8,313.7,13.6,185.7,68.2,3.7,15.2,15.9,29.5,43.3,16.4,24,7.19,499.2,419.25,79.95
218,T30,MON_2x_DIR,95,1,2,96,0.5005,460.1,316.5,14.5,204.1,68.8,3.4,14.7,15.5,31.6,45.9,17.5,25.5,7.2,533.1,419.25,113.85
219,T30,MON_2x_DIR,95,1,3,97,0.5003,459.9,302.5,14.1,195.5,65.8,3.4,15,15.7,30.7,46.7,17,25.9,7.3,444.2,419.25,24.95
220,T30,MON_2x_DIR,96,2,1,95,0.5,459.7,324.5,11.5,183,70.6,3.9,13,13.6,24.9,35.3,13.8,19.6,7.36,388.1,363.4,24.7
221,T30,MON_2x_DIR,96,2,2,96,0.5002,459.8,302.8,10.3,164.5,65.9,4,12.8,13.7,22.5,34.1,12.5,18.9,7.28,318.4,363.4,-45
222,T30,MON_2x_DIR,96,2,3,97,0.5,459.7,306.8,10.8,174.3,66.7,3.8,12.7,13.5,23.5,35.3,13.1,19.6,7.34,296.7,363.4,-66.7
223,T30,MON_2x_DIR,97,3,1,95,0.5004,460,281.2,14.7,176,61.1,3.5,17.2,18.1,31.9,52.1,17.7,28.9,7.21,872.2,439.525,432.675
224,T30,MON_2x_DIR,97,3,2,96,0.5002,459.8,284.3,15.4,188.1,61.8,3.3,16.9,17.8,33.5,54.1,18.6,30,7.25,745.6,439.525,306.075
225,T30,MON_2x_DIR,97,3,3,97,0.5001,459.7,276.5,15.1,183.8,60.2,3.3,17.3,17.9,32.8,54.5,18.2,30.3,7.22,896.1,439.525,456.575
226,T31,NUT_2x_DIR,95,1,1,98,0.5005,460.1,295.3,16.7,208.4,64.2,3.1,16.1,17.4,36.2,56.4,20.1,31.3,7.29,486.1,419.25,66.85
227,T31,NUT_2x_DIR,95,1,2,99,0.5005,460.1,295.5,15,186.7,64.2,3.4,16.1,17.5,32.7,50.9,18.1,28.2,7.23,408.5,419.25,-10.75
228,T31,NUT_2x_DIR,95,1,3,100,0.5,459.7,308.5,16.5,207.6,67.1,3.2,16.1,17.3,35.9,53.5,19.9,29.7,7.28,468.9,419.25,49.65
229,T31,NUT_2x_DIR,96,2,1,98,0.5003,459.9,306.3,14.2,192.7,66.6,3.5,14.3,16,30.9,46.3,17.1,25.7,7.36,290.2,363.4,-73.2
230,T31,NUT_2x_DIR,96,2,2,99,0.5004,460,292.9,14,188.3,63.7,3.4,14.5,16.1,30.4,47.7,16.9,26.5,7.43,272.1,363.4,-91.3
231,T31,NUT_2x_DIR,96,2,3,100,0.5004,460,322.3,13.4,178.5,70.1,3.9,14.7,16.3,29,41.4,16.1,23,7.47,379.9,363.4,16.5
232,T31,NUT_2x_DIR,97,3,1,98,0.5005,460.1,280.4,16.8,191.2,60.9,3.2,18.2,19.1,36.4,59.8,20.2,33.2,7.05,786.1,439.525,346.575
233,T31,NUT_2x_DIR,97,3,2,99,0.5002,459.8,263.4,17,191.3,57.3,3,18,19.3,36.9,64.5,20.5,35.8,7.09,803.5,439.525,363.975
234,T31,NUT_2x_DIR,97,3,3,100,0.5005,460.1,293.3,18.2,196.6,63.7,3.2,18.8,20.1,39.5,61.9,21.9,34.4,7.06,797.8,439.525,358.275
235,T32,BOV_MON_2x_DIR,95,1,1,101,0.5003,459.9,314.8,13.7,197.6,68.5,3.5,12.1,15,29.7,43.4,16.5,24.1,7.36,506.5,419.25,87.25
236,T32,BOV_MON_2x_DIR,95,1,2,102,0.5005,460.1,298.2,11.9,186.7,64.8,3.5,11.9,13.9,26,40.1,14.4,22.2,7.23,468.8,419.25,49.55
237,T32,BOV_MON_2x_DIR,95,1,3,103,0.5003,459.9,316.7,14.2,197.6,68.9,3.5,11.7,15.6,30.8,44.7,17.1,24.8,7.44,392.4,419.25,-26.85
238,T32,BOV_MON_2x_DIR,96,2,1,101,0.5001,459.7,303.9,6.8,169.9,66.1,3.9,2.6,8.8,14.9,22.5,8.3,12.5,7.56,412.7,363.4,49.3
239,T32,BOV_MON_2x_DIR,96,2,2,102,0.5001,459.7,273.8,6.7,187.3,59.6,3.2,1.7,7.8,14.7,24.6,8.1,13.7,7.6,515.8,363.4,152.4
240,T32,BOV_MON_2x_DIR,96,2,3,103,0.5001,459.7,312.1,4,174.3,67.9,3.9,0.8,5.1,8.8,13,4.9,7.2,7.53,452.8,363.4,89.4
241,T32,BOV_MON_2x_DIR,97,3,1,101,0.5004,460,279.8,13,176,60.8,3.5,11.2,16.1,28.3,46.5,15.7,25.8,7.12,872.1,439.525,432.575
242,T32,BOV_MON_2x_DIR,97,3,2,102,0.5001,459.7,291.1,10.9,179.4,63.3,3.5,6.9,13.2,23.6,37.3,13.1,20.7,7.05,865.3,439.525,425.775
243,T32,BOV_MON_2x_DIR,97,3,3,103,0.5001,459.7,301.3,9.2,164.2,65.5,4,5.7,12.1,19.9,30.4,11.1,16.9,7.03,885.7,439.525,446.175
244,T33,SEAWEED_1,95,1,1,104,0.5055,461.5,329.5,13.5,194.8,71.4,3.7,12.1,15,29.1,40.8,16.2,22.7,7.37,409.4,419.25,-9.85
245,T33,SEAWEED_1,95,1,2,105,0.5055,461.5,330.6,14,191.6,71.6,3.7,12.8,15.8,30.3,42.3,16.8,23.5,7.23,446.1,419.25,26.85
246,T33,SEAWEED_1,95,1,3,106,0.5053,461.3,337.4,13.6,184.1,73.1,4,12.2,16,29.5,40.3,16.3,22.4,7.39,499.5,419.25,80.25
247,T33,SEAWEED_1,96,2,1,104,0.5055,461.5,322.7,15.5,213.7,69.9,3.3,12.2,15.8,33.7,48.2,18.7,26.7,7.46,444.3,363.4,80.9
248,T33,SEAWEED_1,96,2,2,105,0.5053,461.3,316.8,16.7,218.1,68.7,3.1,13.2,16.6,36.2,52.8,20.1,29.3,7.57,453.9,363.4,90.5
249,T33,SEAWEED_1,96,2,3,106,0.5054,461.4,327.4,15.8,207.3,71,3.4,13.2,16.6,34.3,48.4,19.1,26.9,7.51,556.5,363.4,193.1
250,T33,SEAWEED_1,97,3,1,104,0.5054,461.4,291.2,14.6,185.3,63.1,3.4,12.6,17.1,31.7,50.3,17.6,27.9,7.17,850.7,439.525,411.175
251,T33,SEAWEED_1,97,3,2,105,0.5057,461.7,292.1,16.4,196,63.3,3.2,14.7,18.1,35.4,56,19.7,31.1,7.13,856.3,439.525,416.775
252,T33,SEAWEED_1,97,3,3,106,0.5054,461.4,312.9,16.7,200.4,67.8,3.4,14.1,18.1,36.3,53.5,20.1,29.7,7.23,807.8,439.525,368.275
253,T34,SEAWEED_1.5,95,1,1,107,0.5078,459.8,321.7,2.9,173.8,70,4,2.5,3.6,6.3,9,3.5,5,7.26,470.8,419.25,51.55
254,T34,SEAWEED_1.5,95,1,2,108,0.5083,460.3,308.4,4.4,187.7,67,3.6,2.3,5.1,9.6,14.3,5.3,7.9,7.36,459.7,419.25,40.45
255,T34,SEAWEED_1.5,95,1,3,109,0.5079,459.9,323.2,3.2,178.1,70.3,3.9,2,3.9,6.9,9.8,3.8,5.4,7.13,398.7,419.25,-20.55
256,T34,SEAWEED_1.5,96,2,1,107,0.5075,459.5,320.4,11,195,69.7,3.6,6.1,12.2,23.8,34.2,13.2,19,7.48,431,363.4,67.6
257,T34,SEAWEED_1.5,96,2,2,108,0.5079,459.9,311.1,10.2,193.8,67.6,3.5,5.2,11.5,22.2,32.9,12.3,18.3,7.54,451.9,363.4,88.5
258,T34,SEAWEED_1.5,96,2,3,109,0.5083,460.3,324,2.6,181.7,70.4,3.9,2.4,3.1,5.6,7.9,3.1,4.4,7.36,322.7,363.4,-40.7
259,T34,SEAWEED_1.5,97,3,1,107,0.5081,460.1,301.6,11.9,178.2,65.5,3.7,7.7,14.6,25.9,39.6,14.4,22,7.41,841.4,439.525,401.875
260,T34,SEAWEED_1.5,97,3,2,108,0.5076,459.6,309.1,10.4,170.7,67.3,3.9,6.5,13.3,22.7,33.7,12.6,18.7,7.22,764,439.525,324.475
261,T34,SEAWEED_1.5,97,3,3,109,0.5079,459.9,284.7,7.6,171.7,61.9,3.6,4.7,9.6,16.6,26.8,9.2,14.9,7.2,786.5,439.525,346.975
262,T35,SEAWEED_2,95,1,1,110,0.5116,460.4,323.6,0.1,173.5,70.3,4.1,0.3,0.1,0.2,0.3,0.1,0.2,7.15,470.7,419.25,51.45
263,T35,SEAWEED_2,95,1,2,111,0.5107,459.6,312.6,-0.1,173.8,68,3.9,0,-0.2,-0.3,-0.5,-0.2,-0.3,7.16,391.2,419.25,-28.05
264,T35,SEAWEED_2,95,1,3,112,0.5107,459.6,322.9,-0.1,189.1,70.3,3.7,0,-0.1,-0.2,-0.3,-0.1,-0.2,7.08,410.4,419.25,-8.85
265,T35,SEAWEED_2,96,2,1,110,0.5112,460.1,317.8,0.1,181.8,69.1,3.8,0.5,0.1,0.3,0.4,0.1,0.2,7.36,488.8,363.4,125.4
266,T35,SEAWEED_2,96,2,2,111,0.5112,460.1,281,0.1,189.4,61.1,3.2,0.5,0.1,0.1,0.2,0.1,0.1,7.39,404.1,363.4,40.7
267,T35,SEAWEED_2,96,2,3,112,0.5105,459.5,316.6,0.2,185.3,68.9,3.7,0.6,0.2,0.3,0.5,0.2,0.3,7.57,432.2,363.4,68.8
268,T35,SEAWEED_2,97,3,1,110,0.5107,459.6,303.8,0.9,166.4,66.1,4,1.1,1.2,2,3.1,1.1,1.7,7.33,734.8,439.525,295.275
269,T35,SEAWEED_2,97,3,2,111,0.5107,459.6,306.5,0.6,168.6,66.7,4,1.2,0.8,1.3,2,0.7,1.1,7.19,818.5,439.525,378.975
270,T35,SEAWEED_2,97,3,3,112,0.5104,459.4,312,0.3,171.9,67.9,3.9,0.9,0.4,0.7,1,0.4,0.6,7.12,939.8,439.525,500.275
271,T36,STANDARD,95,1,1,113,0.5,468.7,216.6,9.9,137.4,46.2,3.4,13.3,15.3,21,45.5,11.7,25.2,NA,NA,NA,NA
272,T36,STANDARD,95,1,2,114,0.5,468.7,195.7,11.5,143.8,41.7,2.9,15.5,17.1,24.6,59,13.7,32.7,NA,NA,NA,NA
273,T36,STANDARD,95,1,3,115,0.5,468.7,204.9,12.3,147,43.7,3,16.6,17.9,26.3,60.2,14.6,33.4,NA,NA,NA,NA
274,T36,STANDARD,96,2,1,113,0.5,468.7,216.8,10.6,141.1,46.3,3.3,14.1,16.1,22.7,49.1,12.6,27.2,NA,NA,NA,NA
275,T36,STANDARD,96,2,2,114,0.5,468.7,201,11.1,141.1,42.9,3,15.1,16.7,23.6,55,13.1,30.5,NA,NA,NA,NA
276,T36,STANDARD,96,2,3,115,0.5004,469,209.5,11.5,139.9,44.7,3.2,16.6,17.5,24.5,54.8,13.6,30.4,NA,NA,NA,NA
277,T36,STANDARD,97,3,1,113,0.5,468.7,211.1,10.3,135.5,45,3.3,13.8,16.3,22,48.9,12.2,27.2,NA,NA,NA,NA
278,T36,STANDARD,97,3,2,114,0.5004,469,209.6,12.1,138.5,44.7,3.2,17.3,18.6,25.7,57.6,14.3,32,NA,NA,NA,NA
279,T36,STANDARD,97,3,3,115,0.5,468.7,206.7,11.7,133.3,44.1,3.3,17.6,18.7,24.9,56.4,13.8,31.3,NA,NA,NA,NA
280,T4,BOV_1X,95,1,1,15,0.5004,458.8,300.1,15.9,204.7,65.4,3.2,14.4,16.9,34.6,52.9,19.2,29.3,7.13,515.7,419.25,96.45
281,T4,BOV_1X,95,1,2,16,0.5004,458.8,327.5,16.6,214.5,71.4,3.3,14.4,16.9,36.2,50.8,20.1,28.2,7.26,639.4,419.25,220.15
282,T4,BOV_1X,95,1,3,17,0.5005,458.9,313.1,16.2,207.9,68.2,3.3,14.4,16.9,35.2,51.6,19.6,28.7,7.18,616.9,419.25,197.65
283,T4,BOV_1X,96,2,1,15,0.5002,458.6,343.4,15.2,200.9,74.9,3.7,13.8,16.6,33.2,44.4,18.5,24.6,7.45,464.7,363.4,101.3
284,T4,BOV_1X,96,2,2,16,0.5001,458.5,320.5,15.6,205.3,69.9,3.4,13.6,16.6,34.1,48.8,18.9,27.1,7.42,594.8,363.4,231.4
285,T4,BOV_1X,96,2,3,17,0.5003,458.7,322.3,16.2,212.8,70.3,3.3,13.9,16.6,35.4,50.4,19.7,28,7.22,516.8,363.4,153.4
286,T4,BOV_1X,97,3,1,15,0.5003,458.7,291.4,15.6,197.3,63.5,3.2,14.2,17.3,34.1,53.7,18.9,29.8,7.23,811,439.525,371.475
287,T4,BOV_1X,97,3,2,16,0.5001,458.5,294.7,16.4,203.9,64.3,3.2,14.2,17.5,35.7,55.6,19.8,30.9,7.19,634.5,439.525,194.975
288,T4,BOV_1X,97,3,3,17,0.5002,458.6,305.9,16.4,208.2,66.7,3.2,13.9,17.2,35.8,53.7,19.9,29.8,7.25,614.2,439.525,174.675
289,T5,FAT_P_1X,95,1,1,18,0.5003,458.6,294.8,16.6,206.9,64.3,3.1,15.8,17.5,36.1,56.2,20.1,31.2,7.27,678.2,419.25,258.95
290,T5,FAT_P_1X,95,1,2,19,0.5004,458.7,309,17.4,214.5,67.4,3.1,16.5,17.7,37.9,56.3,21.1,31.3,7.16,512.9,419.25,93.65
291,T5,FAT_P_1X,95,1,3,20,0.5002,458.5,319.7,16.8,211.4,69.7,3.3,15.8,17.4,36.7,52.7,20.4,29.2,7.34,484.2,419.25,64.95
292,T5,FAT_P_1X,96,2,1,18,0.5004,458.7,306.6,15.6,195.4,66.8,3.4,15.7,17.4,33.9,50.7,18.8,28.2,7.39,525.3,363.4,161.9
293,T5,FAT_P_1X,96,2,2,19,0.5005,458.8,301.3,16.7,208.4,65.7,3.2,15.8,17.5,36.5,55.6,20.3,30.8,7.31,612.9,363.4,249.5
294,T5,FAT_P_1X,96,2,3,20,0.5003,458.6,325.3,17.3,216.2,70.9,3.3,15.9,17.4,37.6,53.1,20.9,29.5,7.32,600.9,363.4,237.5
295,T5,FAT_P_1X,97,3,1,18,0.5002,458.5,325.8,17.3,209.3,71.1,3.4,15.7,18,37.6,53,20.9,29.4,7.3,409.3,439.525,-30.225
296,T5,FAT_P_1X,97,3,2,19,0.5001,458.4,282.3,17.1,201.7,61.6,3.1,16.7,18.5,37.2,60.5,20.7,33.6,7.17,466.8,439.525,27.275
297,T5,FAT_P_1X,97,3,3,20,0.5004,458.7,304.7,18.2,220.2,66.4,3,16.1,18.1,39.8,59.9,22.1,33.2,7.28,337.8,439.525,-101.725
298,T6,ANA_1X,95,1,1,21,0.5005,458.2,286.5,17.4,218,62.5,2.9,16,17.4,38,60.7,21.1,33.7,7.36,563.7,419.25,144.45
299,T6,ANA_1X,95,1,2,22,0.5001,457.8,295.3,17.6,217.1,64.5,3,16.4,17.7,38.4,59.5,21.3,33,7.24,572.8,419.25,153.55
300,T6,ANA_1X,95,1,3,23,0.5004,458.1,295.8,17.4,215.9,64.6,3,16.2,17.6,38,58.9,21.1,32.7,7.18,592.2,419.25,172.95
301,T6,ANA_1X,96,2,1,21,0.5004,458.1,300.3,16.2,206.6,65.6,3.2,15.5,17.1,35.4,53.9,19.6,29.9,7.27,545.4,363.4,182
302,T6,ANA_1X,96,2,2,22,0.5004,458.1,293.9,16.3,207.7,64.2,3.1,15.7,17.1,35.5,55.4,19.7,30.7,7.29,577.1,363.4,213.7
303,T6,ANA_1X,96,2,3,23,0.5001,457.8,316.4,16.3,207.8,69.1,3.3,15.8,17.2,35.7,51.7,19.8,28.7,7.4,704.1,363.4,340.7
304,T6,ANA_1X,97,3,1,21,0.5003,458,302.9,17,199.7,66.1,3.3,16.7,18.5,37,56,20.5,31.1,7.23,416.9,439.525,-22.625
305,T6,ANA_1X,97,3,2,22,0.5005,458.2,266.3,17.9,214.9,58.1,2.7,16.5,18.2,39.1,67.3,21.7,37.3,7.28,482.3,439.525,42.775
306,T6,ANA_1X,97,3,3,23,0.5001,457.8,279.9,18.1,210.8,61.1,2.9,17,18.7,39.5,64.6,21.9,35.8,7.27,528,439.525,88.475
307,T7,MON_1X,95,1,1,24,0.5003,458.6,309.6,16.4,205.9,67.5,3.3,16.2,17.3,35.7,52.9,19.8,29.4,7.21,509.1,419.25,89.85
308,T7,MON_1X,95,1,2,25,0.5004,458.7,292.3,16.7,208,63.7,3.1,16.7,17.6,36.5,57.3,20.3,31.8,7.29,622.3,419.25,203.05
309,T7,MON_1X,95,1,3,26,0.5004,458.7,276.9,17.6,217.8,60.4,2.8,16.5,17.6,38.3,63.4,21.3,35.2,7.35,646.7,419.25,227.45
310,T7,MON_1X,96,2,1,24,0.5003,458.6,323.2,16.7,214,70.5,3.3,15.9,17.1,36.5,51.8,20.3,28.7,7.34,568.2,363.4,204.8
311,T7,MON_1X,96,2,2,25,0.5005,458.8,305.3,14.8,189.9,66.5,3.5,15.6,17,32.2,48.4,17.9,26.9,7.36,339.8,363.4,-23.6
312,T7,MON_1X,96,2,3,26,0.5005,458.8,312.1,16.7,212.8,68,3.2,15.8,17.1,36.3,53.4,20.1,29.6,7.4,403.1,363.4,39.7
313,T7,MON_1X,97,3,1,24,0.5002,458.5,293.3,17.4,205,64,3.1,16.9,18.5,37.9,59.2,21,32.9,7.3,515.4,439.525,75.875
314,T7,MON_1X,97,3,2,25,0.5005,458.8,280.3,17.1,205.9,61.1,3,16.6,18.1,37.3,61,20.7,33.9,7.18,665.1,439.525,225.575
315,T7,MON_1X,97,3,3,26,0.5002,458.5,258.3,18.7,221.3,56.3,2.5,17.1,18.5,40.8,72.5,22.7,40.2,7.22,571.5,439.525,131.975
316,T8,NUT_1X,95,1,1,27,0.5003,458.4,300.7,15.8,198.3,65.6,3.3,16,17.4,34.6,52.7,19.2,29.2,7.34,600.5,419.25,181.25
317,T8,NUT_1X,95,1,2,28,0.5004,458.5,299.2,16.5,203.7,65.3,3.2,16.1,17.6,35.9,55,19.9,30.5,7.25,637.2,419.25,217.95
318,T8,NUT_1X,95,1,3,29,0.5004,458.5,304,16.1,199.4,66.3,3.3,16.4,17.6,35.1,53,19.5,29.4,7.24,643.3,419.25,224.05
319,T8,NUT_1X,96,2,1,27,0.3501,320.8,165.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.32,717.5,363.4,354.1
320,T8,NUT_1X,96,2,2,28,0.5004,458.5,306.5,15.4,192.2,66.8,3.5,16.1,17.5,33.6,50.2,18.6,27.9,7.25,683.5,363.4,320.1
321,T8,NUT_1X,96,2,3,29,0.5004,458.5,322.5,16.2,206.4,70.3,3.4,15.6,17.1,35.4,50.3,19.6,27.9,7.39,676.5,363.4,313.1
322,T8,NUT_1X,97,3,1,27,0.5006,458.6,271.9,16.5,196.2,59.3,3,16.6,18.4,36.1,60.8,20,33.8,7.14,465.7,439.525,26.175
323,T8,NUT_1X,97,3,2,28,0.5006,458.6,298.4,17.4,207.1,65.1,3.1,16.5,18.4,38,58.4,21.1,32.4,7.17,463.3,439.525,23.775
324,T8,NUT_1X,97,3,3,29,0.5006,458.6,306,17.9,213.6,66.7,3.1,16.5,18.3,39,58.5,21.7,32.5,7.13,496.6,439.525,57.075
325,T9,BOV_MON_1X,95,1,1,30,0.5001,458.4,296.3,16.6,207,64.6,3.1,16.2,17.5,36.2,56.1,20.1,31.1,7.34,617.5,419.25,198.25
326,T9,BOV_MON_1X,95,1,2,31,0.5003,458.6,293.3,16,204.7,64,3.1,14.8,17,34.9,54.5,19.4,30.3,7.15,559.3,419.25,140.05
327,T9,BOV_MON_1X,95,1,3,32,0.5,458.4,297,15.7,204.9,64.8,3.2,14.3,16.8,34.3,53,19.1,29.4,7.19,621.7,419.25,202.45
328,T9,BOV_MON_1X,96,2,1,30,0.5005,458.8,271.1,14.6,192.1,59.1,3.1,14.1,16.6,31.9,53.9,17.7,29.9,7.35,644.1,363.4,280.7
329,T9,BOV_MON_1X,96,2,2,31,0.5,458.4,312.2,15.7,208.6,68.1,3.3,13.9,16.4,34.2,50.2,19,27.9,7.32,808.3,363.4,444.9
