id_lab,id,subset,no,requisitioner,tax_name,functional_group,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h,n_replicates_gas
F24-3460,CIAT-9336,1,778,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,47.13,76.77,169.79,72.28,4.35,18.33,20.07,34.22,48.04,188.45,3
F24-3461,CIAT-9349,1,781,Genetic_bank,Mucuna pruriens,Herbaceous_legumes,31.34,61.73,134.99,57.9,4.29,16.97,18.53,25.01,43.22,188.98,3
F24-3462,CIAT-9356,1,784,Genetic_bank,Tephrosia noctiflora,Shrub_Trees,33.11,62.91,135.16,55.38,4.1,18.23,20.57,27.81,50.96,342.42,3
F24-3463,CIAT-9432,1,787,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,37.1,72.82,159.5,51.58,3.25,17.07,18.9,30.15,58.63,-1469.41,3
F24-3464,CIAT-9433,1,790,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,37.39,67.19,142.45,60.78,4.27,17.73,19.28,27.47,45.26,1284.79,3
F24-3465,CIAT-9435,1,793,Genetic_bank,Desmanthus pubescens,Shrub_Trees,27.21,48.01,101.46,42.1,4.15,15.6,18.8,19.08,45.38,-548.0,3
F24-3466,CIAT-9530,1,796,Genetic_bank,Crotalaria maypurensis,Herbaceous_legumes,45.95,86.36,185.09,69.52,3.76,16.7,19.15,35.44,51.03,-3868.87,3
F24-3467,CIAT-9562,1,800,Genetic_bank,Eriosema diffusum,Herbaceous_legumes,18.07,31.93,67.98,25.77,3.79,16.8,18.23,12.39,48.1,-128.06,1
F24-3468,CIAT-9982,1,802,Genetic_bank,Crotalaria incana,Herbaceous_legumes,44.03,87.84,187.15,74.0,3.95,16.67,18.91,35.39,47.86,171.1,3
F24-3469,CIAT-10647,1,805,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,40.64,79.43,170.82,71.89,4.21,15.5,18.64,31.84,45.3,129.47,3
F24-3470,CIAT-11194,1,808,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,30.75,67.19,144.58,57.82,4.0,14.83,18.04,26.08,45.16,194.86,3
F24-3471,CIAT-11999,1,811,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,34.49,78.22,167.21,58.55,3.5,12.98,16.25,27.25,46.61,139.83,9
F24-3472,CIAT-12318,1,814,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,39.9,82.4,175.02,56.88,3.25,13.99,16.96,29.75,52.27,259.42,9
F24-3473,CIAT-13575,1,817,Genetic_bank,Desmodium incanum,Herbaceous_legumes,25.6,51.93,110.26,42.85,3.89,13.6,16.23,17.97,42.43,502.53,9
F24-3474,CIAT-13609,1,820,Genetic_bank,Desmodium incanum,Herbaceous_legumes,27.51,50.25,107.53,38.4,3.58,13.66,16.31,17.58,46.39,-1188.43,9
F24-3475,CIAT-15551,1,823,Genetic_bank,Centrosema molle,Herbaceous_legumes,32.77,65.88,140.48,49.72,3.55,14.79,17.49,24.68,50.03,290.19,9
F24-3476,CIAT-17024,1,826,Genetic_bank,Desmanthus pernambucanus,Shrub_Trees,28.59,50.45,108.95,40.14,3.7,14.17,16.84,18.45,46.29,-1508.62,9
F24-3477,CIAT-17091,1,829,Genetic_bank,Crotalaria micans,Herbaceous_legumes,41.67,87.22,184.37,66.12,3.59,15.17,17.47,32.25,48.83,212.3,9
F24-3478,CIAT-17365,1,832,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,47.57,86.39,184.9,63.39,3.43,15.12,17.56,32.55,51.29,221.13,9
F24-3479,CIAT-17451,1,835,Genetic_bank,Canavalia sp.,Herbaceous_legumes,35.57,68.16,148.64,62.07,4.18,12.8,15.61,23.25,37.55,223.01,9
F24-3480,CIAT-17775,1,838,Genetic_bank,Christia obcordata,Herbaceous_legumes,45.41,83.24,176.41,59.09,3.35,15.26,18.43,32.55,55.22,244.5,9
F24-3481,CIAT-18016,1,841,Genetic_bank,Sesbania emerus,Shrub_Trees,31.79,61.95,132.84,50.31,3.8,14.23,15.96,21.31,42.47,612.91,9
