subset,id_lab,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
1,F24-3532,ABC-24466,Vigna umbellata,Herbaceous_legumes,13.63,14.71,31.71,61.87
1,F25-0899,ABC-32055,Flemingia macrophylla,,13.07,13.92,71.28,15.46
1,F24-3533,ABC-32246,Chamaecrista nictitans,Herbaceous_legumes,13.48,15.7,46.27,42.36
1,F24-3534,ABC-32365,Desmanthus virgatus,Shrub_Trees,12.93,14.73,37.06,35.6
1,F24-3535,ABC-32373,Desmanthus pubescens,Shrub_Trees,12.34,14.13,31.7,42.56
1,F24-3428,ABC-3240,Desmodium cinereum,Herbaceous_legumes,17.96,18.55,39.06,56.51
1,F24-3429,ABC-3522,Desmodium incanum,Herbaceous_legumes,15.64,17.48,39.25,37.71
1,F25-0923,ABC-36099,Cenchrus ciliaris,,14.0,16.71,47.56,50.72
1,F24-3430,ABC-4134,Macroptilium lathyroides,Herbaceous_legumes,16.37,17.99,42.33,66.52
1,F24-3431,ABC-4279,Vigna umbellata,Herbaceous_legumes,16.66,17.91,41.87,70.2
1,F25-0893,ABC-43253,Desmodium scorpiurus,,15.47,16.41,55.84,49.54
1,F24-3432,ABC-5124,Centrosema molle x acutifolium,Herbaceous_legumes,16.04,17.43,36.76,58.03
1,F24-3433,ABC-5234,Centrosema brasilianum,Herbaceous_legumes,14.16,16.17,37.63,61.53
1,F24-3416,ABC-705,Indigofera suffruticosa,Herbaceous_legumes,14.26,17.35,31.84,74.34
1,F24-3417,ABC-707,Alysicarpus ovalifolius,Herbaceous_legumes,13.54,16.25,36.44,65.97
1,F24-3418,ABC-712,Clitoria ternatea,Herbaceous_legumes,12.57,14.79,40.73,62.66
1,F24-3434,ABC-7292,Chamaecrista desvauxii,Herbaceous_legumes,14.51,16.05,36.64,48.53
1,F24-3435,ABC-7317,Canavalia sp.,Herbaceous_legumes,14.86,16.36,32.97,69.48
1,F24-3436,ABC-7322,Canavalia sp.,Herbaceous_legumes,15.95,17.8,39.25,74.78
1,F24-3437,ABC-7339,Indigofera lespedezioides,Herbaceous_legumes,15.14,16.95,32.89,54.07
1,F24-3438,ABC-7469,Clitoria ternatea,Herbaceous_legumes,15.82,17.0,42.97,66.23
1,F24-3419,ABC-749,Crotalaria juncea,Herbaceous_legumes,14.03,15.59,35.43,65.15
1,F24-3439,ABC-7643,Desmanthus pernambucanus,Shrub_Trees,15.45,16.95,42.3,47.11
1,F24-3420,ABC-768,Clitoria ternatea,Herbaceous_legumes,13.49,15.73,39.08,64.82
1,F24-3440,ABC-7703,Aeschynomene indica,Herbaceous_legumes,15.29,16.22,40.57,57.76
