subset,id_lab,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
4,F26-1076,CIAT-BR06_423_Opt_F,Urochloa interespecifico,Grass,14.6,16.3,51.05,51.15
4,F26-1077,CIAT_MulatoII_Opt_D,Urochloa interespecifico,Grass,13.15,15.15,46.45,55.8
