31_no,31_date,31_requisitioner,31_gene_bank_id,31_genus,31_species,31_tax_name,31_family,31_order,31_functional_group,31_ciat_id,31_set_ciat,31_batch,31_run,31_replication,31_syrange_no,31_sample_weight_g,31_dm_incubated_mg,31_digested_feed_mg,31_time_0h,31_gas_0h_ml,31_time_8h,31_gas_8h_ml,31_ch4_8h_percentage,31_v8_push_back_ml,31_time_24h,31_gas_24h_ml,31_ch4_24h_percentage,31_remarks,31_gp_8h_ml,31_gp_8_24h_ml,31_net_gas_8h_ml,31_net_gas_8_24h_ml2,31_net_gas_24h_ml,31_ch4_8h_ml,31_ch4_8_24h_ml,31_ch4_24h_ml,31_gas_ml_g_dm_incubated_24h,31_percentage_dmd_truly_digestibility,31_part_fact,31_ch4_percentage_in_gas_8h,31_ch4_percentage_in_gas_24h,31_ch4_ml_g_dm_incubated_24h,31_ch4_ml_g_dmd_24h,31_ch4_ml_g_ndf_digested_in_24h,31_ch4_g_g_dm_incubated_24h,31_ch4_g_g_dmd_24h
No,Date,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Sample weight, g","DM Incubated, mg","Digested feed, mg",Time 0h,"Gas 0h, ml",Time 8h,"Gas 8h, ml",CH4 8h %,"V8 Push back, ml",Time 24h,"Gas 24h, ml","CH4 24h, %",Remarks,"GP 8h, ml","GP 8-24h, ml","Net gas 8h, ml","Net gas 8-24h, ml2","Net gas 24h, ml","CH4 8h, ml","CH4 8-24h, ml","CH4 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 % in gas, h8","CH4 % in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h"
656,45811,Breding ,CIAT-CIAT_26110,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1708,16,40,1,3,27,0.5,469.45,223.25,0.363888889,40.5,0.689583333,75,12.5,40.5,0.363888889,105,14.6,,34.5,64.5,27.36145888,53.32165705,80.68311593,3.420182359,7.78496193,11.20514429,171.8673254,47.55565023,2.766997747,12.5,13.88784278,23.86866395,50.19101585,20.13956179,13.24752144,27.85688216
657,45811,Breding ,CIAT-CIAT_26646,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1709,16,40,1,1,28,0.5001,467.89356,243.79356,0.363888889,40.5,0.690277778,71,10.8,39.5,0.364583333,103,14.1,,30.5,63.5,23.82143185,52.4366503,76.25808215,2.57271464,7.393567692,9.966282332,162.9816879,52.10449146,3.196953728,10.8,13.06914894,21.30031953,40.88000656,21.02315353,11.82204585,22.68911091
658,45811,Breding ,CIAT-CIAT_26646,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1709,16,40,1,2,29,0.5,467.8,223.6,0.365277778,40,0.690277778,71.5,10.5,40,0.365277778,102,14.1,,31.5,62,24.70643861,51.10914016,75.81557877,2.594176054,7.206388763,9.800564817,162.0683599,47.79820436,2.949261928,10.5,12.92684825,20.95033095,43.83079077,13.92234209,11.62779614,24.3268472
659,45811,Breding ,CIAT-CIAT_26646,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1709,16,40,1,3,30,0.5003,468.08068,256.78068,0.365277778,40,0.690972222,70,10,39.5,0.365277778,100.5,14.1,,30,61,23.37892847,50.22413341,73.60306188,2.337892847,7.081602811,9.419495658,157.2443919,54.85820949,3.488722798,10,12.79769539,20.12365829,36.68303884,25.56387087,11.16897851,20.35972121
660,45811,Breding ,CIAT-CIAT_6297,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1710,16,40,1,1,31,0.5001,475.5951,275.1951,0.365972222,40,0.691666667,73.5,12,40,0.365972222,104,14.3,,33.5,64,26.47645212,52.87915368,79.3556058,3.177174254,7.561718976,10.73889323,166.8553898,57.86331693,3.467872209,12,13.53262082,22.57990722,39.02283591,31.93880944,12.53223916,21.65834906
661,45811,Breding ,CIAT-CIAT_6297,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1710,16,40,1,2,32,0.5,475.5,250.5,0.365972222,39.5,0.692361111,70.5,12.1,39,0.365972222,101,14.5,,31,62,24.26393523,51.10914016,75.37307539,2.935936163,7.410825324,10.34676149,158.5133026,52.68138801,3.323467945,12.1,13.72739726,21.75975076,41.30443707,23.56870944,12.07703814,22.92467718
662,45811,Breding ,CIAT-CIAT_6297,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1710,16,40,1,3,33,0.5001,475.5951,238.9951,0.366666667,40,0.692361111,72.5,12.1,40,0.366666667,102,14.3,,32.5,62,25.59144536,51.10914016,76.70058553,3.096564889,7.308607044,10.40517193,161.2728675,50.25180032,3.115948833,12.1,13.56596154,21.87821517,43.53717684,19.64432293,12.14278794,24.16388638
663,45811,Breding ,CIAT-BR12_4400,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1711,16,40,1,1,34,0.5003,469.93179,261.63179,0.366666667,40,0.693055556,78.5,11.4,39.5,0.367361111,103,14.4,,38.5,63.5,30.9014859,52.4366503,83.3381362,3.522769393,7.550877643,11.07364704,177.3409205,55.6744182,3.139400543,11.4,13.28761062,23.56437098,42.3253116,22.89191649,13.07863358,23.49128021
664,45811,Breding ,CIAT-BR12_4400,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1711,16,40,1,2,35,0.5003,469.93179,276.63179,0.367361111,40.5,0.693055556,78.5,11.5,40.5,0.367361111,102,14.3,,38,61.5,30.45898252,50.66663679,81.12561931,3.50278299,7.24532906,10.74811205,172.6327544,58.8663708,3.409918992,11.5,13.24872727,22.87164282,38.85349565,28.44458693,12.69415747,21.56436229
665,45811,Breding ,CIAT-BR12_4400,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1711,16,40,1,3,36,0.5,469.65,286.45,0.367361111,40.5,0.694444444,78.5,11.5,40,0.368055556,102,14.4,,38,62,30.45898252,51.10914016,81.56812269,3.50278299,7.359716184,10.86249917,173.6785323,60.99222826,3.511788559,11.5,13.31708861,23.12892404,37.92110027,32.14269506,12.83695299,21.04686673
666,45811,Breding ,CIAT-BR15_3434,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1712,16,40,1,1,37,0.5005,473.548075,281.548075,0.368055556,40,0.694444444,75.5,12.4,40,0.36875,102,13.9,,35.5,62,28.24646563,51.10914016,79.3556058,3.502561738,7.104170483,10.60673222,167.5766622,59.45501415,3.547929251,12.4,13.36607807,22.39842749,37.6728991,27.74661704,12.43151477,20.90911078
667,45811,Breding ,CIAT-BR15_3434,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1712,16,40,1,2,38,0.5006,473.64269,266.04269,0.368055556,40.5,0.695138889,76,12.3,39,0.369444444,103,13.9,,35.5,64,28.24646563,52.87915368,81.12561931,3.474315273,7.350202361,10.82451763,171.2802098,56.16949139,3.279391791,12.3,13.34290909,22.85376268,40.68714549,21.89163574,12.68423368,22.58206968
668,45811,Breding ,CIAT-BR15_3434,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1712,16,40,1,3,39,0.5003,473.358845,245.058845,0.36875,40,0.695833333,76,12.5,40,0.370138889,102,14.2,,36,62,28.68896901,51.10914016,79.79810917,3.586121126,7.257497903,10.84361903,168.5784686,51.77020512,3.07098561,12.5,13.58881701,22.9078196,44.24904161,14.05186691,12.71423621,24.55898365
669,45811,Breding ,CIAT-BR15_3811,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1713,16,40,1,1,40,0.5004,481.86018,243.76018,0.36875,40,0.696527778,76.5,11.8,40.5,0.370138889,99.5,14,,36.5,59,29.13147239,48.4541199,77.58559228,3.437513742,6.783576785,10.22109053,161.0126661,50.58732597,3.141822764,11.8,13.17395437,21.21173517,41.93092788,15.27319269,11.77288,23.27239042
670,45811,Breding ,CIAT-BR15_3811,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1713,16,40,1,2,41,0.5005,481.956475,241.556475,0.369444444,40.5,0.696527778,83.5,12,40,0.370833333,99,14,,43,59,34.8840163,48.4541199,83.3381362,4.186081956,6.783576785,10.96965874,172.916312,50.11997712,2.898510646,12,13.16283186,22.7606834,45.41239783,14.47184006,12.63257307,25.20466648
671,45811,Breding ,CIAT-BR15_3811,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1713,16,40,1,3,42,0.5003,481.763885,210.463885,0.369444444,40.5,0.697222222,82.5,11.8,40,0.371527778,99.5,13.9,,42,59.5,33.99900955,48.89662327,82.89563282,4.011883126,6.796630635,10.80851376,172.0669303,43.68610673,2.538901964,11.8,13.03870107,22.43529268,51.3556697,3.439826359,12.45197559,28.50328519
672,45811,Breding ,CIAT-BR15_6547,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1714,16,40,1,1,43,0.5002,473.86447,274.16447,0.370138889,40.5,0.697222222,76,11.8,40,0.371527778,101,14.1,,35.5,61,28.24646563,50.22413341,78.47059904,3.333082945,7.081602811,10.41468576,165.5971359,57.85714848,3.493849586,11.8,13.27208647,21.97819506,37.98700012,27.64554636,12.19827851,21.08344228
673,45811,Breding ,CIAT-BR15_6547,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1714,16,40,1,2,44,0.5004,474.05394,148.45394,0.370833333,42,0.697916667,72,12.4,44,0.372222222,100,14.2,,30,56,23.37892847,45.79909963,69.1780281,2.898987131,6.503472147,9.402459278,145.9286007,31.31583296,2.145969523,12.4,13.59168443,19.8341549,63.33586888,-17.92285525,11.00829912,35.152503
674,45811,Breding ,CIAT-BR15_6547,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1714,16,40,1,3,45,0.5001,473.769735,213.169735,0.371527778,40.5,0.698611111,77,11.1,40.5,0.372222222,100,14.2,,36.5,59.5,29.13147239,48.89662327,78.02809566,3.233593435,6.943320505,10.17691394,164.6962436,44.9943758,2.731961266,11.1,13.0426276,21.48071772,47.74089502,5.561637568,11.92216997,26.4970227
675,45811,Breding ,CIAT-BR15_7121,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1715,16,40,1,1,46,0.5002,474.31465,178.71465,0.371527778,40,0.699305556,78,11.1,39.5,0.372916667,102,14.5,,38,62.5,30.45898252,51.55164354,82.01062606,3.38094706,7.474988314,10.85593537,172.9034219,37.67850097,2.179164562,11.1,13.23723022,22.88762401,60.74451856,-10.34259743,12.70302731,33.71425874
676,45811,Breding ,CIAT-BR15_7121,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1715,16,40,1,2,47,0.5006,474.69395,238.79395,0.372222222,40.5,0.699305556,79.5,11.1,40.5,0.373611111,103,14.6,,39,62.5,31.34398928,51.55164354,82.89563282,3.47918281,7.526539957,11.00572277,174.6296384,50.30482272,2.880657785,11.1,13.27660142,23.18488105,46.08878394,12.0127881,12.86801011,25.58007247
677,45811,Breding ,CIAT-BR15_7121,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1715,16,40,1,3,48,0.5001,474.219825,220.219825,0.372222222,40.5,0.7,81.5,10.9,40.5,0.374305556,102,14.7,,41,61.5,33.11400279,50.66663679,83.78063958,3.609426304,7.447995608,11.05742191,176.6704704,46.43834218,2.628528812,10.9,13.19806338,23.31708066,50.21083779,5.167036431,12.94138318,27.86788367
678,45811,Breding ,CIAT-BR15_8887,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1716,16,40,1,1,49,0.5001,473.94477,259.64477,0.372222222,40,0.700694444,79,11.5,40,0.374305556,102,14.8,,39,62,31.34398928,51.10914016,82.45312944,3.604558767,7.564152744,11.16871151,173.9720209,54.78376099,3.148998367,11.5,13.54552773,23.56542833,43.01535329,23.93600973,13.07922043,23.87426529
679,45811,Breding ,CIAT-BR15_8887,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1716,16,40,1,2,50,0.5002,474.03954,219.73954,0.372916667,40,0.700694444,80,11.7,40,0.375,99.5,14.8,,40,59.5,32.22899603,48.89662327,81.12561931,3.770792536,7.236700245,11.00749278,171.1368197,46.35468594,2.708633128,11.7,13.56845455,23.2206216,50.09336408,9.75638984,12.88784673,27.80268373
680,45811,Breding ,CIAT-BR15_8887,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1716,16,40,1,3,51,0.5004,474.22908,248.32908,0.372916667,40.5,0.701388889,81,11.1,40,0.375694444,100,15,,40.5,60,32.67149941,49.33912665,82.01062606,3.626536435,7.400868998,11.02740543,172.9346207,52.36479382,3.028011026,11.1,13.44631295,23.25333029,44.40642003,19.86675721,12.90600062,24.64633139
681,45811,,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,,,,BLANK 8H,16,40,1,1,52,,,0,0.373611111,39.5,0.701388889,42,-,-,,,,,2.5,,,,,,,,,,,,,,,,,
682,45811,,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,,,,BLANK 8H,16,40,1,2,53,,,0,0.374305556,39.5,0.702083333,42.5,-,-,,,,,3,,,,,,,,,,,,,,,,,
683,45811,Breding ,CIAT-BR19_4678,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1717,16,40,1,1,54,0.5004,464.19606,213.09606,0.374305556,40.5,0.702083333,86.5,11.7,40,0.376388889,98,14.1,,46,58,38.38716805,48.4541199,86.84128794,4.491298661,6.832030905,11.32332957,187.0788993,45.90647753,2.453856513,11.7,13.03910828,24.39342024,53.13720754,-0.386976831,13.53877027,29.49206951
684,45811,Breding ,CIAT-BR19_4678,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1717,16,40,1,2,55,0.5002,464.01053,270.11053,0.375,40.5,0.702777778,83.5,12,40,0.376388889,98.5,14.3,,43,58.5,35.73214778,48.89662327,84.62877105,4.287857733,6.992217128,11.28007486,182.3854537,58.21215523,3.191710415,12,13.32888889,24.30995448,41.76095934,22.44994939,13.49244532,23.17805494
685,45811,Breding ,CIAT-BR19_4678,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1717,16,40,1,3,56,0.5004,464.19606,200.09606,0.375694444,40.5,0.703472222,82.5,12.4,40,0.377083333,96,14.1,,42,56,34.84714102,46.68410638,81.53124741,4.321045487,6.582459,10.90350449,175.6396799,43.10593675,2.454225421,12.4,13.3734057,23.48900697,54.49135024,-5.584231705,13.03680525,30.24364214
686,45811,Breding ,CIAT-BR19_5029,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1718,16,40,1,1,57,0.5,478.1,271.7,0.375694444,40.5,0.703472222,79.5,11.3,40,0.377777778,96.5,14.8,,39,56.5,32.19212075,47.12660976,79.31873051,3.637709645,6.974738245,10.61244789,165.9040588,56.82911525,3.42542043,11.3,13.37949791,22.19713008,39.05943279,26.92190478,12.31979123,21.67866097
687,45811,Breding ,CIAT-BR19_5029,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1718,16,40,1,2,58,0.5003,478.38686,204.48686,0.376388889,40.5,0.704861111,80,12.7,40.5,0.378472222,97.5,14.7,,39.5,57,32.63462413,47.56911314,80.20373727,4.144597265,6.992659632,11.1372569,167.6545574,42.74508292,2.549592662,12.7,13.8862069,23.28085871,54.46441349,3.080969823,12.92127937,30.22869178
688,45811,Breding ,CIAT-BR19_5029,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1718,16,40,1,3,59,0.5001,478.19562,208.09562,0.376388889,40.5,0.705555556,80.5,12.3,40,0.378472222,98,14.9,,40,58,33.07712751,48.4541199,81.53124741,4.068486684,7.219663865,11.28815055,170.4976875,43.51683941,2.552341913,12.3,13.84518318,23.60571715,54.2450175,4.387370979,13.10158142,30.10692321
689,45811,Breding ,CIAT-BR19_5357,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1719,16,40,1,1,60,0.5,472.825,231.225,0.377083333,40.5,0.70625,77.5,12.4,40,0.379166667,98,14.9,,37,58,30.42210724,48.4541199,78.87622714,3.772341298,7.219663865,10.99200516,166.8190708,48.90287104,2.931491634,12.4,13.93576438,23.24751264,47.53813455,12.51240654,12.90277172,26.38448714
690,45811,Breding ,CIAT-BR19_5357,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1719,16,40,1,2,61,0.5003,473.108695,285.708695,0.377083333,40.5,0.70625,78,12.2,39,0.379861111,100,14.7,,37.5,61,30.86461062,51.10914016,81.97375078,3.765482495,7.513043604,11.2785261,173.2662106,60.38965211,3.485368088,12.2,13.75870445,23.83918583,39.47561379,32.17986835,13.23116058,21.90964862
691,45811,Breding ,CIAT-BR19_5357,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1719,16,40,1,3,62,0.5003,473.108695,276.808695,0.378472222,40.5,0.706944444,79,11.7,40,0.380555556,100,14.7,,38.5,60,31.74961737,50.22413341,81.97375078,3.714705233,7.382947611,11.09765284,173.2662106,58.50847763,3.376796747,11.7,13.53805668,23.4568778,40.09141708,28.95895494,13.01897301,22.25143011
692,45811,Breding ,CIAT-BR19_5381,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1720,16,40,1,1,63,0.5,472.875,216.675,0.378472222,40.5,0.706944444,73,11.3,40,0.380555556,95.5,14.3,,32.5,55.5,26.43957684,46.24160301,72.68117984,2.987672183,6.61254923,9.600221413,153.7006182,45.82077716,2.981170648,11.3,13.2086758,20.30181636,44.3070101,12.62120339,11.26785932,24.59115716
693,45811,Breding ,CIAT-BR19_5381,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1720,16,40,1,2,64,0.5002,473.06415,246.76415,0.379166667,40,0.707638889,73.5,12.1,40,0.38125,96,14.2,,33.5,56,27.32458359,46.68410638,74.00868998,3.306274615,6.629143107,9.935417721,156.4453573,52.16293604,3.334259126,12.1,13.42466368,21.00226306,40.26280852,22.84966703,11.65661936,22.34655532
694,45811,Breding ,CIAT-BR19_5381,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1720,16,40,1,3,65,0.5002,473.06415,260.96415,0.379166667,40.5,0.708333333,75,11.3,40,0.381944444,97,14.6,,34.5,57,28.20959035,47.56911314,75.77870349,3.18768371,6.945090518,10.13277423,160.1869503,55.1646431,3.443766362,11.3,13.37153285,21.41945068,38.82822306,27.69073962,11.8881657,21.55033557
695,45811,Breding ,CIAT-BR02_0465,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1721,16,40,1,1,66,0.5002,484.59376,213.39376,0.379166667,40.5,0.708333333,75,11.5,40,0.381944444,99.5,14.6,,34.5,59.5,28.20959035,49.78163003,77.99122038,3.24410289,7.268117984,10.51222087,160.9414458,44.03559798,2.736125412,11.5,13.4787234,21.69285233,49.26208187,14.70791432,12.03990835,27.34130772
696,45811,Breding ,CIAT-BR02_0465,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1721,16,40,1,2,67,0.5001,484.49688,275.19688,0.379861111,39.5,0.709027778,73,11.2,39,0.382638889,99,14.4,,33.5,60,27.32458359,50.22413341,77.548717,3.060353363,7.232275211,10.29262857,160.0603021,56.8005474,3.54869675,11.2,13.2724679,21.24395223,37.4009639,34.16223029,11.79076103,20.75818204
697,45811,Breding ,CIAT-BR02_0465,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1721,16,40,1,3,69,0.5,484.4,185.1,0.380555556,40.5,0.709027778,75.5,11.2,40,0.383333333,99,14.6,,35,59,28.65209373,49.33912665,77.99122038,3.209034498,7.203512491,10.41254699,161.0058224,38.2122213,2.373344065,11.2,13.35092199,21.49576174,56.25363041,5.832845088,11.93051967,31.22173812
698,45811,Breding ,CIAT-BR04_3025,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1722,16,40,1,1,70,0.5004,479.55834,258.85834,0.380555556,40,0.709722222,81,11.8,39.5,0.384027778,106,15,,41,66.5,33.96213427,55.97667732,89.93881159,4.007531843,8.396501598,12.40403344,187.5450891,53.97848779,2.878160556,11.8,13.79163592,25.86553586,47.91822988,31.73908008,14.3558199,26.59544662
699,45811,Breding ,CIAT-BR04_3025,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1722,16,40,1,2,71,0.5001,479.270835,212.570835,0.381944444,42,0.710416667,80.5,13.1,40,0.384722222,108,15,,38.5,68,31.74961737,57.30418746,89.05380483,4.159199876,8.595628119,12.75482799,185.8110244,44.35296694,2.386993295,13.1,14.3226087,26.61298594,60.0027186,17.46212836,14.77066763,33.30254693
700,45811,Breding ,CIAT-BR04_3025,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1722,16,40,1,3,72,0.5002,479.36667,237.96667,0.381944444,40,0.710416667,78.5,12.4,39.5,0.384722222,107,15,,38.5,67.5,31.74961737,56.86168408,88.61130145,3.936952554,8.529252612,12.46620517,184.8507771,49.64188895,2.68551151,12.4,14.06841448,26.00557349,52.38634959,25.30686585,14.43354321,29.07533036
701,45811,Breding ,CIAT-BR05_1435,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1723,16,40,1,1,73,0.5,480.3,247.7,0.382638889,40,0.711111111,66.5,11.2,40,0.385416667,100,14.4,,26.5,60,21.1295363,50.22413341,71.35366971,2.366508066,7.232275211,9.598783277,148.5606282,51.57193421,3.471440236,11.2,13.4524031,19.98497455,38.75164827,24.28974315,11.09200664,21.50783523
702,45811,Breding ,CIAT-BR05_1435,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1723,16,40,1,2,74,0.5004,480.68424,184.98424,0.382638889,40.5,0.711805556,65.5,12,40,0.386111111,96,14.2,,25,56,19.80202617,46.68410638,66.48613255,2.37624314,6.629143107,9.005386247,138.3156073,38.48352507,2.782298096,12,13.54475874,18.7345153,48.68191067,3.82791381,10.39798012,27.01930267
703,45811,Breding ,CIAT-BR05_1435,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1723,16,40,1,3,75,0.5004,480.68424,161.48424,0.382638889,40.5,0.711805556,66,10.9,40,0.386111111,99.5,14.3,,25.5,59.5,20.24452955,49.78163003,70.02615958,2.20665372,7.118773094,9.325426815,145.6801654,33.59466081,2.306055922,10.9,13.31706161,19.40031738,57.74821626,-3.815116375,10.76751179,32.05125913
704,45811,Breding ,CIAT-BR09_3660,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1724,16,40,1,1,76,0.5001,481.29624,263.39624,0.384027778,40.5,0.7125,77,11.7,39,0.3875,91,14.3,,36.5,52,29.97960386,43.14407936,73.12368322,3.507613652,6.169603348,9.677217,151.9307178,54.72642795,3.602064726,11.7,13.23403933,20.10657096,36.74014861,26.083964,11.15949475,20.39141812
705,45811,Breding ,CIAT-BR09_3660,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1724,16,40,1,2,77,0.5004,481.58496,150.58496,0.384027778,40,0.713194444,77.5,11.5,40,0.388194444,96,14.4,,37.5,56,30.86461062,46.68410638,77.548717,3.549430221,6.722511319,10.27194154,161.0281123,31.26861769,1.941811107,11.5,13.24579173,21.32944837,68.21359544,-12.21450173,11.83821287,37.85972563
706,45811,Breding ,CIAT-BR09_3660,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1724,16,40,1,3,78,0.5003,481.48872,244.38872,0.384722222,40.5,0.713194444,77.5,11.7,40,0.388194444,95.5,14.4,,37,55.5,30.42210724,46.24160301,76.66371025,3.559386547,6.658790833,10.21817738,159.2222353,50.75689416,3.187801885,11.7,13.32857143,21.22204936,41.81116616,19.60309251,11.77860456,23.2059206
707,45811,Breding ,CIAT-BR19_1264,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1725,16,40,1,1,79,0.5004,481.86018,218.76018,0.384722222,40,0.713888889,76,11.2,40,0.389583333,99,14.9,,36,59,29.53710048,49.33912665,78.87622714,3.308155254,7.351529871,10.65968513,163.6911088,45.39909897,2.77346151,11.2,13.514446,22.12194651,48.7277215,3.017937774,12.27806304,27.04472847
708,45811,Breding ,CIAT-BR19_1264,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1725,16,40,1,2,80,0.5003,481.763885,0,0.385416667,41,0.714583333,77.5,11.13,40,0.390277778,100,14.4,,36.5,60,29.97960386,50.22413341,80.20373727,3.33672991,7.232275211,10.56900512,,,,,,,,,,
709,45811,Breding ,CIAT-BR19_1264,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1725,16,40,1,3,81,0.5004,481.86018,223.86018,0.385416667,40.5,0.714583333,77,11.6,40.5,0.390277778,98,14.8,,36.5,57.5,29.97960386,48.01161652,77.99122038,3.477634048,7.105719245,10.58335329,161.8544624,46.45749728,2.870325389,11.6,13.56992908,21.96353576,47.27662281,4.897863724,12.19014234,26.2393436
710,45811,Breding ,CIAT-BR19_5217,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1726,16,40,1,1,82,0.5003,481.2886,254.0886,0.386111111,40,0.715277778,78.5,11.6,40,0.390972222,99.5,14.5,,38.5,59.5,31.74961737,49.78163003,81.53124741,3.682955615,7.218336354,10.90129197,169.4019917,52.79339673,3.116456673,11.6,13.37069199,22.65021854,42.90350677,22.23605424,12.57126316,23.81218853
711,45811,Breding ,CIAT-BR19_5217,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1726,16,40,1,2,83,0.5004,481.3848,207.6848,0.386805556,40,0.715277778,77.5,12.1,40,0.391666667,99.5,14.6,,37.5,59.5,30.86461062,49.78163003,80.64624065,3.734617885,7.268117984,11.00273587,167.5296782,43.14319854,2.575257053,12.1,13.64320988,22.85642561,52.97805073,6.33917888,12.68571165,29.40373473
712,45811,Breding ,CIAT-BR19_5217,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1726,16,40,1,3,84,0.5002,481.1924,244.9924,0.3875,40,0.715972222,77.5,11.6,40,0.392361111,99,14.7,,37.5,59,30.86461062,49.33912665,80.20373727,3.580294832,7.252851618,10.83314645,166.6770657,50.91360545,3.054625736,11.6,13.50703448,22.51312874,44.21829595,19.13945384,12.49517595,24.54191928
713,45811,Breding ,CIAT-CIAT_26124,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,F25-1727,16,40,1,1,85,0.5001,480.24603,197.94603,0.388194444,40,0.716666667,76,12.7,40,0.392361111,96,14.2,,36,56,29.53710048,46.68410638,76.22120687,3.751211762,6.629143107,10.38035487,158.7128307,41.21762964,2.596994172,12.7,13.61872279,21.61466044,52.44032865,9.39133663,11.9965105,29.10528967
