32_no,32_date,32_requisitioner,32_gene_bank_id,32_genus,32_species,32_tax_name,32_family,32_order,32_functional_group,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight,32_digested_weight_g,32_remarks,32_undigested_dm_g,32_digested_feed_mg,32_percentage_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_ndf_digestibillity_in_24h,32_remarks
No,Date,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks
25,45789,Genetic bank,ABC-715,Canavalia,ensiformis,Canavalia ensiformis,Fabaceae,Fabales,Climber,F24-3616,14,34,1,2,26,0.5542,0.7312,,0.177,276.46248,60.96700217,189.2298929,12.2298929,6.462981465,
26,45789,Genetic bank,ABC-715,Canavalia,ensiformis,Canavalia ensiformis,Fabaceae,Fabales,Climber,F24-3616,14,34,1,3,27,0.5649,0.751,,0.1861,267.09062,58.93560198,189.1164457,3.016445726,1.595020314,
27,45789,Genetic bank,ABC-887,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,F24-3617,14,34,1,1,28,0.5763,0.7822,,0.2059,255.18436,55.34439728,203.4534739,-2.44652615,-1.202499079,
28,45789,Genetic bank,ABC-887,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,F24-3617,14,34,1,2,29,0.5346,0.7438,,0.2092,251.7,54.61054459,203.372125,-5.827875,-2.865621333,
29,45789,Genetic bank,ABC-887,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,F24-3617,14,34,1,3,30,0.5617,0.7733,,0.2116,249.3,54.08982426,203.372125,-8.227875,-4.045724064,
30,45789,Genetic bank,ABC-923,Galactia,latisiliqua,Galactia latisiliqua,Fabaceae,Fabales,Climber,F24-3618,14,34,1,1,31,0.5767,0.7243,,0.1476,316.803475,68.21729209,216.899643,69.299643,31.95009546,
31,45789,Genetic bank,ABC-923,Galactia,latisiliqua,Galactia latisiliqua,Fabaceae,Fabales,Climber,F24-3618,14,34,1,2,32,0.5692,0.7611,,0.1919,272.689125,58.69468533,216.9863508,25.08635083,11.56125753,
32,45789,Genetic bank,ABC-923,Galactia,latisiliqua,Galactia latisiliqua,Fabaceae,Fabales,Climber,F24-3618,14,34,1,3,33,0.555,0.7228,,0.1678,296.6963,63.8748468,216.9429969,49.14299692,22.65249287,
33,45789,Genetic bank,ABC-3813,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,F24-3619,14,34,1,1,34,0.5712,0.9298,,0.3586,107.3655,23.04151273,256.0713405,-102.5286595,-40.03909975,
34,45789,Genetic bank,ABC-3813,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,F24-3619,14,34,1,2,35,0.5631,0.9272,,0.3641,101.7724,21.84555256,256.0201774,-108.0798226,-42.21535336,
35,45789,Genetic bank,ABC-3813,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,F24-3619,14,34,1,3,36,0.5664,0.9155,,0.3491,116.8655,25.08029028,256.0713405,-93.02865948,-36.32919611,
36,45789,Genetic bank,ABC-5512,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,F24-3620,14,34,1,1,37,0.5694,0.7419,,0.1725,289.40362,62.65454685,214.2539941,41.75399414,19.48808203,
37,45789,Genetic bank,ABC-5512,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,F24-3620,14,34,1,2,38,0.5508,0.7337,,0.1829,278.45,60.35547849,213.9971975,31.0971975,14.531591,
38,45789,Genetic bank,ABC-5512,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,F24-3620,14,34,1,3,39,0.5559,0.7504,,0.1945,266.94227,57.84954855,214.0399969,19.53999694,9.129133442,
39,45789,Genetic bank,ABC-5568,Centrosema,acutifolium,Centrosema acutifolium,Fabaceae,Fabales,Climber,F24-3621,14,34,1,1,40,0.5708,0.8337,,0.2629,195.18316,42.60867394,267.6808945,4.780894546,1.786042502,
