32_no,32_date,32_requisitioner,32_gene_bank_id,32_genus,32_species,32_tax_name,32_family,32_order,32_functional_group,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight,32_digested_weight_g,32_remarks,32_undigested_dm_g,32_digested_feed_mg,32_percentage_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_ndf_digestibillity_in_24h,32_remarks
No,Date,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks
259,45796,Genetic bank,ABC-7131,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,F24-3624,14,36,3,2,50,0.5908,0.9442,,0.3534,107.74221,23.36420472,285.2856282,-68.11437178,-23.87585109,
260,45796,Genetic bank,ABC-7131,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,F24-3624,14,36,3,3,51,0.5696,0.9539,,0.3843,77.30326,16.74668849,285.5708568,-98.7291432,-34.57255558,
261,45796,,BLANK 8H,,,BLANK 8H,,,,BLANK 8H,14,36,3,1,52,,-,,,,,,,,
262,45796,,BLANK 8H,,,BLANK 8H,,,,BLANK 8H,14,36,3,2,53,,-,,,,,,,,
263,45796,Genetic bank,ABC-7318,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,F24-3625,14,36,3,1,54,0.602,0.7982,,0.1962,266.31205,57.5794836,190.8093462,-5.390653773,-2.825151849,
264,45796,Genetic bank,ABC-7318,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,F24-3625,14,36,3,2,55,0.5757,0.8483,,0.2726,189.63482,41.0256458,190.694975,-81.90502501,-42.95080403,
265,45796,Genetic bank,ABC-7318,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,F24-3625,14,36,3,3,56,0.6148,0.8068,,0.192,270.05,58.44605562,190.6187275,-1.3812725,-0.724625811,
266,45796,Genetic bank,ABC-7395,Galactia,striata,Galactia striata,Fabaceae,Fabales,Climber,F24-3626,14,36,3,1,57,0.5997,0.8285,,0.2288,230.1919,50.15162577,220.201364,-8.598635975,-3.904896781,
267,45796,Genetic bank,ABC-7395,Galactia,striata,Galactia striata,Fabaceae,Fabales,Climber,F24-3626,14,36,3,2,58,0.6042,0.9349,,0.3307,128.10845,27.9219901,220.1133539,-110.5866461,-50.24077102,
268,45796,Genetic bank,ABC-7395,Galactia,striata,Galactia striata,Fabaceae,Fabales,Climber,F24-3626,14,36,3,3,59,0.5647,0.7483,,0.1836,275.3919,59.99929411,220.201364,36.60136402,16.62176989,
269,45796,Genetic bank,ABC-7648,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24-3627,14,36,3,1,60,0.5903,0.8647,,0.2744,185.616985,40.3500286,188.1009452,-86.29905483,-45.87911813,
270,45796,Genetic bank,ABC-7648,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24-3627,14,36,3,2,61,0.5613,0.7748,,0.2135,246.700955,53.60722361,188.1761705,-25.3238295,-13.45751135,
271,45796,Genetic bank,ABC-7648,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24-3627,14,36,3,3,62,0.57,0.8472,,0.2772,183.000955,39.76544442,188.1761705,-89.0238295,-47.30876883,
272,45796,Genetic bank,ABC-7746,Crotalaria,paulina,Crotalaria paulina,Fabaceae,Fabales,Herbaceous,F24-3628,14,36,3,1,63,0.5748,0.7164,,0.1416,318.79206,69.24360511,198.244821,56.64482104,28.57316561,
273,45796,Genetic bank,ABC-7746,Crotalaria,paulina,Crotalaria paulina,Fabaceae,Fabales,Herbaceous,F24-3628,14,36,3,2,64,0.6026,0.8268,,0.2242,236.46824,51.33156998,198.3637441,-25.83625586,-13.02468653,
274,45796,Genetic bank,ABC-7746,Crotalaria,paulina,Crotalaria paulina,Fabaceae,Fabales,Herbaceous,F24-3628,14,36,3,3,65,0.5889,0.8374,,0.2485,212.2603,46.06740207,198.4033852,-50.09661482,-25.24987907,
275,45796,Genetic bank,ABC-7813,Indigofera,cryptantha,Indigofera cryptantha,Fabaceae,Fabales,Herbaceous,F24-3629,14,36,3,1,66,0.5925,0.7296,,0.1371,314.0507,69.61104128,138.4807074,1.380707365,0.997039509,
276,45796,Genetic bank,ABC-7813,Indigofera,cryptantha,Indigofera cryptantha,Fabaceae,Fabales,Herbaceous,F24-3629,14,36,3,2,67,0.5523,0.7665,,0.2142,236.9507,52.52140804,138.4807074,-75.71929263,-54.67858597,
277,45796,Genetic bank,ABC-7813,Indigofera,cryptantha,Indigofera cryptantha,Fabaceae,Fabales,Herbaceous,F24-3629,14,36,3,3,69,0.5833,0.724,,0.1407,310.36056,68.80684935,138.4530389,-2.246961108,-1.622904868,
278,45796,Genetic bank,ABC-7831,Tephrosia,rhodesica,Tephrosia rhodesica,Fabaceae,Fabales,Shrub,F24-3630,14,36,3,1,70,0.573,0.8409,,0.2679,200.168595,42.76479925,243.2318454,-24.66815461,-10.14182767,
279,45796,Genetic bank,ABC-7831,Tephrosia,rhodesica,Tephrosia rhodesica,Fabaceae,Fabales,Shrub,F24-3630,14,36,3,2,71,0.5845,0.803,,0.2185,249.66219,53.3281404,243.280482,24.78048203,10.1859721,
280,45796,Genetic bank,ABC-7831,Tephrosia,rhodesica,Tephrosia rhodesica,Fabaceae,Fabales,Shrub,F24-3630,14,36,3,3,72,0.6056,0.815,,0.2094,258.94938,55.28978815,243.3777553,33.97775532,13.96091244,
281,45796,Genetic bank,ABC-7894,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24-3631,14,36,3,1,73,0.6109,0.8936,,0.2827,184.63513,39.5080785,191.2335352,-91.4664648,-47.8297202,
282,45796,Genetic bank,ABC-7894,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24-3631,14,36,3,2,74,0.6137,0.8382,,0.2245,242.64842,51.94246831,191.1571335,-33.34286654,-17.44264832,
283,45796,Genetic bank,ABC-7894,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24-3631,14,36,3,3,75,0.5933,0.8061,,0.2128,254.068355,54.41969932,191.0425309,-21.75746913,-11.3888091,
284,45796,Genetic bank,ABC-7991,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24-3632,14,36,3,1,76,0.5806,0.8993,,0.3187,146.5648,31.50137298,181.9650633,-136.7349367,-75.14351066,
285,45796,Genetic bank,ABC-7991,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24-3632,14,36,3,2,77,0.5722,0.8364,,0.2642,200.69296,43.16971373,181.8196367,-82.38036334,-45.3088373,
286,45796,Genetic bank,ABC-7991,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24-3632,14,36,3,3,78,0.6046,0.9029,,0.2983,166.77888,35.86034266,181.89235,-116.40765,-63.9981011,
287,45796,Genetic bank,ABC-8202,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,F24-3633,14,36,3,1,79,0.5626,0.7806,,0.218,245.367655,52.95312531,213.010111,-4.989888996,-2.34255969,
288,45796,Genetic bank,ABC-8202,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,F24-3633,14,36,3,2,80,0.5897,0.7611,,0.1714,292.338275,63.03949679,213.180485,41.78048502,19.59864432,
289,45796,Genetic bank,ABC-8202,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,F24-3633,14,36,3,3,81,0.5687,0.8364,,0.2677,195.76031,42.23885105,213.0527045,-54.64729549,-25.64966055,
290,45796,Genetic bank,ABC-9189,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24-3634,14,36,3,1,82,0.5763,0.8462,,0.2699,191.317225,41.48093667,181.7426475,-88.15735249,-48.50669543,
291,45796,Genetic bank,ABC-9189,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24-3634,14,36,3,2,83,0.5675,0.7674,,0.1999,261.77835,56.70145676,181.9243538,-17.97564618,-9.880835526,
292,45796,Genetic bank,ABC-9189,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24-3634,14,36,3,3,84,0.5964,0.79,,0.1936,267.986125,58.05766475,181.8880126,-11.71198744,-6.439120027,
293,45796,Genetic bank,ABC-9434,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24-3635,14,36,3,1,85,0.6224,0.9232,,0.3008,153.115765,33.73219809,216.404341,-84.39565904,-38.99906012,
294,45796,Genetic bank,ABC-9434,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24-3635,14,36,3,2,86,0.5902,0.8036,,0.2134,240.697295,53.00566589,216.4908854,3.090885391,1.427720796,
295,45796,Genetic bank,ABC-9434,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24-3635,14,36,3,3,87,0.6137,0.9461,,0.3324,121.60653,26.78519404,216.4476132,-115.9523868,-53.57064701,
296,45796,Genetic bank,ABC-11162,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,F24-3636,14,36,3,1,89,0.5874,0.8256,,0.2382,219.44082,47.95044725,235.2044994,-2.995500561,-1.273572814,
297,45796,Genetic bank,ABC-11162,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,F24-3636,14,36,3,2,90,0.5894,0.7593,,0.1699,287.832275,62.88223285,235.2515027,65.35150274,27.77941989,
298,45796,Genetic bank,ABC-11162,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,F24-3636,14,36,3,3,91,0.6238,0.9818,,0.358,99.366455,21.72578551,235.0634895,-122.9365105,-52.2992791,
299,45796,Genetic bank,ABC-13301,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,F24-3637,14,36,3,1,92,0.6055,0.9642,,0.3587,104.42771,22.54836144,271.9022785,-86.79772146,-31.92239577,
300,45796,Genetic bank,ABC-13301,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,F24-3637,14,36,3,2,93,0.6014,1.0297,,0.4283,34.73514,7.501620719,271.8479307,-156.4520693,-57.55131882,
301,45796,Genetic bank,ABC-13301,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,F24-3637,14,36,3,3,94,0.5892,0.945,,0.3558,107.32771,23.17453862,271.9022785,-83.89772146,-30.85583611,
302,45796,Genetic bank,ABC-15401,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,F24-3638,14,36,3,1,96,0.596,0.806,,0.21,256.31145,54.96572087,231.4770038,21.47700378,9.278245108,
303,45796,Genetic bank,ABC-15401,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,F24-3638,14,36,3,2,97,0.5692,0.9343,,0.3651,101.025,21.67337088,231.38445,-133.71555,-57.78934151,
304,45796,Genetic bank,ABC-15401,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,F24-3638,14,36,3,3,98,0.5747,0.8041,,0.2294,237.0979,50.82507338,231.5695576,2.16955756,0.936892389,
305,45796,LMF,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,F25-0017,14,36,3,1,100,0.6281,0.9057,,0.2776,-48.99342154,-21.4313262,#DIV/0!,#DIV/0!,#DIV/0!,
306,45796,LMF,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,F25-0017,14,36,3,2,101,0.5887,0.7233,,0.1346,93.91524542,41.09802182,#DIV/0!,#DIV/0!,#DIV/0!,
307,45796,LMF,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,F25-0017,14,36,3,3,102,0.5762,0.8392,,0.263,-34.66742064,-15.18286209,#DIV/0!,#DIV/0!,#DIV/0!,
308,45796,LMF,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,F25-0018,14,36,3,1,103,0.6036,0.7089,,0.1053,119.1121261,53.07740191,#DIV/0!,#DIV/0!,#DIV/0!,
309,45796,LMF,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,F25-0018,14,36,3,2,104,0.6013,0.8182,,0.2169,7.512126109,3.347468891,#DIV/0!,#DIV/0!,#DIV/0!,
310,45796,LMF,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,F25-0018,14,36,3,3,105,0.5822,0.6936,,0.1114,112.8327399,50.31947608,#DIV/0!,#DIV/0!,#DIV/0!,
311,45796,LMF,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,F25-0008,14,36,3,1,106,0.6036,1.0102,,0.4066,62.14841016,13.25837247,#DIV/0!,#DIV/0!,#DIV/0!,
312,45796,LMF,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,F25-0008,14,36,3,2,107,0.5813,0.8745,,0.2932,175.6421411,37.46295943,#DIV/0!,#DIV/0!,#DIV/0!,
313,45796,LMF,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,F25-0008,14,36,3,3,108,0.5869,0.8801,,0.2932,175.829603,37.48795425,#DIV/0!,#DIV/0!,#DIV/0!,
314,45796,,Blank 24 H,,,Blank 24 H,,,,Blank 24 H,14,36,3,1,109,,,,,,,,,,
315,45796,,Blank 24 H,,,Blank 24 H,,,,Blank 24 H,14,36,3,2,110,,,,,,,,,,
316,45798,,BLANK 24 H,,,BLANK 24 H,,,,BLANK 24 H,15,37,1,1,111,-,,,,,,,,,
317,45798,,BLANK 24 H,,,BLANK 24 H,,,,BLANK 24 H,15,37,1,2,112,-,,,,,,,,,
318,45798,Genetic bank,ABC-17360,Alysicarpus,vaginalis,Alysicarpus vaginalis,Fabaceae,Fabales,Herbaceous,F24-3639,15,37,1,1,113,0.607,0.7842,,0.1772,287.353565,61.85585187,172.1867789,-5.013221133,-2.911501781,
319,45798,Genetic bank,ABC-17360,Alysicarpus,vaginalis,Alysicarpus vaginalis,Fabaceae,Fabales,Herbaceous,F24-3639,15,37,1,2,114,0.5882,0.7623,,0.1741,290.54642,62.53064857,172.2211956,-1.878804427,-1.090925203,
320,45798,Genetic bank,ABC-17360,Alysicarpus,vaginalis,Alysicarpus vaginalis,Fabaceae,Fabales,Herbaceous,F24-3639,15,37,1,3,115,0.5991,0.7769,,0.1778,286.84642,61.73434415,172.2211956,-5.578804427,-3.239325107,
321,45798,Genetic bank,ABC-17768,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24-3640,15,37,1,1,116,0.5985,0.7935,,0.195,272.705455,58.30709308,224.8493975,29.84939749,13.27528462,
322,45798,Genetic bank,ABC-17768,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24-3640,15,37,1,2,117,0.6046,0.8155,,0.2109,256.89894,54.91652888,224.8943404,13.99434041,6.222628982,
323,45798,Genetic bank,ABC-17768,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24-3640,15,37,1,3,118,0.6091,0.7725,,0.1634,304.118485,65.04951029,224.7595117,61.35951166,27.3000734,
324,45798,Genetic bank,ABC-18004,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,F24-3641,15,37,1,1,119,0.5901,0.7718,,0.1817,283.09294,60.90732359,211.2716309,29.57163088,13.99697193,
325,45798,Genetic bank,ABC-18004,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,F24-3641,15,37,1,2,120,0.589,0.7603,,0.1713,293.67882,63.1596123,211.3561226,40.05612263,18.95195755,
326,45798,Genetic bank,ABC-18004,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,F24-3641,15,37,1,3,121,0.5848,0.8118,,0.227,237.79294,51.16104819,211.2716309,-15.72836912,-7.444619544,
327,45798,Genetic bank,ABC-18430,Alysicarpus,vaginalis,Alysicarpus vaginalis,Fabaceae,Fabales,Herbaceous,F24-3642,15,37,1,1,122,0.5957,0.8002,,0.2045,259.21325,55.8994702,185.7867136,-18.71328639,-10.07245676,
328,45798,Genetic bank,ABC-18430,Alysicarpus,vaginalis,Alysicarpus vaginalis,Fabaceae,Fabales,Herbaceous,F24-3642,15,37,1,2,123,0.6054,0.8058,,0.2004,262.94265,56.74907112,185.6382327,-14.76176728,-7.95190035,
329,45798,Genetic bank,ABC-18430,Alysicarpus,vaginalis,Alysicarpus vaginalis,Fabaceae,Fabales,Herbaceous,F24-3642,15,37,1,3,124,0.61,0.8147,,0.2047,258.9206,55.84751842,185.7495934,-18.95040661,-10.20212549,
330,45798,Genetic bank,ABC-18708,Crotalaria,pallida,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,F24-3644,15,37,1,1,125,0.6007,0.8,,0.1993,265.58219,57.12892335,199.2485066,-0.051493366,-0.02584379,
331,45798,Genetic bank,ABC-18708,Crotalaria,pallida,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,F24-3644,15,37,1,2,126,0.5975,0.7931,,0.1956,268.817865,57.88275716,199.0494969,3.449496939,1.732984505,
332,45798,Genetic bank,ABC-18708,Crotalaria,pallida,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,F24-3644,15,37,1,3,127,0.6084,0.7593,,0.1509,313.517865,67.50770989,199.0494969,48.14949694,24.18971044,
333,45798,Genetic bank,ABC-18850,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24-3645,15,37,1,1,128,0.5802,0.7757,,0.1955,274.55074,58.4087454,190.6290776,-4.870922393,-2.555183319,
334,45798,Genetic bank,ABC-18850,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24-3645,15,37,1,2,129,0.5997,0.8265,,0.2268,243.344675,51.75953019,190.6671729,-36.13282705,-18.9507331,
335,45798,Genetic bank,ABC-18850,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24-3645,15,37,1,3,130,0.614,0.8016,,0.1876,282.26287,60.07345718,190.5528869,2.952886929,1.549641664,
336,45798,Genetic bank,ABC-18865,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24-3646,15,37,1,1,131,0.6027,0.8326,,0.2299,237.43686,50.80636267,192.8699221,-37.03007788,-19.19950891,
337,45798,Genetic bank,ABC-18865,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24-3646,15,37,1,2,132,0.6205,0.843,,0.2225,244.93029,52.39931927,192.9084807,-29.59151932,-15.3396674,
338,45798,Genetic bank,ABC-18865,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24-3646,15,37,1,3,133,0.6131,0.8598,,0.2467,220.91715,47.24316677,192.9855978,-53.7144022,-27.83337348,
339,45798,Genetic bank,ABC-19032,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,F24-3647,15,37,1,1,134,0.6028,0.8182,,0.2154,247.06968,53.42397365,184.2941675,-31.10583252,-16.87835971,
340,45798,Genetic bank,ABC-19032,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,F24-3647,15,37,1,2,135,0.6176,0.8437,,0.2261,236.18484,51.09076041,184.2205087,-41.87949126,-22.73334904,
341,45798,Genetic bank,ABC-19032,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,F24-3647,15,37,1,3,136,0.609,0.8086,,0.1996,262.59242,56.81452327,184.1836794,-15.41632063,-8.370079631,
342,45798,Genetic bank,ABC-19119,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24-3648,15,37,1,1,137,0.6004,0.843,,0.2426,220.24498,47.5850424,191.455826,-51.14417402,-26.71330254,
343,45798,Genetic bank,ABC-19119,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24-3648,15,37,1,2,138,0.5977,0.8703,,0.2726,190.337475,41.11515815,191.4940865,-81.10591347,-42.35426531,
344,45798,Genetic bank,ABC-19119,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,F24-3648,15,37,1,3,139,0.595,0.811,,0.216,246.752485,53.32277902,191.4175654,-24.58243458,-12.84230866,
345,45798,Genetic bank,ABC-20303,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24-3650,15,37,1,1,140,0.6069,0.8395,,0.2326,212.275,47.71565046,147.075675,-85.524325,-58.14987761,
346,45798,Genetic bank,ABC-20303,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24-3650,15,37,1,2,141,0.5718,0.8304,,0.2586,186.6309,41.91777794,147.1933355,-111.4066645,-75.68730204,
347,45798,Genetic bank,ABC-20303,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24-3650,15,37,1,3,142,0.5627,0.7164,,0.1537,291.70885,65.49237852,147.2521658,-6.44783419,-4.378770359,
348,45798,Genetic bank,ABC-20589,Uraria,lagopodioides,Uraria lagopodioides,Fabaceae,Fabales,Herbaceous,F24-3651,15,37,1,1,143,0.5552,0.803,,0.2478,212.92721,46.21546229,177.6103395,-70.18966055,-39.51890456,
349,45798,Genetic bank,ABC-20589,Uraria,lagopodioides,Uraria lagopodioides,Fabaceae,Fabales,Herbaceous,F24-3651,15,37,1,2,144,0.5507,0.7724,,0.2217,238.475,51.82267616,177.3974625,-44.3025375,-24.97360271,
350,45798,Genetic bank,ABC-20589,Uraria,lagopodioides,Uraria lagopodioides,Fabaceae,Fabales,Herbaceous,F24-3651,15,37,1,3,145,0.5634,0.8093,,0.2459,214.551105,46.59584974,177.503901,-68.39609902,-38.5321667,
351,45798,Genetic bank,ABC-21687,Desmanthus,virgatus,Desmanthus virgatus,Fabaceae,Fabales,Shrub,F24-3652,15,37,1,1,146,0.5564,0.8843,,0.3279,131.97619,28.69820027,220.5106331,-107.3893669,-48.70031226,
352,45798,Genetic bank,ABC-21687,Desmanthus,virgatus,Desmanthus virgatus,Fabaceae,Fabales,Shrub,F24-3652,15,37,1,2,147,0.577,0.8781,,0.3011,158.225,34.44728678,220.2463375,-80.8536625,-36.71055938,
353,45798,Genetic bank,ABC-21687,Desmanthus,virgatus,Desmanthus virgatus,Fabaceae,Fabales,Shrub,F24-3652,15,37,1,3,148,0.5584,0.7818,,0.2234,236.016865,51.37313908,220.2903868,-3.109613233,-1.411597337,
354,45798,Genetic bank,ABC-22048,Aeschynomene,americana,Aeschynomene americana,Fabaceae,Fabales,Herbaceous,F24-3653,15,37,1,1,149,0.5471,0.8757,,0.3286,118.514405,26.50650564,184.9488736,-143.6511264,-77.67072248,
355,45798,Genetic bank,ABC-22048,Aeschynomene,americana,Aeschynomene americana,Fabaceae,Fabales,Herbaceous,F24-3653,15,37,1,2,150,0.561,0.7913,,0.2303,216.814405,48.49193016,184.9488736,-45.35112637,-24.52089893,
356,45798,Genetic bank,ABC-22048,Aeschynomene,americana,Aeschynomene americana,Fabaceae,Fabales,Herbaceous,F24-3653,15,37,1,3,151,0.5841,0.8692,,0.2851,161.925,36.22280633,184.9118913,-100.1881088,-54.18153915,
357,45798,Genetic bank,ABC-22156,Arachis,pintoi,Arachis pintoi,Fabaceae,Fabales,Herbaceous,F24-3654,15,37,1,1,152,0.5634,0.7744,,0.211,237.83378,52.98927812,187.5676367,-23.43236334,-12.49275395,
358,45798,Genetic bank,ABC-22156,Arachis,pintoi,Arachis pintoi,Fabaceae,Fabales,Herbaceous,F24-3654,15,37,1,2,153,0.5654,0.8538,,0.2884,160.43378,35.74458678,187.5676367,-100.8323633,-53.75786843,
359,45798,Genetic bank,ABC-22156,Arachis,pintoi,Arachis pintoi,Fabaceae,Fabales,Herbaceous,F24-3654,15,37,1,3,154,0.6143,0.822,,0.2077,241.044085,53.71526736,187.5301531,-20.16984688,-10.755522,
360,45798,Genetic bank,ABC-22507,Desmanthus,subulatus,Desmanthus subulatus,Fabaceae,Fabales,Shrub,F24-3655,15,37,1,1,155,0.584,0.9919,,0.4079,42.06982,9.349475927,196.6818083,-211.2181917,-107.3908123,
361,45798,Genetic bank,ABC-22507,Desmanthus,subulatus,Desmanthus subulatus,Fabaceae,Fabales,Shrub,F24-3655,15,37,1,2,156,0.5889,0.9015,,0.3126,137.1,30.48699133,196.56387,-116.03613,-59.03227791,
362,45798,Genetic bank,ABC-22507,Desmanthus,subulatus,Desmanthus subulatus,Fabaceae,Fabales,Shrub,F24-3655,15,37,1,3,157,0.5731,0.955,,0.3819,67.97988,15.11067354,196.6424955,-185.2575045,-94.2103099,
363,45798,Genetic bank,ABC-22510,Desmanthus,bicornutus,Desmanthus bicornutus,Fabaceae,Fabales,Shrub,F24-3656,15,37,1,1,158,0.6019,0.9283,,0.3264,113.35,25.7760091,188.520825,-137.879175,-73.1373709,
364,45798,Genetic bank,ABC-22510,Desmanthus,bicornutus,Desmanthus bicornutus,Fabaceae,Fabales,Shrub,F24-3656,15,37,1,2,159,0.5774,0.9185,,0.3411,99.08975,22.51068999,188.7093458,-152.3906542,-80.75416377,
365,45798,Genetic bank,ABC-22510,Desmanthus,bicornutus,Desmanthus bicornutus,Fabaceae,Fabales,Shrub,F24-3656,15,37,1,3,160,0.5914,0.9926,,0.4012,38.63795,8.784587596,188.5585292,-212.6414708,-112.7721306,
366,45798,,BLANK 8H,,,BLANK 8H,,,,BLANK 8H,15,37,1,1,161,-,,,,,,,,,
367,45798,,BLANK 8H,,,BLANK 8H,,,,BLANK 8H,15,37,1,2,162,-,,,,,,,,,
368,45798,Genetic bank,ABC-22598,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,F24-3657,15,37,1,1,163,0.5791,0.8192,,0.2401,204.663935,46.01630638,201.9895411,-38.11045892,-18.86754072,
369,45798,Genetic bank,ABC-22598,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,F24-3657,15,37,1,2,164,0.5827,0.8989,,0.3162,128.475,28.89188733,201.9491513,-114.2508488,-56.5740673,
370,45798,Genetic bank,ABC-22598,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,F24-3657,15,37,1,3,165,0.565,0.8584,,0.2934,151.719675,34.08514238,202.1511004,-91.2488996,-45.13895765,
371,45798,Genetic bank,ABC-22784,Desmanthus,bicornutus,Desmanthus bicornutus,Fabaceae,Fabales,Shrub,F24-3658,15,37,1,1,166,0.5909,0.8866,,0.2957,167.888125,36.21493217,193.1308129,-102.5691871,-53.10866019,
372,45798,Genetic bank,ABC-22784,Desmanthus,bicornutus,Desmanthus bicornutus,Fabaceae,Fabales,Shrub,F24-3658,15,37,1,2,167,0.5627,0.8277,,0.265,198.68075,42.84860866,193.1694005,-71.83059955,-37.18528886,
