"id_lab","net_gas_8h_ml","net_gas_8h_ml_SE","net_gas_24h_ml","net_gas_24h_ml_SE","ch4_8h_ml","ch4_8h_ml_SE","ch4_24h_ml","ch4_24h_ml_SE","ch4_percentage_in_gas_8h","ch4_percentage_in_gas_8h_SE","ch4_percentage_in_gas_24h","ch4_percentage_in_gas_24h_SE","gas_ml_g_dm_incubated_24h","gas_ml_g_dm_incubated_24h_SE","ch4_ml_g_ndf_digested_24h","ch4_ml_g_ndf_digested_24h_SE","methane_intensity","methane_intensity_SE","tddm","tddm_SE"
"F25-0008",20.6993246840766,0.741361086817699,54.3830505730567,1.36553391915377,3.03204953536052,0.111905918156826,8.50811242275086,0.256792691503169,14.7416666666674,0.134830125017111,16.2777777777841,0.160649847038588,106.811759524532,3.19666498836964,NA,NA,95.4057160483433,23.7528356925863,30.6862032811177,3.83259367120564
"F25-2077",34.0554166463165,1.21192245565369,76.2569423666923,2.50858881773146,4.75134520325636,0.169447633459445,11.8103695156217,0.415554257700546,13.9470283730372,0.22821319006166,16.6408541776445,0.193178010326506,146.640686989386,5.65212739742746,32.1032279300028,13.1517964891477,-21.0379669037229,40.5203216727131,65.0379421472121,6.43189968835224
"F25-2078",35.6041784696499,1.21192245565369,76.6994457466923,2.50858881773146,5.12634223258969,0.169447633459445,12.2702350056217,0.415554257700546,14.3636950397039,0.22821319006166,17.3241875109778,0.193178010326506,151.100137089386,5.65212739742746,37.1464673216675,13.1517964891478,-21.8720971820562,40.5203216727131,69.6604015722122,6.43189968835223
"F25-2079",40.2504639396499,1.21192245565369,86.2132683733589,2.50858881773146,5.43356249408969,0.169447633459445,13.1526654072883,0.415554257700546,13.4636950397039,0.22821319006166,16.6908541776445,0.193178010326506,171.618678989386,5.65212739742746,37.7742838150009,13.1517964891478,-19.4515455937229,40.5203216727131,70.9704645638788,6.43189968835224
"F25-2080",37.9641964879832,1.21192245565369,80.6082255850256,2.50858881773146,5.16835546975636,0.169447633459445,12.3815405822883,0.415554257700546,13.5970283730372,0.22821319006166,16.8241875109778,0.193178010326506,158.353400639386,5.65212739742746,31.1500686266675,13.1517964891478,-18.9592393570563,40.5203216727131,66.1843236055455,6.43189968835224
"F25-2081",34.5716705913165,1.21192245565369,78.7644615100256,2.50858881773146,4.93660661725636,0.169447633459445,12.3358607146217,0.415554257700546,14.2636950397039,0.22821319006166,16.6408541776445,0.193178010326506,152.88452632272,5.65212739742746,29.0056785650009,13.1517964891478,-17.5557395920563,40.5203216727131,63.9613593722122,6.43189968835223
"F25-2082",38.8492032429832,1.21192245565369,77.2894502500256,2.50858881773146,5.34461931525636,0.169447633459445,11.8074551356217,0.415554257700546,13.7303617063706,0.22821319006166,16.7575208443112,0.193178010326506,147.186905356053,5.65212739742746,30.3092416633342,13.1517964891478,-22.2393047003895,40.5203216727131,66.5487055188788,6.43189968835223
"F25-2083",36.7841874796499,1.21192245565369,77.0681985600256,2.50858881773146,4.89474088108969,0.169447633459445,11.6344805706217,0.415554257700546,13.2970283730372,0.22821319006166,16.6575208443112,0.193178010326506,150.863906289386,5.65212739742746,28.7412734833342,13.1517964891478,-20.3307726537229,40.5203216727131,64.2548372322122,6.43189968835223
"F25-2084",38.5542009896499,1.21192245565369,80.5344750233589,2.50858881773146,5.05411584775636,0.169447633459445,12.112443215955,0.415554257700546,13.0970283730372,0.22821319006166,16.7241875109778,0.193178010326506,155.027372706053,5.65212739742746,23.6935207050009,13.1517964891478,-16.6778855003896,40.5203216727131,61.4722363855455,6.43189968835223
"F25-2085",39.0704549296499,1.21192245565369,81.6407334683589,2.50858881773146,5.45635141825636,0.169447633459445,12.5526529506217,0.415554257700546,13.9303617063706,0.22821319006166,16.5741875109778,0.193178010326506,159.86837342272,5.65212739742746,24.5652523550009,13.1517964891478,-14.1333521120563,40.5203216727131,61.5281693872121,6.43189968835224
