id_lab,id,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h
F24-3458,CIAT-9283,Crotalaria pallida,Herbaceous_legumes,92.8,8.19,91.81,25.56,15.01,54.16,32.82,67.76,145.95,60.12,4.12,18.13,20.82,30.4,50.83,254.6
F24-3459,CIAT-9288,Indigofera suffruticosa,Herbaceous_legumes,93.76,11.91,88.09,27.58,16.46,52.41,39.46,68.94,147.0,68.02,4.63,19.38,22.66,33.31,49.11,168.49
F24-3460,CIAT-9336,Clitoria ternatea,Herbaceous_legumes,90.39,8.11,91.89,31.66,19.15,48.61,46.54,77.42,171.22,69.15,4.09,18.63,20.19,34.64,50.58,214.71
F24-3461,CIAT-9349,Mucuna pruriens,Herbaceous_legumes,91.42,8.63,91.37,30.38,27.8,55.56,30.09,59.72,130.61,56.47,4.33,17.35,18.52,24.19,43.23,295.65
F24-3462,CIAT-9356,Tephrosia noctiflora,Shrub_Trees,93.03,8.36,91.64,30.62,20.6,55.98,32.3,59.94,128.77,53.77,4.18,18.7,20.48,26.38,49.48,375.49
F24-3463,CIAT-9432,Clitoria ternatea,Herbaceous_legumes,91.28,8.03,91.97,31.25,17.92,44.95,36.95,70.2,153.75,50.87,3.32,17.36,18.9,29.07,57.24,-1104.57
F24-3464,CIAT-9433,Clitoria ternatea,Herbaceous_legumes,94.27,9.44,90.56,31.68,21.94,43.14,39.97,68.5,145.22,61.82,4.26,17.95,19.36,28.12,46.43,817.83
F24-3465,CIAT-9435,Desmanthus pubescens,Shrub_Trees,94.59,8.48,91.52,26.78,36.06,53.83,27.95,48.29,102.03,43.26,4.24,16.03,18.91,19.3,44.69,938.75
F24-3466,CIAT-9530,Crotalaria maypurensis,Herbaceous_legumes,93.26,8.79,91.21,32.65,10.84,32.2,47.13,83.98,179.99,68.2,3.8,17.02,19.21,34.56,51.12,-1583.51
F24-3467,CIAT-9562,Eriosema diffusum,Herbaceous_legumes,93.93,8.4,91.6,18.11,51.96,64.55,19.13,33.33,70.93,28.53,4.03,16.84,18.09,12.83,45.13,-198.5
