ch4_ml_g_ndf_digested_24h,CH4_Decrease_Pct,Benchmark_vs_Control,CH4_Category,TDDM_Category,Z_Score_CH4,Z_Score_TDDM,Composite_Score,Overall_Rank,CH4_8h_Reduction_Pct,CH4_24h_Reduction_Pct,Accession_ID,CH4_Intensity,TDDM,CH4_8h,category,functional_group
522.8730909,50.11701092,20.23924845,Low,Not High,0.794394456,0.127349716,0.794394456,11,8.192635506,#N/A,CIAT-BR-12-4856,40.70352275,49.54423024,12.55555556,Category_2,Grasses
98.89072681,50.09017312,20.19633597,Low,Not High,0.792823245,0.860038471,0.792823245,12,-8.381437376,#N/A,CIAT-CIAT-6962,40.72542185,56.51059131,14.82222222,Category_2,Grasses
342.0183261,49.88806213,19.8731692,Low,Not High,0.780990718,0.653267791,0.780990718,13,3.724135465,#N/A,CIAT-CIAT-16886,40.89034038,54.54462799,13.16666667,Category_2,Grasses
340.451852,49.83006286,19.78043087,Low,Not High,0.777595169,0.986062548,0.777595169,14,-0.17564639,#N/A,CIAT-PM-21-3662,40.93766663,57.70882073,13.7,Category_2,Grasses
617.084781,49.48685955,19.23166355,Low,Not High,0.757502434,0.482085128,0.757502434,15,9.411317336,#N/A,CIAT-BR-15-7659,41.21771368,52.91703342,12.38888889,Category_2,Grasses
353.0816565,49.41115142,19.1106095,Low,Not High,0.753070124,0.588331411,0.753070124,16,-3.262973692,#N/A,CIAT-PM-21-3535,41.27949,53.92721675,14.12222222,Category_2,Grasses
461.2857007,48.90100345,18.29490487,Low,Not High,0.723203666,0.174105098,0.723203666,17,7.623917319,#N/A,CIAT-CIAT-16891,41.69576055,49.98877763,12.63333333,Category_2,Grasses
382.6768523,48.8634535,18.23486412,Low,Not High,0.721005315,0.545809009,0.721005315,18,10.22377189,#N/A,CIAT-BH-16-1763,41.72640056,53.52291628,12.27777778,Category_2,Grasses
411.4118578,48.78536631,18.11000607,Low,Not High,0.716433725,0.687929178,0.716433725,19,-1.638064585,#N/A,CIAT-PM-21-0074,41.79011814,54.87418639,13.9,Category_2,Grasses
178.6510057,48.69203176,17.96076815,Low,Not High,0.710969481,0.221547487,0.710969481,20,9.573808247,#N/A,CIAT-BR-15-6547,41.86627727,50.43985704,12.36666667,Category_2,Grasses
467.4823782,48.10912012,17.02871753,Low,Not High,0.676843095,0.010026949,0.676843095,21,11.60494463,#N/A,CIAT-CIAT-26415,42.34192153,48.42873235,12.08888889,Category_2,Grasses
594.4577028,47.99801568,16.85106632,Low,Not High,0.670338519,0.414020479,0.670338519,22,6.080253668,#N/A,CIAT-BR-15-3025,42.43258053,52.26987879,12.84444444,Category_2,Grasses
