CH4_Decrease_Pct,Benchmark_vs_Control,CH4_Category,TDDM_Category,Z_Score_CH4,Z_Score_TDDM,Composite_Score,Overall_Rank,CH4_8h_Reduction_Pct,CH4_24h_Reduction_Pct,Accession_ID,CH4_Intensity,TDDM,CH4_8h,CH4_24h,category,functional_group
32.708663,9.813462456,Medium,High,0.329796135,2.271263317,2.930855587,1,-22.22676632,-21.25430098,CIAT-7858,46.5453004,73.80134352,16.68333333,18.59910786,Category_1b,Herbaceous_legumes
31.67503391,8.428151468,Medium,High,0.257796765,2.161671357,2.677264886,2,-24.91306888,-23.86643989,CIAT-9982,47.26025984,72.63736918,17.05,18.99978192,Category_1b,Herbaceous_legumes
31.06612919,7.612073029,Medium,High,0.215382365,1.795459098,2.226223829,3,-3.300543762,-2.001551801,CIAT-22770,47.68143818,68.74783501,14.1,15.64594285,Category_1b,Herbaceous_legumes
30.86381646,7.340925428,Medium,High,0.201289893,1.621981028,2.024560814,4,-29.18673203,-24.46799475,CIAT-4279,47.82137754,66.90532738,17.63333333,19.09205398,Category_1b,Herbaceous_legumes
33.35591783,10.68093922,Medium,High,0.374881882,1.182407348,1.932171112,5,-12.66190116,-9.108701263,CIAT-18430,46.09759537,62.23662281,15.37777778,16.73610327,Category_1b,Herbaceous_legumes
30.9601403,7.470022492,Medium,High,0.207999511,1.509292286,1.925291308,6,-21.86045233,-17.39963609,CIAT-7469,47.7547505,65.70846217,16.63333333,18.00784365,Category_1b,Herbaceous_legumes
31.00056433,7.524200394,Medium,High,0.210815323,1.478015172,1.899645817,7,-27.47726677,-23.30651803,CIAT-4134,47.72678927,65.37626848,17.4,18.91389592,Category_1b,Herbaceous_legumes
32.63863735,9.71961128,Medium,High,0.324918367,1.216208403,1.866045137,8,-4.195977947,-3.996981451,CIAT-466,46.59373702,62.59562323,14.22222222,15.95202033,Category_1b,Herbaceous_legumes
30.94843874,7.4543396,Medium,High,0.207184417,1.444529819,1.858898653,9,0.912067065,-10.37348437,CIAT-20304,47.76284445,65.02062111,13.525,16.93010742,Category_1b,Herbaceous_legumes
32.87448461,10.0357032,Medium,High,0.34134675,1.142860613,1.825554113,10,-31.5067206,-26.22917755,CIAT-9433,46.43060189,61.81659761,17.95,19.36220051,Category_1b,Herbaceous_legumes
33.66576164,11.09620427,Medium,High,0.396464633,1.016425181,1.809354447,11,-4.674221205,-1.418640988,CIAT-9690,45.88327695,60.47372903,14.2875,15.55653059,Category_1b,Herbaceous_legumes
26.87539866,1.9954886,Medium,High,-0.076530819,1.832854388,1.679792749,12,-36.51301173,-31.64479173,CIAT-9336,50.58015917,69.14500974,18.63333333,20.19289758,Category_1b,Herbaceous_legumes
28.40400205,4.044183915,Medium,High,0.029946913,1.467947502,1.527841327,13,-21.86045233,-25.01346657,CIAT-7792,49.52282687,65.26933992,16.63333333,19.1757235,Category_1b,Herbaceous_legumes
26.0887768,0.941226565,Medium,High,-0.131324439,1.744077807,1.481428929,14,-24.66885955,-25.21313423,CIAT-9530,51.12426414,68.20211519,17.01666667,19.20635037,Category_1b,Herbaceous_legumes
28.37879433,4.010399522,Medium,High,0.028191022,1.365222706,1.42160475,15,-3.788962408,-2.436674129,CIAT-22768,49.54026301,64.17830162,14.16666667,15.71268594,Category_1b,Herbaceous_legumes
27.9740584,3.467956265,Medium,High,-1.61728E-06,1.317562006,1.317558772,16,-2.893528223,-6.278583391,CIAT-923,49.82021814,63.67209813,14.04444444,16.30199357,Category_1b,Herbaceous_legumes
25.26979562,-0.15640473,Medium,High,-0.188372107,1.401731952,1.024987738,17,-7.37069915,-2.607717008,CIAT-9323,51.69075199,64.5660657,14.65555556,15.73892209,Category_1b,Herbaceous_legumes
25.84733688,0.617639133,Medium,High,-0.148142389,1.291252215,0.994967437,18,-10.78962968,-14.50339991,CIAT-17365,51.29126771,63.39266228,15.12222222,17.56359212,Category_1b,Herbaceous_legumes
26.51798123,1.516463487,Medium,High,-0.1014274,0.983524307,0.780669507,19,-32.84987188,-35.75242842,CIAT-9283,50.82738418,60.12428941,18.13333333,20.82296494,Category_1b,Herbaceous_legumes
21.77378083,-4.841903388,Medium,High,-0.431893566,1.42699513,0.563207998,20,-30.52988331,-27.63503462,CIAT-7757,54.10893933,64.83438548,17.81666667,19.57784389,Category_1b,Herbaceous_legumes
20.74598234,-6.219399972,Medium,High,-0.503486795,1.399032391,0.392058801,21,-29.30883669,-37.14002539,CIAT-7790,54.81986575,64.5373937,17.65,21.03580742,Category_1b,Herbaceous_legumes
65.3523122,53.56378494,Low,Not High,2.603650668,-0.760412293,2.603650668,1,26.00457504,26.08923186,ILRI-2273-27,23.9657452,41.60196847,10.1,11.33711825,Category_2,Herbaceous_legumes
