CH4_Decrease_Pct,Benchmark_vs_Control,CH4_Category,TDDM_Category,Z_Score_CH4,Z_Score_TDDM,Composite_Score,Overall_Rank,CH4_8h_Reduction_Pct,CH4_24h_Reduction_Pct,Accession_ID,CH4_Intensity,TDDM,CH4_8h,CH4_24h,category,functional_group
57.8987678,24.18936377,Low,Not High,1.205201087,0.393795174,1.205201087,8,4.622421884,7.550898253,CIAT-33451,31.72520098,47.18896763,13.025,13.92471083,Category_2,Shrub_Trees
57.84279796,24.08858027,Low,Not High,1.202221717,0.727574553,1.202221717,9,-1.703538191,4.142912234,CIAT-22481,31.76737681,51.99162839,13.88888889,14.43802268,Category_2,Shrub_Trees
56.36650592,21.4302581,Low,Not High,1.123636176,-1.311694068,1.123636176,10,20.28767258,23.70745133,CIAT-22310,32.87983028,22.64914649,10.88571429,11.49120606,Category_2,Shrub_Trees
56.2557155,21.23076056,Low,Not High,1.117738613,0.504780773,1.117738613,11,19.86923517,19.68981814,CIAT-17482,32.96331592,48.78590924,10.94285714,12.09634315,Category_2,Shrub_Trees
54.10953031,17.36617856,Low,Not High,1.00349352,-0.091532768,1.00349352,12,12.58580892,13.75195005,CIAT-13387,34.58056446,40.20571579,11.9375,12.99070658,Category_2,Shrub_Trees
53.45626353,16.18985739,Low,Not High,0.968719016,0.853801289,0.968719016,13,-11.62980352,-11.99732622,CIAT-23339,35.07283081,53.80787059,15.24444444,16.86907013,Category_2,Shrub_Trees
53.37712092,16.04734728,Low,Not High,0.96450612,-1.079164303,0.96450612,14,10.66361205,19.15515743,CIAT-20126,35.13246838,25.99495407,12.2,12.1768739,Category_2,Shrub_Trees
53.13938116,15.61925522,Low,Not High,0.951850827,0.506455763,0.951850827,15,9.617518517,9.687873723,CIAT-17263,35.31161615,48.81001022,12.34285714,13.60283895,Category_2,Shrub_Trees
53.07132072,15.4967005,Low,Not High,0.948227854,-0.17821371,0.948227854,16,0.00508125,0.840154964,CIAT-22594,35.36290279,38.95848727,13.65555556,14.93548495,Category_2,Shrub_Trees
52.89510452,15.17939239,Low,Not High,0.938847566,0.740094982,0.938847566,17,-5.354695213,-5.005354779,CIAT-33428,35.49568975,52.17178143,14.3875,15.81593734,Category_2,Shrub_Trees
