subset,no,requisitioner,id_lab,id,tax_order,family,genus,species,tax_name,functional_group,set_ciat,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm
1,84.0,Breeding,F24-3598,CIAT-PM-21-3537,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,5,97.42,14.46,85.54,10.87,26.99,62.16
1,85.0,Breeding,F24-3599,CIAT-PM-21-3545,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,5,96.98,14.8,85.2,8.41,30.18,65.7
1,86.0,Breeding,F24-3599,CIAT-PM-21-3545,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,5,97.26,14.77,85.23,8.41,29.83,65.78
1,87.0,Breeding,F24-3600,CIAT-PM-21-3670,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,5,96.96,14.56,85.44,8.83,29.31,64.36
1,88.0,Breeding,F24-3600,CIAT-PM-21-3670,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,5,97.3,14.64,85.36,8.83,29.21,64.41
1,89.0,Breeding,F24-3601,CIAT-PM-21-6628,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,5,95.12,13.99,86.01,9.98,29.71,64.85
1,90.0,Breeding,F24-3601,CIAT-PM-21-6628,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,5,95.31,14.22,85.78,9.98,29.95,65.07
1,91.0,Breeding,F24-3602,CIAT-BH-08-1149,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,94.37,13.3,86.7,7.53,28.68,67.49
1,92.0,Breeding,F24-3602,CIAT-BH-08-1149,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,94.48,13.33,86.67,7.53,28.54,69.97
1,93.0,Breeding,F24-3603,CIAT-BH-16-0550,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,94.0,11.45,88.55,6.43,29.83,68.76
1,94.0,Breeding,F24-3603,CIAT-BH-16-0550,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,94.22,11.59,88.41,6.43,30.46,69.56
1,95.0,Breeding,F24-3604,CIAT-BH-16-0562,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,95.0,11.1,88.9,5.94,30.66,69.91
1,96.0,Breeding,F24-3604,CIAT-BH-16-0562,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,95.33,11.24,88.76,5.94,30.27,69.27
1,97.0,Breeding,F24-3605,CIAT-BH-16-3249,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,95.69,11.95,88.05,6.65,28.5,69.33
1,98.0,Breeding,F24-3605,CIAT-BH-16-3249,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,95.94,12.14,87.86,6.65,29.22,69.96
1,99.0,Breeding,F24-3606,CIAT-BH-16-B-0733,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,96.21,12.45,87.55,8.1,29.24,68.74
1,100.0,Breeding,F24-3606,CIAT-BH-16-B-0733,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,96.4,12.83,87.17,8.1,29.47,68.93
1,101.0,Breeding,F24-3607,CIAT-BH-16-B-0741,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,96.47,14.14,85.86,7.5,28.14,65.65
1,102.0,Breeding,F24-3607,CIAT-BH-16-B-0741,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,96.86,14.32,85.68,7.5,28.14,65.72
1,103.0,Breeding,F24-3608,CIAT-BH-16-B-1194,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,96.64,11.93,88.07,5.47,29.62,67.76
1,104.0,Breeding,F24-3608,CIAT-BH-16-B-1194,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,96.83,11.9,88.1,5.47,29.45,67.79
1,105.0,Breeding,F24-3609,CIAT-BH-16-B-1618,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,97.01,13.96,86.04,8.13,28.52,66.9
1,106.0,Breeding,F24-3609,CIAT-BH-16-B-1618,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,97.31,13.99,86.01,8.13,27.57,65.87
1,107.0,Breeding,F24-3610,CIAT-BH-16-B-1707,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,96.83,10.46,89.54,5.97,26.79,68.87
1,108.0,Breeding,F24-3610,CIAT-BH-16-B-1707,Poales,Poaceae,Urochloa,humidicola,Brachiaria humidicola,Grass,5,97.07,10.58,89.42,5.97,26.69,68.3
