id_lab,subset,no,requisitioner,id,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_nutrition,gas_ml_g_dm_incubated_24h,part_fact,ch4_ml_g_dm_incubated_24h,ch4_ml_g_ndf_digested_24h,methane_intensity,tddm,n_replicates_gas
F25-0991,1,263.0,Breeding,CIAT-PM-21-3550,Megathyrsus maximus,Grass,96.68,14.28,85.72,14.64,30.14,69.18,2,136.77,3.3,22.71,172.84,50.76,45.11,9
F25-0992,1,265.0,Breeding,CIAT-PM-21-3595,Megathyrsus maximus,Grass,95.88,16.61,83.39,14.26,30.86,68.74,2,140.27,3.23,22.8,170.26,50.56,45.29,9
F25-0993,1,267.0,Breeding,CIAT-PM-21-0086,Megathyrsus maximus,Grass,97.47,15.36,84.64,14.81,31.02,67.38,2,141.97,3.21,23.55,189.58,51.77,45.63,9
F25-0994,1,269.0,Breeding,CIAT-CIAT-16048,Megathyrsus maximus,Grass,97.56,15.27,84.72,17.34,32.0,67.1,2,141.48,3.42,23.58,155.1,48.72,48.5,8
F25-0995,1,271.0,Breeding,CIAT-PM-21-0185,Megathyrsus maximus,Grass,96.48,13.88,86.12,16.73,27.9,66.83,2,143.33,3.29,23.63,195.92,50.84,46.9,9
F25-0996,1,273.0,Breeding,CIAT-PM-21-0215,Megathyrsus maximus,Grass,95.59,13.72,86.28,15.16,30.24,67.24,2,148.92,3.18,24.66,178.23,52.38,47.29,9
F25-0997,1,275.0,Breeding,CIAT-CIAT-16051,Megathyrsus maximus,Grass,96.15,13.98,86.02,14.92,31.61,68.22,2,144.4,3.17,24.39,212.21,53.87,45.79,9
F25-0998,1,277.0,Breeding,CIAT-PM-21-6080,Megathyrsus maximus,Grass,96.34,15.44,84.56,18.29,31.99,67.47,2,134.46,3.47,22.64,-490.27,50.46,45.89,9
F25-0999,1,279.0,Breeding,CIAT-PM-21-3684,Megathyrsus maximus,Grass,97.38,13.46,86.54,14.78,30.38,70.03,2,154.08,3.48,24.99,115.73,47.31,53.76,9
F25-1000,1,281.0,Breeding,CIAT-PM-21-0076,Megathyrsus maximus,Grass,94.9,15.42,84.58,16.15,32.19,67.6,2,151.21,3.16,25.42,81.02,56.0,47.61,9
F25-1001,1,283.0,Breeding,CIAT-CIAT-6890,Megathyrsus maximus,Grass,96.16,12.32,87.68,15.86,34.27,71.39,2,153.66,3.43,24.91,104.95,47.38,52.75,9
F25-1002,1,285.0,Breeding,CIAT-PM-21-6638,Megathyrsus maximus,Grass,95.66,16.64,83.35,14.24,34.54,67.34,2,141.67,3.51,22.53,152.59,45.83,49.71,9
F25-1003,1,287.0,Breeding,CIAT-PM-21-0052,Megathyrsus maximus,Grass,95.44,14.14,85.86,15.4,31.81,65.12,2,146.81,3.43,23.78,164.15,47.43,50.41,9
F25-1004,1,289.0,Breeding,CIAT-PM-21-4449,Megathyrsus maximus,Grass,96.14,12.8,87.2,14.54,32.67,70.18,2,136.64,3.13,22.39,199.67,52.89,42.72,9
F25-1005,1,291.0,Breeding,CIAT-CIAT-6799,Megathyrsus maximus,Grass,96.01,12.66,87.34,13.54,33.7,71.55,2,133.68,3.15,21.69,175.55,51.97,42.1,9
F25-1006,1,293.0,Breeding,CIAT-PM-21-0055,Megathyrsus maximus,Grass,96.3,13.34,86.66,16.48,31.62,65.68,2,140.3,3.32,22.86,197.07,49.43,46.4,9
F25-1007,1,295.0,Breeding,CIAT-PM-21-6529,Megathyrsus maximus,Grass,96.56,14.92,85.08,12.68,30.14,68.18,2,136.31,3.44,21.81,165.2,46.72,46.81,9
F25-1008,1,297.0,Breeding,CIAT-PM-21-0047,Megathyrsus maximus,Grass,96.13,14.93,85.07,14.15,32.3,65.85,2,150.62,3.2,24.31,-90.3,50.93,48.46,9
F25-1009,1,299.0,Breeding,CIAT-PM-21-2195,Megathyrsus maximus,Grass,97.0,14.0,86.0,15.49,30.72,67.22,2,147.06,3.25,23.44,233.06,49.68,47.86,9
F25-1010,1,301.0,Breeding,CIAT-PM-21-2627,Megathyrsus maximus,Grass,97.37,14.9,85.1,17.3,33.54,65.78,2,131.64,3.65,21.03,154.9,43.9,47.9,9
F25-1011,1,303.0,Breeding,CIAT-PM-21-0059,Megathyrsus maximus,Grass,97.53,14.03,85.97,16.71,31.7,65.46,2,142.81,3.44,23.4,282.6,48.85,49.0,9
F25-1012,1,305.0,Breeding,CIAT-PM-21-3522,Megathyrsus maximus,Grass,97.18,14.6,85.4,13.12,24.9,66.46,2,137.5,3.17,21.5,152.24,50.63,43.41,9
F25-1013,1,307.0,Breeding,CIAT-PM-21-0062,Megathyrsus maximus,Grass,98.12,15.74,84.26,13.47,24.42,67.94,2,148.33,3.08,23.46,177.35,51.57,45.37,9
F25-1014,1,309.0,Breeding,CIAT-PM-21-0906,Megathyrsus maximus,Grass,97.4,15.32,84.68,14.66,19.49,67.21,2,137.1,3.55,21.35,142.26,43.95,48.6,9
F25-2096,3,51.0,Breeding,CIAT-PM-21-4448,Megathyrsus maximus,Grass,95.49,11.26,88.74,12.02,31.22,72.06,2,183.13,2.58,26.8,281.71,59.28,47.46,9
F25-2101,3,53.0,Breeding,CIAT-CIAT-16071,Megathyrsus maximus,Grass,93.03,13.63,86.37,16.95,28.87,66.51,2,167.22,2.39,25.37,329.55,70.27,39.76,9
F25-2104,4,,Breeding,CIAT-BR-06-1348,Brachiaria interespecifico,Grass,93.09,14.48,85.52,12.22,25.64,59.76,2,191.18,2.86,27.9,0.63,51.5,54.58,7
F25-2105,3,55.0,Breeding,CIAT-BR-09-4467,Brachiaria interespecifico,Grass,92.3,14.62,85.38,13.66,24.32,58.96,2,182.91,2.31,26.13,311.09,67.18,42.32,9
F25-2166,4,,Breeding,CIAT-BH-22-0528,Urochloa humidicola,Grass,98.21,13.78,86.22,8.76,36.8,73.56,2,178.31,2.42,26.41,0.62,61.79,43.19,7
F25-2170,3,59.0,Breeding,CIAT-BH-22-0765,Urochloa humidicola,Grass,97.48,10.74,89.26,9.79,36.16,72.26,2,153.56,2.09,22.18,373.55,79.16,33.82,5
F25-2171,3,61.0,Breeding,CIAT-BH-22-2531,Urochloa humidicola,Grass,96.45,12.34,87.66,6.22,33.04,71.22,2,190.98,2.04,27.24,361.34,74.64,39.27,6
F25-2629,3,213.0,Breeding,CIAT-20692,Clitoria ternatea ,Herbaceous_legumes,95.52,8.7,91.3,27.05,30.2,53.0,2,185.34,2.99,76.86,679.86,141.84,55.34,9
F25-2630,3,215.0,Breeding,CIAT-20692,Clitoria ternatea ,Herbaceous_legumes,93.88,7.34,92.66,23.76,29.03,49.64,2,202.32,2.76,92.86,781.6,165.59,55.21,9
F25-2631,3,217.0,Breeding,CIAT-17768,Clitoria ternatea ,Herbaceous_legumes,92.8,7.68,92.32,24.62,32.84,55.01,2,186.89,2.6,86.18,805.57,172.62,48.13,9
F25-2632,3,219.0,Breeding,CIAT-17768,Clitoria ternatea ,Herbaceous_legumes,93.46,7.76,92.24,26.03,28.54,47.7,2,196.68,2.94,96.44,776.18,166.29,57.75,8
F25-2633,3,221.0,Breeding,CIAT-712,Clitoria ternatea ,Herbaceous_legumes,95.1,8.42,91.58,26.15,32.33,52.46,2,187.3,2.94,98.76,845.27,178.83,54.8,7
F25-2634,3,223.0,Breeding,CIAT-712,Clitoria ternatea ,Herbaceous_legumes,91.26,7.15,92.85,20.06,33.7,50.39,2,189.69,2.8,82.75,707.3,153.06,53.03,9
F25-2635,3,225.0,Breeding,CIAT-9432,Clitoria ternatea ,Herbaceous_legumes,96.33,8.44,91.56,24.28,35.28,58.05,2,179.7,2.64,73.95,733.56,154.96,47.39,9
F25-2636,3,227.0,Breeding,CIAT-9432,Clitoria ternatea ,Herbaceous_legumes,94.46,7.01,92.99,19.51,34.98,50.18,2,179.71,2.76,78.45,767.88,161.59,49.44,9
F25-2637,3,229.0,Breeding,CIAT-17462,Leucaena leucocephala ,Shrub_Trees,92.62,6.88,93.12,29.86,39.13,57.52,2,146.8,2.79,51.3,565.53,120.97,40.83,9
F25-2638,3,231.0,Breeding,,Tithonia diversifolia,Shrub_Trees,92.2,17.7,82.3,16.53,28.36,42.24,2,109.21,4.39,26.57,264.48,57.21,46.97,9
F25-2639,3,233.0,Breeding,,Gliricidia sepium ,Shrub_Trees,88.95,10.81,89.19,22.52,19.57,40.76,2,191.61,3.24,71.46,519.69,116.82,61.81,6
