id_lab,subset,no,requisitioner,id,tax_name,functional_group,batch,run,replication,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h,n_replicates_gas
F24-3608,1,394,Breeding,CIAT-BH-16-B-1194,Brachiaria humidicola,Grass,13.0,1.0,1.0,39.76,87.64,180.29,57.89,3.23,15.93,17.98,32.39,56.09,127.72,9
F24-3609,1,397,Breeding,CIAT-BH-16-B-1618,Brachiaria humidicola,Grass,13.0,1.0,1.0,35.19,77.07,158.9,55.96,3.54,16.37,17.53,27.82,49.87,126.29,9
F24-3610,1,400,Breeding,CIAT-BH-16-B-1707,Brachiaria humidicola,Grass,13.0,1.0,1.0,40.01,89.41,184.66,56.99,3.11,15.83,17.95,33.25,58.33,130.17,9
F24-3611,1,403,Breeding,CIAT-CIAT-16888,Brachiaria humidicola,Grass,13.0,1.0,1.0,40.65,84.1,181.95,53.26,2.94,16.38,18.25,33.24,62.67,145.13,9
F25-0990,1,1081,Breeding,CIAT-PM-21-0053,Megathyrsus maximus,Grass,23.0,1.0,1.0,34.66,72.78,151.89,51.43,3.39,14.63,16.41,24.93,49.04,141.09,9
F25-0991,1,1084,Breeding,CIAT-PM-21-3550,Megathyrsus maximus,Grass,23.0,1.0,1.0,32.84,66.14,136.77,45.11,3.3,14.62,16.61,22.71,50.76,172.84,9
F25-0992,1,1087,Breeding,CIAT-PM-21-3595,Megathyrsus maximus,Grass,23.0,1.0,1.0,31.96,67.27,140.27,45.29,3.23,14.84,16.26,22.8,50.56,170.26,9
F25-0993,1,1090,Breeding,CIAT-PM-21-0086,Megathyrsus maximus,Grass,23.0,1.0,1.0,34.86,69.24,141.97,45.63,3.21,14.82,16.59,23.55,51.77,189.58,9
F25-0994,1,1093,Breeding,CIAT-CIAT-16048,Megathyrsus maximus,Grass,23.0,1.0,1.0,35.25,69.05,141.48,48.5,3.42,15.24,16.67,23.58,48.72,155.1,8
F25-0995,1,1096,Breeding,CIAT-PM-21-0185,Megathyrsus maximus,Grass,23.0,1.0,1.0,34.76,69.19,143.33,46.9,3.29,14.37,16.5,23.63,50.84,195.92,9
F25-0996,1,1099,Breeding,CIAT-PM-21-0215,Megathyrsus maximus,Grass,23.0,1.0,1.0,33.73,71.21,148.92,47.29,3.18,14.64,16.56,24.66,52.38,178.23,9
F25-0997,1,1102,Breeding,CIAT-CIAT-16051,Megathyrsus maximus,Grass,23.0,1.0,1.0,35.25,69.48,144.4,45.79,3.17,14.93,16.89,24.39,53.87,212.21,9
F25-0998,1,1105,Breeding,CIAT-PM-21-6080,Megathyrsus maximus,Grass,23.0,1.0,1.0,32.2,64.81,134.46,45.89,3.47,15.08,16.84,22.64,50.46,-490.27,9
