subset,no,requisitioner,id_lab,id,tax_name,functional_group,batch,run,replication,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h
1,254,Breeding,F24-3591,CIAT-CIAT-6962,Megathyrsus maximus,Grass,10.0,1.0,2.0,40.64,74.93,156.43,54.28,3.47,14.5,15.6,24.4,44.95,111.39
1,255,Breeding,F24-3591,CIAT-CIAT-6962,Megathyrsus maximus,Grass,10.0,1.0,3.0,29.57,66.97,139.88,55.03,3.93,14.5,15.45,21.61,39.27,95.41
1,256,Breeding,F24-3592,CIAT-Mulato-II,Brachiaria interespecifico,Grass,10.0,1.0,1.0,35.33,73.6,152.2,65.4,4.3,13.7,14.17,21.56,32.97,86.86
1,257,Breeding,F24-3592,CIAT-Mulato-II,Brachiaria interespecifico,Grass,10.0,1.0,2.0,35.33,71.39,147.62,64.7,4.38,13.6,14.16,20.9,32.3,86.63
1,258,Breeding,F24-3592,CIAT-Mulato-II,Brachiaria interespecifico,Grass,10.0,1.0,3.0,34.0,69.62,143.91,72.53,5.04,13.9,14.21,20.44,28.19,63.99
1,259,Breeding,F24-3593,CIAT-PM-21-0215,Megathyrsus maximus,Grass,10.0,1.0,1.0,32.67,69.18,143.92,56.98,3.96,14.6,15.97,22.99,40.35,103.49
1,260,Breeding,F24-3593,CIAT-PM-21-0215,Megathyrsus maximus,Grass,10.0,1.0,2.0,33.11,69.62,144.9,52.65,3.63,14.6,16.02,23.21,44.08,129.74
1,261,Breeding,F24-3593,CIAT-PM-21-0215,Megathyrsus maximus,Grass,10.0,1.0,3.0,34.0,69.18,144.01,56.99,3.96,14.4,15.77,22.71,39.86,102.18
1,262,Breeding,F24-3594,CIAT-PM-21-0631,Megathyrsus maximus,Grass,10.0,1.0,1.0,39.31,69.62,143.79,51.9,3.61,13.8,15.45,22.22,42.82,150.57
1,263,Breeding,F24-3594,CIAT-PM-21-0631,Megathyrsus maximus,Grass,10.0,1.0,2.0,38.87,72.28,149.25,55.58,3.72,13.8,15.46,23.08,41.52,125.13
1,264,Breeding,F24-3594,CIAT-PM-21-0631,Megathyrsus maximus,Grass,10.0,1.0,3.0,40.64,76.26,157.41,57.69,3.66,13.5,15.23,23.97,41.55,116.66
1,265,Breeding,F24-3595,CIAT-PM-21-2195,Megathyrsus maximus,Grass,10.0,1.0,1.0,34.88,69.18,142.82,49.15,3.44,14.2,15.44,22.05,44.86,128.18
1,266,Breeding,F24-3595,CIAT-PM-21-2195,Megathyrsus maximus,Grass,10.0,1.0,2.0,34.88,68.29,140.99,53.73,3.81,14.0,15.27,21.53,40.07,98.83
1,267,Breeding,F24-3595,CIAT-PM-21-2195,Megathyrsus maximus,Grass,10.0,1.0,3.0,35.33,69.18,142.82,49.54,3.47,13.9,15.12,21.6,43.59,122.75
1,268,Breeding,F24-3596,CIAT-PM-21-3522,Megathyrsus maximus,Grass,10.0,1.0,1.0,38.42,72.72,150.81,58.81,3.9,14.1,15.47,23.33,39.66,99.15
1,269,Breeding,F24-3596,CIAT-PM-21-3522,Megathyrsus maximus,Grass,10.0,1.0,2.0,37.54,70.51,146.08,58.4,4.0,13.8,15.2,22.21,38.03,96.09
1,270,Breeding,F24-3596,CIAT-PM-21-3522,Megathyrsus maximus,Grass,10.0,1.0,3.0,40.19,73.16,151.67,55.3,3.65,14.2,15.37,23.31,42.16,116.46
