40n_no,40n_set_ciat,40n_sample_id,40n_gene_bank_breeding_program_id,40n_genus,40n_species,40n_tax_name,40n_family,40n_order,40n_functional_group,40n_ot,40n_dm_percentage,40n_av_dm_105,40n_ash_dm,40n_av_ash_percentage,40n_om_percentage,40n_om_percentage,40n_pc_percentage_dm,40n_av_pc_percentage,40n_adf_percentage_dm,40n_av_adf_percentage_dm,40n_ndf_percentage_dm,40n_av_ndf_percentage_dm
No,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,OT,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
109,24,F25 1690,CIAT-22409,Cratylia,argentea,Cratylia argentea,Fabaceae,Fabales,Shrub,OT-008,92.86428143,92.92854215,11.36751052,11.38478179,88.63248948,88.61521821,19.1435264,19.09002208,30.9802417,30.48124597,56.4329839,55.89666272
110,24,F25 1690,CIAT-22409,Cratylia,argentea,Cratylia argentea,Fabaceae,Fabales,Shrub,OT-008,92.99280288,,11.40205307,,88.59794693,,19.03651776,,29.98225023,,55.36034153,
111,24,F25 1691,CIAT-22692,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,OT-008,92.17156569,92.2669285,7.314267831,7.389746311,92.68573217,92.61025369,25.29868124,25.29868124,25.65925088,24.26003402,44.03638142,42.74357346
112,24,F25 1691,CIAT-22692,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,OT-008,92.36229131,,7.465224791,,92.53477521,,25.29868124,,22.86081715,,41.4507655,
113,24,F25 1692,CIAT-23715,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,OT-008,93.76374175,93.79248875,5.199855362,5.216884679,94.80014464,94.78311532,16.813217,16.813217,58.10429458,59.1384802,64.69971686,65.41813429
114,24,F25 1692,CIAT-23715,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,OT-008,93.82123575,,5.233913996,,94.766086,,16.813217,,60.17266582,,66.13655172,
115,24,F25 1693,CIAT-23746,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,OT-008,93.77124575,93.8365376,6.882935393,6.88259135,93.11706461,93.11740865,18.87599604,18.87599604,41.54960311,40.50069508,55.31609704,56.60026432
116,24,F25 1693,CIAT-23746,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,OT-008,93.90182945,,6.882247306,,93.11775269,,18.87599604,,39.45178704,,57.88443161,
117,24,F25 1694,CIAT-23985,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,OT-008,95.10048995,95.16548345,12.03047019,12.04097715,87.96952981,87.95902285,18.34068238,18.34068238,24.66270241,24.8690683,39.75223693,39.70345079
118,24,F25 1694,CIAT-23985,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,OT-008,95.23047695,,12.05148411,,87.94851589,,18.34068238,,25.07543419,,39.65466464,
119,24,F25 1695,CIAT-32265,Chamaecrista,diphylla,Chamaecrista diphylla,Fabaceae,Fabales,Herbaceous,OT-008,95.76,95.80582967,8.068402546,8.040705499,91.93159745,91.9592945,17.04227797,17.04227797,37.34095933,37.98091387,54.2817187,53.25953053
120,24,F25 1695,CIAT-32265,Chamaecrista,diphylla,Chamaecrista diphylla,Fabaceae,Fabales,Herbaceous,OT-008,95.85165934,,8.013008451,,91.98699155,,17.04227797,,38.62086841,,52.23734236,
121,24,F25 1696,CIAT-33070,Desmodium,oblongum,Desmodium oblongum,Fabaceae,Fabales,Shrub,OT-008,96.01,95.99560282,10.0108752,10.01978804,89.9891248,89.98021196,16.08644516,16.08644516,39.02928157,39.34447648,54.61927237,54.17887651
122,24,F25 1696,CIAT-33070,Desmodium,oblongum,Desmodium oblongum,Fabaceae,Fabales,Shrub,OT-008,95.98120564,,10.02870088,,89.97129912,,16.08644516,,39.65967139,,53.73848065,
123,24,F25 1697,CIAT-33079,Desmodium,oblongum,Desmodium oblongum,Fabaceae,Fabales,Shrub,OT-008,95.6117553,95.65609263,10.481287,10.50899172,89.518713,89.49100828,18.2657918,18.2657918,29.01546471,28.90196151,47.09665479,45.96281247
124,24,F25 1697,CIAT-33079,Desmodium,oblongum,Desmodium oblongum,Fabaceae,Fabales,Shrub,OT-008,95.70042996,,10.53669643,,89.46330357,,18.2657918,,28.7884583,,44.82897014,
125,24,F25 1698,CIAT-33131,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,OT-008,94.82,94.83654407,6.906620295,6.904549551,93.09337971,93.09545045,17.67105206,17.67105206,40.6832769,41.11176551,55.22776158,56.04829259
126,24,F25 1698,CIAT-33131,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,OT-008,94.85308815,,6.902478808,,93.09752119,,17.67105206,,41.54025411,,56.8688236,
127,24,F25 1699,CIAT-33195,Dalea,carthagenensis,Dalea carthagenensis,Fabaceae,Fabales,Herbaceous,OT-008,95.68043196,95.71149321,6.310000876,6.438946834,93.68999912,93.56105317,16.46952677,16.46952677,23.28306389,23.47900133,44.21996024,43.57814362
128,24,F25 1699,CIAT-33195,Dalea,carthagenensis,Dalea carthagenensis,Fabaceae,Fabales,Herbaceous,OT-008,95.74255447,,6.567892791,,93.43210721,,16.46952677,,23.67493878,,42.936327,
129,24,F25 1700,CIAT-43055,Desmodium,discolor,Desmodium discolor,Fabaceae,Fabales,Herbaceous,OT-008,94.75209916,94.82283683,8.992126422,9.01712506,91.00787358,90.98287494,27.97875246,28.01944151,21.98323896,22.44849579,41.98171086,43.07367301
130,24,F25 1700,CIAT-43055,Desmodium,discolor,Desmodium discolor,Fabaceae,Fabales,Herbaceous,OT-008,94.8935745,,9.042123699,,90.9578763,,28.06013055,,22.91375263,,44.16563516,
131,24,F25 0017,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,0,0,0,OT-002,91.34432784,91.33303174,9.990152095,10.05857506,90.0098479,89.94142494,0,#REF!,0,#DIV/0!,0,#DIV/0!
132,24,F25 0017,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,0,0,0,OT-002,91.32173565,,10.12699803,,89.87300197,,0,,0,,0,
133,24,F25 0008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,0,0,0,OT-001,93.64063594,93.73093584,11.33,11.415,88.67058195,88.58614349,0,13.1,0,37.8,0,76.1
134,24,F25 0008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,0,0,0,OT-001,93.82123575,,11.5,,88.50170503,,0,,0,,0,
135,25,F25 2136,CIAT_6962_Mombaza _Ex,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,grasses,OT-018,96.92184689,96.9368379,12.06247745,12.02639311,87.93752255,87.97360689,0,13.1,37.86377705,37.83183283,69.12975235,68.7941444
136,25,F25 2136,CIAT_6962_Mombaza _Ex,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,grasses,OT-018,96.9518289,,11.99030878,,88.00969122,,0,,37.79988862,,68.45853645,
137,25,F25 2137,CIAT_606_Basilisk_Opt,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,OT-018,96.70032997,96.78532147,10.74435663,10.5945555,89.25564337,89.4054445,5.233264588,5.254881288,30.94339318,31.26614986,62.19319958,62.47008518
138,25,F25 2137,CIAT_606_Basilisk_Opt,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,OT-018,96.87031297,,10.44475438,,89.55524562,,5.276497987,,31.58890653,,62.74697079,
139,25,F25 2138,CIAT_6294_Marandu_Opt,Brachiaria,interespecifico,Brachiaria interespecifico ,Poaceae,Poales,grasses,OT-018,96.07196402,96.11598201,11.35559613,11.29601044,88.64440387,88.70398956,8.59396902,8.499632808,32.06626398,32.37136234,64.31258378,64.62485697
140,25,F25 2138,CIAT_6294_Marandu_Opt,Brachiaria,interespecifico,Brachiaria interespecifico ,Poaceae,Poales,grasses,OT-018,96.16,,11.23642476,,88.76357524,,8.405296596,,32.6764607,,64.93713016,
141,25,F25 2139,CIAT_36087_MulatoII_Opt,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,OT-018,96.97151424,96.95106406,11.51551858,11.54818282,88.48448142,88.45181718,7.711576656,7.591958095,28.98832437,29.43895046,58.62142309,59.22655141
142,25,F25 2139,CIAT_36087_MulatoII_Opt,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,OT-018,96.93061388,,11.58084706,,88.41915294,,7.472339535,,29.88957654,,59.83167972,
143,25,F25 2140,CIAT_6133_Llanero _Opt,Brachiaria,humidicola,Brachiaria humidicola,Poaceae,Poales,grasses,OT-018,97.32,97.39012699,12.96846035,13.06021458,87.03153965,86.93978542,10.3571472,10.3341284,30.85190064,30.98334134,64.02927966,64.12482081
144,25,F25 2140,CIAT_6133_Llanero _Opt,Brachiaria,humidicola,Brachiaria humidicola,Poaceae,Poales,grasses,OT-018,97.46025397,,13.15196881,,86.84803119,,10.3111096,,31.11478204,,64.22036196,
145,25,F25 2141,CIAT_6962_Mombaza _Opt,Megathyrsus ,maximus,Megathyrsus maximus ,Poaceae,Poales,grasses,OT-018,97.50024998,97.52061679,12.37563247,12.24052503,87.62436753,87.75947497,9.516927232,9.461505036,32.61553164,32.96455445,64.95567797,65.42258686
146,25,F25 2141,CIAT_6962_Mombaza _Opt,Megathyrsus ,maximus,Megathyrsus maximus ,Poaceae,Poales,grasses,OT-018,97.54098361,,12.10541758,,87.89458242,,9.406082841,,33.31357727,,65.88949575,
147,25,F25 2566,Paja Sabana Madura,0,0,0,Poaceae,Poales,grasses,OT-028,92.41075892,92.40537946,7.304039123,7.326048086,92.69596088,92.67395191,7.088053565,7.205838303,46.45504982,46.15231025,78.93818278,77.95737831
148,25,F25 2566,Paja Sabana Madura,0,0,0,Poaceae,Poales,grasses,OT-028,92.4,,7.34805705,,92.65194295,,7.323623042,,45.84957068,,76.97657383,
149,25,F25 2567,Humidicola 679,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,OT-028,92.21389305,92.24733249,6.002592416,6.074248511,93.99740758,93.92575149,5.979910186,6.015455806,43.09982027,43.85594512,80.94822765,81.88270004
150,25,F25 2567,Humidicola 679,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,OT-028,92.28077192,,6.145904606,,93.85409539,,6.051001425,,44.61206996,,82.81717242,
151,25,F25 2568,Sabana Quemada,0,0,0,Poaceae,Poales,grasses,OT-028,93.75374775,93.61850306,11.39048531,11.39105455,88.60951469,88.60894545,2.29074845,2.286884733,51.04375622,49.66183353,78.63735444,77.83093467
152,25,F25 2568,Sabana Quemada,0,0,0,Poaceae,Poales,grasses,OT-028,93.48325837,,11.39162379,,88.60837621,,2.283021015,,48.27991085,,77.02451491,
153,25,F24 3548,ABC-2783-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,89.80305908,89.74756033,10.11423239,10.10916793,89.88576761,89.89083207,4.055548602,4.070618715,31.10006232,31.29929558,49.93660615,49.64805484
154,25,F24 3548,ABC-2783-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,89.69206159,,10.10410348,,89.89589652,,4.085688827,,31.49852885,,49.35950353,
155,25,F24 3549,ABC-10440-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,90.2509749,90.24048745,11.72305514,11.90648605,88.27694486,88.09351395,17.78325823,17.78325823,31.24625668,31.36834392,52.05369224,51.77233393
156,25,F24 3549,ABC-10440-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,90.23,,12.08991696,,87.91008304,,17.78325823,,31.49043116,,51.49097562,
157,25,F24 3550,ABC-10613-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,92.82287085,92.83643543,8.92611321,7.893821676,91.07388679,92.10617832,19.4411267,19.4411267,45.358954,46.21376338,59.70617907,59.51261586
158,25,F24 3550,ABC-10613-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,92.85,,6.861530143,,93.13846986,,19.4411267,,47.06857275,,59.31905266,
159,25,F24 3551,ABC-10627-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,93.35,93.38631547,13.71721321,13.71447086,86.28278679,86.28552914,15.96040922,15.96040922,39.45479194,39.59186487,58.35505896,57.4958606
160,25,F24 3551,ABC-10627-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,93.42263095,,13.71172852,,86.28827148,,15.96040922,,39.7289378,,56.63666224,
161,25,F24 3552,ABC-10634-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,92.91,93.02,10.52461836,10.56224468,89.47538164,89.43775532,11.82940985,11.82940985,33.72865462,33.59233204,57.2811761,56.98831656
162,25,F24 3552,ABC-10634-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,93.13,,10.599871,,89.400129,,11.82940985,,33.45600945,,56.69545701,
163,25,F24 3553,ABC-10639-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,93.19,93.2,11.25536481,11.08369099,88.74463519,88.91630901,15.7419787,15.7419787,35.55480029,35.0443924,54.97199008,53.93931167
164,25,F24 3553,ABC-10639-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,93.21,,10.91201717,,89.08798283,,15.7419787,,34.5339845,,52.90663325,
165,25,F24 3554,ABC-10725-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,92.41227632,92.39151962,11.44783309,11.55179076,88.55216691,88.44820924,15.71943231,15.71943231,40.30334159,41.09118789,58.24573888,58.80649323
166,25,F24 3554,ABC-10725-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,92.37076292,,11.65574844,,88.34425156,,15.71943231,,41.87903418,,59.36724757,
167,25,F24 3555,ABC-11199-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,91.73248026,91.81704997,8.699477626,8.770691309,91.30052237,91.22930869,15.00091825,15.00091825,36.49417764,36.30474699,57.1970024,58.27901371
168,25,F24 3555,ABC-11199-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,91.90161968,,8.841904992,,91.15809501,,15.00091825,,36.11531634,,59.36102501,
169,25,F24 3556,ABC-11215-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,92.88,92.9,10.48439182,10.52206674,89.51560818,89.47793326,14.80076413,14.80076413,28.43807975,27.87275201,54.30137458,52.52701023
170,25,F24 3556,ABC-11215-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,92.92,,10.55974166,,89.44025834,,14.80076413,,27.30742426,,50.75264587,
171,25,F24 3557,ABC-11220-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,91.84081592,91.8762168,8.412652748,8.423114233,91.58734725,91.57688577,18.30888052,18.30888052,25.67973267,26.31273256,55.61370624,56.95355568
172,25,F24 3557,ABC-11220-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,91.91161768,,8.433575717,,91.56642428,,18.30888052,,26.94573244,,58.29340512,
173,25,F24 3558,ABC-11232-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,91.22087791,91.23043896,7.310425274,7.316271422,92.68957473,92.68372858,17.36776998,17.36776998,34.31355844,34.63570984,54.27373961,54.20360849
174,25,F24 3558,ABC-11232-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,91.24,,7.32211757,,92.67788243,,17.36776998,,34.95786124,,54.13347738,
175,25,F24 3559,ABC-11313-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033,92.11,92.18538696,11.55280718,11.53595966,88.44719282,88.46404034,15.08813852,15.08813852,38.48584936,38.8232651,55.72613235,55.96398381
176,25,F24 3559,ABC-11313-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033,92.26077392,,11.51911215,,88.48088785,,15.08813852,,39.16068084,,56.20183527,
177,25,F24 3560,ABC-11417-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033,91.48170366,91.50254715,11.93170767,12.06160643,88.06829233,87.93839357,14.93631922,14.93631922,41.32332356,41.47768079,57.71167596,57.22621539
178,25,F24 3560,ABC-11417-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033,91.52339064,,12.19150519,,87.80849481,,14.93631922,,41.63203801,,56.74075483,
179,25,F24 3561,ABC-11624-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,92.03,92.04039746,12.04905705,12.0430228,87.95094295,87.9569772,12.26457661,12.26457661,33.92655369,33.73017171,56.3179606,54.88064863
180,25,F24 3561,ABC-11624-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,92.05079492,,12.03698856,,87.96301144,,12.26457661,,33.53378972,,53.44333665,
181,25,F24 3562,ABC-11690-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,91.04,90.675,12.3628343,12.88668321,87.6371657,87.11331679,15.6237236,15.6237236,33.91666319,33.51359341,54.57110674,54.32808491
182,25,F24 3562,ABC-11690-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,90.31,,13.41053212,,86.58946788,,15.6237236,,33.11052362,,54.08506308,
183,25,F24 3563,ABC-11762-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,90.65186963,90.70639677,7.969178081,8.057764328,92.03082192,91.94223567,16.73097066,16.73097066,39.51782231,39.80471006,57.93619465,58.72585915
184,25,F24 3563,ABC-11762-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,90.76092391,,8.146350574,,91.85364943,,16.73097066,,40.09159782,,59.51552365,
185,25,F24 3564,ABC-11778-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,91.94161168,92.05580584,8.612617363,8.580889697,91.38738264,91.4191103,15.948572,15.948572,26.82255337,26.27003041,53.88886015,54.21235109
186,25,F24 3564,ABC-11778-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,92.17,,8.549162031,,91.45083797,,15.948572,,25.71750744,,54.53584203,
187,25,F24 3565,ABC-11784-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,92.20077992,92.30076992,8.742281443,8.64478388,91.25771856,91.35521612,16.98998622,16.98998622,35.05749648,35.90932008,58.07859794,59.39246008
188,25,F24 3565,ABC-11784-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,92.40075992,,8.547286318,,91.45271368,,16.98998622,,36.76114368,,60.70632222,
189,25,F24 3566,ABC-11820-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,91.72082792,91.80541396,9.268678957,11.13177764,90.73132104,88.86822236,16.92081178,16.90349842,31.61176221,31.37797779,53.22390107,52.8942614
190,25,F24 3566,ABC-11820-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,91.89,,12.99487632,,87.00512368,,16.88618505,,31.14419337,,52.56462172,
191,25,F24 3567,ABC-12042-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,91.25087491,91.34629329,14.62419946,15.08316523,85.37580054,84.91683477,18.05508462,18.05508462,31.69802268,31.39103807,53.88658337,53.81308682
192,25,F24 3567,ABC-12042-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,91.44171166,,15.542131,,84.457869,,18.05508462,,31.08405347,,53.73959026,
193,25,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,0,0,0,0,89,89,9.5,9.5,89.53,89.53,17.67538478,17.67538478,35.48,35.48,71.52,71.52
194,25,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,0,0,0,0,89,,9.5,,89.53,,17.67538478,,35.48,,71.52,
195,25,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,0,0,0,0,89,89,9.1,9.1,89.58,89.58,13.79,13.79,33.91,33.91,67.86,67.86
196,25,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,0,0,0,0,89,,9.1,,89.58,,13.79,,33.91,,67.86,
197,25,F25 0017,Hohenheimer Heustandard,0,0,Hohenheimer Heustandard,0,0,0,OT-002,91.34432784,91.33303174,9.990152095,10.05857506,90.0098479,89.94142494,13.29,13.29,0,#DIV/0!,0,#DIV/0!
198,25,F25 0017,Hohenheimer Heustandard,0,0,Hohenheimer Heustandard,0,0,0,OT-002,91.32173565,,10.12699803,,89.87300197,,13.29,,0,,0,
199,25,F25 0008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,0,0,0,OT-001,93.64063594,93.73093584,11.33,11.415,88.67058195,88.58614349,0,#DIV/0!,0,37.8,0,76.1
200,25,F25 0008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,0,0,0,OT-001,93.82123575,,11.5,,88.50170503,,0,,0,,0,
201,26,F25 0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,0,0,0,OT-001,93.64063594,93.73093584,11.33,11.415,88.67058195,88.58614349,0,13.1,0,37.8,0,76.1
202,26,F25 0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,0,0,0,OT-001,93.82123575,,11.5,,88.50170503,,0,,0,,0,
203,26,F25 2624,CIAT_6294_Marandu_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,96.08039196,96.18019598,10.35452673,10.3030587,89.64547327,89.6969413,12.81540684,12.79505553,30.57595105,30.46681618,63.58882866,63.39943472
204,26,F25 2624,CIAT_6294_Marandu_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,96.28,,10.25159067,,89.74840933,,12.77470423,,30.35768132,,63.21004079,
205,26,F25 2625,CIAT_36087_MulatoII_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,96.9518289,97.01106094,10.47705443,10.32506735,89.52294557,89.67493265,12.56130524,12.48033098,29.54307318,29.37088023,63.44384941,62.99443398
206,26,F25 2625,CIAT_36087_MulatoII_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,97.07029297,,10.17308027,,89.82691973,,12.39935672,,29.19868727,,62.54501855,
207,26,F25 2626,CIAT_606_Basilisk_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,96.88187088,96.87624838,9.480640983,9.456735773,90.51935902,90.54326423,11.78358852,11.82323376,30.7548803,30.29630038,66.15510635,65.32222998
208,26,F25 2626,CIAT_606_Basilisk_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,96.87062587,,9.432830563,,90.56716944,,11.862879,,29.83772045,,64.48935361,
209,26,F25 2627,BR02_1752_Cayman_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,96.6,96.6359984,17.22960416,17.20892552,82.77039584,82.79107448,10.93139136,10.93241242,29.51361496,29.65042301,59.67263734,59.76409327
210,26,F25 2627,BR02_1752_Cayman_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,96.6719968,,17.18824688,,82.81175312,,10.93343348,,29.78723106,,59.85554921,
211,26,F25 2628, BR06_423_Cayman_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,96.57,96.67048435,10.41682998,10.42560924,89.58317002,89.57439076,13.91473526,13.86945646,29.82243235,29.45370158,61.75201956,61.5969139
212,26,F25 2628, BR06_423_Cayman_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,96.77096871,,10.43438851,,89.56561149,,13.82417766,,29.0849708,,61.44180824,
213,26,F25 2629,CIAT 20692,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,95.49180328,95.52112412,8.664773788,8.697476899,91.33522621,91.3025231,27.22199798,27.04985095,30.6828915,30.20424416,53.1292052,52.99283637
214,26,F25 2629,CIAT 20692,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,95.55044496,,8.73018001,,91.26981999,,26.87770392,,29.72559683,,52.85646753,
215,26,F25 2630,CIAT 20692,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,93.89061094,93.88652898,7.423112927,7.342148182,92.57688707,92.65785182,23.44936461,23.76409216,29.29073261,29.03088171,49.84947921,49.63699347
216,26,F25 2630,CIAT 20692,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,93.88244702,,7.261183436,,92.73881656,,24.07881971,,28.77103081,,49.42450773,
217,26,F25 2631,CIAT 17768,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,92.81143771,92.80787756,7.616364546,7.679453105,92.38363545,92.3205469,24.73813252,24.62346236,33.60357368,32.84655801,54.11248908,55.01149716
218,26,F25 2631,CIAT 17768,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,92.80431741,,7.742541663,,92.25745834,,24.5087922,,32.08954235,,55.91050524,
219,26,F25 2632,CIAT 17768,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,93.46196141,93.46598071,7.829377709,7.766357636,92.17062229,92.23364236,26.08054842,26.03670779,29.13530131,28.53017878,48.79029556,47.70698998
220,26,F25 2632,CIAT 17768,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,93.47,,7.703337563,,92.29666244,,25.99286716,,27.92505625,,46.6236844,
221,26,F25 2633,CIAT 712,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,95.13,95.1054919,8.401197281,8.421382404,91.59880272,91.5786176,26.19869808,26.14820489,32.1612832,32.33378701,52.38009466,52.45562349
222,26,F25 2633,CIAT 712,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,95.0809838,,8.441567527,,91.55843247,,26.0977117,,32.50629081,,52.53115232,
