31_no,31_date,31_requisitioner,31_gene_bank_id,31_tax_name,31_family,31_order,31_genus2,31_species3,31_functional_group,31_ciat_id,31_set_ciat,31_batch,31_run,31_replication,31_syrangue_no,31_sample_weight_g,31_dm_incubated_mg,31_digested_feed_mg,31_time_0h,31_gas_0h_ml,31_time_8h,31_gas_8h_ml,31_ch4_8h_percentage,31_v8_push_back_ml,31_time_24h,31_gas_24h_ml,31_ch4_24h_percentage,31_remarks_1,31_gp_8h_ml,31_gp_8_24h_ml,31_net_gas_8h_ml,31_net_gas_8_24h_ml2,31_net_gas_24h_ml,31_ch4_8h_ml,31_ch4_8_24h_ml,31_ch4_24h_ml,31_gas_ml_g_dm_incubated_24h,31_percentage_dmd_truly_digestibility,31_part_fact,31_ch4_ml_in_gas_8h,31_ch4_ml_in_gas_24h,31_ch4_ml_g_dm_incubated_24h,31_ch4_ml_g_dmd_24h,31_ch4_ml_g_ndf_digested_in_24h,31_ch4_g_g_dm_incubated_24h,31_ch4_g_g_dmd_24h,31_column8
No,Date,Requisitioner,Gene Bank ID,Tax Name,Family,Order,Genus2,Species3,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Sample weight, g","DM Incubated, mg","Digested feed, mg",Time 0h,"Gas 0h, ml",Time 8h,"Gas 8h, ml",CH4 8h %,"V8 Push back, ml",Time 24h,"Gas 24h, ml","CH4 24h, %",Remarks,"GP 8h, ml","GP 8-24h, ml","Net gas 8h, ml","Net gas 8-24h, ml2","Net gas 24h, ml","CH4 8h, ml","CH4 8-24h, ml","CH4 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 ml in gas, h8","CH4 ml in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h",Column8
652,45960,Benchmark, CIAT_6294_Marandu_Opt,Brachiaria interespecifico ,Brachiaria,interespecifico,Poaceae,Poales,grasses,F25-2138,25,52,1,2,121,0.5005,481.06049,252.06049,0.329861111,40.5,0.664583333,81,13.2,40,0.335416667,102,14.4,,40.5,62,37.54997748,58.12809544,95.67807292,4.956597027,8.370445744,13.32704277,198.8899004,52.3968389,2.634464536,13.2,13.92904598,27.70346567,52.8723989,254.3482212,15.37590275,29.34509614,
653,45960,Benchmark, CIAT_6294_Marandu_Opt,Brachiaria interespecifico ,Brachiaria,interespecifico,Poaceae,Poales,grasses,F25-2138,25,52,1,3,122,0.5001,480.676026,181.476026,0.329861111,40,0.665277778,81,13,40,0.336111111,101,14.5,Embolo duro 24h,41,61,38.04997748,57.12809544,95.17807292,4.946497072,8.283573839,13.23007091,198.0087788,37.75433269,1.906699941,13,13.90033493,27.52388344,72.90258224,350.4252352,15.2762315,40.46219443,
654,45960,Benchmark,CIAT_36087_MulatoII_Opt, Brachiaria interespecifico,Brachiaria,interespecifico,Poaceae,Poales,grasses,F25-2139,25,52,1,1,123,0.5006,485.3370267,254.8370267,0.329861111,40.5,0.665277778,82.5,13,40,0.336805556,94.5,14.5,,42,54.5,39.04997748,50.62809544,89.67807292,5.076497072,7.341073839,12.41757091,184.774843,52.50722955,2.841687141,13,13.84683068,25.58545965,48.7274988,236.4925938,14.20037276,27.04460487,
655,45960,Benchmark,CIAT_36087_MulatoII_Opt, Brachiaria interespecifico,Brachiaria,interespecifico,Poaceae,Poales,grasses,F25-2139,25,52,1,2,124,0.5004,485.1431246,204.5431246,0.330555556,41.5,0.666666667,83,13.1,41,0.3375,94.5,14.5,,41.5,53.5,38.54997748,49.62809544,88.17807292,5.05004705,7.196073839,12.24612089,181.7568228,42.16139819,2.319659727,13.1,13.88794343,25.24228474,59.87060634,290.4581303,14.00990475,33.22922234,
656,45960,Benchmark,CIAT_36087_MulatoII_Opt, Brachiaria interespecifico,Brachiaria,interespecifico,Poaceae,Poales,grasses,F25-2139,25,52,1,3,125,0.5001,484.8522714,246.1522714,0.330555556,40.5,0.666666667,82.5,13,41,0.338194444,92.5,14.5,,42,51.5,39.04997748,47.62809544,86.67807292,5.076497072,6.906073839,11.98257091,178.7721292,50.76850948,2.839844762,13,13.82422394,24.7138595,48.67950576,236.0236894,13.7166196,27.0179679,
657,45960,Benchmark,CIAT_6133_Llanero _Opt,Brachiaria humidicola,Brachiaria,humidicola,Poaceae,Poales,grasses,F25-2140,25,52,1,1,126,0.5003,487.2428053,167.8428053,0.330555556,40,0.667361111,80,13.4,40,0.338194444,97,14.5,,40,57,37.04997748,53.12809544,90.17807292,4.964696982,7.703573839,12.66827082,185.0783058,34.44746715,1.861237437,13.4,14.04806114,25.99991356,75.47699645,367.7562349,14.43040185,41.89103886,
658,45960,Benchmark,CIAT_6133_Llanero _Opt,Brachiaria humidicola,Brachiaria,humidicola,Poaceae,Poales,grasses,F25-2140,25,52,1,2,127,0.5006,487.5349757,243.2349757,0.33125,40,0.667361111,79.5,13.6,40,0.338888889,94,14.5,,39.5,54,36.54997748,50.12809544,86.67807292,4.970796937,7.268573839,12.23937078,177.7884198,49.89077457,2.806188088,13.6,14.12049249,25.10460046,50.31912348,245.3233264,13.93348759,27.9279841,
659,45960,Benchmark,CIAT_6133_Llanero _Opt,Brachiaria humidicola,Brachiaria,humidicola,Poaceae,Poales,grasses,F25-2140,25,52,1,3,128,0.5003,487.2428053,177.4428053,0.33125,41.5,0.668055556,81,14.1,42,0.339583333,98.5,14.7,,39.5,56.5,36.54997748,52.62809544,89.17807292,5.153546825,7.73633003,12.88987685,183.025941,36.4177374,1.989758239,14.1,14.45408768,26.45472999,72.64243164,353.9450218,14.68283284,40.31780635,
660,45960,Benchmark,CIAT_6962_Mombaza _Opt,Megathyrsus maximus ,Megathyrsus,maximus,Poaceae,Poales,grasses,F25-2141,25,52,1,1,129,0.5004,487.9931664,251.1931664,0.33125,41,0.66875,84,12.7,41,0.340277778,91.5,15.6,,43,50.5,40.04997748,46.62809544,86.67807292,5.08634714,7.273982889,12.36033003,177.6214892,51.47473033,2.898001282,12.7,14.26004249,25.32889983,49.20647407,240.1242309,14.05797762,27.31044443,
661,45960,Benchmark,CIAT_6962_Mombaza _Opt,Megathyrsus maximus ,Megathyrsus,maximus,Poaceae,Poales,grasses,F25-2141,25,52,1,2,130,0.5001,487.7006046,167.9006046,0.331944444,40.5,0.66875,84.5,12.6,40,0.340972222,88,15.8,,44,48,41.04997748,44.12809544,85.17807292,5.172297162,6.97223908,12.14453624,174.6523833,34.42698307,1.971171674,12.6,14.25781991,24.90162228,72.33170049,352.7621406,13.82083119,40.14534519,
662,45960,Benchmark,CIAT_6962_Mombaza _Opt,Megathyrsus maximus ,Megathyrsus,maximus,Poaceae,Poales,grasses,F25-2141,25,52,1,3,131,0.5001,487.7006046,206.3006046,0.331944444,41,0.669444444,84,12.8,40.5,0.341666667,89,15.7,,43,48.5,40.04997748,44.62809544,84.67807292,5.126397117,7.006610984,12.1330081,173.6271641,42.30066615,2.436293098,12.8,14.32839421,24.87798454,58.81227603,286.8278258,13.80771184,32.64183071,
663,45960,Benchmark,Paja Sabana Madura,0,0,,Poaceae,Poales,grasses,F252566,25,52,1,1,132,0.5005,462.4889242,65.38892421,0.331944444,42,0.669444444,56.5,13.6,41,0.341666667,61,15,,14.5,20,11.54997748,16.12809544,27.67807292,1.570796937,2.419214316,3.990011254,59.84591516,14.13848436,2.362481102,13.6,14.41578417,8.627257962,61.01968035,282.2092632,4.788277429,33.8669783,
664,45960,Benchmark,Paja Sabana Madura,0,0,,Poaceae,Poales,grasses,F252566,25,52,1,2,133,0.5003,462.3041134,0,0.331944444,41,0.670138889,57,13.2,40.5,0.342361111,60,14.8,Muestra en la manguera 24h,16,19.5,13.04997748,15.62809544,28.67807292,1.722597027,2.312958125,4.035555153,62.03291748,0,0,13.2,14.07191886,8.729221816,#DIV/0!,#DIV/0!,4.844869132,#DIV/0!,
665,45960,Benchmark,Paja Sabana Madura,0,0,,Poaceae,Poales,grasses,F252566,25,52,1,3,134,0.5,462.0268973,47.42689731,0.332638889,41,0.670833333,56,12.9,40,0.343055556,59,14.8,Muestra en la manguera 24h,15,19,12.04997748,15.12809544,27.17807292,1.554447095,2.238958125,3.79340522,58.823573,10.26496457,1.745042684,12.9,13.95759453,8.210355809,79.98425863,369.5487885,4.556889522,44.39264735,
666,45960,Benchmark,Humidicola 679,Urochloa humidicola,Urochloa,humidicola,Poaceae,Poales,grasses,F252567,25,52,1,1,135,0.5,461.2366624,76.83666244,0.332638889,41,0.671527778,58,13.5,40.5,0.34375,85,14,,17,44.5,14.04997748,40.62809544,54.67807292,1.89674696,5.687933362,7.584680322,118.5466754,16.65883671,1.405255495,13.5,13.87152092,16.44422688,98.71173579,455.2947156,9.12683042,54.78672118,
667,45960,Benchmark,Humidicola 679,Urochloa humidicola,Urochloa,humidicola,Poaceae,Poales,grasses,F252567,25,52,1,2,136,0.5002,461.4211571,121.9211571,0.332638889,41,0.672222222,57,14.3,40.5,0.34375,85,14.1,,16,44.5,13.04997748,40.62809544,53.67807292,1.86614678,5.728561457,7.594708237,116.3320582,26.42296636,2.271340055,14.3,14.14862312,16.45938449,62.29196324,287.4282976,9.135243157,34.57311732,
668,45960,Benchmark,Humidicola 679,Urochloa humidicola,Urochloa,humidicola,Poaceae,Poales,grasses,F252567,25,52,1,3,137,0.5001,461.3289098,0,0.333333333,41,0.672222222,59,13.8,40.5,0.344444444,88,14.2,,18,47.5,15.04997748,43.62809544,58.67807292,2.076896892,6.195189553,8.272086445,127.1935742,0,0,13.8,14.09740646,17.93099515,#DIV/0!,#DIV/0!,9.952012535,#DIV/0!,
669,45960,Benchmark,Sabana Quemada,0,0,,Poaceae,Poales,grasses,F252568,25,52,1,1,138,0.5004,468.4669893,51.66698932,0.333333333,41,0.672916667,52.5,12.5,40,0.345138889,58.5,14.5,Muestra en la manguera 8h,11.5,18.5,8.54997748,14.62809544,23.17807292,1.068747185,2.121073839,3.189821024,49.47642726,11.02894985,2.229132227,12.5,13.76223569,6.809062531,61.73808589,289.2225522,3.779147509,34.2657058,
670,45960,Benchmark,Sabana Quemada,0,0,,Poaceae,Poales,grasses,F252568,25,52,1,2,139,0.5001,468.1861338,0,0.333333333,41.5,0.672916667,51.5,11.8,40.5,0.345833333,59,14.8,,10,18.5,7.04997748,14.62809544,21.67807292,0.831897343,2.164958125,2.996855468,46.30225322,0,0,11.8,13.82436289,6.400991511,#DIV/0!,#DIV/0!,3.552661032,#DIV/0!,
671,45960,Benchmark,Sabana Quemada,0,0,,Poaceae,Poales,Herbaceous,F252568,25,52,1,3,140,0.5,468.0925153,43.29251531,0.334027778,42,0.673611111,53,12.7,40.5,0.346527778,60.5,14.7,,11,20,8.04997748,16.12809544,24.17807292,1.02234714,2.37083003,3.39317717,51.65233823,9.248709153,1.790569308,12.7,14.03410926,7.24894558,78.37791697,366.881163,4.023290211,43.50109994,
672,45960,Genetic bank,ABC-2783-1,Stylosanthes humilis,Stylosanthes,humilis,Fabaceae,Fabales,Herbaceous,F24-3548,25,52,1,1,141,0.5002,448.9172968,300.5172968,0.334027778,40.5,0.674305556,88.5,12.4,40,0.347222222,98,15.1,Embolo duro 24h,48,58,45.04997748,54.12809544,99.17807292,5.586197207,8.173342412,13.75953962,220.9272702,66.94268609,3.030078,12.4,13.87357025,30.65050003,45.78618191,205.5420902,17.0115578,25.41212311,
673,45960,Genetic bank,ABC-2783-1,Stylosanthes humilis,Stylosanthes,humilis,Fabaceae,Fabales,Herbaceous,F24-3548,25,52,1,2,142,0.5002,448.9172968,182.4172968,0.334027778,40.5,0.674305556,86.5,12.2,40,0.347916667,98.5,14.9,Embolo duro 24h,46,58.5,43.04997748,54.62809544,97.67807292,5.252097253,8.139586221,13.39168347,217.5858975,40.63494503,1.867535787,12.2,13.71002014,29.83107038,73.41235567,329.5607626,16.55676017,40.74512751,
674,45960,Genetic bank,ABC-2783-1,Stylosanthes humilis,Stylosanthes,humilis,Fabaceae,Fabales,Herbaceous,F24-3548,25,52,1,3,143,0.5001,448.8275492,277.0275492,0.334027778,41.5,0.675,86.5,12.2,40.5,0.348611111,98.5,14.9,embolo duro 8h,45,58,42.04997748,54.12809544,96.17807292,5.130097253,8.065086221,13.19518347,214.2873651,61.72249224,2.880360781,12.2,13.71953406,29.39922805,47.63130421,213.7824154,16.3170802,26.43619791,
675,45960,Genetic bank,ABC-10440-1,Stylosanthes humilis,Stylosanthes,humilis,Fabaceae,Fabales,Herbaceous,F24-3549,25,52,1,1,144,0.5002,451.3829182,213.3829182,0.335416667,40.5,0.675694444,90,13.1,40.5,0.349305556,90,15.1,,49.5,49.5,46.54997748,45.62809544,92.17807292,6.09804705,6.889842412,12.98788946,204.2125858,47.27314872,2.314898885,13.1,14.0899989,28.7735511,60.86658468,274.7413662,15.96981867,33.78200755,
676,45960,Genetic bank,ABC-10440-1,Stylosanthes humilis,Stylosanthes,humilis,Fabaceae,Fabales,Herbaceous,F24-3549,25,52,1,2,145,0.5,451.2024373,274.1024373,0.334722222,41,0.676388889,89,12.6,41,0.35,91,15.6,,48,50,45.04997748,46.12809544,91.17807292,5.676297162,7.195982889,12.87228005,202.0779708,60.7493255,3.006231964,12.6,14.11773647,28.52883537,46.96156729,211.8917362,15.83399721,26.06448233,
677,45960,Genetic bank,ABC-10440-1,Stylosanthes humilis,Stylosanthes,humilis,Fabaceae,Fabales,Herbaceous,F24-3549,25,52,1,3,146,0.5002,451.3829182,201.4829182,0.335416667,40.5,0.676388889,50,12.1,39,0.350694444,46,15.1,"Embolo duro 0H, en la primera agitación se observa líquido por la parte superior del embolo",9.5,7,6.54997748,3.128095442,9.678072922,0.792547275,0.472342412,1.264889687,21.44093746,44.63680616,20.81849557,12.1,13.0696441,2.802254219,6.277900369,28.33736989,1.555299573,3.484343319,
678,45960,Genetic bank,ABC-10613-1,Stylosanthes scabra,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3550,25,52,1,1,147,0.5005,464.6463593,230.3463593,0.335416667,41,0.677083333,82,12.6,40.5,0.351388889,85,15.4,,41,44.5,38.04997748,40.62809544,78.67807292,4.794297162,6.256726698,11.05102386,169.3289345,49.57455379,2.927707184,12.6,14.04587511,23.78373066,47.97568277,222.9172633,13.200382,26.62733396,
679,45960,Genetic bank,ABC-10613-1,Stylosanthes scabra,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3550,25,52,1,2,148,0.5001,464.2750136,230.4750136,0.335416667,42,0.677777778,82,12.9,41.5,0.352083333,85,15.4,,40,43.5,37.04997748,39.62809544,76.67807292,4.779447095,6.102726698,10.88217379,165.1565789,49.64191628,3.005748642,12.9,14.19202828,23.43906839,47.21628442,219.2134109,13.00908847,26.20585475,
680,45960,Genetic bank,ABC-10613-1,Stylosanthes scabra,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3550,25,52,1,3,149,0.5,464.1821771,147.2821771,0.336111111,40.5,0.678472222,81,12.4,40,0.352777778,85,15.2,,40.5,45,37.54997748,41.12809544,78.67807292,4.656197207,6.251470507,10.90766771,169.4982634,31.72939083,1.871959641,12.4,13.86366914,23.49867843,74.05965832,343.7717344,13.04217308,41.10439168,
681,45960,Genetic bank,ABC-10627-1,Stylosanthes scabra,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3551,25,52,1,1,150,0.5003,467.2117363,229.5117363,0.336111111,41,0.679166667,80,12.7,40,0.352777778,86.5,14.8,,39,46.5,36.04997748,42.62809544,78.67807292,4.57834714,6.308958125,10.88730527,168.3991792,49.12370955,2.917099108,12.7,13.83778842,23.30272213,47.43681278,221.6303566,12.93341394,26.3282518,
682,45960,Genetic bank,ABC-10627-1,Stylosanthes scabra,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3551,25,52,1,2,151,0.5002,467.11835,209.11835,0.336111111,41,0.679861111,80.5,12.7,40.5,0.353472222,85,14.8,En la primera agitación se observa líquido por la parte superior del embolo,39.5,44.5,36.54997748,40.62809544,77.17807292,4.64184714,6.012958125,10.65480527,165.221668,44.76774462,2.709556511,12.7,13.80548239,22.80964827,50.95107754,238.0018327,12.65974942,28.27872954,
683,45960,Genetic bank,ABC-10627-1,Stylosanthes scabra,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3551,25,52,1,3,152,0.5003,467.2117363,234.3117363,0.336805556,41,0.680555556,78.5,13.4,40.5,0.354166667,83.5,15,Muestra en la manguera 24h,37.5,43,34.54997748,39.12809544,73.67807292,4.629696982,5.869214316,10.4989113,157.6973933,50.151081,3.180209892,13.4,14.24970942,22.47142031,44.80744953,209.3456629,12.47202705,24.8689097,
684,45960,Genetic bank,ABC-10634-1,Stylosanthes scabra,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3552,25,52,1,1,153,0.5003,465.37906,205.67906,0.336805556,40.5,0.680555556,84,12.5,40,0.354861111,93,14.4,,43.5,53,40.54997748,49.12809544,89.67807292,5.068747185,7.074445744,12.14319293,192.6989859,44.19602807,2.29352676,12.5,13.54087185,26.09312273,59.03951977,274.7575621,14.48213455,32.76795492,
685,45960,Genetic bank,ABC-10634-1,Stylosanthes scabra,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3552,25,52,1,2,154,0.5002,465.28604,288.38604,0.336805556,41,0.68125,82.5,12.9,40.5,0.354861111,93,14.3,,41.5,52.5,38.54997748,48.62809544,87.17807292,4.972947095,6.953817648,11.92676474,187.3644714,61.98037663,3.308011181,12.9,13.68092267,25.63318844,41.35694205,192.4280779,14.22686307,22.95381835,
686,45960,Genetic bank,ABC-10634-1,Stylosanthes scabra,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3552,25,52,1,3,155,0.5002,465.28604,280.98604,0.336805556,41,0.68125,86.5,12.8,40.5,0.355555556,94,14.6,,45.5,53.5,42.54997748,49.62809544,92.17807292,5.446397117,7.245701935,12.69209905,198.1105492,60.38995711,3.048295881,12.8,13.76910869,27.27805685,45.16985631,210.1690357,15.13979349,25.07005174,
687,45960,Genetic bank,ABC-10639-1,Stylosanthes scabra,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3553,25,52,1,1,156,0.5,466,213.7,0.3375,41,0.681944444,87.5,13.4,42,0.35625,91,15.8,En la primera agitación se observa líquido por la parte superior del embolo,46.5,49,43.54997748,45.12809544,88.67807292,5.835696982,7.13023908,12.96593606,190.2962938,45.8583691,2.409840369,13.4,14.62135524,27.82389713,60.67354264,282.7387087,15.44274429,33.67486588,
688,45960,Genetic bank,ABC-10639-1,Stylosanthes scabra,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3553,25,52,1,2,157,0.5002,466.1864,264.3864,0.3375,41,0.681944444,88,12.9,41,0.356944444,91.5,15.8,,47,50.5,44.04997748,46.62809544,90.67807292,5.682447095,7.36723908,13.04968617,194.5103352,56.71259393,2.915659668,12.9,14.39122574,27.99242143,49.35838672,230.1020861,15.53627819,27.39475858,
689,45960,Genetic bank,ABC-10639-1,Stylosanthes scabra,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3553,25,52,1,3,158,0.5003,466.2796,223.4796,0.3375,41,0.682638889,86,12.8,41,0.357638889,90,15.9,,45,49,42.04997748,45.12809544,87.17807292,5.382397117,7.175367175,12.55776429,186.9652306,47.92823876,2.563484056,12.8,14.40472801,26.93183294,56.19199378,262.0118038,14.94763323,31.18752873,
690,45960,Genetic bank,ABC-10725-1,Stylosanthes scabra,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3554,25,52,1,1,159,0.5001,462.0499896,184.7499896,0.338194444,41,0.683333333,83,13.1,41,0.358333333,83.5,15.7,,42,42.5,39.04997748,38.62809544,77.67807292,5.11554705,6.064610984,11.18015803,168.1161664,39.98484878,2.378405935,13.1,14.39293949,24.1968581,60.51506718,279.6098616,13.42967488,33.58690926,
691,45960,Genetic bank,ABC-10725-1,Stylosanthes scabra,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3554,25,52,1,2,160,0.5002,462.1423811,238.1423811,0.338194444,41,0.683333333,81,13.5,41,0.358333333,80,15.8,,40,39,37.04997748,35.12809544,72.17807292,5.00174696,5.55023908,10.55198604,156.1814624,51.53008918,3.299372947,13.5,14.61937901,22.83275992,44.30956804,204.7732928,12.67257679,24.59257686,
692,45960,Genetic bank,ABC-10725-1,Stylosanthes scabra,Stylosanthes,scabra,Fabaceae,Fabales,Herbaceous,F24-3554,25,52,1,3,161,0.5001,462.0499896,188.8499896,0.338194444,40.5,0.684027778,80,12.9,40,0.359027778,83,15.4,"Muestra en la manguera 24h, Embolo duro 24h",39.5,43,36.54997748,39.12809544,75.67807292,4.714947095,6.025726698,10.74067379,163.7876304,40.87219865,2.49543867,12.9,14.19258364,23.24569643,56.87410317,262.7867878,12.90176369,31.56611124,
693,,,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,25,52,1,1,162,-,,0,0.338194444,39.5,0.684722222,42.5,,,,,,,3,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
694,,,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,25,52,1,2,163,-,,0,0.338888889,40,0.685416667,43.5,,,,,,,3.5,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
695,45960,Genetic bank,ABC-11199-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3555,25,52,1,1,164,0.5002,459.2688839,242.0688839,0.338888889,41,0.685416667,88.5,13.1,40.5,0.359722222,91.5,16.4,,47.5,51,44.54997748,47.12809544,91.67807292,5.83604705,7.729007653,13.5650547,199.617427,52.70744272,2.640422908,13.1,14.79640035,29.53619367,56.03799415,257.3650703,16.39309849,31.10205627,
696,45960,Genetic bank,ABC-11199-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3555,25,52,1,2,165,0.5002,459.2688839,211.3688839,0.338888889,40.5,0.686111111,83,13,40,0.360416667,85,16.4,,42.5,45,39.54997748,41.12809544,80.67807292,5.141497072,6.745007653,11.88650472,175.6663161,46.02290539,2.619904966,13,14.73325316,25.88136306,56.23583048,258.273671,14.36460427,31.21185885,
697,45960,Genetic bank,ABC-11199-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3555,25,52,1,3,166,0.5,459.0852498,234.9852498,0.339583333,40.5,0.686111111,80,13,40,0.361111111,91,15.7,Muestra en la manguera 24h,39.5,51,36.54997748,47.12809544,83.67807292,4.751497072,7.399110984,12.15060806,182.2713166,51.18553687,2.808205801,13,14.52065951,26.46699728,51.70796067,237.3836204,14.68964139,28.69881277,
698,45960,Genetic bank,ABC-11215-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3556,25,52,1,1,167,0.5,464.5,251.8,0.339583333,41,0.686805556,78.5,13.3,41,0.361805556,90,14.9,,37.5,49,34.54997748,45.12809544,79.67807292,4.595147005,6.724086221,11.31923323,171.5351408,54.2088267,3.160216993,13.3,14.20620857,24.36863988,44.95326936,208.8079362,13.52501674,24.94984223,
699,45960,Genetic bank,ABC-11215-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3556,25,52,1,2,168,0.5,464.5,295.6,0.339583333,41,0.686805556,80,13.7,41,0.361805556,91.5,14.9,,39,50.5,36.04997748,46.62809544,82.67807292,4.938846915,6.947586221,11.88643314,177.9936984,63.63832078,3.575313134,13.7,14.37676607,25.58973764,40.21120817,186.781062,14.20274712,22.31791623,
700,45960,Genetic bank,ABC-11215-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3556,25,52,1,3,169,0.5001,464.5929,273.0929,0.340277778,40.5,0.6875,79,13.1,40,0.3625,91,14.6,,38.5,51,35.54997748,47.12809544,82.67807292,4.65704705,6.880701935,11.53774898,177.9581068,58.78111783,3.303087389,13.1,13.95502892,24.83410527,42.24843994,196.2832523,13.78335808,23.44861511,
701,45960,Genetic bank,ABC-11220-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3557,25,52,1,1,170,0.5002,459.5648364,273.3648364,0.340277778,41,0.688194444,84.5,13.1,41,0.363194444,96,15.4,,43.5,55,40.54997748,51.12809544,91.67807292,5.31204705,7.873726698,13.18577375,199.4888766,59.48341012,2.981790822,13.1,14.38269079,28.69186827,48.23507632,221.6714496,15.92448329,26.77130187,
702,45960,Genetic bank,ABC-11220-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3557,25,52,1,2,171,0.5003,459.6567126,279.2567126,0.340277778,40.5,0.688194444,85,13,41,0.363888889,91.5,15.7,,44.5,50.5,41.54997748,46.62809544,88.17807292,5.401497072,7.320610984,12.72210806,191.8346246,60.75331981,3.166963207,13,14.42774562,27.67741166,45.55703581,209.4059732,15.36144232,25.28494306,
703,45960,Genetic bank,ABC-11220-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3557,25,52,1,3,172,0.5,459.381084,271.581084,0.340972222,41,0.688888889,83.5,13.4,41,0.364583333,96,15.6,,42.5,55,39.54997748,51.12809544,90.67807292,5.299696982,7.975982889,13.27567987,197.3918302,59.11890878,2.995002819,13.4,14.64045214,28.89905643,48.88293277,224.5589465,16.03947631,27.13087342,
704,45960,Genetic bank,ABC-11232-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3558,25,52,1,1,173,0.5002,456.3346557,231.7346557,0.340972222,41,0.688888889,84.5,12.5,40,0.365277778,93,15.8,,43.5,53,40.54997748,49.12809544,89.67807292,5.068747185,7.76223908,12.83098626,196.5182171,50.78173502,2.584072651,12.5,14.30783005,28.11749252,55.36930257,252.6693162,15.60569481,30.73092087,
705,45960,Genetic bank,ABC-11232-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3558,25,52,1,2,174,0.5004,456.5171165,253.6171165,0.340972222,41,0.689583333,83,12.8,40.5,0.365972222,93,15.8,,42,52.5,39.04997748,48.62809544,87.67807292,4.998397117,7.68323908,12.6816362,192.0586759,55.55478806,2.892594557,12.8,14.46386283,27.77910343,50.00307696,228.2726051,15.41788301,27.75257282,
706,45960,Genetic bank,ABC-11232-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F24-3558,25,52,1,3,175,0.5001,456.2434252,209.7434252,0.341666667,40.5,0.689583333,86.5,12.8,40.5,0.366666667,94,16.1,,46,53.5,43.04997748,49.62809544,92.67807292,5.510397117,7.990123366,13.50052048,203.1329501,45.97182417,2.26313969,12.8,14.56711394,29.5906083,64.36683519,293.6694536,16.42329955,35.72470714,
707,45960,Genetic bank,ABC-11313-1,Stylosanthes guianensis,Stylosanthes,guianensis,Fabaceae,Fabales,Herbaceous,F24-3559,25,52,1,1,176,0.5001,461.0191202,222.8191202,0.341666667,41,0.690277778,76,13.1,41,0.366666667,86,14.8,,35,45,32.04997748,41.12809544,73.17807292,4.19854705,6.086958125,10.28550518,158.7311018,48.33186096,3.044889149,13.1,14.05544689,22.31036572,46.16078354,212.8100381,12.38263897,25.62003349,
