id,tax_name_x,functional_group_x,ch4_percentage_8h,ch4_percentage_24h,ch4_intensity_ml_g_tddm,tddm_mg_g,subset,id_lab,tax_name_y,functional_group_y,ch4_8h_percentage,ch4_24h_percentage,methane_intensity,tddm
CIAT-17091,Crotalaria micans,Shrub_Trees,15.16666667,17.46518626,48.8310255,66.12018277,1,F24-3477,Crotalaria micans,Herbaceous_legumes,15.17,19.57,48.83,66.12
CIAT-172,Stylosanthes hamata,Herbaceous_legumes,13.46666667,15.52263368,50.24333984,48.57096783,2,F24-3539,Stylosanthes hamata,Herbaceous_legumes,13.22,15.78,64.24,39.14
CIAT-1727,Stylosanthes humilis,Herbaceous_legumes,13.28333333,14.74286387,40.18029379,60.68080019,2,F24-3544,Stylosanthes humilis,Herbaceous_legumes,11.83,16.69,64.29,36.15
CIAT-17360,Alysicarpus vaginalis,Herbaceous_legumes,12.35,13.49511508,51.22049906,29.25359829,2,F24-3639,Alysicarpus vaginalis,Herbaceous_legumes,15.82,18.42,40.0,62.7
CIAT-17365,Clitoria ternatea,Herbaceous_legumes,15.12222222,17.56359212,51.29126771,63.39266228,1,F24-3478,Clitoria ternatea,Herbaceous_legumes,15.12,20.56,51.29,63.39
CIAT-17451,Canavalia sp.,Herbaceous_legumes,12.8,15.6083839,37.55126549,62.06594378,1,F24-3479,Canavalia sp.,Herbaceous_legumes,12.8,18.67,37.55,62.07
CIAT-17768,Clitoria ternatea,Herbaceous_legumes,12.4625,13.56591478,39.09235043,37.41595225,2,F24-3640,Clitoria ternatea,Herbaceous_legumes,14.83,17.67,54.62,62.31
CIAT-17768,Clitoria ternatea,Herbaceous_legumes,12.4625,13.56591478,39.09235043,37.41595225,3,F25-2631,Clitoria ternatea ,Herbaceous_legumes,14.69,17.04,59.64,51.33
CIAT-17775,Christia obcordata,Herbaceous_legumes,15.25555556,18.42883333,55.21843108,59.08527975,1,F24-3480,Christia obcordata,Herbaceous_legumes,15.26,22.24,55.22,59.09
CIAT-18004,Chamaecrista rotundifolia,Herbaceous_legumes,12.35714286,13.5860802,49.09168023,36.10553225,2,F24-3641,Chamaecrista rotundifolia,Herbaceous_legumes,13.81,17.47,53.53,58.72
