32_no,32_date,32_gene_bank_id,32_tax_name,32_family,32_order,32_genus2,32_species3,32_functional_group,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight_g,32_digested_weight_g,32_remarks_1,32_undigested_dm_g,32_digested_feed_mg,32_percentage_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_percentage_ndf_digestibility_in_24_h,32_remarks_2
No,Date,Gene Bank ID,Tax Name,Family,Order,Genus2,Species3,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks
,46135,CIAT_MulatoII_Exc_E,Urochloa interespecifico,,,,,,F261079,,,2,1,251,0.5439,0.8015,,0.2576,205.1775,44.33610104,#REF!,#REF!,#REF!,
,46135,CIAT_MulatoII_Exc_E,Urochloa interespecifico,,,,,,F261079,,,2,2,252,0.5699,0.7624,,0.1925,270.0925,58.38670104,#REF!,#REF!,#REF!,
,46135,Sample 8,Cynodon nlemfuensis ,,,,,,F250008,,,2,1,289,0.5895,0.8814,,0.2919,170.6,36.88648649,#REF!,#REF!,#REF!,
,46135,Sample 8,Cynodon nlemfuensis ,,,,,,F250008,,,2,2,290,0.6144,0.9521,,0.3377,125.17,27.04215006,#REF!,#REF!,#REF!,
,46135,BLANK 24 H,BLANK 24 H,,,,,,BLANK 24 H,,,2,1,291,,,,,,,,,,
,46135,BLANK 24 H,BLANK 24 H,,,,,,BLANK 24 H,,,2,2,292,,,,,,,,,,
,,BLANK 24 H,BLANK 24 H,,,,,,BLANK 24 H,,,3,1,1,,,,,,,,,,
,,BLANK 24 H,BLANK 24 H,,,,,,BLANK 24 H,,,3,2,2,,,,,,,,,,
,,BLANK 8 H,BLANK 8 H,,,,,,BLANK 8 H,,,3,1,77,,,,,,,,,,
,,BLANK 8 H,BLANK 8 H,,,,,,BLANK 8 H,,,3,2,78,,,,,,,,,,
,,CIAT-BR06_423_Temp_B,Urochloa interespecifico,,,,,,F261074,,,3,1,95,,,,,462.87,100,#REF!,#REF!,#REF!,
,,CIAT-BR06_423_Temp_B,Urochloa interespecifico,,,,,,F261074,,,3,2,96,,,,,462.685,100,#REF!,#REF!,#REF!,
,,CIAT_MulatoII_Temp_C,Urochloa interespecifico,,,,,,F261075,,,3,1,97,,,,,462.5925,100,#REF!,#REF!,#REF!,
,,CIAT_MulatoII_Temp_C,Urochloa interespecifico,,,,,,F261075,,,3,2,98,,,,,462.7775,100,#REF!,#REF!,#REF!,
,,CIAT-BR06_423_Opt_F,Urochloa interespecifico,,,,,,F261076,,,3,1,99,,,,,462.7775,100,#REF!,#REF!,#REF!,
,,CIAT-BR06_423_Opt_F,Urochloa interespecifico,,,,,,F261076,,,3,2,100,,,,,462.87,100,#REF!,#REF!,#REF!,
,,CIAT_MulatoII_Opt_D,Urochloa interespecifico,,,,,,F261077,,,3,1,101,,,,,462.7775,100,,,,
,,CIAT_MulatoII_Opt_D,Urochloa interespecifico,,,,,,F261077,,,3,2,102,,,,,462.7775,100,,,,
,,CIAT-BR06_423_Exc_G,Urochloa interespecifico,,,,,,F261078,,,3,1,103,,,,,462.5925,100,#REF!,#REF!,#REF!,
,,CIAT-BR06_423_Exc_G,Urochloa interespecifico,,,,,,F261078,,,3,2,104,,,,,462.5,100,#REF!,#REF!,#REF!,
,,CIAT_MulatoII_Exc_E,Urochloa interespecifico,,,,,,F261079,,,3,1,105,,,,,462.5,100,#REF!,#REF!,#REF!,
,,CIAT_MulatoII_Exc_E,Urochloa interespecifico,,,,,,F261079,,,3,2,106,,,,,462.5,100,#REF!,#REF!,#REF!,
,,Sample 8,Cynodon nlemfuensis ,,,,,,F250008,,,3,1,143,,,,,462.5,100,#REF!,#REF!,#REF!,
,,Sample 8,Cynodon nlemfuensis ,,,,,,F250008,,,3,2,144,,,,,462.87,100,#REF!,#REF!,#REF!,
,,BLANK 24 H,BLANK 24 H,,,,,,BLANK 24 H,,,3,1,145,,,,,,,,,,
,,BLANK 24 H,BLANK 24 H,,,,,,BLANK 24 H,,,3,2,146,,,,,,,,,,
