32_no,32_date,32_gene_bank_id,32_tax_name,32_family,32_order,32_genus2,32_species3,32_functional_group,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight_g,32_digested_weight_g,32_remarks,32_undigested_dm_g,32_digested_feed_mg,32_percentage_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_percentage_ndf_digestibility_in_24h,32_remarks2
No,Date,Gene Bank ID,Tax Name,Family,Order,Genus2,Species3,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks
215,"18/11/24, Mon",ABC-1467-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F243540,23,48,3,3,5,0.5609,0.5609,,0.191,272.44546,58.78695197,245.2891421,54.28914213,22.13271312,
216,"18/11/24, Mon",ABC-1475-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F243541,23,48,3,1,6,0.555,0.555,,0.209,245.22237,53.98729481,256.4227227,47.42272274,18.49396272,
217,"18/11/24, Mon",ABC-1475-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F243541,23,48,3,2,7,0.553,0.553,,0.211,243.04079,53.52840435,256.3202152,45.32021515,17.68109282,
218,"18/11/24, Mon",ABC-1475-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F243541,23,48,3,3,8,0.5837,0.5837,,0.191,263.22237,57.95011153,256.4227227,65.42272274,25.51362143,
219,"18/11/24, Mon",ABC-23326,Desmodium velutinum,Desmodium,velutinum,Fabaceae,Fabales,Shrub,F25-0954,23,48,3,1,9,0.5998,0.5998,,0.174,305.48752,63.71125572,191.795008,17.795008,9.278139293,
220,"18/11/24, Mon",ABC-23326,Desmodium velutinum,Desmodium,velutinum,Fabaceae,Fabales,Shrub,F25-0954,23,48,3,2,10,0.5884,0.5884,,0.166,313.29584,65.36585838,191.718336,25.718336,13.41464595,
221,"18/11/24, Mon",ABC-23326,Desmodium velutinum,Desmodium,velutinum,Fabaceae,Fabales,Shrub,F25-0954,23,48,3,3,11,0.5893,0.5893,,0.166,313.39168,65.37278244,191.756672,25.756672,13.4319561,
222,"18/11/24, Mon",ABC-13149,Desmodium strigillosum,Desmodium,strigillosum,Fabaceae,Fabales,Herbaceous,F25-0971,23,48,3,1,12,0.5604,0.5604,,0.236,233.2501,49.70698994,233.0999872,-2.900012825,-1.244106814,
223,"18/11/24, Mon",ABC-13149,Desmodium strigillosum,Desmodium,strigillosum,Fabaceae,Fabales,Herbaceous,F25-0971,23,48,3,2,13,0.5528,0.5528,,0.239,229.875,49.02692615,232.9136563,-6.08634375,-2.613133059,
224,"18/11/24, Mon",ABC-13149,Desmodium strigillosum,Desmodium,strigillosum,Fabaceae,Fabales,Herbaceous,F25-0971,23,48,3,3,14,0.5473,0.5473,,0.252,216.968775,46.26507916,232.960239,-19.03976102,-8.172965954,
