32_no,32_date,32_gene_bank_id,32_tax_name,32_family,32_order,32_genus2,32_species3,32_functional_group,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight_g,32_digested_weight_g,32_remarks,32_undigested_dm_g,32_digested_feed_mg,32_percentage_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_percentage_ndf_digestibility_in_24h,32_remarks2
No,Date,Gene Bank ID,Tax Name,Family,Order,Genus2,Species3,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks
280,"20/11/24, Wed",CIAT-8826,Zapoteca formosa,Zapoteca,formosa,Fabaceae,Fabales,Shrub,F25-1666,23,48,3,3,70,0.5836,0.5836,,0.118,350.5343535,74.81508045,180.9262785,62.92627848,34.78006568,
281,"20/11/24, Wed",CIAT-9578,Dioclea sericea,Dioclea,sericea,Fabaceae,Fabales,Climber,F25-1667,23,48,3,1,71,0.5622,0.5622,,0.42,55.57006324,11.6849372,301.6418285,-118.3581715,-39.23798372,
282,"20/11/24, Wed",CIAT-9578,Dioclea sericea,Dioclea,sericea,Fabaceae,Fabales,Climber,F25-1667,23,48,3,2,72,0.5941,0.5941,,,,,,,,Eliminado Dig 4.34%
283,"20/11/24, Wed",CIAT-9578,Dioclea sericea,Dioclea,sericea,Fabaceae,Fabales,Climber,F25-1667,23,48,3,3,73,0.6122,0.6122,,,,,,,,Eliminado Dig 4.33%
284,"20/11/24, Wed",CIAT-9740,Chamaecrista desvauxii,Chamaecrista,desvauxii,Fabaceae,Fabales,Herbaceous,F25-1668,23,48,3,1,74,0.5856,0.5856,,0.216,261.194257,54.73541501,254.961137,38.96113695,15.28120616,
285,"20/11/24, Wed",CIAT-9740,Chamaecrista desvauxii,Chamaecrista,desvauxii,Fabaceae,Fabales,Herbaceous,F25-1668,23,48,3,2,75,0.6198,0.6198,,0.307,170.0988753,35.65275127,254.9101753,-52.0898247,-20.43458039,
286,"20/11/24, Wed",CIAT-9740,Chamaecrista desvauxii,Chamaecrista,desvauxii,Fabaceae,Fabales,Herbaceous,F25-1668,23,48,3,3,76,0.5868,0.5868,,0.238,238.9081121,50.09520829,254.808252,16.808252,6.59643158,
287,"20/11/24, Wed",CIAT-9934,Aeschynomene americana,Aeschynomene,americana,Fabaceae,Fabales,Herbaceous,F25-1669,23,48,3,1,77,0.6019,0.6019,,0.286,183.118805,39.03463324,286.8049874,0.804987383,0.280674123,
288,"20/11/24, Wed",CIAT-9934,Aeschynomene americana,Aeschynomene,americana,Fabaceae,Fabales,Herbaceous,F25-1669,23,48,3,2,78,0.5904,0.5904,,0.25,219.118805,46.70859549,286.8049874,36.80498738,12.8327571,
289,"20/11/24, Wed",CIAT-9934,Aeschynomene americana,Aeschynomene,americana,Fabaceae,Fabales,Herbaceous,F25-1669,23,48,3,3,79,0.5904,0.5904,,0.186,283.40022,60.37496531,286.977036,100.977036,35.18645164,
290,"20/11/24, Wed",CIAT-PM21_4448,Megathyrsus maximus,Megathyrsus,maximus,Poaceae,Poales,Grasses,F25-2096,23,48,3,1,80,0.6053,0.6053,,0.298,179.73647,37.62251394,344.2807871,46.28078711,13.44274465,
291,"20/11/24, Wed",CIAT-PM21_4448,Megathyrsus maximus,Megathyrsus,maximus,Poaceae,Poales,Grasses,F25-2096,23,48,3,2,81,0.6047,0.6047,,0.226,251.45,52.66520054,344.0743425,118.0743425,34.31652056,
292,"20/11/24, Wed",CIAT-PM21_4448,Megathyrsus maximus,Megathyrsus,maximus,Poaceae,Poales,Grasses,F25-2096,23,48,3,3,82,0.5555,0.5555,,0.245,232.92745,48.73698926,344.4184168,99.41841684,28.86559254,
293,"20/11/24, Wed",CIAT-CIAT_16071,Megathyrsus maximus,Megathyrsus,maximus,Poaceae,Poales,Grasses,F25-2101,23,48,3,1,83,0.5703,0.5703,,0.313,152.61515,32.77710143,309.703917,-3.296082978,-1.064269064,
294,"20/11/24, Wed",CIAT-CIAT_16071,Megathyrsus maximus,Megathyrsus,maximus,Poaceae,Poales,Grasses,F25-2101,23,48,3,2,84,0.5619,0.5619,,0.376,89.24303,19.18202407,309.4564014,-66.5435986,-21.50338409,
295,"20/11/24, Wed",CIAT-CIAT_16071,Megathyrsus maximus,Megathyrsus,maximus,Poaceae,Poales,Grasses,F25-2101,23,48,3,3,85,0.6066,0.6066,,0.24,225.24303,48.41405792,309.4564014,69.4564014,22.44464845,
296,"20/11/24, Wed",CIAT-BR09_4467,Brachiaria interespecifico,Brachiaria,interespecifico,Poaceae,Poales,Grasses,F25-2105,23,48,3,1,86,0.5788,0.5788,,0.355,106.617305,23.09647057,272.169563,-82.83043697,-30.43339455,
297,"20/11/24, Wed",CIAT-BR09_4467,Brachiaria interespecifico,Brachiaria,interespecifico,Poaceae,Poales,Grasses,F25-2105,23,48,3,2,87,0.5678,0.5678,,0.213,248.70961,53.86710708,272.2239861,59.22398606,21.75560902,
298,"20/11/24, Wed",CIAT-BR09_4467,Brachiaria interespecifico,Brachiaria,interespecifico,Poaceae,Poales,Grasses,F25-2105,23,48,3,3,88,0.5928,0.5928,,0.232,229.525,49.73186718,272.11514,40.11514,14.74197283,
299,"20/11/24, Wed",Muestra # 02,Cynodon nlemfuensis,Cynodon,nlemfuensis,Poaceae,Poales,Grasses,F25-2131,23,48,3,1,89,0.5773,0.5773,,0.42,,,,,,Elimiando Dig 8.82%
300,"20/11/24, Wed",Muestra # 02,Cynodon nlemfuensis,Cynodon,nlemfuensis,Poaceae,Poales,Grasses,F25-2131,23,48,3,2,90,0.5605,0.5605,,0.329,131.64211,28.57795828,358.3104653,29.31046526,8.180186767,
301,"20/11/24, Wed",Muestra # 02,Cynodon nlemfuensis,Cynodon,nlemfuensis,Poaceae,Poales,Grasses,F25-2131,23,48,3,3,92,0.556,0.556,,0.404,,,,,,Eliminado Dig 12.30%
302,"20/11/24, Wed",CIAT-BH22_0765,Urochloa humidicola,Urochloa,humidicola,Poaceae,Poales,Grasses,F25-2170,23,48,3,1,91,0.5799,0.5799,,0.278,209.61997,42.98838909,352.3298093,74.32980932,21.09665642,
303,"20/11/24, Wed",CIAT-BH22_0765,Urochloa humidicola,Urochloa,humidicola,Poaceae,Poales,Grasses,F25-2170,23,48,3,2,93,0.5535,0.5535,,0.245,242.61997,49.75595442,352.3298093,107.3298093,30.46288065,
304,"20/11/24, Wed",CIAT-BH22_0765,Urochloa humidicola,Urochloa,humidicola,Poaceae,Poales,Grasses,F25-2170,23,48,3,3,94,0.57,0.57,,0.228,259.61997,53.24227595,352.3298093,124.3298093,35.28790526,
305,"20/11/24, Wed",CIAT-BH22_2531,Urochloa humidicola,Urochloa,humidicola,Poaceae,Poales,Grasses,F25-2171,23,48,3,1,95,0.5548,0.5548,,0.396,86.6358,17.95055402,343.7332168,-52.26678324,-15.2056248,
306,"20/11/24, Wed",CIAT-BH22_2531,Urochloa humidicola,Urochloa,humidicola,Poaceae,Poales,Grasses,F25-2171,23,48,3,2,96,0.5874,0.5874,,0.252,230.34645,47.75539449,343.5271417,91.52714169,26.64335087,
307,"25/11/24, Mon",CIAT-BH22_2531,Urochloa humidicola,Urochloa,humidicola,Poaceae,Poales,Grasses,F25-2171,23,48,3,3,97,0.5764,0.5764,,0.343,-343,#DIV/0!,0,-343,#DIV/0!,
308,"25/11/24, Mon",Hohenheimer Heustandard,Hohenheimer Heustandard,Hohenheimer,Heustandard,0,0,0,F25-0017,23,48,3,1,98,0.5778,0.5778,,0.089,139.5152454,61.05292676,#DIV/0!,#DIV/0!,#DIV/0!,
309,"25/11/24, Mon",Hohenheimer Heustandard,Hohenheimer Heustandard,Hohenheimer,Heustandard,0,0,0,F25-0017,23,48,3,2,99,0.5766,0.5766,,,,,,,,Eliminado DIG -10.15
310,"25/11/24, Mon",Hohenheimer Heustandard,Hohenheimer Heustandard,Hohenheimer,Heustandard,0,0,0,F25-0017,23,48,3,3,100,0.5513,0.5513,,0.091,137.3325794,60.1458538,#DIV/0!,#DIV/0!,#DIV/0!,
311,"25/11/24, Mon",Sample 8,Cynodon nlemfuensis ,Cynodon,nlemfuensis,0,0,0,F25-0008,23,48,3,1,101,0.5741,0.5741,,0.381,87.65467922,18.70346827,#DIV/0!,#DIV/0!,#DIV/0!,
312,"25/11/24, Mon",Sample 8,Cynodon nlemfuensis ,Cynodon,nlemfuensis,0,0,0,F25-0008,23,48,3,2,102,0.5993,0.5993,,0.267,202.029603,43.07395561,#DIV/0!,#DIV/0!,#DIV/0!,
313,"25/11/24, Mon",Sample 8,Cynodon nlemfuensis ,Cynodon,nlemfuensis,0,0,0,F25-0008,23,48,3,3,103,0.5835,0.5835,,0.354,114.7484102,24.47974386,#DIV/0!,#DIV/0!,#DIV/0!,
314,"25/11/24, Mon",Blank 24 H,Blank 24 H,Blank 24 H,Blank 24 H,Blank 24 H,Blank 24 H,Blank 24 H,Blank 24 H,23,48,3,1,104,-,-,,,,,,,,
315,"25/11/24, Mon",Blank 24 H,Blank 24 H,Blank 24 H,Blank 24 H,Blank 24 H,Blank 24 H,Blank 24 H,Blank 24 H,23,48,3,2,105,-,-,,,,,,,,
316,"25/11/24, Mon",BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,24,49,1,1,1,,,,,,,,,,
317,"25/11/24, Mon",BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,24,49,1,2,2,,,,,,,,,,
318,"25/11/24, Mon",CIAT-9578,Dioclea sericea,Dioclea,sericea,Fabaceae,Fabales,Climber,F25-1667,24,49,1,1,3,0.6055,0.9168,,0.311,164.5700632,34.60479874,301.6418285,-9.358171547,-3.102411756,
319,"25/11/24, Mon",CIAT-9578,Dioclea sericea,Dioclea,sericea,Fabaceae,Fabales,Climber,F25-1667,24,49,1,2,4,0.5896,0.9203,,0.331,144.7602152,30.42713757,301.7624369,-29.23756306,-9.688933903,
320,"25/11/24, Mon",CIAT-9578,Dioclea sericea,Dioclea,sericea,Fabaceae,Fabales,Climber,F25-1667,24,49,1,3,5,0.6221,0.9363,,0.314,161.6651392,33.98717415,301.7021327,-12.2978673,-4.076161873,
321,"25/11/24, Mon",CIAT-13158,Desmodium strigillosum,Desmodium,strigillosum,Fabaceae,Fabales,Herbaceous,F25-1670,24,49,1,1,6,0.5877,0.8131,,0.225,242.5863285,51.88054348,235.1439253,10.1439253,4.313921903,
322,"25/11/24, Mon",CIAT-13158,Desmodium strigillosum,Desmodium,strigillosum,Fabaceae,Fabales,Herbaceous,F25-1670,24,49,1,2,7,0.5761,0.8037,,0.228,239.5863285,51.23895073,235.1439253,7.143925297,3.038107528,
323,"25/11/24, Mon",CIAT-13158,Desmodium strigillosum,Desmodium,strigillosum,Fabaceae,Fabales,Herbaceous,F25-1670,24,49,1,3,8,0.57,0.8104,,0.24,228.1474321,48.7340988,235.426098,-4.573901993,-1.942818588,
324,"25/11/24, Mon",CIAT-13329,Desmodium cajanifolium,Desmodium,cajanifolium,Fabaceae,Fabales,Shrub,F25-1671,24,49,1,1,9,0.5925,0.7701,,0.178,293.1427819,62.21952095,246.4771099,68.47710986,27.78234048,
325,"25/11/24, Mon",CIAT-13329,Desmodium cajanifolium,Desmodium,cajanifolium,Fabaceae,Fabales,Shrub,F25-1671,24,49,1,2,10,0.6123,0.7738,,0.162,308.9544378,65.60176803,246.3785781,84.37857813,34.24753027,
326,"25/11/24, Mon",CIAT-13329,Desmodium cajanifolium,Desmodium,cajanifolium,Fabaceae,Fabales,Shrub,F25-1671,24,49,1,3,11,0.6189,0.778,,0.159,312.425298,66.27249308,246.6249074,87.62490744,35.52962608,
327,,CIAT-13387,Desmodium sequax,Desmodium,sequax,Fabaceae,Fabales,Shrub,F25-1672,24,49,1,1,12,0.595,0.917,,0.322,141.1675215,30.47871773,296.0782286,-25.92177141,-8.755041374,
328,,CIAT-13387,Desmodium sequax,Desmodium,sequax,Fabaceae,Fabales,Shrub,F25-1672,24,49,1,2,13,0.5916,0.9037,,0.312,150.8897876,32.59734642,295.9006882,-16.09931183,-5.440782151,
329,,CIAT-13387,Desmodium sequax,Desmodium,sequax,Fabaceae,Fabales,Shrub,F25-1672,24,49,1,3,14,0.5994,0.9622,,0.363,100.4452554,21.67359666,296.255769,-66.744231,-22.52925951,
330,,CIAT-13547,Codariocalyx gyroides,Codariocalyx,gyroides,Fabaceae,Fabales,Shrub,F25-1673,24,49,1,1,15,0.5407,0.838,,0.297,177.4171786,37.39687065,276.4287059,-20.57129412,-7.441808207,
331,,CIAT-13547,Codariocalyx gyroides,Codariocalyx,gyroides,Fabaceae,Fabales,Shrub,F25-1673,24,49,1,2,16,0.5923,0.935,,0.343,131.4171786,27.70076307,276.4287059,-66.57129412,-24.08262699,
332,,CIAT-13547,Codariocalyx gyroides,Codariocalyx,gyroides,Fabaceae,Fabales,Shrub,F25-1673,24,49,1,3,17,0.5903,0.8669,,0.277,197.0379483,41.56585965,276.2077397,-0.792260311,-0.286834942,
333,,CIAT-13953,Desmodium velutinum,Desmodium,velutinum,Fabaceae,Fabales,Shrub,F25-1674,24,49,1,1,18,0.581,0.7607,,0.18,284.7696852,61.27114015,206.6933213,26.69332133,12.91445759,
334,,CIAT-13953,Desmodium velutinum,Desmodium,velutinum,Fabaceae,Fabales,Shrub,F25-1674,24,49,1,2,19,0.5634,0.7775,,0.214,250.8626205,53.96489402,206.7346517,-7.265348268,-3.514335022,
335,,CIAT-13953,Desmodium velutinum,Desmodium,velutinum,Fabaceae,Fabales,Shrub,F25-1674,24,49,1,3,20,0.5855,0.7526,,0.167,297.8626205,64.07540795,206.7346517,39.73465173,19.22012174,
336,,CIAT-15086,Centrosema acutifolium,Centrosema,acutifolium,Fabaceae,Fabales,Climber,F25-1675,24,49,1,1,21,0.6216,0.8281,,0.207,268.9553512,56.50852554,267.7248838,60.72488383,22.68182283,
337,,CIAT-15086,Centrosema acutifolium,Centrosema,acutifolium,Fabaceae,Fabales,Climber,F25-1675,24,49,1,2,22,0.5999,0.8108,,0.211,264.9553512,55.66811057,267.7248838,56.72488383,21.18775178,
338,,CIAT-15086,Centrosema acutifolium,Centrosema,acutifolium,Fabaceae,Fabales,Climber,F25-1675,24,49,1,3,23,0.6177,0.8424,,0.225,250.4798713,52.67938485,267.4574264,42.4574264,15.87446158,
339,,CIAT-17403,Flemingia macrophylla,Flemingia,macrophylla,Fabaceae,Fabales,Shrub,F25-1676,24,49,1,1,24,0.6154,0.9601,,0.345,125.0098712,26.59728633,301.6998656,-43.30013443,-14.35205626,
340,,CIAT-17403,Flemingia macrophylla,Flemingia,macrophylla,Fabaceae,Fabales,Shrub,F25-1676,24,49,1,2,25,0.5794,0.9219,,0.343,126.9159256,27.0082197,301.6395618,-41.36043822,-13.71187452,
341,,CIAT-17403,Flemingia macrophylla,Flemingia,macrophylla,Fabaceae,Fabales,Shrub,F25-1676,24,49,1,3,26,0.6177,0.9737,,0.356,114.1977624,24.28717692,301.8204732,-54.17952685,-17.95091177,
342,,CIAT-17519,Mimosa somnians,Mimosa,somnians,Fabaceae,Fabales,Herbaceous,F25-1677,24,49,1,1,27,0.6131,0.8529,,0.24,232.569495,49.21381881,218.3598045,-21.64019551,-9.91033838,
343,,CIAT-17519,Mimosa somnians,Mimosa,somnians,Fabaceae,Fabales,Herbaceous,F25-1677,24,49,1,2,28,0.5978,0.8164,,0.219,253.66399,53.66687443,218.4034677,-0.596532283,-0.273133155,
344,,CIAT-17519,Mimosa somnians,Mimosa,somnians,Fabaceae,Fabales,Herbaceous,F25-1677,24,49,1,3,29,0.5972,0.8054,,0.208,265.04197,56.02927157,218.5781206,10.57812063,4.839514861,
345,,CIAT-17896,Chamaecrista desvauxii,Chamaecrista,desvauxii,Fabaceae,Fabales,Herbaceous,F25-1678,24,49,1,1,30,0.611,0.8995,,0.289,184.8197311,39.00633911,245.1624103,-43.8375897,-17.88104043,
346,,CIAT-17896,Chamaecrista desvauxii,Chamaecrista,desvauxii,Fabaceae,Fabales,Herbaceous,F25-1678,24,49,1,2,31,0.6093,0.8962,,0.287,186.9144382,39.4405452,245.2114134,-41.78858662,-17.04186034,
347,,CIAT-17896,Chamaecrista desvauxii,Chamaecrista,desvauxii,Fabaceae,Fabales,Herbaceous,F25-1678,24,49,1,3,32,0.5746,0.8676,,0.293,181.1038524,38.19919444,245.3094195,-47.69058046,-19.4409903,
348,,CIAT-18123,Dioclea virgata,Dioclea,virgata,Fabaceae,Fabales,Climber,F25-1679,24,49,1,1,33,0.605,0.9324,,0.327,146.3194173,30.9134618,297.2017003,-29.79829967,-10.02628842,
349,,CIAT-18123,Dioclea virgata,Dioclea,virgata,Fabaceae,Fabales,Climber,F25-1679,24,49,1,2,34,0.6221,0.8959,,0.274,199.130203,42.08782313,297.0828909,23.08289093,7.76984863,
350,,CIAT-18123,Dioclea virgata,Dioclea,virgata,Fabaceae,Fabales,Climber,F25-1679,24,49,1,3,35,0.5847,0.9004,,0.316,157.2248101,33.22412663,297.1422956,-18.85770437,-6.34635481,
351,,CIAT-18126,Dioclea virgata,Dioclea,virgata,Fabaceae,Fabales,Climber,F25-1680,24,49,1,1,36,0.5791,0.867,,0.288,176.3569865,37.97875161,261.9544373,-26.04556272,-9.942783558,
352,,CIAT-18126,Dioclea virgata,Dioclea,virgata,Fabaceae,Fabales,Climber,F25-1680,24,49,1,2,37,0.621,0.8083,,0.187,277.078595,59.70510124,261.7973903,74.79739025,28.57071653,
353,,CIAT-18126,Dioclea virgata,Dioclea,virgata,Fabaceae,Fabales,Climber,F25-1680,24,49,1,3,38,0.5873,0.8249,,0.238,226.2641893,48.73608487,261.9020883,23.90208827,9.126345051,
354,,CIAT-18127,Dioclea virgata,Dioclea,virgata,Fabaceae,Fabales,Climber,F25-1681,24,49,1,1,39,0.5875,0.8872,,0.3,171.0324448,36.31011976,256.9124005,-43.08759952,-16.7713195,
355,,CIAT-18127,Dioclea virgata,Dioclea,virgata,Fabaceae,Fabales,Climber,F25-1681,24,49,1,2,40,0.5906,0.8398,,0.249,222.1266324,47.14796769,256.9637727,7.963772685,3.099181103,
356,,CIAT-18127,Dioclea virgata,Dioclea,virgata,Fabaceae,Fabales,Climber,F25-1681,24,49,1,3,41,0.5636,0.8448,,0.281,190.3150077,40.37957727,257.0665171,-23.9334829,-9.310229576,
357,,CIAT-18668,Cratylia argentea,Cratylia,argentea,Fabaceae,Fabales,Shrub,F25-1682,24,49,1,1,42,0.5847,0.7868,,0.202,268.7220706,57.0872044,235.8569556,33.85695558,14.3548684,
358,,CIAT-18668,Cratylia argentea,Cratylia,argentea,Fabaceae,Fabales,Shrub,F25-1682,24,49,1,2,43,0.5977,0.8232,,0.226,244.8161774,51.99825094,235.9041081,9.904108115,4.198361866,
359,,CIAT-18668,Cratylia argentea,Cratylia,argentea,Fabaceae,Fabales,Shrub,F25-1682,24,49,1,3,44,0.5981,0.8086,,0.211,259.7220706,55.17524816,235.8569556,24.85695558,10.5389962,
360,,CIAT-19228,Eriosema psoraleoides,Eriosema,psoraleoides,Fabaceae,Fabales,Herbaceous,F25-1683,24,49,1,1,45,0.5958,0.9205,,0.325,143.9966032,30.70312284,292.2347335,-32.76526653,-11.21196859,
361,,CIAT-19228,Eriosema psoraleoides,Eriosema,psoraleoides,Fabaceae,Fabales,Herbaceous,F25-1683,24,49,1,2,46,0.5776,0.8671,,0.29,178.4344818,38.0916625,291.8844721,1.884472104,0.645622595,
362,,CIAT-19228,Eriosema psoraleoides,Eriosema,psoraleoides,Fabaceae,Fabales,Herbaceous,F25-1683,24,49,1,3,47,0.5777,0.8549,,0.277,191.6218556,40.89050763,292.0012259,15.00122589,5.13738456,
363,,CIAT-19537,Crotalaria verrucosa,Crotalaria,verrucosa,Fabaceae,Fabales,Herbaceous,F25-1684,24,49,1,1,48,0.6007,0.7992,,0.199,268.877292,57.4674806,207.9949698,8.994969808,4.3246093,
364,,CIAT-19537,Crotalaria verrucosa,Crotalaria,verrucosa,Fabaceae,Fabales,Herbaceous,F25-1684,24,49,1,2,49,0.6024,0.747,,0.145,322.7837913,69.00277378,207.9534041,62.95340407,30.27284134,
365,,CIAT-19537,Crotalaria verrucosa,Crotalaria,verrucosa,Fabaceae,Fabales,Herbaceous,F25-1684,24,49,1,3,50,0.5951,0.7532,,0.158,309.7837913,66.22371212,207.9534041,49.95340407,24.0214409,
366,,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,24,49,1,1,51,,,,,,,,,,
367,,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,24,49,1,2,52,,,,,,,,,,
368,,CIAT-20208,Aeschynomene sensitiva,Aeschynomene,sensitiva,Fabaceae,Fabales,Herbaceous,F25-1685,24,49,1,1,53,0.5734,0.7546,,0.181,296.7579917,62.11471014,284.9495133,103.9495133,36.47997574,
369,,CIAT-20208,Aeschynomene sensitiva,Aeschynomene,sensitiva,Fabaceae,Fabales,Herbaceous,F25-1685,24,49,1,2,54,0.5678,0.7528,,0.185,292.7579917,61.27746616,284.9495133,99.94951334,35.0762183,
370,,CIAT-20208,Aeschynomene sensitiva,Aeschynomene,sensitiva,Fabaceae,Fabales,Herbaceous,F25-1685,24,49,1,3,55,0.5906,0.7613,,0.171,306.280711,64.1720279,284.6648485,113.6648485,39.92935872,
371,,CIAT-20345,Pachyrhizus erosus,Pachyrhizus,erosus,Fabaceae,Fabales,Climber,F25-1686,24,49,1,1,56,0.5981,0.7796,,0.182,286.8687175,61.18316424,180.5353421,-1.464657943,-0.811285993,
372,,CIAT-20345,Pachyrhizus erosus,Pachyrhizus,erosus,Fabaceae,Fabales,Climber,F25-1686,24,49,1,2,57,0.5747,0.7263,,0.152,316.6812825,67.56857897,180.4631712,28.46317122,15.77228807,
373,,CIAT-20345,Pachyrhizus erosus,Pachyrhizus,erosus,Fabaceae,Fabales,Climber,F25-1686,24,49,1,3,58,0.6149,0.8398,,0.225,243.6812825,51.99296229,180.4631712,-44.53682878,-24.67917885,
374,,CIAT-20927,Mimosa albida,Mimosa,albida,Fabaceae,Fabales,Herbaceous,F25-1687,24,49,1,1,59,0.5714,0.885,,0.314,154.6576433,33.00013251,276.5465532,-37.45344685,-13.54327017,
375,,CIAT-20927,Mimosa albida,Mimosa,albida,Fabaceae,Fabales,Herbaceous,F25-1687,24,49,1,2,60,0.593,0.8771,,0.284,184.563968,39.38927886,276.491277,-7.508722991,-2.71571786,
376,,CIAT-20927,Mimosa albida,Mimosa,albida,Fabaceae,Fabales,Herbaceous,F25-1687,24,49,1,3,61,0.6443,0.9735,,0.329,139.6576433,29.7995019,276.5465532,-52.45344685,-18.96731174,
377,,CIAT-21849,Chamaecrista desvauxii,Chamaecrista,desvauxii,Fabaceae,Fabales,Herbaceous,F25-1688,24,49,1,1,62,0.5939,0.8703,,0.276,198.979563,41.89223674,276.5595914,0.559591378,0.202340254,
378,,CIAT-21849,Chamaecrista desvauxii,Chamaecrista,desvauxii,Fabaceae,Fabales,Herbaceous,F25-1688,24,49,1,2,63,0.5922,0.9237,,0.332,142.599959,30.04634878,276.3385647,-55.66143527,-20.14247824,
379,,CIAT-21849,Chamaecrista desvauxii,Chamaecrista,desvauxii,Fabaceae,Fabales,Herbaceous,F25-1688,24,49,1,3,64,0.6354,0.9293,,0.294,180.789761,38.0778559,276.4490781,-17.55092194,-6.348699756,
380,,CIAT-22072,Bauhinia sp.,Bauhinia,sp.,Fabaceae,Fabales,Shrub,F25-1689,24,49,1,1,65,0.5979,0.7704,,0.173,295.1532137,63.04628593,211.1289974,38.12899744,18.05957396,
381,,CIAT-22072,Bauhinia sp.,Bauhinia,sp.,Fabaceae,Fabales,Shrub,F25-1689,24,49,1,2,66,0.5838,0.7815,,0.198,270.1532137,57.70615384,211.1289974,13.12899744,6.21847193,
382,,CIAT-22072,Bauhinia sp.,Bauhinia,sp.,Fabaceae,Fabales,Shrub,F25-1689,24,49,1,3,67,0.5902,0.8149,,0.225,243.2468256,51.94841958,211.1712148,-13.8287852,-6.5486128,
383,,CIAT-22409,Cratylia argentea,Cratylia,argentea,Fabaceae,Fabales,Shrub,F25-1690,24,49,1,1,68,0.5894,0.8726,,0.283,181.7356393,39.10516516,259.7717128,-23.22828717,-8.941807756,
384,,CIAT-22409,Cratylia argentea,Cratylia,argentea,Fabaceae,Fabales,Shrub,F25-1690,24,49,1,2,69,0.5633,0.8881,,0.325,140.1073535,30.12365907,259.9794886,-65.02051135,-25.009862,
385,,CIAT-22409,Cratylia argentea,Cratylia,argentea,Fabaceae,Fabales,Shrub,F25-1690,24,49,1,3,70,0.5853,0.821,,0.236,228.6427108,49.20828531,259.7197689,23.71976888,9.132831506,
386,,CIAT-22692,Lablab purpureus,Lablab,purpureus,Fabaceae,Fabales,Climber,F25-1691,24,49,1,1,71,0.5871,0.8196,,0.233,228.7037102,49.53473519,197.3486645,-35.65133547,-18.06515162,
387,,CIAT-22692,Lablab purpureus,Lablab,purpureus,Fabaceae,Fabales,Climber,F25-1691,24,49,1,2,72,0.5614,0.7285,,0.167,294.3346425,63.80068076,197.1909118,30.1909118,15.31049861,
388,,CIAT-22692,Lablab purpureus,Lablab,purpureus,Fabaceae,Fabales,Climber,F25-1691,24,49,1,3,73,0.5924,0.77,,0.178,283.6114433,61.4394308,197.3092263,19.30922635,9.786276449,
389,,CIAT-23715,Desmodium sequax,Desmodium,sequax,Fabaceae,Fabales,Shrub,F25-1692,24,49,1,1,74,0.5671,0.9492,,0.382,87.5251987,18.64121435,307.154625,-74.84537498,-24.36732801,
390,,CIAT-23715,Desmodium sequax,Desmodium,sequax,Fabaceae,Fabales,Shrub,F25-1692,24,49,1,2,75,0.5696,0.9701,,0.401,68.5251987,14.59457318,307.154625,-93.84537498,-30.55313752,
391,,CIAT-23715,Desmodium sequax,Desmodium,sequax,Fabaceae,Fabales,Shrub,F25-1692,24,49,1,3,76,0.5793,0.817,,0.238,,,,,,Eliminado Dig 49.27%
392,,CIAT-23746,Codariocalyx gyroides,Codariocalyx,gyroides,Fabaceae,Fabales,Shrub,F25-1693,24,49,1,1,77,0.6019,0.8589,,0.257,212.182688,45.22389539,265.5586416,8.55864156,3.222881963,
393,,CIAT-23746,Codariocalyx gyroides,Codariocalyx,gyroides,Fabaceae,Fabales,Shrub,F25-1693,24,49,1,2,78,0.5648,0.9325,,0.368,101.2765245,21.58141719,265.6117533,-102.3882467,-38.54808586,
394,,CIAT-23746,Codariocalyx gyroides,Codariocalyx,gyroides,Fabaceae,Fabales,Shrub,F25-1693,24,49,1,3,79,0.5954,0.8834,,0.288,181.3703611,38.6412045,265.664865,-22.33513498,-8.407259643,
395,,CIAT-23985,Desmodium velutinum,Desmodium,velutinum,Fabaceae,Fabales,Shrub,F25-1694,24,49,1,1,80,0.556,0.8084,,0.252,224.1129137,47.07137892,189.0332564,-62.96674361,-33.30987617,
396,,CIAT-23985,Desmodium velutinum,Desmodium,velutinum,Fabaceae,Fabales,Shrub,F25-1694,24,49,1,2,81,0.5861,0.767,,0.181,295.2080792,61.99140504,189.0710404,8.071040367,4.268787198,
397,,CIAT-23985,Desmodium velutinum,Desmodium,velutinum,Fabaceae,Fabales,Shrub,F25-1694,24,49,1,3,82,0.5986,0.9094,,0.311,164.9225827,34.65323746,188.9576884,-122.0423116,-64.58711079,
