22_no,22_date,22_requisitioner,22_set_ciat,22_ciat_lab_id,22_gene_bank_breeding_program_id,22_genus,22_species,22_tax_name,22_family,22_order,22_functional_group,22_replication,22_dm_percentage,22_av_dm_percentage
104,,Genetic bank,24,F25-1687,CIAT-20927,Mimosa,albida,Mimosa albida,Fabaceae,Fabales,Herbaceous,B,13.92710416,
105,,Genetic bank,24,F25-1688,CIAT-21849,Chamaecrista,desvauxii,Chamaecrista desvauxii,Fabaceae,Fabales,Herbaceous,A,17.50614857,17.50614857
106,,Genetic bank,24,F25-1688,CIAT-21849,Chamaecrista,desvauxii,Chamaecrista desvauxii,Fabaceae,Fabales,Herbaceous,B,17.50614857,
107,,Genetic bank,24,F25-1689,CIAT-22072,Bauhinia,sp.,Bauhinia sp.,Fabaceae,Fabales,Shrub,A,26.74599813,26.74332406
108,,Genetic bank,24,F25-1689,CIAT-22072,Bauhinia,sp.,Bauhinia sp.,Fabaceae,Fabales,Shrub,B,26.74065,
109,,Genetic bank,24,F25-1690,CIAT-22409,Cratylia,argentea,Cratylia argentea,Fabaceae,Fabales,Shrub,A,19.1435264,19.09002208
110,,Genetic bank,24,F25-1690,CIAT-22409,Cratylia,argentea,Cratylia argentea,Fabaceae,Fabales,Shrub,B,19.03651776,
111,,Genetic bank,24,F25-1691,CIAT-22692,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,A,25.29868124,25.29868124
112,,Genetic bank,24,F25-1691,CIAT-22692,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,B,25.29868124,
113,,Genetic bank,24,F25-1692,CIAT-23715,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,A,16.813217,16.813217
114,,Genetic bank,24,F25-1692,CIAT-23715,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,B,16.813217,
115,,Genetic bank,24,F25-1693,CIAT-23746,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,A,18.87599604,18.87599604
116,,Genetic bank,24,F25-1693,CIAT-23746,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,B,18.87599604,
