trial,field,plot,rep,X,Y,lab_delivery_date,sampling_date,material,requisitioner,id,genotype,state,comercial_name,type,biomass_g,dry_biomass_g,dry_matter_pct,height_cm,leaf_number,cover_m2,yield_g_m2,yield_kgDM_ha_cut,yield_ton_ha_cut,yield_ton_ha_year
FM2411,I1N,817,3,59,5,5/8/2026 0:00,3/18/2026 0:00,Interspecific U.,Breeding,CIAT-BR-05-0931,BR05_931,,,hybrid,1196,255.9247485,0.213983903,,,0.79719753,321.0305337,3210.305337,3.210305337,19.26183202
FM2411,I1N,290,1,5,21,5/20/2025 0:00,4/7/2025 0:00,Interspecific U.,Breeding,CIAT-BR-06-1348,BR06_1348,,,hybrid,2357.3,520.1,0.220633776,28,4.5,1.44886613,358.9703625,3589.703625,3.589703625,21.53822175
FM2411,I1N,508,2,11,37,5/20/2025 0:00,4/9/2025 0:00,Interspecific U.,Breeding,CIAT-BR-06-1348,BR06_1348,,,hybrid,1535.2,382.3,0.249022929,22.5,4,1.512948061,252.6854753,2526.854753,2.526854753,15.16112852
SOC-BEF_METANO,M2N,373,3,15,9,11/28/2024 0:00,11/20/2024 0:00,Interspecific U.,Breeding,CIAT-BR-06-0423,BR06_423,,Cayman,hybrid,737.1,151.9157872,0.206099291,32,,0.49,310.0322188,3100.322188,3.100322188,18.60193313
SOC-BEF_METANO,M2N,339,2,14,26,11/28/2024 0:00,11/20/2024 0:00,Interspecific U.,Breeding,CIAT-BR-06-0423,BR06_423,,Cayman,hybrid,255.1,61.56413333,0.241333333,31,,0.52,118.3925641,1183.925641,1.183925641,7.103553846
SOC-BEF_METANO,M2N,10,1,1,10,11/28/2024 0:00,11/20/2024 0:00,Interspecific U.,Breeding,CIAT-BR-06-0423,BR06_423,,Cayman,hybrid,614.8,138.2301071,0.22483752,42,,0.53,260.8115229,2608.115229,2.608115229,15.64869138
SOC-BEF_METANO,M2N,541,3,21,21,11/28/2024 0:00,11/20/2024 0:00,Interspecific U.,Breeding,CIAT-BR-09-1232,BR09_1232,,,hybrid,378.8,90.6924058,0.23942029,33,,0.52,174.4084727,1744.084727,1.744084727,10.46450836
SOC-BEF_METANO,M2N,13,1,1,13,11/28/2024 0:00,11/20/2024 0:00,Interspecific U.,Breeding,CIAT-BR-09-1232,BR09_1232,,,hybrid,671.6,151.3209095,0.22531404,44,,0.54,280.2239065,2802.239065,2.802239065,16.81343439
SOC-BEF_METANO,M2N,195,2,8,14,11/28/2024 0:00,11/20/2024 0:00,Interspecific U.,Breeding,CIAT-BR-09-1232,BR09_1232,,,hybrid,580.4,92.88518248,0.160036496,35,,0.56,165.8663973,1658.663973,1.658663973,9.951983837
FM2411,I1N,212,1,16,2,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-2267,BR09_2267,,,hybrid,1030.9,192.5,0.186730042,46,3,0.73605915,261.5278949,2615.278949,2.615278949,15.69167369
FM2411,I1N,539,2,39,7,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-2267,BR09_2267,,,hybrid,1149.6,255.74,0.222459986,50,3.5,0.77838508,328.5520324,3285.520324,3.285520324,19.71312194
FM2411,I1N,765,3,55,9,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-2267,BR09_2267,,,hybrid,581.1,133.62,0.229943211,37,2.5,0.64816437,206.1514119,2061.514119,2.061514119,12.36908471
FM2411,I1N,2,1,1,2,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-2656,BR09_2656,,,hybrid,501.4,93.3,0.186078979,32,2.5,0.80686248,115.6330878,1156.330878,1.156330878,6.937985269
FM2411,I1N,514,2,37,10,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-2656,BR09_2656,,,hybrid,798.6,181.51,0.227285249,33,3.5,0.75960248,238.9539329,2389.539329,2.389539329,14.33723597
FM2411,I1N,291,1,21,11,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-2715,BR09_2715,,,hybrid,1477.2,298.56,0.202112104,50,3.5,0.7872265,379.2555256,3792.555256,3.792555256,22.75533153
FM2411,I1N,387,2,28,9,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-2715,BR09_2715,,,hybrid,560.1,141.79,0.253151223,43,3,0.78201596,181.3134351,1813.134351,1.813134351,10.87880611
FM2411,I1N,167,1,12,13,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-0305,BR09_305,,,hybrid,1015.2,200.99,0.197980693,48,2.5,0.75735115,265.385482,2653.85482,2.65385482,15.92312892
FM2411,I1N,336,2,24,14,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-0305,BR09_305,,,hybrid,541,122.57,0.226561922,42,2.5,0.58674259,208.8991017,2088.991017,2.088991017,12.5339461
FM2411,I1N,226,1,17,2,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-3167,BR09_3167,,,hybrid,846.7,188.19,0.222262903,48,2.5,0.6487697,290.0721165,2900.721165,2.900721165,17.40432699
FM2411,I1N,367,2,27,3,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-3167,BR09_3167,,,hybrid,845.6,206.44,0.244134342,49,3,0.74339059,277.7005827,2777.005827,2.777005827,16.66203496
FM2411,I1N,864,3,62,10,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-3167,BR09_3167,,,hybrid,673.1,158.84,0.235982766,46,2.5,0.57434442,276.5587938,2765.587938,2.765587938,16.59352763
