id_lab,id,subset,no,requisitioner,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_nutrition
F24-3474,CIAT-13609,1,207.0,Genetic_bank,Desmodium incanum,Herbaceous_legumes,0.08,0.25,0.25,0.0,1.85,0.94,2
F24-3475,CIAT-15551,1,209.0,Genetic_bank,Centrosema molle,Herbaceous_legumes,0.03,0.02,0.02,0.0,0.46,1.07,2
F24-3476,CIAT-17024,1,211.0,Genetic_bank,Desmanthus pernambucanus,Shrub_Trees,0.02,0.06,0.06,0.0,0.29,0.47,2
F24-3477,CIAT-17091,1,213.0,Genetic_bank,Crotalaria micans,Shrub_Trees,0.54,0.03,0.03,0.0,0.28,0.36,2
F24-3478,CIAT-17365,1,215.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,0.01,0.17,0.17,0.0,0.46,1.2,2
F24-3479,CIAT-17451,1,217.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,0.01,0.16,0.16,0.0,0.15,0.29,2
F24-3480,CIAT-17775,1,219.0,Genetic_bank,Christia obcordata,Herbaceous_legumes,0.33,0.06,0.06,0.0,0.55,2.66,2
F24-3481,CIAT-18016,1,221.0,Genetic_bank,Sesbania emerus,Shrub_Trees,0.3,0.12,0.12,0.0,1.38,0.62,2
F24-3482,CIAT-18044,1,223.0,Genetic_bank,Christia sp.,Herbaceous_legumes,0.06,0.01,0.01,0.0,0.47,1.1,2
F24-3483,CIAT-18288,1,225.0,Genetic_bank,Sesbania exasperata,Shrub_Trees,0.04,0.06,0.06,0.0,0.12,0.58,2
F24-3484,CIAT-18447,1,227.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,0.16,0.07,0.07,0.0,0.22,2.46,2
F24-3485,CIAT-18455,1,229.0,Genetic_bank,Christia obcordata,Herbaceous_legumes,0.01,0.07,0.07,0.0,0.14,0.8,2
F24-3486,CIAT-18707,1,231.0,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,0.09,0.17,0.17,0.0,0.11,2.12,2
F24-3487,CIAT-18749,1,233.0,Genetic_bank,Arachis pintoi,Herbaceous_legumes,0.15,0.03,0.03,0.0,0.23,0.66,2
F24-3488,CIAT-18813,1,235.0,Genetic_bank,Crotalaria nitens,Herbaceous_legumes,0.21,0.23,0.23,0.0,0.52,1.06,2
F24-3489,CIAT-18848,1,237.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,0.05,0.05,0.05,0.0,0.9,1.03,2
F24-3490,CIAT-18862,1,239.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,0.05,0.08,0.08,0.0,0.09,1.74,2
F24-3491,CIAT-18931,1,241.0,Genetic_bank,Tephrosia linearis,Shrub_Trees,0.05,0.12,0.12,0.0,0.84,2.43,2
F24-3492,CIAT-19038,1,243.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,0.01,0.16,0.16,0.0,0.0,1.72,2
F24-3493,CIAT-19118,1,245.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,0.07,0.04,0.04,0.0,0.42,0.14,2
F24-3494,CIAT-19127,1,247.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,0.06,0.12,0.12,0.0,0.2,1.2,2
F24-3495,CIAT-19128,1,249.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,0.06,0.03,0.03,0.0,0.33,0.51,2
F24-3496,CIAT-19129,1,251.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,0.08,0.62,0.62,0.0,0.24,1.09,2
F24-3497,CIAT-19133,1,253.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,0.02,0.27,0.27,0.0,0.51,0.9,2
F24-3498,CIAT-19137,1,255.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,0.03,0.09,0.09,0.0,0.55,0.96,2
F24-3499,CIAT-19138,1,257.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,0.14,0.03,0.03,0.0,1.05,2.12,2
F24-3500,CIAT-19139,1,259.0,Genetic_bank,Alysicarpus ovalifolius,Herbaceous_legumes,0.01,0.98,0.98,0.0,0.31,0.5,2
F24-3501,CIAT-19213,1,311.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,0.07,2.11,2.11,0.0,0.5,0.3,2
F24-3502,CIAT-19421,1,313.0,Genetic_bank,Uraria lagopodioides,Herbaceous_legumes,0.14,0.36,0.36,0.0,0.08,1.11,2
F24-3503,CIAT-19566,1,315.0,Genetic_bank,Tephrosia noctiflora,Shrub_Trees,2.14,2.45,2.45,0.0,0.13,1.98,2
F24-3504,CIAT-19667,1,317.0,Genetic_bank,Indigofera hirsuta,Herbaceous_legumes,0.0,0.02,0.02,0.0,0.5,0.11,2
F24-3505,CIAT-19673,1,319.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,0.01,0.28,0.28,0.0,0.08,0.06,2
F24-3506,CIAT-19895,1,321.0,Genetic_bank,Aeschynomene americana,Shrub_Trees,0.09,0.12,0.12,0.0,0.91,1.01,2
F24-3507,CIAT-20093,1,323.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,0.05,0.04,0.04,0.0,0.33,1.16,2
F24-3508,CIAT-20113,1,325.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,0.01,0.16,0.16,0.0,0.06,1.91,2
F24-3509,CIAT-20125,1,327.0,Genetic_bank,Coursetia caribaea,Shrub_Trees,0.04,0.18,0.18,0.0,0.09,0.37,2
F24-3510,CIAT-20298,1,329.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,0.09,0.75,0.75,0.0,0.35,0.65,2
F24-3511,CIAT-20305,1,331.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,0.06,0.71,0.71,0.0,6.44,1.67,2
F24-3512,CIAT-20803,1,333.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,0.09,0.6,0.6,0.0,2.12,2.06,2
F24-3513,CIAT-21031,1,335.0,Genetic_bank,Christia obcordata,Herbaceous_legumes,0.05,1.0,1.0,0.0,0.35,1.26,2
F24-3514,CIAT-21128,1,337.0,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,0.01,2.58,2.58,0.0,0.16,15.03,2
F24-3515,CIAT-21212,1,339.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,0.01,1.61,1.61,0.07,0.98,11.25,2
F24-3516,CIAT-21263,1,341.0,Genetic_bank,Sesbania rostrata,Shrub_Trees,0.06,1.73,1.73,0.0,0.05,1.43,2
F24-3517,CIAT-21514,1,343.0,Genetic_bank,Desmanthus virgatus,Shrub_Trees,0.07,1.25,1.25,0.0,0.72,1.67,2
F24-3518,CIAT-21565,1,345.0,Genetic_bank,Chamaecrista rotundifolia,Herbaceous_legumes,0.07,0.08,0.08,0.0,0.07,2.84,2
F24-3519,CIAT-21709,1,347.0,Genetic_bank,Crotalaria juncea,Shrub_Trees,0.09,0.01,0.01,0.0,0.91,2.03,2
F24-3520,CIAT-22286,1,349.0,Genetic_bank,Crotalaria micans,Shrub_Trees,0.04,0.01,0.01,0.0,0.46,2.17,2
F24-3521,CIAT-22475,1,351.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,0.13,0.08,0.08,0.0,1.1,1.13,2
F24-3522,CIAT-22481,1,353.0,Genetic_bank,Sesbania cochinchinensis,Shrub_Trees,0.08,0.2,0.2,0.0,1.32,2.59,2
F24-3523,CIAT-22520,1,355.0,Genetic_bank,Arachis pusilla,Herbaceous_legumes,0.13,0.48,0.48,0.0,0.31,0.18,2
F24-3524,CIAT-22570,1,357.0,Genetic_bank,Desmanthus bicornutus,Shrub_Trees,0.07,0.04,0.04,0.0,0.16,1.44,2
F24-3525,CIAT-22594,1,359.0,Genetic_bank,Desmanthus pernambucanus,Shrub_Trees,0.06,0.0,0.0,0.0,0.36,1.77,2
F24-3526,CIAT-22754,1,361.0,Genetic_bank,Lablab purpureus,Herbaceous_legumes,0.09,0.01,0.01,0.0,0.93,0.82,2
F24-3527,CIAT-22915,1,363.0,Genetic_bank,Aeschynomene villosa,Herbaceous_legumes,0.05,0.01,0.01,0.0,0.08,2.62,2
F24-3528,CIAT-23259,1,365.0,Genetic_bank,Desmodium gangeticum,Shrub_Trees,0.03,0.32,0.32,0.0,0.36,0.43,2
F24-3529,CIAT-23339,1,367.0,Genetic_bank,Desmodium gangeticum,Shrub_Trees,0.03,0.01,0.01,0.0,0.46,0.7,2
F24-3530,CIAT-23761,1,369.0,Genetic_bank,Uraria picta,Herbaceous_legumes,0.04,0.02,0.02,0.0,0.3,1.22,2
F24-3531,CIAT-24360,1,371.0,Genetic_bank,Vigna umbellata,Herbaceous_legumes,0.01,0.16,0.16,0.0,0.92,0.0,2
F24-3532,CIAT-24466,1,373.0,Genetic_bank,Vigna umbellata,Herbaceous_legumes,0.06,0.03,0.03,0.0,0.25,0.28,2
F24-3533,CIAT-32246,1,375.0,Genetic_bank,Chamaecrista nictitans,Herbaceous_legumes,0.04,0.0,0.0,0.0,0.31,3.29,2
F24-3534,CIAT-32365,1,377.0,Genetic_bank,Desmanthus virgatus,Shrub_Trees,0.08,0.08,0.08,0.0,0.92,2.98,2
F24-3535,CIAT-32373,1,379.0,Genetic_bank,Desmanthus pubescens,Shrub_Trees,0.05,0.07,0.07,0.0,0.25,2.29,2
F24-3536,CIAT-32379,2,1.0,Genetic_bank,Desmanthus pubescens,Shrub_Trees,0.04,0.05,0.05,0.0,0.92,0.86,2
F24-3537,CIAT-32380,2,3.0,Genetic_bank,Desmanthus pubescens,Shrub_Trees,0.06,0.05,0.05,0.0,0.39,0.65,2
F24-3538,CIAT-33249,2,5.0,Genetic_bank,Desmodium velutinum,Shrub_Trees,0.1,0.04,0.04,0.0,0.01,3.38,2
F24-3539,CIAT-172,2,109.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.04,0.11,0.11,0.0,1.1,0.64,2
F24-3540,CIAT-1467,2,111.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.13,0.06,0.06,0.0,0.39,25.55,4
F24-3541,CIAT-1475,2,113.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.2,0.06,0.06,0.0,0.3,18.2,4
F24-3542,CIAT-1650,2,115.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,0.01,0.21,0.21,0.0,1.71,4.76,2
F24-3543,CIAT-1706,2,117.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.01,0.3,0.3,0.0,0.2,0.79,2
F24-3544,CIAT-1727,2,119.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.04,0.3,0.3,0.0,0.86,0.02,2
F24-3545,CIAT-1803,2,121.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.01,0.06,0.06,0.0,1.69,0.47,2
F24-3546,CIAT-1964,2,123.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,0.0,0.04,0.04,0.0,0.64,0.35,2
F24-3547,CIAT-2613,2,125.0,Genetic_bank,Stylosanthes guianensis,Herbaceous_legumes,0.08,0.06,0.06,0.0,0.04,0.23,2
F24-3548,CIAT-2783,3,153.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.08,0.01,0.01,0.02,0.28,0.41,2
F24-3549,CIAT-10440,3,155.0,Genetic_bank,Stylosanthes humilis,Herbaceous_legumes,0.01,0.26,0.26,0.0,0.17,0.4,2
F24-3550,CIAT-10613,3,157.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,0.02,1.46,1.46,0.0,1.21,0.27,2
F24-3551,CIAT-10627,3,159.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,0.05,0.0,0.0,0.0,0.19,1.22,2
F24-3552,CIAT-10634,3,161.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,0.16,0.05,0.05,0.0,0.19,0.41,2
F24-3553,CIAT-10639,3,163.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,0.01,0.24,0.24,0.0,0.72,1.46,2
F24-3554,CIAT-10725,3,165.0,Genetic_bank,Stylosanthes scabra,Herbaceous_legumes,0.03,0.15,0.15,0.0,1.11,0.79,2
F24-3555,CIAT-11199,3,167.0,Genetic_bank,Stylosanthes hamata,Herbaceous_legumes,0.12,0.1,0.1,0.0,0.27,1.53,2
