24_no,24_date,24_requisitioner,24_set_ciat,24_ciat_lab_id,24_gene_bank_breeding_program_id,24_genus,24_species,24_tax_name,24_family,24_order,24_functional_group,24_batches_ciat,24_id_lab,24_replication,24_ndf_percentage_dm,24_av_adf_percentage_dm
34,46175,GENBANK,38,F260482,CIAT19445,Galactia,dubia,Galactia dubia,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,64.86282392,
35,46175,GENBANK,38,F260484,CIAT20820,Canavalia,gladiata,Canavalia gladiata,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,56.58516181,56.47103092
36,46175,GENBANK,38,F260484,CIAT20820,Canavalia,gladiata,Canavalia gladiata,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,56.35690004,
37,46175,GENBANK,38,F260489,CIAT21829,Rhynchosia,minima,Rhynchosia minima,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,63.50869456,64.04334989
38,46175,GENBANK,38,F260489,CIAT21829,Rhynchosia,minima,Rhynchosia minima,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,64.57800523,
39,46175,GENBANK,38,F260492,CIAT22188,Rhynchosia,minima,Rhynchosia minima,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,59.32236339,59.54909491
40,46175,GENBANK,38,F260492,CIAT22188,Rhynchosia,minima,Rhynchosia minima,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,59.77582643,
41,46175,GENBANK,38,F260500,CIAT25156,Centrosema,platycarpum,Centrosema platycarpum,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),A,58.2245626,58.47313957
42,46175,GENBANK,38,F260500,CIAT25156,Centrosema,platycarpum,Centrosema platycarpum,Fabaceae,Fabales,Climber,"89,90,91",OT-006(2026),B,58.72171653,
43,46175,GENBANK,38,F263177,IAG 2026 S1,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,"89,90,91",OT-029(2026) AGES,A,,#DIV/0!
44,46175,GENBANK,38,F263177,IAG 2026 S1,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,"89,90,91",OT-029(2026) AGES,B,,
45,46175,GENBANK,38,F263178,IAG 2026 S2,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,"89,90,91",OT-029(2026) AGES,A,,#DIV/0!
46,46175,GENBANK,38,F263178,IAG 2026 S2,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,"89,90,91",OT-029(2026) AGES,B,,
47,46175,GENBANK,38,F263139,CIAT918,Rhynchosia,schomburgkii,Rhynchosia schomburgkii,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),A,68.3462232,66.73643627
48,46175,GENBANK,38,F263139,CIAT918,Rhynchosia,schomburgkii,Rhynchosia schomburgkii,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),B,65.12664934,
49,46175,GENBANK,38,F263140,CIAT8215,Rhynchosia,schomburgkii,Rhynchosia schomburgkii,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),A,70.44457286,70.14485092
50,46175,GENBANK,38,F263140,CIAT8215,Rhynchosia,schomburgkii,Rhynchosia schomburgkii,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),B,69.84512899,
51,46175,GENBANK,38,F263141,CIAT15008,Centrosema,triquetrum,Centrosema triquetrum,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),A,60.97886538,61.17232307
52,46175,GENBANK,38,F263141,CIAT15008,Centrosema,triquetrum,Centrosema triquetrum,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),B,61.36578076,
53,46175,GENBANK,38,F263142,CIAT17334,Dunbaria,nivea,Dunbaria nivea,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),A,69.56401994,69.28941954
54,46175,GENBANK,38,F263142,CIAT17334,Dunbaria,nivea,Dunbaria nivea,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),B,69.01481914,
55,46175,GENBANK,38,F263143,CIAT17892,Dioclea,valliana,Dioclea valliana,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),A,67.62749615,68.48698196
56,46175,GENBANK,38,F263143,CIAT17892,Dioclea,valliana,Dioclea valliana,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),B,69.34646776,
57,46175,GENBANK,38,F263144,CIAT17916,Clitoria,falcata,Clitoria falcata,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),A,73.74639286,73.78827183
58,46175,GENBANK,38,F263144,CIAT17916,Clitoria,falcata,Clitoria falcata,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),B,73.8301508,
59,46175,GENBANK,38,F263145,CIAT17969,Canavalia,grandiflora,Canavalia grandiflora,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),A,53.88076412,54.58460267
60,46175,GENBANK,38,F263145,CIAT17969,Canavalia,grandiflora,Canavalia grandiflora,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),B,55.28844122,
61,46175,GENBANK,38,F263146,CIAT18497,Dioclea,valliana,Dioclea valliana,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),A,73.30908024,73.05168336
62,46175,GENBANK,38,F263146,CIAT18497,Dioclea,valliana,Dioclea valliana,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),B,72.79428649,
63,46175,GENBANK,38,F263147,CIAT18521,Rhynchosia,phaseoloides,Rhynchosia phaseoloides,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),A,73.08727414,71.99397156
64,46175,GENBANK,38,F263147,CIAT18521,Rhynchosia,phaseoloides,Rhynchosia phaseoloides,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),B,70.90066898,
65,46175,GENBANK,38,F263148,CIAT18631,Dioclea,crenata,Dioclea crenata,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),A,64.67906094,65.07582969
66,46175,GENBANK,38,F263148,CIAT18631,Dioclea,crenata,Dioclea crenata,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),B,65.47259844,
67,46175,GENBANK,38,F263177,IAG 2026 S1,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,"89,90,91",OT-029(2026) AGES,A,,#DIV/0!
68,46175,GENBANK,38,F263177,IAG 2026 S1,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,"89,90,91",OT-029(2026) AGES,B,,
69,46175,GENBANK,38,F263178,IAG 2026 S2,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,"89,90,91",OT-029(2026) AGES,A,,#DIV/0!
70,46175,GENBANK,38,F263178,IAG 2026 S2,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,"89,90,91",OT-029(2026) AGES,B,,
71,46175,GENBANK,38,F263149,CIAT22303,Macrotyloma,axillare,Macrotyloma axillare,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),A,54.26694439,53.88804398
72,46175,GENBANK,38,F263149,CIAT22303,Macrotyloma,axillare,Macrotyloma axillare,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),B,53.50914356,
73,46175,GENBANK,38,F263150,CIAT18633,Dioclea,crenata,Dioclea crenata,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),A,60.99949165,61.51467539
74,46175,GENBANK,38,F263150,CIAT18633,Dioclea,crenata,Dioclea crenata,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),B,62.02985914,
75,46175,GENBANK,38,F263151,CIAT21134,Cajanus,goensis,Cajanus goensis,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),A,73.42311255,73.82642985
76,46175,GENBANK,38,F263151,CIAT21134,Cajanus,goensis,Cajanus goensis,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),B,74.22974715,
77,46175,GENBANK,38,F263152,CIAT21433,Calopogonium,galactioides,Calopogonium galactioides,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),A,54.4176691,56.32935006
78,46175,GENBANK,38,F263152,CIAT21433,Calopogonium,galactioides,Calopogonium galactioides,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),B,58.24103102,
79,46175,GENBANK,38,F263153,CIAT21475,Rhynchosia,phaseoloides,Rhynchosia phaseoloides,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),A,66.17483555,66.67203313
80,46175,GENBANK,38,F263153,CIAT21475,Rhynchosia,phaseoloides,Rhynchosia phaseoloides,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),B,67.16923071,
81,46175,GENBANK,38,F263154,CIAT21951,Pueraria,montana,Pueraria montana,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),A,63.64853067,63.98443706
82,46175,GENBANK,38,F263154,CIAT21951,Pueraria,montana,Pueraria montana,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),B,64.32034345,
83,46175,GENBANK,38,F263155,CIAT25213,Centrosema,brachypodum,Centrosema brachypodum,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),A,61.35307489,61.93228186
