24_no,24_date,24_requisitioner,24_set_ciat,24_ciat_lab_id,24_gene_bank_breeding_program_id,24_genus,24_species,24_tax_name,24_family,24_order,24_functional_group,24_batches_ciat,24_id_lab,24_replication,24_ndf_percentage_dm,24_av_adf_percentage_dm
144,46175,GENBANK,38,F261034,CIAT8539,Canavalia,grandiflora,Canavalia grandiflora,Fabaceae,Fabales,Climber,"89,90,91",OT-017,B,51.22918078,
145,46175,GENBANK,38,F261036,CIAT8589,Galactia,jussiaeana,Galactia jussiaeana,Fabaceae,Fabales,Climber,"89,90,91",OT-017,A,52.62421271,53.10447383
146,46175,GENBANK,38,F261036,CIAT8589,Galactia,jussiaeana,Galactia jussiaeana,Fabaceae,Fabales,Climber,"89,90,91",OT-017,B,53.58473495,
147,46175,GENBANK,38,F261087,CIAT18701,Cajanus,cajan,Cajanus cajan,Fabaceas,Fabales,Arbustivas,"89,90,91",OT-020,A,62.05,61.335
148,46175,GENBANK,38,F261087,CIAT18701,Cajanus,cajan,Cajanus cajan,Fabaceas,Fabales,Arbustivas,"89,90,91",OT-020,B,60.62,
149,46175,JACOBO ARANGO/ ALEJANDRO MONTOYA,38,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,0,"89,90,91",OT-001(2025),A,76.05,76.05
150,46175,JACOBO ARANGO/ ALEJANDRO MONTOYA,38,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,0,"89,90,91",OT-001(2025),B,76.05,
151,46203,BREEDING,39,F262903,CIAT_BR04_3025_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,60.08348149,60.40561002
152,46203,BREEDING,39,F262903,CIAT_BR04_3025_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,60.72773854,
153,46203,BREEDING,39,F262904,CIAT_BR02_1752_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,64.72642717,64.6125337
154,46203,BREEDING,39,F262904,CIAT_BR02_1752_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,64.49864024,
155,46203,BREEDING,39,F262905,CIAT_CIAT_606_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,69.93776597,69.70939571
156,46203,BREEDING,39,F262905,CIAT_CIAT_606_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,69.48102544,
157,46203,BREEDING,39,F262906,CIAT_BR02_1794_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,59.28609181,58.79957024
158,46203,BREEDING,39,F262906,CIAT_BR02_1794_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,58.31304866,
159,46203,0,39,F262907,CIAT_CIAT_6294_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,58.80066062,59.14899612
160,46203,0,39,F262907,CIAT_CIAT_6294_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,59.49733163,
161,46203,0,39,F262908,CIAT_Mulato_II_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,64.5426841,65.31077578
162,46203,0,39,F262908,CIAT_Mulato_II_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,66.07886747,
163,46203,0,39,F262909,CIAT_BR04_3025_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,66.14544191,66.03882354
164,46203,0,39,F262909,CIAT_BR04_3025_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,65.93220517,
165,46203,0,39,F262910,CIAT_BR02_1752_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,56.65865546,80.6
166,46203,0,39,F262910,CIAT_BR02_1752_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,56.75712575,
167,46203,0,39,F262911,CIAT_CIAT_606_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,59.15566235,59.17041639
168,46203,0,39,F262911,CIAT_CIAT_606_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,59.18517043,
169,46203,0,39,F262912,CIAT_BR02_1794_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,54.53878521,54.34106669
170,46203,0,39,F262912,CIAT_BR02_1794_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,54.14334817,
171,46203,0,39,F262913,CIAT_CIAT_6294_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,56.54269144,56.473915
172,46203,0,39,F262913,CIAT_CIAT_6294_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,56.40513856,
173,46203,0,39,F262914,CIAT_Mulato_II_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,56.11668299,56.17438095
174,46203,0,39,F262914,CIAT_Mulato_II_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,56.23207891,
175,46203,0,39,F262915,CIAT-BR04_2515,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,62.99150273,63.67020147
176,46203,0,39,F262915,CIAT-BR04_2515,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,64.34890022,
177,46203,0,39,F262916,CIAT-BR05_931,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,58.23312644,58.68627775
178,46203,0,39,F262916,CIAT-BR05_931,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,59.13942906,
179,46203,BREEDING,39,F262917,CIAT-BR09_5252,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,56.38735729,57.18136727
180,46203,BREEDING,39,F262917,CIAT-BR09_5252,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,57.97537725,
181,46203,BREEDING,"39, 43",F262918,CIAT-BR12_1176,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,43",OT-025,A,57.41887989,57.00335574
182,46203,BREEDING,"39, 43",F262918,CIAT-BR12_1176,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,43",OT-025,B,56.58783159,
183,46203,BREEDING,39,F262919,CIAT-BR12_1280,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,51.41787713,51.52359261
184,46203,BREEDING,39,F262919,CIAT-BR12_1280,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,51.6293081,
185,46203,BREEDING,39,F262920,CIAT-BR12_1282,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,57.2054376,56.73716373
186,46203,BREEDING,39,F262920,CIAT-BR12_1282,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,56.26888985,
187,46203,BREEDING,39,F262921,CIAT-BR12_1325,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,58.35904128,58.30461311
188,46203,BREEDING,39,F262921,CIAT-BR12_1325,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,58.25018494,
189,46203,BREEDING,"39,43",F262922,CIAT-BR12_1399,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,104",OT-025,A,59.12691374,59.7877476
190,46203,BREEDING,"39,43",F262922,CIAT-BR12_1399,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,104",OT-025,B,60.44858146,
191,46203,BREEDING,"39,43",F262923,CIAT-BR12_1418,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,60.41655629,60.12007872
192,46203,BREEDING,"39,43",F262923,CIAT-BR12_1418,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,59.82360114,
193,46203,BREEDING,"39,43",F262924,CIAT-BR12_1509,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,57.29885818,57.26189236
194,46203,BREEDING,"39,43",F262924,CIAT-BR12_1509,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,57.22492653,
195,46203,BREEDING,39,F262925,CIAT-BR12_1535,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,57.31218426,57.13439249
196,46203,BREEDING,39,F262925,CIAT-BR12_1535,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,56.95660072,
197,46203,BREEDING,39,F262926,CIAT-BR12_1685,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,56.60132539,56.80848219
198,46203,BREEDING,39,F262926,CIAT-BR12_1685,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,57.01563899,
199,46203,BREEDING,39,F262927,CIAT-BR12_1844,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,58.7304998,58.73985746
200,46203,BREEDING,39,F262927,CIAT-BR12_1844,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,58.74921512,
201,46203,BREEDING,39,F262928,CIAT-BR12_1888,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,57.95430256,58.01209414
202,46203,BREEDING,39,F262928,CIAT-BR12_1888,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,58.06988571,
203,46203,BREEDING,39,F262929,CIAT-BR12_1939,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,58.36414722,58.62635101
204,46203,BREEDING,39,F262929,CIAT-BR12_1939,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,58.88855481,
205,46203,BREEDING,39,F262930,CIAT-BR12_2243,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,62.40027663,61.70235794
206,46203,BREEDING,39,F262930,CIAT-BR12_2243,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,61.00443924,
207,46203,BREEDING,39,F262931,CIAT-BR12_2254,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,61.28920296,62.68923608
208,46203,BREEDING,39,F262931,CIAT-BR12_2254,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,64.0892692,
209,46203,BREEDING,39,F262932,CIAT-BR12_2255,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,61.33079027,61.97568213
210,46203,BREEDING,39,F262932,CIAT-BR12_2255,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,62.62057398,
211,46203,BREEDING,39,F262933,CIAT-BR12_2305,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,62.26805371,61.51102652
212,46203,BREEDING,39,F262933,CIAT-BR12_2305,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,60.75399933,
213,46203,BREEDING,39,F262934,CIAT-BR12_2316,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,65.49178047,64.92236337
214,46203,BREEDING,39,F262934,CIAT-BR12_2316,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,64.35294628,
215,46203,BREEDING,39,F262935,CIAT-BR12_2367,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,59.95728005,59.76182417
216,46203,BREEDING,39,F262935,CIAT-BR12_2367,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,59.56636828,
217,46203,BREEDING,39,F262936,CIAT-BR12_2461,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,65.96494741,65.16213704
218,46203,BREEDING,39,F262936,CIAT-BR12_2461,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,64.35932666,
219,46203,BREEDING,39,F262937,CIAT-BR12_3018,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,59.8092931,59.4857956
220,46203,BREEDING,39,F262937,CIAT-BR12_3018,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,59.16229811,
221,46203,BREEDING,39,F262938,CIAT-BR12_3067,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,59.66625035,59.8670693
222,46203,BREEDING,39,F262938,CIAT-BR12_3067,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,60.06788826,
223,46203,BREEDING,39,F262939,CIAT-BR12_3069,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,66.65881143,65.58231765
224,46203,BREEDING,39,F262939,CIAT-BR12_3069,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,64.50582387,
225,46203,BREEDING,39,F262940,CIAT-BR12_3358,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,61.60230837,62.0843291
226,46203,BREEDING,39,F262940,CIAT-BR12_3358,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,62.56634984,
227,46203,BREEDING,39,F262941,CIAT-BR12_3377,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,65.32513297,64.64227984
228,46203,BREEDING,39,F262941,CIAT-BR12_3377,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,63.95942671,
229,46203,BREEDING,39,F262942,CIAT-BR12_49,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,60.7293541,60.3417605
230,46203,BREEDING,39,F262942,CIAT-BR12_49,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,59.9541669,
231,46203,BREEDING,39,F262943,CIAT-BR12_61,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,60.42520692,60.23997864
232,46203,BREEDING,39,F262943,CIAT-BR12_61,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,60.05475035,
233,46203,BREEDING,39,F262944,CIAT-BR12_91,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,59.17524254,59.5558435
234,46203,BREEDING,39,F262944,CIAT-BR12_91,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,59.93644447,
235,46203,BREEDING,39,F262945,CIAT-BR15_1468,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,57.3211756,55.87750756
236,46203,BREEDING,39,F262945,CIAT-BR15_1468,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,54.43383952,
237,46203,BREEDING,39,F262946,CIAT-BR15_1628,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,62.60038571,61.17177896
238,46203,BREEDING,39,F262946,CIAT-BR15_1628,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,59.74317222,
239,46203,0,39,F262947,CIAT-BR15_1689,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,59.57739147,59.70332467
240,46203,0,39,F262947,CIAT-BR15_1689,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,59.82925786,
241,46203,BREEDING,39,F262948,CIAT-BR15_1712,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,56.3109279,57.09615834
242,46203,BREEDING,39,F262948,CIAT-BR15_1712,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,57.88138878,
243,46203,BREEDING,39,F262949,CIAT-BR15_1830,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,58.74531395,59.05071453
244,46203,BREEDING,39,F262949,CIAT-BR15_1830,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,59.35611511,
245,46203,BREEDING,39,F262950,CIAT-BR15_1865,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,57.21138344,56.92092105
246,46203,BREEDING,39,F262950,CIAT-BR15_1865,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,56.63045867,
247,46203,BREEDING,39,F262951,CIAT-BR15_1877,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,56.39068418,56.08074917
248,46203,BREEDING,39,F262951,CIAT-BR15_1877,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,55.77081416,
249,46203,BREEDING,39,F262952,CIAT-BR15_2174,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,59.30585144,59.60376505
250,46203,BREEDING,39,F262952,CIAT-BR15_2174,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,59.90167865,
251,46203,BREEDING,39,F262953,CIAT-BR15_2464,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,60.5023158,61.68916769
252,46203,BREEDING,39,F262953,CIAT-BR15_2464,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,62.87601958,
253,46203,BREEDING,39,F262954,CIAT-BR15_2528,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,58.72556637,58.42640544
254,46203,BREEDING,39,F262954,CIAT-BR15_2528,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,58.12724451,
255,46203,BREEDING,39,F262955,CIAT-BR15_2532,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,60.90356588,61.22198116
256,46203,BREEDING,39,F262955,CIAT-BR15_2532,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,61.54039643,
257,46203,BREEDING,39,F262956,CIAT-BR15_2538,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,65.48189887,65.61033801
258,46203,BREEDING,39,F262956,CIAT-BR15_2538,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,65.73877714,
259,46203,BREEDING,39,F262957,CIAT-BR15_2545,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,67.86185325,68.17519196
260,46203,BREEDING,39,F262957,CIAT-BR15_2545,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,68.48853068,
261,46203,BREEDING,39,F262958,CIAT-BR15_2767,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,A,60.33700725,61.24336316
262,46203,BREEDING,39,F262958,CIAT-BR15_2767,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,B,62.14971907,
263,46203,JUAN CARDOSO,39,F263289, CIAT 17009,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,A,50.34826507,50.11149517
264,46203,JUAN CARDOSO,39,F263289, CIAT 17009,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,B,49.87472527,
265,46203,JUAN CARDOSO,39,F263290,CIAT 17462,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,A,57.08759279,55.24598161
266,46203,JUAN CARDOSO,39,F263290,CIAT 17462,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,B,53.40437042,
267,46203,JUAN CARDOSO,39,F263291,CIAT 13953,Desmodium,velutinum,Desmodium velutinum,Fabaceas,Fabales,Arbustivas,"92,93,94",OT-032,A,57.23780244,57.38351667
268,46203,JUAN CARDOSO,39,F263291,CIAT 13953,Desmodium,velutinum,Desmodium velutinum,Fabaceas,Fabales,Arbustivas,"92,93,94",OT-032,B,57.52923089,
269,46203,JUAN CARDOSO,39,F263292,CIAT 9432,Clitoria,tertanea,Clitoria tertanea,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,A,55.04006669,55.85946942
270,46203,JUAN CARDOSO,39,F263292,CIAT 9432,Clitoria,tertanea,Clitoria tertanea,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,B,56.67887215,
271,46203,JUAN CARDOSO,39,F263293,CIAT 17768,Clitoria,tertanea,Clitoria tertanea,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,A,61.42964972,59.99922191
272,46203,JUAN CARDOSO,39,F263293,CIAT 17768,Clitoria,tertanea,Clitoria tertanea,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,B,58.56879411,
273,46203,JUAN CARDOSO,39,F263294,CIAT 22768,Lablab,purpureus,Lablab purpureus,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,A,52.32380933,51.58664273
274,46203,JUAN CARDOSO,39,F263294,CIAT 22768,Lablab,purpureus,Lablab purpureus,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,B,50.84947614,
275,46203,JUAN CARDOSO,39,F263295,CIAT 22598,Lablab,purpureus,Lablab purpureus,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,A,53.85354471,52.50487516
276,46203,JUAN CARDOSO,39,F263295,CIAT 22598,Lablab,purpureus,Lablab purpureus,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,B,51.1562056,
277,46203,JUAN CARDOSO,39,F263296,CIAT 18701,Cajanus,cajan,Cajanus cajan,Fabaceas,Fabales,Arbustivas,"92,93,94",OT-032,A,76.73351716,76.68211226
278,46203,JUAN CARDOSO,39,F263296,CIAT 18701,Cajanus,cajan,Cajanus cajan,Fabaceas,Fabales,Arbustivas,"92,93,94",OT-032,B,76.63070735,
279,46203,JUAN CARDOSO,39,F263297,CIAT 20891,Cajanus,cajan,Cajanus cajan,Fabaceas,Fabales,Arbustivas,"92,93,94",OT-032,A,71.88641404,71.23113544
280,46203,JUAN CARDOSO,39,F263297,CIAT 20891,Cajanus,cajan,Cajanus cajan,Fabaceas,Fabales,Arbustivas,"92,93,94",OT-032,B,70.57585684,
281,46203,JUAN CARDOSO,39,F263298,CIAT 15551,Centrosema ,molle,Centrosema molle,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,A,73.25598993,74.68009226
282,46203,JUAN CARDOSO,39,F263298,CIAT 15551,Centrosema ,molle,Centrosema molle,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,B,76.10419459,
283,46203,JUAN CARDOSO,39,F263299, CIAT 17009,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,A,52.349773,53.19362636
284,46203,JUAN CARDOSO,39,F263299, CIAT 17009,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,B,54.03747971,
285,46203,JUAN CARDOSO,39,F263300,CIAT 17462,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,A,48.41398912,48.65543052
286,46203,JUAN CARDOSO,39,F263300,CIAT 17462,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,B,48.89687192,
287,46203,JUAN CARDOSO,39,F263301,CIAT 9432,Clitoria,tertanea,Clitoria tertanea,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,A,57.55288277,58.2092417
288,46203,JUAN CARDOSO,39,F263301,CIAT 9432,Clitoria,tertanea,Clitoria tertanea,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,B,58.86560064,
289,46203,JUAN CARDOSO,39,F263302,CIAT 17768,Clitoria,tertanea,Clitoria tertanea,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,A,61.30939218,61.45309684
290,46203,JUAN CARDOSO,39,F263302,CIAT 17768,Clitoria,tertanea,Clitoria tertanea,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,B,61.5968015,
291,46203,JUAN CARDOSO,39,F263303,CIAT 22768,Lablab,purpureus,Lablab purpureus,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,A,55.54824582,54.99992986
292,46203,JUAN CARDOSO,39,F263303,CIAT 22768,Lablab,purpureus,Lablab purpureus,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,B,54.4516139,
293,46203,JUAN CARDOSO,39,F263304,CIAT 22598,Lablab,purpureus,Lablab purpureus,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,A,56.20947087,55.89761651
294,46203,JUAN CARDOSO,39,F263304,CIAT 22598,Lablab,purpureus,Lablab purpureus,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,B,55.58576216,
295,46203,JUAN CARDOSO,39,F263305,CIAT 18701,Cajanus,cajan,Cajanus cajan,Fabaceas,Fabales,Arbustivas,"92,93,94",OT-032,A,63.5967875,63.47098785
296,46203,JUAN CARDOSO,39,F263305,CIAT 18701,Cajanus,cajan,Cajanus cajan,Fabaceas,Fabales,Arbustivas,"92,93,94",OT-032,B,63.34518821,
