40_sample_serial_no,40_date,40_requisitioner,40_set_ciat,40_ciat_lab_id,40_gene_bank_breeding_program_id,40_genus,40_species,40_tax_name,40_family,40_order,40_functional_group,40_dm_percentage,40_av_dm_105,40_ash_dm,40_av_ash_percentage,40_om_percentage,40_av_om_percentage,40_pc_percentage_dm,40_av_pc_percentage,40_adf_percentage_dm,40_av_adf_percentage_dm,40_ndf_percentage_dm,40_av_ndf_percentage_dm
Sample serial No,"Date (M,D.Y)",Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
25,46175,GENBANK,38,F260454,CIAT8384,Canavalia,dictyota,Canavalia dictyota,Fabaceae,Fabales,Climber,92.53074693,92.61610332,86.19168733,86.3974845,13.80831267,13.6025155,28.22762592,28.22762592,32.04992293,31.96209659,54.12440812,52.43205309
26,46175,GENBANK,38,F260454,CIAT8384,Canavalia,dictyota,Canavalia dictyota,Fabaceae,Fabales,Climber,92.70145971,,86.60328166,,13.39671834,,28.22762592,,31.87427025,,50.73969807,
27,46175,GENBANK,38,F260456,CIAT8808,Galactia,jussiaeana,Galactia jussiaeana,Fabaceae,Fabales,Climber,93.00069993,93.06138166,91.44736094,91.43747357,8.552639063,8.562526428,13.89428974,13.89428974,40.5195442,39.9878075,60.90731028,62.52562543
28,46175,GENBANK,38,F260456,CIAT8808,Galactia,jussiaeana,Galactia jussiaeana,Fabaceae,Fabales,Climber,93.12206338,,91.42758621,,8.572413794,,13.89428974,,39.45607079,,64.14394058,
29,46175,GENBANK,38,F260464,CIAT15234,Centrosema,platycarpum,Centrosema platycarpum,Fabaceae,Fabales,Climber,94.70158952,94.6871266,88.73468829,88.71998053,11.26531171,11.28001947,9.547755648,9.547755648,39.38645337,39.58373417,58.38828214,56.71667037
30,46175,GENBANK,38,F260464,CIAT15234,Centrosema,platycarpum,Centrosema platycarpum,Fabaceae,Fabales,Climber,94.67266367,,88.70527277,,11.29472723,,9.547755648,,39.78101496,,55.0450586,
31,46175,GENBANK,38,F260468,CIAT15444,Centrosema,tetragonolobum,Centrosema tetragonolobum,Fabaceae,Fabales,Climber,94.27286357,94.27671776,88.83633427,88.72273863,11.16366573,11.27726137,19.87596043,19.87596043,35.16539302,35.72803961,54.84615414,55.78662955
32,46175,GENBANK,38,F260468,CIAT15444,Centrosema,tetragonolobum,Centrosema tetragonolobum,Fabaceae,Fabales,Climber,94.28057194,,88.609143,,11.390857,,19.87596043,,36.29068619,,56.72710495,
33,46175,GENBANK,38,F260482,CIAT19445,Galactia,dubia,Galactia dubia,Fabaceae,Fabales,Climber,93.39198241,93.41664707,78.48994538,81.57121591,21.51005462,18.42878409,17.4753425,17.4753425,38.12023126,38.52934387,64.59421569,64.72851981
34,46175,GENBANK,38,F260482,CIAT19445,Galactia,dubia,Galactia dubia,Fabaceae,Fabales,Climber,93.44131174,,84.65248644,,15.34751356,,17.4753425,,38.93845648,,64.86282392,
35,46175,GENBANK,38,F260484,CIAT20820,Canavalia,gladiata,Canavalia gladiata,Fabaceae,Fabales,Climber,92.30307877,92.21153938,76.75841053,81.61215632,23.24158947,18.38784368,25.24214418,25.04779877,26.07602766,25.86187801,56.58516181,56.47103092
36,46175,GENBANK,38,F260484,CIAT20820,Canavalia,gladiata,Canavalia gladiata,Fabaceae,Fabales,Climber,92.12,,86.46590212,,13.53409788,,24.85345335,,25.64772836,,56.35690004,
37,46175,GENBANK,38,F260489,CIAT21829,Rhynchosia,minima,Rhynchosia minima,Fabaceae,Fabales,Climber,92.92212336,92.94176554,86.43643354,83.57969925,13.56356646,16.42030075,17.78510203,17.78510203,47.32392306,47.72093428,63.50869456,64.04334989
38,46175,GENBANK,38,F260489,CIAT21829,Rhynchosia,minima,Rhynchosia minima,Fabaceae,Fabales,Climber,92.96140772,,80.72296495,,19.27703505,,17.78510203,,48.11794551,,64.57800523,
39,46175,GENBANK,38,F260492,CIAT22188,Rhynchosia,minima,Rhynchosia minima,Fabaceae,Fabales,Climber,93.34066593,93.33533297,88.06573485,88.15620762,11.93426515,11.84379238,27.66824122,27.66824122,47.52400869,47.5315444,59.32236339,59.54909491
40,46175,GENBANK,38,F260492,CIAT22188,Rhynchosia,minima,Rhynchosia minima,Fabaceae,Fabales,Climber,93.33,,88.24668038,,11.75331962,,27.66824122,,47.5390801,,59.77582643,
41,46175,GENBANK,38,F260500,CIAT25156,Centrosema,platycarpum,Centrosema platycarpum,Fabaceae,Fabales,Climber,94.20057994,94.20615821,92.03953307,91.79095078,7.960466935,8.20904922,11.32233349,11.32233349,47.68872154,43.35202978,58.2245626,58.47313957
42,46175,GENBANK,38,F260500,CIAT25156,Centrosema,platycarpum,Centrosema platycarpum,Fabaceae,Fabales,Climber,94.21173648,,91.54236849,,8.457631506,,11.32233349,,39.01533802,,58.72171653,
43,46175,GENBANK,38,F263177,IAG 2026 S1,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,92.99,92.99,0,0,0,0,0,0,0,0,0,0
44,46175,GENBANK,38,F263177,IAG 2026 S1,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,92.99,,0,,0,,0,,0,,0,
45,46175,GENBANK,38,F263178,IAG 2026 S2,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,91.52,91.52,0,0,0,0,0,0,0,0,0,0
46,46175,GENBANK,38,F263178,IAG 2026 S2,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,91.52,,0,,0,,0,,0,,0,
47,46175,GENBANK,38,F263139,CIAT918,Rhynchosia,schomburgkii,Rhynchosia schomburgkii,Fabaceae,Fabales,Herbaceous_climber,91.61167766,91.62167566,9.973810563,9.951986032,90.02618944,90.04801397,16.02748027,15.93400693,44.71657478,44.41327888,68.3462232,66.73643627
