40_sample_serial_no,40_date,40_requisitioner,40_set_ciat,40_ciat_lab_id,40_gene_bank_breeding_program_id,40_genus,40_species,40_tax_name,40_family,40_order,40_functional_group,40_dm_percentage,40_av_dm_105,40_ash_dm,40_av_ash_percentage,40_om_percentage,40_av_om_percentage,40_pc_percentage_dm,40_av_pc_percentage,40_adf_percentage_dm,40_av_adf_percentage_dm,40_ndf_percentage_dm,40_av_ndf_percentage_dm
Sample serial No,"Date (M,D.Y)",Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
105,46175,GENBANK,38,F263166,CIAT22501,Desmanthus,covillei,Desmanthus covillei,Fabaceae,Fabales,Shurb_tree,91.53338665,91.45669332,8.525216651,8.718269089,91.47478335,91.28173091,18.45450982,18.301968,42.17651692,41.76238684,69.87509797,70.24093091
106,46175,GENBANK,38,F263166,CIAT22501,Desmanthus,covillei,Desmanthus covillei,Fabaceae,Fabales,Shurb_tree,91.38,,8.911321527,,91.08867847,,18.14942618,,41.34825676,,70.60676386,
107,46175,GENBANK,38,F263167,CIAT22571,Desmanthus,covillei,Desmanthus covillei,Fabaceae,Fabales,Shurb_tree,92.14078592,92.11697433,8.846561821,8.557672685,91.15343818,91.44232732,20.84637103,20.69800412,31.21387083,31.19413282,64.59385026,63.32056195
108,46175,GENBANK,38,F263167,CIAT22571,Desmanthus,covillei,Desmanthus covillei,Fabaceae,Fabales,Shurb_tree,92.09316273,,8.268783549,,91.73121645,,20.54963722,,31.17439481,,62.04727364,
109,46175,GENBANK,38,F263168,CIAT22572,Desmanthus,covillei,Desmanthus covillei,Fabaceae,Fabales,Shurb_tree,91.53169366,91.49170166,6.939132335,7.053873894,93.06086766,92.94612611,16.71763131,16.67096299,49.26695375,48.67480672,67.58120586,68.43159996
110,46175,GENBANK,38,F263168,CIAT22572,Desmanthus,covillei,Desmanthus covillei,Fabaceae,Fabales,Shurb_tree,91.45170966,,7.168615452,,92.83138455,,16.62429466,,48.08265969,,69.28199406,
111,46175,GENBANK,38,F263177,IAG 2026 S1,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,92.99,92.99,0,0,0,0,0,0,0,0,0,0
112,46175,GENBANK,38,F263177,IAG 2026 S1,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,92.99,,0,,0,,0,,0,,0,
113,46175,GENBANK,38,F263178,IAG 2026 S2,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,91.52,91.52,0,0,0,0,0,0,0,0,0,0
114,46175,GENBANK,38,F263178,IAG 2026 S2,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,91.52,,0,,0,,0,,0,,0,
115,46175,GENBANK,38,F263169,CIAT22574,Desmanthus,fruticosus,Desmanthus fruticosus,Fabaceae,Fabales,Shurb_tree,92.16078392,92.1061868,92.20542906,92.15697183,7.794570942,7.843028174,20.2510459,20.30053722,43.67863366,43.33739286,71.41183186,71.01211018
116,46175,GENBANK,38,F263169,CIAT22574,Desmanthus,fruticosus,Desmanthus fruticosus,Fabaceae,Fabales,Shurb_tree,92.05158968,,92.10851459,,7.891485407,,20.35002853,,42.99615205,,70.61238849,
117,46175,GENBANK,38,F263170,CIAT8529,Mimosa,albolanata,Mimosa albolanata,Fabaceae,Fabales,Shurb_tree,92.51074893,92.48112931,95.14544094,95.07541306,4.854559063,4.924586939,12.73411812,12.62653765,52.15027339,52.35409631,69.20471844,69.61359459
118,46175,GENBANK,38,F263170,CIAT8529,Mimosa,albolanata,Mimosa albolanata,Fabaceae,Fabales,Shurb_tree,92.4515097,,95.00538519,,4.994614814,,12.51895718,,52.55791922,,70.02247073,
119,46175,GENBANK,38,F263171,CIAT33510,Phyllodium,pulchellum,Phyllodium pulchellum,Fabaceae,Fabales,Shurb_tree,93.42065793,93.38032897,90.67348639,90.80152679,9.326513607,9.19847321,14.1984773,14.24259062,41.18465869,41.08053174,57.40047457,57.92426753
120,46175,GENBANK,38,F263171,CIAT33510,Phyllodium,pulchellum,Phyllodium pulchellum,Fabaceae,Fabales,Shurb_tree,93.34,,90.92956719,,9.070432814,,14.28670393,,40.97640478,,58.44806048,
121,46175,GENBANK,38,F263172,CIAT33499,Phyllodium,pulchellum,Phyllodium pulchellum,Fabaceae,Fabales,Shurb_tree,93.20135973,93.13706531,90.77887808,90.74223583,9.221121918,9.257764173,13.42546082,13.32892744,49.62404554,51.10215445,68.19316236,69.00263701
122,46175,GENBANK,38,F263172,CIAT33499,Phyllodium,pulchellum,Phyllodium pulchellum,Fabaceae,Fabales,Shurb_tree,93.07277089,,90.70559357,,9.294406428,,13.23239406,,52.58026336,,69.81211165,
123,46175,GENBANK,38,F263173,CIAT23111,Phyllodium,elegans,Phyllodium elegans,Fabaceae,Fabales,Shurb_tree,93.24135173,93.22669406,87.19507047,87.52277192,12.80492953,12.47722808,16.21348356,16.1627811,41.78759275,41.28191753,62.3043478,61.42804591
124,46175,GENBANK,38,F263173,CIAT23111,Phyllodium,elegans,Phyllodium elegans,Fabaceae,Fabales,Shurb_tree,93.21203639,,87.85047337,,12.14952663,,16.11207865,,40.77624231,,60.55174403,
125,46175,GENBANK,38,F263174,CIAT23110,Phyllodium,elegans,Phyllodium elegans,Fabaceae,Fabales,Shurb_tree,93.20135973,93.30166957,90.0557574,90.16875889,9.944242599,9.831241109,15.4962616,15.79689164,35.77986174,36.42314568,61.1638059,60.71102127
126,46175,GENBANK,38,F263174,CIAT23110,Phyllodium,elegans,Phyllodium elegans,Fabaceae,Fabales,Shurb_tree,93.40197941,,90.28176038,,9.718239618,,16.09752168,,37.06642962,,60.25823665,
127,46175,GENBANK,38,F263175,CIAT9360,Clitoria,falcata,Clitoria falcata,Fabaceae,Fabales,Herbaceous_climber,93.28134373,93.26668406,91.98159088,92.05166341,8.018409118,7.948336595,13.31375507,13.3663143,47.67848043,48.18526974,74.80724021,74.03704964
128,46175,GENBANK,38,F263175,CIAT9360,Clitoria,falcata,Clitoria falcata,Fabaceae,Fabales,Herbaceous_climber,93.25202439,,92.12173593,,7.878264072,,13.41887353,,48.69205905,,73.26685906,
129,46175,GENBANK,38,F263176,CIAT21292,Canavalia,Gladiata,Canavalia Gladiata,Fabaceae,Fabales,Herbaceous_climber,92.08079192,92.21154462,80.86114353,81.20998089,19.13885647,18.79001911,14.27323761,14.12329645,24.72410278,24.60385572,49.56013622,48.68050515
130,46175,GENBANK,38,F263176,CIAT21292,Canavalia,Gladiata,Canavalia Gladiata,Fabaceae,Fabales,Herbaceous_climber,92.34229731,,81.55881826,,18.44118174,,13.9733553,,24.48360865,,47.80087408,
131,46175,GENBANK,38,F260521,CIAT23035,Desmodium,laxiflorum,Desmodium laxiflorum,Fabaceae,Fabales,Herbaceous,92.16078392,92.19155861,13.05845817,12.45532587,86.94154183,87.54467413,16.31259106,16.31259106,34.62464694,38.28003871,50.39758332,50.76210953
132,46175,GENBANK,38,F260521,CIAT23035,Desmodium,laxiflorum,Desmodium laxiflorum,Fabaceae,Fabales,Herbaceous,92.2223333,,11.85219357,,88.14780643,,16.31259106,,41.93543048,,51.12663574,
133,46175,GENBANK,38,F260526,CIAT33726,Desmodium,sandwicense,Desmodium sandwicense,Fabaceae,Fabales,Herbaceous,93.14,93.37627749,10.25956512,10.36456479,89.74043488,89.63543521,18.62947164,18.62947164,47.74503336,46.67294134,60.3552326,60.71904902
134,46175,GENBANK,38,F260526,CIAT33726,Desmodium,sandwicense,Desmodium sandwicense,Fabaceae,Fabales,Herbaceous,93.61255498,,10.46956446,,89.53043554,,18.62947164,,45.60084931,,61.08286545,
135,46175,GENBANK,38,F260532,CIAT13930,Desmodium,glabrum,Desmodium glabrum,Fabaceae,Fabales,Shurb_Tree,92.05238428,92.04278551,13.6091515,12.47901379,86.3908485,87.52098621,21.40096477,21.40096477,20.32296725,25.07469314,34.78071124,35.38043422
136,46175,GENBANK,38,F260532,CIAT13930,Desmodium,glabrum,Desmodium glabrum,Fabaceae,Fabales,Shurb_Tree,92.03318673,,11.34887608,,88.65112392,,21.40096477,,29.82641902,,35.9801572,
137,46175,GENBANK,38,F260533,CIAT21082,Flemingia,stricta,Flemingia stricta,Fabaceae,Fabales,Shurb_Tree,94.50054995,94.50554945,9.511717717,10.56446067,90.48828228,89.43553933,20.13658223,20.13658223,46.96807716,52.50366549,66.55727155,64.91425484
138,46175,GENBANK,38,F260533,CIAT21082,Flemingia,stricta,Flemingia stricta,Fabaceae,Fabales,Shurb_Tree,94.51054895,,11.61720362,,88.38279638,,20.13658223,,58.03925382,,63.27123813,
139,46175,GENBANK,38,F260535,CIAT21091,Flemingia,stricta,Flemingia stricta,Fabaceae,Fabales,Shurb_Tree,92.10078992,92.10578942,8.131140422,9.933235629,91.86885958,90.06676437,19.58941744,19.58941744,54.8528069,54.65959391,70.90077473,70.86102497
140,46175,GENBANK,38,F260535,CIAT21091,Flemingia,stricta,Flemingia stricta,Fabaceae,Fabales,Shurb_Tree,92.11078892,,11.73533084,,88.26466916,,19.58941744,,54.46638091,,70.82127521,
141,46175,GENBANK,38,F260536,CIAT21115,Flemingia,lineata,Flemingia lineata,Fabaceae,Fabales,Shurb_Tree,92.4315137,92.46075685,7.926102428,7.591617661,92.07389757,92.40838234,19.32295278,19.32295278,58.81850012,54.14426941,63.99562858,64.50227528
142,46175,GENBANK,38,F260536,CIAT21115,Flemingia,lineata,Flemingia lineata,Fabaceae,Fabales,Shurb_Tree,92.49,,7.257132895,,92.74286711,,19.32295278,,49.47003871,,65.00892197,
143,46175,GENBANK,38,F261034,CIAT8539,Canavalia,grandiflora,Canavalia grandiflora,Fabaceae,Fabales,Climber,93.28,93.245,11.80751766,11.7688094,88.19248234,88.2311906,11.4225443,11.26305767,35.90677992,36.25418795,50.49528056,50.86223067
144,46175,GENBANK,38,F261034,CIAT8539,Canavalia,grandiflora,Canavalia grandiflora,Fabaceae,Fabales,Climber,93.21,,11.73010114,,88.26989886,,11.10357104,,36.60159598,,51.22918078,
145,46175,GENBANK,38,F261036,CIAT8589,Galactia,jussiaeana,Galactia jussiaeana,Fabaceae,Fabales,Climber,94.49220312,94.3519698,9.227700716,9.228161963,90.77229928,90.77183804,16.09364861,16.52147671,37.88586739,38.86014373,52.62421271,53.10447383
146,46175,GENBANK,38,F261036,CIAT8589,Galactia,jussiaeana,Galactia jussiaeana,Fabaceae,Fabales,Climber,94.21173648,,9.22862321,,90.77137679,,16.94930481,,39.83442007,,53.58473495,
147,46175,GENBANK,38,F261087,CIAT18701,Cajanus,cajan,Cajanus cajan,Fabaceas,Fabales,Arbustivas,92.06,92.04,7.49,7.49,92.51,92.51,26.94,27.125,40.83,40.7,62.05,61.335
148,46175,GENBANK,38,F261087,CIAT18701,Cajanus,cajan,Cajanus cajan,Fabaceas,Fabales,Arbustivas,92.02,,7.49,,92.51,,27.31,,40.57,,60.62,
149,46175,JACOBO ARANGO/ ALEJANDRO MONTOYA,38,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,0,93.64063594,93.73093584,11.32941805,11.41385651,88.67058195,88.58614349,13.1,13.1,37.8,37.75,76.05,76.05
150,46175,JACOBO ARANGO/ ALEJANDRO MONTOYA,38,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,0,93.82123575,,11.49829497,,88.50170503,,13.1,,37.7,,76.05,
151,46203,BREEDING,39,F262903,CIAT_BR04_3025_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,93.46,93.4509837,9.202685364,9.11037588,90.79731464,90.88962412,10.18627873,10.31936445,27.59415488,27.69442743,60.08348149,60.40561002
152,46203,BREEDING,39,F262903,CIAT_BR04_3025_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,93.44196741,,9.018066396,,90.9819336,,10.45245017,,27.79469999,,60.72773854,
153,46203,BREEDING,39,F262904,CIAT_BR02_1752_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,93.67189843,93.81215873,8.82350098,8.75912796,91.17649902,91.24087204,10.56789396,10.58816884,32.59388005,32.45984265,64.72642717,64.6125337
154,46203,BREEDING,39,F262904,CIAT_BR02_1752_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,93.95241903,,8.694754939,,91.30524506,,10.60844371,,32.32580525,,64.49864024,
155,46203,BREEDING,39,F262905,CIAT_CIAT_606_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.17233107,94.18203677,6.24073246,6.304731713,93.75926754,93.69526829,8.765612879,8.749963328,34.45658076,34.4970357,69.93776597,69.70939571
156,46203,BREEDING,39,F262905,CIAT_CIAT_606_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.19174248,,6.368730965,,93.63126903,,8.734313777,,34.53749064,,69.48102544,
157,46203,BREEDING,39,F262906,CIAT_BR02_1794_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,93.83246701,93.89183839,8.527681872,8.267648098,91.47231813,91.7323519,8.503839283,8.422592411,27.21616857,27.00382197,59.28609181,58.79957024
158,46203,BREEDING,39,F262906,CIAT_BR02_1794_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,93.95120976,,8.007614325,,91.99238567,,8.341345539,,26.79147536,,58.31304866,
159,46203,0,39,F262907,CIAT_CIAT_6294_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.31170649,94.32142013,9.401194115,9.353964415,90.59880589,90.64603559,9.105191631,9.143980408,26.50325686,26.73031066,58.80066062,59.14899612
160,46203,0,39,F262907,CIAT_CIAT_6294_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.33113377,,9.306734715,,90.69326528,,9.182769185,,26.95736446,,59.49733163,
161,46203,0,39,F262908,CIAT_Mulato_II_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,93.87061294,93.9162122,7.931809536,7.728769278,92.06819046,92.27123072,13.19858748,13.11082267,28.45412152,29.03203201,64.5426841,65.31077578
162,46203,0,39,F262908,CIAT_Mulato_II_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,93.96181146,,7.52572902,,92.47427098,,13.02305786,,29.6099425,,66.07886747,
163,46203,0,39,F262909,CIAT_BR04_3025_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.41055894,94.39527947,9.533421735,9.518007781,90.46657827,90.48199222,12.1705363,12.13870702,29.81770843,29.67000916,66.14544191,66.03882354
164,46203,0,39,F262909,CIAT_BR04_3025_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.38,,9.502593827,,90.49740617,,12.10687774,,29.52230988,,65.93220517,
165,46203,0,39,F262910,CIAT_BR02_1752_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.01179646,94.0661922,11.87105563,11.87224262,88.12894437,88.12775738,16.02633443,16.1031659,24.89871823,24.91284552,56.65865546,56.7078906
166,46203,0,39,F262910,CIAT_BR02_1752_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.12058794,,11.8734296,,88.1265704,,16.17999736,,24.92697282,,56.75712575,
167,46203,0,39,F262911,CIAT_CIAT_606_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.47221112,94.49110556,10.67398413,10.70257645,89.32601587,89.29742355,16.18455905,16.17214141,26.26709651,26.22146302,59.15566235,59.17041639
168,46203,0,39,F262911,CIAT_CIAT_606_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.51,,10.73116876,,89.26883124,,16.15972376,,26.17582952,,59.18517043,
169,46203,0,39,F262912,CIAT_BR02_1794_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.56054395,94.22527197,11.80032477,11.96010775,88.19967523,88.03989225,18.10916065,18.0256213,24.38779188,24.41657901,54.53878521,54.34106669
170,46203,0,39,F262912,CIAT_BR02_1794_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,93.89,,12.11989073,,87.88010927,,17.94208194,,24.44536613,,54.14334817,
171,46203,0,39,F262913,CIAT_CIAT_6294_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,93.9,93.92030297,11.93565145,11.76471456,88.06434855,88.23528544,17.48308499,17.51994466,26.96655477,26.88115727,56.54269144,56.473915
172,46203,0,39,F262913,CIAT_CIAT_6294_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,93.94060594,,11.59377767,,88.40622233,,17.55680434,,26.79575976,,56.40513856,
173,46203,0,39,F262914,CIAT_Mulato_II_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.07237105,93.71151799,11.26411984,11.31915919,88.73588016,88.68084081,17.67999548,17.7220256,25.01537986,25.06384967,56.11668299,56.17438095
174,46203,0,39,F262914,CIAT_Mulato_II_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,93.35066493,,11.37419853,,88.62580147,,17.76405572,,25.11231949,,56.23207891,
175,46203,0,39,F262915,CIAT-BR04_2515,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.76052395,94.71579487,12.43596396,12.34561808,87.56403604,87.65438192,15.19219097,15.31244947,29.29991746,29.64266015,62.99150273,63.67020147
176,46203,0,39,F262915,CIAT-BR04_2515,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.67106579,,12.25527219,,87.74472781,,15.43270797,,29.98540285,,64.34890022,
177,46203,0,39,F262916,CIAT-BR05_931,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.17174848,94.29115371,12.6591081,12.64976949,87.3408919,87.35023051,16.60607878,16.54367029,25.77517849,26.07218311,58.23312644,58.68627775
178,46203,0,39,F262916,CIAT-BR05_931,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.41055894,,12.64043089,,87.35956911,,16.4812618,,26.36918772,,59.13942906,
179,46203,BREEDING,39,F262917,CIAT-BR09_5252,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.19058094,94.27585436,10.9030803,10.77527467,89.0969197,89.22472533,15.08710495,15.3154047,26.65140597,26.83813474,56.38735729,57.18136727
180,46203,BREEDING,39,F262917,CIAT-BR09_5252,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.36112777,,10.64746904,,89.35253096,,15.54370446,,27.02486351,,57.97537725,
181,46203,BREEDING,"39, 43",F262918,CIAT-BR12_1176,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,93.88122376,93.89183139,12.13920347,12.21783725,87.86079653,87.78216275,16.79820497,16.74044864,26.57951291,26.48287387,57.41887989,57.00335574
182,46203,BREEDING,"39, 43",F262918,CIAT-BR12_1176,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,93.90243902,,12.29647103,,87.70352897,,16.68269232,,26.38623482,,56.58783159,
183,46203,BREEDING,39,F262919,CIAT-BR12_1280,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.94202319,94.94676887,12.34935113,12.42367182,87.65064887,87.57632818,19.12980479,18.84591573,22.08754707,22.11562009,51.41787713,51.52359261
184,46203,BREEDING,39,F262919,CIAT-BR12_1280,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.95151455,,12.49799252,,87.50200748,,18.56202668,,22.1436931,,51.6293081,
185,46203,BREEDING,39,F262920,CIAT-BR12_1282,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.56163151,94.66581576,12.1232326,11.945472,87.8767674,88.054528,14.70901179,14.74515187,27.19354567,26.9993608,57.2054376,56.73716373
186,46203,BREEDING,39,F262920,CIAT-BR12_1282,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.77,,11.76771141,,88.23228859,,14.78129194,,26.80517592,,56.26888985,
187,46203,BREEDING,39,F262921,CIAT-BR12_1325,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.85154454,94.89577227,12.68379907,12.7752736,87.31620093,87.2247264,16.27557897,16.40332106,27.49714496,27.468445,58.35904128,58.30461311
188,46203,BREEDING,39,F262921,CIAT-BR12_1325,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.94,,12.86674813,,87.13325187,,16.53106314,,27.43974503,,58.25018494,
189,46203,BREEDING,"39,43",F262922,CIAT-BR12_1399,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,95.5813256,95.16092577,11.89207117,11.87749906,88.10792883,88.12250094,15.83721688,15.64732664,27.90756393,27.90090574,59.12691374,59.7877476
190,46203,BREEDING,"39,43",F262922,CIAT-BR12_1399,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.74052595,,11.86292695,,88.13707305,,15.4574364,,27.89424755,,60.44858146,
191,46203,BREEDING,"39,43",F262923,CIAT-BR12_1418,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,93.80123975,93.81623675,11.97847285,12.02110087,88.02152715,87.97889913,16.30056637,16.26690754,28.43278721,28.31298906,60.41655629,60.12007872
192,46203,BREEDING,"39,43",F262923,CIAT-BR12_1418,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,93.83123375,,12.06372889,,87.93627111,,16.23324871,,28.19319091,,59.82360114,
193,46203,BREEDING,"39,43",F262924,CIAT-BR12_1509,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.60053995,94.64133355,13.82978308,13.81186646,86.17021692,86.18813354,16.55095464,16.01450654,27.8315331,27.69549064,57.29885818,57.26189236
194,46203,BREEDING,"39,43",F262924,CIAT-BR12_1509,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.68212715,,13.79394985,,86.20605015,,15.47805845,,27.55944818,,57.22492653,
195,46203,BREEDING,39,F262925,CIAT-BR12_1535,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.69053095,94.82127507,10.9985413,10.95999539,89.0014587,89.04000461,15.74901752,15.64992687,27.4896258,27.39691227,57.31218426,57.13439249
196,46203,BREEDING,39,F262925,CIAT-BR12_1535,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.95201919,,10.92144948,,89.07855052,,15.55083623,,27.30419875,,56.95660072,
197,46203,BREEDING,39,F262926,CIAT-BR12_1685,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.65053495,94.66106673,13.03467893,12.95416958,86.96532107,87.04583042,14.69508901,14.64552873,27.63499761,27.50620592,56.60132539,56.80848219
198,46203,BREEDING,39,F262926,CIAT-BR12_1685,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.67159852,,12.87366023,,87.12633977,,14.59596845,,27.37741422,,57.01563899,
199,46203,BREEDING,39,F262927,CIAT-BR12_1844,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.27229108,94.19614554,12.89345957,13.0446643,87.10654043,86.9553357,13.49175651,13.39494278,27.68594904,27.76488402,58.7304998,58.73985746
200,46203,BREEDING,39,F262927,CIAT-BR12_1844,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.12,,13.19586903,,86.80413097,,13.29812905,,27.843819,,58.74921512,
201,46203,BREEDING,39,F262928,CIAT-BR12_1888,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,93.6,93.65031497,14.10566532,14.0836062,85.89433468,85.9163938,17.12071893,16.78103664,27.69873685,27.81473219,57.95430256,58.01209414
202,46203,BREEDING,39,F262928,CIAT-BR12_1888,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,93.70062994,,14.06154708,,85.93845292,,16.44135435,,27.93072754,,58.06988571,
203,46203,BREEDING,39,F262929,CIAT-BR12_1939,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.50054995,94.50027497,12.49606853,12.41732848,87.50393147,87.58267152,15.49651466,15.35135189,27.43447125,27.67906348,58.36414722,58.62635101
204,46203,BREEDING,39,F262929,CIAT-BR12_1939,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.5,,12.33858844,,87.66141156,,15.20618913,,27.92365571,,58.88855481,
205,46203,BREEDING,39,F262930,CIAT-BR12_2243,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.79,94.86025347,13.08240232,13.11864096,86.91759768,86.88135904,15.05706794,15.20174682,26.07452359,25.97717083,62.40027663,61.70235794
206,46203,BREEDING,39,F262930,CIAT-BR12_2243,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,94.93050695,,13.15487959,,86.84512041,,15.34642569,,25.87981808,,61.00443924,
207,46203,BREEDING,39,F262931,CIAT-BR12_2254,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,92.09158168,92.13657269,13.36878086,13.52069882,86.63121914,86.47930118,13.29564648,13.04536823,27.66682487,27.70012051,61.28920296,62.68923608
208,46203,BREEDING,39,F262931,CIAT-BR12_2254,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,92.18156369,,13.67261679,,86.32738321,,12.79508998,,27.73341615,,64.0892692,
209,46203,BREEDING,39,F262932,CIAT-BR12_2255,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,93.29268293,93.30201033,13.92767641,13.99336333,86.07232359,86.00663667,17.68525554,17.53661496,26.71763128,26.19932973,61.33079027,61.97568213
210,46203,BREEDING,39,F262932,CIAT-BR12_2255,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,93.31133773,,14.05905026,,85.94094974,,17.38797439,,25.68102818,,62.62057398,
211,46203,BREEDING,39,F262933,CIAT-BR12_2305,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,92.1723483,92.1823453,13.27404837,13.25235875,86.72595163,86.74764125,16.1982489,16.30102711,26.89587776,27.04657825,62.26805371,61.51102652
212,46203,BREEDING,39,F262933,CIAT-BR12_2305,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,92.1923423,,13.23066912,,86.76933088,,16.40380532,,27.19727874,,60.75399933,
213,46203,BREEDING,39,F262934,CIAT-BR12_2316,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,93.08207538,93.08103769,12.27593967,12.28852439,87.72406033,87.71147561,12.9542686,13.1051899,28.91479776,28.99669516,65.49178047,64.92236337
214,46203,BREEDING,39,F262934,CIAT-BR12_2316,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,93.08,,12.3011091,,87.6988909,,13.25611119,,29.07859256,,64.35294628,
215,46203,BREEDING,39,F262935,CIAT-BR12_2367,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,92.90141972,92.94641072,13.30608293,13.30070457,86.69391707,86.69929543,17.0583126,16.9554593,23.95439242,24.03300718,59.95728005,59.76182417
