10_sample_serial_no,10_date,10_requisitioner,10_set_ciat,10_ciat_lab_id,10_gene_bank_breeding_program_id,10_genus,10_species,10_tax_name,10_family,10_order,10_functional_group,10_batches_ciat,10_id_lab,10_observaciones
33,46175,GENBANK,38,F263148,CIAT18631,Dioclea,crenata,Dioclea crenata,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),
34,46175,GENBANK,38,F263177,IAG 2026 S1,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,"89,90,91",OT-029(2026) AGES,AGES
35,46175,GENBANK,38,F263178,IAG 2026 S2,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,"89,90,91",OT-029(2026) AGES,AGES
36,46175,GENBANK,38,F263149,CIAT22303,Macrotyloma,axillare,Macrotyloma axillare,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),
37,46175,GENBANK,38,F263150,CIAT18633,Dioclea,crenata,Dioclea crenata,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),
38,46175,GENBANK,38,F263151,CIAT21134,Cajanus,goensis,Cajanus goensis,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),
39,46175,GENBANK,38,F263152,CIAT21433,Calopogonium,galactioides,Calopogonium galactioides,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),
40,46175,GENBANK,38,F263153,CIAT21475,Rhynchosia,phaseoloides,Rhynchosia phaseoloides,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),
41,46175,GENBANK,38,F263154,CIAT21951,Pueraria,montana,Pueraria montana,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),
42,46175,GENBANK,38,F263155,CIAT25213,Centrosema,brachypodum,Centrosema brachypodum,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),
43,46175,GENBANK,38,F263156,CIAT32229,Calopogonium,galactioides,Calopogonium galactioides,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),
44,46175,GENBANK,38,F263157,CIAT8206,Desmanthus,leptophyllus,Desmanthus leptophyllus,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),
45,46175,GENBANK,38,F263158,CIAT8886,Zornia,myriadena,Zornia myriadena,Fabaceae,Fabales,Herbaceous,"89,90,91",OT-028(2026),
46,46175,GENBANK,38,F263159,CIAT13701,Pseudarthria,viscida,Pseudarthria viscida,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),
47,46175,GENBANK,38,F263160,CIAT18859,Pseudarthria,hookeri,Pseudarthria hookeri,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),
48,46175,GENBANK,38,F263161,CIAT19661,Pseudarthria,hookeri,Pseudarthria hookeri,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),
49,46175,GENBANK,38,F263162,CIAT20129,Desmanthus,leptophyllus,Desmanthus leptophyllus,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),
50,46175,GENBANK,38,F263163,CIAT20386,Desmanthus,leptophyllus,Desmanthus leptophyllus,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),
51,46175,GENBANK,38,F263164,CIAT21286,Pseudarthria,hookeri,Pseudarthria hookeri,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),
52,46175,GENBANK,38,F263165,CIAT22500,Desmanthus,fruticosus,Desmanthus fruticosus,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),
53,46175,GENBANK,38,F263166,CIAT22501,Desmanthus,covillei,Desmanthus covillei,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),
54,46175,GENBANK,38,F263167,CIAT22571,Desmanthus,covillei,Desmanthus covillei,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),
55,46175,GENBANK,38,F263168,CIAT22572,Desmanthus,covillei,Desmanthus covillei,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),
56,46175,GENBANK,38,F263177,IAG 2026 S1,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,Green Meal,"89,90,91",Green Meal,AGES
57,46175,GENBANK,38,F263178,IAG 2026 S2,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,Compound feed,"89,90,91",Compound feed,AGES
58,46175,GENBANK,38,F263169,CIAT22574,Desmanthus,fruticosus,Desmanthus fruticosus,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),
59,46175,GENBANK,38,F263170,CIAT8529,Mimosa,albolanata,Mimosa albolanata,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),
60,46175,GENBANK,38,F263171,CIAT33510,Phyllodium,pulchellum,Phyllodium pulchellum,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),
61,46175,GENBANK,38,F263172,CIAT33499,Phyllodium,pulchellum,Phyllodium pulchellum,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),
62,46175,GENBANK,38,F263173,CIAT23111,Phyllodium,elegans,Phyllodium elegans,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),
63,46175,GENBANK,38,F263174,CIAT23110,Phyllodium,elegans,Phyllodium elegans,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),
64,46175,GENBANK,38,F263175,CIAT9360,Clitoria,falcata,Clitoria falcata,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),
65,46175,GENBANK,38,F263176,CIAT21292,Canavalia,Gladiata,Canavalia Gladiata,Fabaceae,Fabales,Herbaceous_climber,"89,90,91",OT-028(2026),
66,46175,GENBANK,38,F260521,CIAT23035,Desmodium,laxiflorum,Desmodium laxiflorum,Fabaceae,Fabales,Herbaceous,"89,90,91",OT-006,
67,46175,GENBANK,38,F260526,CIAT33726,Desmodium,sandwicense,Desmodium sandwicense,Fabaceae,Fabales,Herbaceous,"89,90,91",OT-006,
68,46175,GENBANK,38,F260532,CIAT13930,Desmodium,glabrum,Desmodium glabrum,Fabaceae,Fabales,Shurb_Tree,"89,90,91",OT-006,
69,46175,GENBANK,38,F260533,CIAT21082,Flemingia,stricta,Flemingia stricta,Fabaceae,Fabales,Shurb_Tree,"89,90,91",OT-006,
70,46175,GENBANK,38,F260535,CIAT21091,Flemingia,stricta,Flemingia stricta,Fabaceae,Fabales,Shurb_Tree,"89,90,91",OT-006,
71,46175,GENBANK,38,F260536,CIAT21115,Flemingia,lineata,Flemingia lineata,Fabaceae,Fabales,Shurb_Tree,"89,90,91",OT-006,
72,46175,GENBANK,38,F261034,CIAT8539,Canavalia,grandiflora,Canavalia grandiflora,Fabaceae,Fabales,Climber,"89,90,91",OT-017,
73,46175,GENBANK,38,F261036,CIAT8589,Galactia,jussiaeana,Galactia jussiaeana,Fabaceae,Fabales,Climber,"89,90,91",OT-017,
74,46175,GENBANK,38,F261087,CIAT18701,Cajanus,cajan,Cajanus cajan,Fabaceas,Fabales,Arbustivas,"89,90,91",OT-020,
75,46175,JACOBO ARANGO/ ALEJANDRO MONTOYA,38,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,,"89,90,91",OT-001(2025),
76,46203,BREEDING,39,F262903,CIAT_BR04_3025_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
77,46203,BREEDING,39,F262904,CIAT_BR02_1752_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
78,46203,BREEDING,39,F262905,CIAT_CIAT_606_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
79,46203,BREEDING,39,F262906,CIAT_BR02_1794_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
80,46203,BREEDING,39,F262907,CIAT_CIAT_6294_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
81,46203,BREEDING,39,F262908,CIAT_Mulato_II_Llan,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
82,46203,BREEDING,39,F262909,CIAT_BR04_3025_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
83,46203,BREEDING,39,F262910,CIAT_BR02_1752_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
84,46203,BREEDING,39,F262911,CIAT_CIAT_606_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
85,46203,BREEDING,39,F262912,CIAT_BR02_1794_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
86,46203,BREEDING,39,F262913,CIAT_CIAT_6294_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
87,46203,BREEDING,39,F262914,CIAT_Mulato_II_Qu,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
