10_sample_serial_no,10_date,10_requisitioner,10_set_ciat,10_ciat_lab_id,10_gene_bank_breeding_program_id,10_genus,10_species,10_tax_name,10_family,10_order,10_functional_group,10_batches_ciat,10_id_lab,10_observaciones
161,46252,BREEDING,41,F262969,CIAT-BR15_378,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
162,46252,BREEDING,41,F262970,CIAT-BR15_3810,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
163,46252,BREEDING,41,F262971,CIAT-BR15_395,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,Bach 98 reemplazado por Bach 105 (set 43)
164,46252,BREEDING,41,F262972,CIAT-BR15_4368,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
165,46252,BREEDING,41,F262973,CIAT-BR15_4442,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
166,46252,BREEDING,41,F262974,CIAT-BR15_4483,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,"Bach 98, 99 reemplazado por Bach 104,105 (set 43)"
167,46252,BREEDING,41,F262975,CIAT-BR15_503,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
168,46252,BREEDING,41,F262976,CIAT-BR15_5152,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
169,46252,BREEDING,41,F262977,CIAT-BR15_5232,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
170,46252,BREEDING,41,F262978,CIAT-BR15_58,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
171,46252,BREEDING,41,F262979,CIAT-BR15_60,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
172,46252,BREEDING,41,F262980,CIAT-BR15_6346,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
173,46252,BREEDING,41,F262981,CIAT-BR15_6401,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
174,46252,BREEDING,41,F262982,CIAT-BR15_6402,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,Bach 99 reemplazado por Bach 105 (set 43)
175,46252,BREEDING,41,F262983,CIAT-BR15_6434,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
176,46252,BREEDING,41,F262984,CIAT-BR15_6504,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
177,46252,BREEDING,41,F262985,CIAT-BR15_6508,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
178,46252,BREEDING,41,F262986,CIAT-BR15_6543,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
179,46252,BREEDING,41,F262987,CIAT-BR15_6571,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
180,46252,BREEDING,41,F262988,CIAT-BR15_6590,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
181,46252,BREEDING,41,F262989,CIAT-BR15_6758,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
182,46252,BREEDING,41,F262990,CIAT-BR15_7006,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
183,46252,BREEDING,41,F262991,CIAT-BR15_7316,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
184,46252,BREEDING,41,F262992,CIAT-BR15_7318,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
185,46252,BREEDING,41,F262993,CIAT-BR15_757,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
186,46252,BREEDING,41,F262994,CIAT-BR15_780,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
187,46252,BREEDING,41,F262995,CIAT-BR15_800,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
188,46252,BREEDING,41,F262996,CIAT-BR15_823,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
189,46252,BREEDING,41,F262997,CIAT-BR15_8529,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
190,46252,BREEDING,41,F262998,CIAT-BR15_8650,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,Bach 99 reemplazado por Bach 104 (set 43)
191,46252,BREEDING,41,F262999,CIAT-BR15_8756,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
192,46252,BREEDING,41,F263000,CIAT-BR15_8881,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
193,46252,BREEDING,41,F263001,CIAT-BR15_8905,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
194,46252,BREEDING,41,F263002,CIAT-BR15_8976,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
195,46252,BREEDING,41,F263003,CIAT-BR15_9125,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
196,46252,BREEDING,41,F263004,CIAT-BR15_9141,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
197,46252,BREEDING,41,F263005,CIAT-BR15_9142,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
198,46252,BREEDING,41,F263006,CIAT-BR15_972,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
199,46252,BREEDING,41,F263007,CIAT-BR19_1033,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
200,46252,BREEDING,41,F263008,CIAT-BR19_113,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
201,46252,BREEDING,41,F263009,CIAT-BR19_1444,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
202,46252,BREEDING,41,F263010,CIAT-BR19_1583,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,Bach 98 reemplazado por Bach 105 (set 43)
203,46252,BREEDING,41,F263011,CIAT-BR19_166,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
204,46252,BREEDING,41,F263012,CIAT-BR19_1727,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
205,46252,BREEDING,41,F263013,CIAT-BR19_1783,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
206,46252,BREEDING,41,F263014,CIAT-BR19_1793,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
207,46252,BREEDING,41,F263015,CIAT-BR19_1806,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
208,46252,BREEDING,41,F263016,CIAT-BR19_2001,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
209,46252,BREEDING,41,F263017,CIAT-BR19_21,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
210,46252,BREEDING,41,F263018,CIAT-BR19_2124,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
211,46252,BREEDING,41,F263019,CIAT-BR19_2287,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
212,46252,BREEDING,41,F263020,CIAT-BR19_231,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"98,99,100",OT-025,
213,46252,JUAN CARDOSO,41,F263376, CIAT 17009,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceas,Fabales,Trepadoras,"98,99,100",OT-037,
214,46252,JUAN CARDOSO,41,F263377,CIAT 17462,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceas,Fabales,Trepadoras,"98,99,100",OT-037,
215,46252,JUAN CARDOSO,41,F263378,CIAT 13953,Desmodium,velutinum,Desmodium velutinum,Fabaceas,Fabales,Arbustivas,"98,99,100",OT-037,
216,46252,JUAN CARDOSO,41,F263379,CIAT 9432,Clitoria,tertanea,Clitoria tertanea,Fabaceas,Fabales,Trepadoras,"98,99,100",OT-037,
217,46252,JUAN CARDOSO,41,F263380,CIAT 17768,Clitoria,tertanea,Clitoria tertanea,Fabaceas,Fabales,Trepadoras,"98,99,100",OT-037,
218,46252,JUAN CARDOSO,41,F263381,CIAT 22768,Lablab,purpureus,Lablab purpureus,Fabaceas,Fabales,Trepadoras,"98,99,100",OT-037,
219,46252,JUAN CARDOSO,41,F263382,CIAT 22598,Lablab,purpureus,Lablab purpureus,Fabaceas,Fabales,Trepadoras,"98,99,100",OT-037,
220,46252,JUAN CARDOSO,41,F263383,CIAT 18701,Cajanus,cajan,Cajanus cajan,Fabaceas,Fabales,Arbustivas,"98,99,100",OT-037,
221,46252,JUAN CARDOSO,41,F263384,CIAT 20891,Cajanus,cajan,Cajanus cajan,Fabaceas,Fabales,Arbustivas,"98,99,100",OT-037,
222,46252,JUAN CARDOSO,41,F263385,CIAT 15551,Centrosema ,molle,Centrosema molle,Fabaceas,Fabales,Trepadoras,"98,99,100",OT-037,
223,46252,JUAN CARDOSO,41,F263386,CIAT 13953,Desmodium,velutinum,Desmodium velutinum,Fabaceas,Fabales,Arbustivas,"98,99,100",OT-037,
224,46252,JUAN CARDOSO,41,F263387,CIAT 15551,Centrosema ,molle,Centrosema molle,Fabaceas,Fabales,Trepadoras,"98,99,100",OT-037,
225,46252,JACOBO ARANGO/ ALEJANDRO MONTOYA,41,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,,"98,99,100",OT-001(2025)  ,
226,46267,JACOBO ARANGO/ ALEJANDRO MONTOYA,42,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,,101102103,OT-001(2025)  ,
227,46267,BREEDING,42,F263021,CIAT-BR19_2329,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
228,46267,BREEDING,42,F263022,CIAT-BR19_244,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
229,46267,BREEDING,42,F263023,CIAT-BR19_247,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
230,46267,BREEDING,42,F263024,CIAT-BR19_2520,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
231,46267,BREEDING,42,F263025,CIAT-BR19_2632,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
232,46267,BREEDING,42,F263026,CIAT-BR19_2734,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
233,46267,BREEDING,42,F263027,CIAT-BR19_2789,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
234,46267,BREEDING,42,F263028,CIAT-BR19_2958,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
235,46267,BREEDING,42,F263029,CIAT-BR19_300,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
236,46267,BREEDING,42,F263030,CIAT-BR19_3048,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
237,46267,BREEDING,42,F263031,CIAT-BR19_3107,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
238,46267,BREEDING,42,F263032,CIAT-BR19_325,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
239,46267,BREEDING,42,F263033,CIAT-BR19_3294,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
240,46267,BREEDING,42,F263034,CIAT-BR19_3334,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
241,46267,BREEDING,42,F263035,CIAT-BR19_3677,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
242,46267,BREEDING,42,F263036,CIAT-BR19_3786,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
243,46267,BREEDING,42,F263037,CIAT-BR19_388,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
244,46267,BREEDING,42,F263038,CIAT-BR19_39,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
245,46267,BREEDING,42,F263039,CIAT-BR19_3918,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
246,46267,BREEDING,42,F263040,CIAT-BR19_3959,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
247,46267,BREEDING,42,F263041,CIAT-BR19_396,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
248,46267,BREEDING,42,F263042,CIAT-BR19_405,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
249,46267,BREEDING,42,F263043,CIAT-BR19_4253,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
250,46267,BREEDING,42,F263044,CIAT-BR19_4423,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
251,46267,BREEDING,42,F263045,CIAT-BR19_4439,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
252,46267,JACOBO ARANGO/ ALEJANDRO MONTOYA,42,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,,101102103,OT-001(2025)  ,
253,46267,BREEDING,42,F263046,CIAT-BR19_4440,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
254,46267,BREEDING,42,F263047,CIAT-BR19_4529,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
255,46267,BREEDING,42,F263048,CIAT-BR19_4581,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
256,46267,BREEDING,42,F263049,CIAT-BR19_4988,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
257,46267,BREEDING,42,F263050,CIAT-BR19_5055,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
258,46267,BREEDING,42,F263051,CIAT-BR19_5057,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
259,46267,BREEDING,42,F263052,CIAT-BR19_5178,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
260,46267,BREEDING,42,F263053,CIAT-BR19_5273,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
261,46267,BREEDING,42,F263054,CIAT-BR19_5348,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
262,46267,BREEDING,42,F263055,CIAT-BR19_5615,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
263,46267,BREEDING,42,F263056,CIAT-BR19_5751,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
264,46267,BREEDING,42,F263057,CIAT-BR19_5898,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
265,46267,BREEDING,42,F263058,CIAT-BR19_6068,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
266,46267,BREEDING,42,F263059,CIAT-BR19_6160,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
267,46267,BREEDING,42,F263060,CIAT-BR19_6352,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
268,46267,BREEDING,42,F263061,CIAT-BR19_6397,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
269,46267,BREEDING,42,F263062,CIAT-BR19_6400,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
270,46267,BREEDING,42,F263063,CIAT-BR19_6868,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
271,46267,BREEDING,42,F263064,CIAT-BR19_6984,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
272,46267,BREEDING,42,F263065,CIAT-BR19_811,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
273,46267,BREEDING,42,F263066,CIAT-BR19_818,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
274,46267,BREEDING,42,F263067,CIAT-BR19_95,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
275,46267,BREEDING,42,F263068,CIAT-CIAT_16320,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
276,46267,BREEDING,42,F263069,CIAT-CIAT_6387,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
277,46267,BREEDING,42,F263070,CIAT-CIAT_6780,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
278,46267,BREEDING,42,F263071,CIAT-GP_3207,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
279,46267,BREEDING,42,F263072,CIAT-Mavuno,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-025,
280,46267,ISABEL MOLINA,42,F264574,Cayman Br02_1752_ Exp VII_ Gramíneas,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-042,
281,46267,ISABEL MOLINA,42,F264575,Estrella_ Exp VII_ Gramíneas,Cynodon,nlenfuensis,Cynodon nlemfuensis, Poaceae,Poales,,101102103,OT-042,
282,46267,ISABEL MOLINA,42,F264576,Mulato Br02_1752 _Exp VII_ Gramíneas,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,101102103,OT-042,
283,46267,ISABEL MOLINA,42,F264577,Heno Estrella,Cynodon,nlenfuensis,Cynodon nlemfuensis, Poaceae,Poales,,101102103,OT-042,
284,46267,ISABEL MOLINA,42,F264578,Heno Estrella,Cynodon,nlenfuensis,Cynodon nlemfuensis, Poaceae,Poales,,101102103,OT-042,
285,46267,JUAN CARDOSO,42,F264724, CIAT 17009,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceas,Fabales,Trepadoras,101102103,OT-046,
286,46267,JUAN CARDOSO,42,F264725,CIAT 17462,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceas,Fabales,Trepadoras,101102103,OT-046,
287,46267,JUAN CARDOSO,42,F264726,CIAT 13953,Desmodium,velutinum,Desmodium velutinum,Fabaceas,Fabales,Arbustivas,101102103,OT-046,
288,46267,JUAN CARDOSO,42,F264727,CIAT 9432,Clitoria,tertanea,Clitoria tertanea,Fabaceas,Fabales,Trepadoras,101102103,OT-046,
289,46267,JUAN CARDOSO,42,F264728,CIAT 17768,Clitoria,tertanea,Clitoria tertanea,Fabaceas,Fabales,Trepadoras,101102103,OT-046,
290,46267,JUAN CARDOSO,42,F264729,CIAT 22768,Lablab,purpureus,Lablab purpureus,Fabaceas,Fabales,Trepadoras,101102103,OT-046,
291,46267,JUAN CARDOSO,42,F264730,CIAT 22598,Lablab,purpureus,Lablab purpureus,Fabaceas,Fabales,Trepadoras,101102103,OT-046,
292,46267,JUAN CARDOSO,42,F264731,CIAT 18701,Cajanus,cajan,Cajanus cajan,Fabaceas,Fabales,Arbustivas,101102103,OT-046,
293,46267,JUAN CARDOSO,42,F264732,CIAT 20891,Cajanus,cajan,Cajanus cajan,Fabaceas,Fabales,Arbustivas,101102103,OT-046,
294,46267,JUAN CARDOSO,42,F264733,CIAT 15551,Centrosema ,molle,Centrosema molle,Fabaceas,Fabales,Trepadoras,101102103,OT-046,
295,46267,JUAN CARDOSO,42,F264734, CIAT 17009,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceas,Fabales,Trepadoras,101102103,OT-046,
296,46267,JUAN CARDOSO,42,F264735,CIAT 17462,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceas,Fabales,Trepadoras,101102103,OT-046,
297,46267,JUAN CARDOSO,42,F264736, CIAT 17009,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceas,Fabales,Trepadoras,101102103,OT-046,
298,46267,JUAN CARDOSO,42,F264737,CIAT 17462,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceas,Fabales,Trepadoras,101102103,OT-046,
299,46267,JACOBO ARANGO/ ALEJANDRO MONTOYA,42,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,,101102103,OT-001(2025)  ,
