10_sample_serial_no,10_date,10_requisitioner_1,10_requisitioner_2,10_set_ciat,10_ciat_lab_id,10_gene_bank_breeding_program_id,10_genus,10_species,10_tax_name,10_family,10_order,10_functional_group,10_batches_ciat,10_id_lab,10_remarks_1,10_remarks_2
Sample serial No,"Date (M,D.Y)",Requisitioner,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Batches  CIAT,ID LAB,Observaciones,
37,46090,Genebank,,32,F260079,CIAT16903,Brachiaria,nigropedata,Brachiaria nigropedata,Poaceae,Poales,Grasses,"72. 73, 74",OT-002 (2026),,
38,46090,Breeding,,32,F260564,BR02_1752_Cayman_Opt,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"72. 73, 74",OT-008 (2026),,
39,46090,Breeding,,32,F260565,BR06_423_Cayman_Opt,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"72. 73, 74",OT-008 (2026),,
40,46090,Breeding,,32,F260566,CIAT_679_Tully_Exc,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"72. 73, 74",OT-008 (2026),,
41,46090,Breeding,,32,F260567,CIAT_679_Tully_Opt,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"72. 73, 74",OT-008 (2026),,
42,46090,Breeding,,32,F260568,CIAT_6133_Llanero_Exc,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"72. 73, 74",OT-008 (2026),,
43,46090,LMF,Juan Cardoso,32,F260656,CIAT17009,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Trepadoras,"72. 73, 74",OT-012 (2026),,
44,46090,LMF,Juan Cardoso,32,F260657,CIAT17462,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Trepadoras,"72. 73, 74",OT-012 (2026),,
45,46090,LMF,Jacobo Arango/ Alejandro Montoya,32,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,,,,
46,46119,Genebank,,34,F260080,CIAT16927,Brachiaria,nigropedata,Brachiaria nigropedata,Poaceae,Poales,Grasses,"77. 78, 79",OT-002(2026),,
47,46119,Genebank,,34,F260081,CIAT16980,Andropogon,gayanus,Andropogon gayanus,Poaceae,Poales,Grasses,"77. 78, 79",OT-002(2026),,
48,46119,Genebank,,34,F260082,CIAT16985,Andropogon,gayanus,Andropogon gayanus,Poaceae,Poales,Grasses,"77. 78, 79",OT-002(2026),,
