10_sample_serial_no,10_date,10_requisitioner_1,10_requisitioner_2,10_set_ciat,10_ciat_lab_id,10_gene_bank_breeding_program_id,10_genus,10_species,10_tax_name,10_family,10_order,10_functional_group,10_batches_ciat,10_id_lab,10_remarks_1,10_remarks_2
Sample serial No,"Date (M,D.Y)",Requisitioner,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Batches  CIAT,ID LAB,Observaciones,
139,46132,Genebank,,35,F260474,CIAT17555,Vigna,adenantha,Vigna adenantha,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
140,46132,Genebank,,35,F260475,CIAT17565,Canavalia,bicarinata,Canavalia bicarinata,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
141,46132,Genebank,,35,F260476,CIAT17570,Calopogonium,velutinum,Calopogonium velutinum,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
142,46132,Genebank,,35,F260477,CIAT18061,Galactia,elliptifoliola,Galactia elliptifoliola,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
143,46132,Genebank,,35,F260478,CIAT18068,Galactia,elliptifoliola,Galactia elliptifoliola,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
144,46132,Genebank,,35,F260479,CIAT18658,Periandra,densiflora,Periandra densiflora,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
145,46132,Genebank,,35,F260480,CIAT18857,Neonotonia,wightii,Neonotonia wightii,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
146,46132,Genebank,,35,F260481,CIAT19215,Macrotyloma,axillare,Macrotyloma axillare,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
147,46132,Genebank,,35,F260482,CIAT19445,Galactia,dubia,Galactia dubia,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
148,46132,Genebank,,35,F260483,CIAT19826,Dunbaria,nivea,Dunbaria nivea,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
149,46132,Genebank,,35,F260484,CIAT20820,Canavalia,gladiata,Canavalia gladiata,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
150,46132,Genebank,,35,F260485,CIAT21015,Galactia,elliptifoliola,Galactia elliptifoliola,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
151,46132,Genebank,,35,F260486,CIAT21037,Dolichos,trilobus,Dolichos trilobus,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
152,46132,Genebank,,35,F260487,CIAT21038,Dolichos,trilobus,Dolichos trilobus,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
153,46132,Genebank,,35,F260488,CIAT21236,Canavalia,mattogrossensis,Canavalia mattogrossensis,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
154,46132,Genebank,,35,F260489,CIAT21829,Rhynchosia,minima,Rhynchosia minima,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
155,46132,Genebank,,35,F260490,CIAT22034,Rhynchosia,minima,Rhynchosia minima,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
156,46132,Genebank,,35,F260491,CIAT22080,Cajanus,crassus,Cajanus crassus,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
157,46132,Genebank,,35,F260492,CIAT22188,Rhynchosia,minima,Rhynchosia minima,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
158,46132,Genebank,,35,F260493,CIAT22283,Cajanus,scarabaeoides,Cajanus scarabaeoides,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
159,46132,Genebank,,35,F260494,CIAT22525,Dolichos,trilobus,Dolichos trilobus,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
160,46132,Genebank,,35,F260495,CIAT24002,Neonotonia,wightii,Neonotonia wightii,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
161,46132,Genebank,,35,F260496,CIAT24024,Vigna,adenantha,Vigna adenantha,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
162,46132,Genebank,,35,F260497,CIAT24082,Vigna,gentryi,Vigna gentryi,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
163,46132,Genebank,,35,F260498,CIAT25102,Centrosema,arenarium,Centrosema arenarium,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
164,46132,Genebank,,35,F260499,CIAT25124,Centrosema,capitatum,Centrosema capitatum,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
165,46132,Genebank,,35,F260500,CIAT25156,Centrosema,platycarpum,Centrosema platycarpum,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
166,46132,Breeding,,35,F261074,CIAT-BR06_423_Temp_B,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"80, 81, 82",OT-019(2026),,
167,46132,Breeding,,35,F261075,CIAT_MulatoII_Temp_C,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"80, 81, 82",OT-019(2026),,
168,46132,Breeding,,35,F261076,CIAT-BR06_423_Opt_F,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"80, 81, 82",OT-019(2026),Eliminada,Reproceso Set 37
169,46132,Breeding,,35,F261077,CIAT_MulatoII_Opt_D,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"80, 81, 82",OT-019(2026),Eliminada,Reproceso Set 37
170,46132,Breeding,,35,F261078,CIAT-BR06_423_Exc_G,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"80, 81, 82",OT-019(2026),,
171,46132,Breeding,,35,F261079,CIAT_MulatoII_Exc_E,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"80, 81, 82",OT-019(2026),,
172,46132,Genebank,,35,F260426,CIAT17524,Aeschynomene,americana,Aeschynomene americana,Fabaceae,Fabales,Herbaceous,"80, 81, 82",OT-006(2026),,
173,46132,Genebank,,35,F260433,CIAT4042,Centrosema,grazielae,Centrosema grazielae,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
174,46132,Genebank,,35,F260436,CIAT5098,Centrosema,schottii,Centrosema schottii,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
175,46132,Genebank,,35,F260440,CIAT5217,Centrosema,pascuorum,Centrosema pascuorum,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
176,46132,Genebank,,35,F260441,CIAT5236,Centrosema,arenarium,Centrosema arenarium,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
177,46132,Genebank,,35,F260443,CIAT5383,Periandra,coccinea,Periandra coccinea,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
178,46132,Genebank,,35,F260444,CIAT5484,Centrosema,vexillatum,Centrosema vexillatum,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
179,46132,Genebank,,35,F260447,CIAT5850,Centrosema,brachypodum,Centrosema brachypodum,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
180,46132,Genebank,,35,F260450,CIAT7146,Rhynchosia,reticulata,Rhynchosia reticulata,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
181,46132,Genebank,,35,F260451,CIAT7177,Canavalia,rosea,Canavalia rosea,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
182,46132,Genebank,,35,F260452,CIAT7320,Canavalia,dictyota,Canavalia dictyota,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
183,46132,Genebank,,35,F260454,CIAT8384,Canavalia,dictyota,Canavalia dictyota,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
184,46132,Genebank,,35,F260455,CIAT8772,Canavalia,bicarinata,Canavalia bicarinata,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
185,46132,Genebank,,35,F252583,CIAT4141,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"80, 81, 82",OT-031(2025),,
186,46132,Genebank,,35,F252588,CIAT8014,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,"80, 81, 82",OT-031(2025),,
187,46132,Genebank,,35,F252612,CIAT23416,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,"80, 81, 82",OT-031(2025),,
188,46132,Genebank,,35,F260067,CIAT16537,Sporobolus,sp.,Sporobolus sp.,Poaceae,Poales,Grasses,"80, 81, 82",OT-002 (2026),,
189,46132,Genebank,,35,F260068,CIAT16561,Panicum,maximum,Panicum maximum,Poaceae,Poales,Grasses,"80, 81, 82",OT-002 (2026),Eliminado,Reprocesada Batch 37
190,46132,LMF,Jacobo Arango/ Alejandro Montoya,35,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,,"80, 81, 82",OT-001(2025),,
191,46146,Genebank,,36,F260501,CIAT25254,Centrosema,pubescens,Centrosema pubescens,Fabaceae,Fabales,Climber,"83, 84 85",OT-006,,
192,46146,Genebank,,36,F260502,CIAT25516,Centrosema,tetragonolobum,Centrosema tetragonolobum,Fabaceae,Fabales,Climber,"83, 84 85",OT-006,,
193,46146,Genebank,,36,F260503,CIAT286,Zornia,glabra,Zornia glabra,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
194,46146,Genebank,,36,F260504,CIAT330,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
195,46146,Genebank,,36,F260505,CIAT506,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
196,46146,Genebank,,36,F260506,CIAT921,Tephrosia,cinerea,Tephrosia cinerea,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
197,46146,Genebank,,36,F260507,CIAT1011,Stylosanthes,viscosa,Stylosanthes viscosa,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
198,46146,Genebank,,36,F260508,CIAT1013,Stylosanthes,fruticosa,Stylosanthes fruticosa,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
199,46146,Genebank,,36,F260509,CIAT1985,Stylosanthes,fruticosa,Stylosanthes fruticosa,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
200,46146,Genebank,,36,F260510,CIAT2001,Stylosanthes,viscosa,Stylosanthes viscosa,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
201,46146,Genebank,,36,F260511,CIAT4263,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
202,46146,Genebank,,36,F260512,CIAT4495,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
203,46146,Genebank,,36,F260513,CIAT7739,Chamaecrista,mimosoides,Chamaecrista mimosoides,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
204,46146,Genebank,,36,F260514,CIAT8279,Zornia,glabra,Zornia glabra,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
205,46146,Genebank,,36,F260515,CIAT11898,Stylosanthes,erecta,Stylosanthes erecta,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
206,46146,Genebank,,36,F260516,CIAT12001,Stylosanthes,mexicana,Stylosanthes mexicana,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
207,46146,Genebank,,36,F260517,CIAT19199,Tephrosia,villosa,Tephrosia villosa,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
208,46146,Genebank,,36,F260518,CIAT19819,Pseudarthria,viscida,Pseudarthria viscida,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
209,46146,Genebank,,36,F260519,CIAT20646,Pseudarthria,viscida,Pseudarthria viscida,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
210,46146,Genebank,,36,F260520,CIAT20778,Chamaecrista,serpens,Chamaecrista serpens,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
211,46146,Genebank,,36,F260521,CIAT23035,Desmodium,laxiflorum,Desmodium laxiflorum,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
212,46146,Genebank,,36,F260522,CIAT24004,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
213,46146,Genebank,,36,F260523,CIAT33606,Desmodium,sandwicense x intortum,Desmodium sandwicense x intortum,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
214,46146,Genebank,,36,F260524,CIAT33623,Desmodium,brachypodum,Desmodium brachypodum,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
215,46146,Genebank,,36,F260525,CIAT33636,Desmodium,muelleri,Desmodium muelleri,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
216,46146,Genebank,,36,F260526,CIAT33726,Desmodium,sandwicense,Desmodium sandwicense,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
217,46146,Genebank,,36,F260527,CIAT33727,Desmodium,sandwicense,Desmodium sandwicense,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
218,46146,Genebank,,36,F260528,CIAT43324,Desmodium,muelleri,Desmodium muelleri,Fabaceae,Fabales,Herbaceous,"83, 84 85",OT-006,,
219,46146,Genebank,,36,F260529,CIAT9776,Mimosa,debilis,Mimosa debilis,Fabaceae,Fabales,Shurb_Tree,"83, 84 85",OT-006,,
220,46146,Genebank,,36,F260530,CIAT13761,Desmodium,distortum,Desmodium distortum,Fabaceae,Fabales,Shurb_Tree,"83, 84 85",OT-006,,
221,46146,Genebank,,36,F260531,CIAT13929,Desmodium,distortum,Desmodium distortum,Fabaceae,Fabales,Shurb_Tree,"83, 84 85",OT-006,,
222,46146,Genebank,,36,F260532,CIAT13930,Desmodium,glabrum,Desmodium glabrum,Fabaceae,Fabales,Shurb_Tree,"83, 84 85",OT-006,,
223,46146,Genebank,,36,F260533,CIAT21082,Flemingia,stricta,Flemingia stricta,Fabaceae,Fabales,Shurb_Tree,"83, 84 85",OT-006,,
224,46146,Genebank,,36,F260534,CIAT21089,Flemingia,stricta,Flemingia stricta,Fabaceae,Fabales,Shurb_Tree,"83, 84 85",OT-006,,
225,46146,Genebank,,36,F260535,CIAT21091,Flemingia,stricta,Flemingia stricta,Fabaceae,Fabales,Shurb_Tree,"83, 84 85",OT-006,,
226,46146,Genebank,,36,F260536,CIAT21115,Flemingia,lineata,Flemingia lineata,Fabaceae,Fabales,Shurb_Tree,"83, 84 85",OT-006,,
227,46146,Genebank,,36,F260537,CIAT21118,Flemingia,lineata,Flemingia lineata,Fabaceae,Fabales,Shurb_Tree,"83, 84 85",OT-006,,
228,46146,Genebank,,36,F260538,CIAT22063,Flemingia,lineata,Flemingia lineata,Fabaceae,Fabales,Shurb_Tree,"83, 84 85",OT-006,,
229,46146,Genebank,,36,F260539,CIAT43154,Desmodium,distortum,Desmodium distortum,Fabaceae,Fabales,Shurb_Tree,"83, 84 85",OT-006,,
230,46146,Breeding,,36,F261076,CIAT-BR06_423_Opt_F,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"83, 84 85",OT-019,Eliminada,Reproceso Set 37
231,46146,Breeding,,36,F261077,CIAT_MulatoII_Opt_D,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"83, 84 85",OT-019,Eliminada,Reproceso Set 37
232,46146,LMF,Juan Cardoso,36,F261080,CIAT17009,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceas,Fabales,Trepadoras,"83, 84 85",OT-020,,
233,46146,LMF,Juan Cardoso,36,F261081,CIAT17462,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceas,Fabales,Trepadoras,"83, 84 85",OT-020,,
234,46146,LMF,Juan Cardoso,36,F261082,CIAT13953,Desmodium,velutinum,Desmodium velutinum,Fabaceas,Fabales,Arbustivas,"83, 84 85",OT-020,,
235,46146,LMF,Juan Cardoso,36,F261083,CIAT9432,Clitoria,tertanea,Clitoria tertanea,Fabaceas,Fabales,Trepadoras,"83, 84 85",OT-020,,
236,46146,LMF,Juan Cardoso,36,F261084,CIAT17768,Clitoria,tertanea,Clitoria tertanea,Fabaceas,Fabales,Trepadoras,"83, 84 85",OT-020,,
237,46146,LMF,Juan Cardoso,36,F261085,CIAT22768,Lablab,purpureus,Lablab purpureus,Fabaceas,Fabales,Trepadoras,"83, 84 85",OT-020,,
238,46146,LMF,Juan Cardoso,36,F261086,CIAT22598,Lablab,purpureus,Lablab purpureus,Fabaceas,Fabales,Trepadoras,"83, 84 85",OT-020,,
239,46146,LMF,Juan Cardoso,36,F261087,CIAT18701,Cajanus,cajan,Cajanus cajan,Fabaceas,Fabales,Arbustivas,"83, 84 85",OT-020,,
240,46146,LMF,Juan Cardoso,36,F261088,CIAT20891,Cajanus,cajan,Cajanus cajan,Fabaceas,Fabales,Arbustivas,"83, 84 85",OT-020,,
241,46146,LMF,Juan Cardoso,36,F261089,CIAT15551,Centrosema ,molle,Centrosema molle,Fabaceas,Fabales,Trepadoras,"83, 84 85",OT-020,,
242,46146,Breeding,,36,F243584,ABC-BR06_0423,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"83, 84 85",OT-035,Eliminada ,Reproceso Set 37
243,46146,Breeding,,36,F243591,ABC-CIAT_6962,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,grasses,"83, 84 85",OT-035,,
244,46146,Genebank,,36,F261029,CIAT5913,Centrosema,grandiflorum,Centrosema grandiflorum,Fabaceae,Fabales,Climber,"83, 84 85",OT-017,,
245,46146,Genebank,,36,F261030,CIAT7389,Rhynchosia,schomburgkii,Rhynchosia schomburgkii,Fabaceae,Fabales,Climber,"83, 84 85",OT-017,,
246,46146,Genebank,,36,F261031,CIAT7649,Periandra,coccinea,Periandra coccinea,Fabaceae,Fabales,Climber,"83, 84 85",OT-017,,
247,46146,Genebank,,36,F261032,CIAT7796,Calopogonium,velutinum,Calopogonium velutinum,Fabaceae,Fabales,Climber,"83, 84 85",OT-017,,
248,46146,Genebank,,36,F261033,CIAT8114,Calopogonium,velutinum,Calopogonium velutinum,Fabaceae,Fabales,Climber,"83, 84 85",OT-017,,
249,46146,Genebank,,36,F261034,CIAT8539,Canavalia,grandiflora,Canavalia grandiflora,Fabaceae,Fabales,Climber,"83, 84 85",OT-017,,
250,46146,Genebank,,36,F261035,CIAT8562,Periandra,coccinea,Periandra coccinea,Fabaceae,Fabales,Climber,"83, 84 85",OT-017,,
251,46146,Genebank,,36,F261036,CIAT8589,Galactia,jussiaeana,Galactia jussiaeana,Fabaceae,Fabales,Climber,"83, 84 85",OT-017,,
252,46146,Genebank,,36,F261037,CIAT9525,Canavalia,bicarinata,Canavalia bicarinata,Fabaceae,Fabales,Climber,"83, 84 85",OT-017,,
253,46146,Genebank,,36,F261038,CIAT9991,Galactia,jussiaeana,Galactia jussiaeana,Fabaceae,Fabales,Climber,"83, 84 85",OT-017,,
254,46146,Genebank,,36,F261039,CIAT15024,Centrosema,pubescens,Centrosema pubescens,Fabaceae,Fabales,Climber,"83, 84 85",OT-017,,
255,46146,Genebank,,36,F261040,CIAT15039,Centrosema,angustifolium,Centrosema angustifolium,Fabaceae,Fabales,Climber,"83, 84 85",OT-017,,
256,46146,Genebank,,36,F261041,CIAT15285,Centrosema,bifidum,Centrosema bifidum,Fabaceae,Fabales,Climber,"83, 84 85",OT-017,,
257,46146,Genebank,,36,F261042,CIAT17333,Dunbaria,nivea,Dunbaria nivea,Fabaceae,Fabales,Climber,"83, 84 85",OT-017,,
258,46146,Genebank,,36,F261043,CIAT17392,Cajanus,scarabaeoides,Cajanus scarabaeoides,Fabaceae,Fabales,Climber,"83, 84 85",OT-017,,
259,46146,Genebank,,36,F261044,CIAT18164,Teramnus,volubilis,Teramnus volubilis,Fabaceae,Fabales,Climber,"83, 84 85",OT-017,,
260,46146,Genebank,,36,F261045,CIAT18260,Canavalia,grandiflora,Canavalia grandiflora,Fabaceae,Fabales,Climber,"83, 84 85",OT-017,,
261,46146,Genebank,,36,F261046,CIAT18410,Cajanus,crassus,Cajanus crassus,Fabaceae,Fabales,Climber,"83, 84 85",OT-017,,
262,46146,Genebank,,36,F261047,CIAT18522,Rhynchosia,phaseoloides,Rhynchosia phaseoloides,Fabaceae,Fabales,Climber,"83, 84 85",OT-017,,
263,46146,Genebank,,36,F261048,CIAT18584,Canavalia,mattogrossensis,Canavalia mattogrossensis,Fabaceae,Fabales,Climber,"83, 84 85",OT-017,,
264,46146,LMF-invivo,Isabel Molina,36,F262902 (100%),START-GRASS,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,,"83, 84 85",OT-024 (2026),Eliminada,Repetido Set 37
265,46146,LMF,Jacobo Arango/ Alejandro Montoya,36,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,,"83, 84 85",OT-001(2025),,
266,46161,GENBANK,,37,F261049 ,CIAT18586,Canavalia,mattogrossensis,Canavalia mattogrossensis,Fabaceae,Fabales,Climber,"86,87,88",OT-017(2026),,
267,46161,GENBANK,,37,F261050,CIAT18632,Dioclea,crenata,Dioclea crenata,Fabaceae,Fabales,Climber,"86,87,88",OT-017(2026),,
268,46161,GENBANK,,37,F261051,CIAT21137,Cajanus,goensis,Cajanus goensis,Fabaceae,Fabales,Climber,"86,87,88",OT-017(2026),,
269,46161,GENBANK,,37,F261052,CIAT21174,Cajanus,goensis,Cajanus goensis,Fabaceae,Fabales,Climber,"86,87,88",OT-017(2026),,
270,46161,GENBANK,,37,F261053,CIAT22055,Cajanus,crassus,Cajanus crassus,Fabaceae,Fabales,Climber,"86,87,88",OT-017(2026),,
271,46161,GENBANK,,37,F261054,CIAT22059,Pueraria,montana,Pueraria montana,Fabaceae,Fabales,Climber,"86,87,88",OT-017(2026),,
272,46161,GENBANK,,37,F261055,CIAT25157,Centrosema,capitatum,Centrosema capitatum,Fabaceae,Fabales,Climber,"86,87,88",OT-017(2026),,
273,46161,GENBANK,,37,F261056,CIAT25214,Centrosema,grandiflorum,Centrosema grandiflorum,Fabaceae,Fabales,Climber,"86,87,88",OT-017(2026),,
274,46161,GENBANK,,37,F261057,CIAT25224,Centrosema,capitatum,Centrosema capitatum,Fabaceae,Fabales,Climber,"86,87,88",OT-017(2026),,
275,46161,GENBANK,,37,F261058,CIAT32092,Cajanus,scarabaeoides,Cajanus scarabaeoides,Fabaceae,Fabales,Climber,"86,87,88",OT-017(2026),,
276,46161,GENBANK,,37,F261059,CIAT4846,Clitoria,ternatea L.,Clitoria ternatea L.,Fabaceae,Fabales,Climber,"86,87,88",OT-017(2026),,
277,46161,GENBANK,,37,F261060,CIAT9466,Clitoria,ternatea L.,Clitoria ternatea L.,Fabaceae,Fabales,Climber,"86,87,88",OT-017(2026),,
278,46161,GENBANK,,37,F261061,CIAT19092,Clitoria,ternatea L.,Clitoria ternatea L.,Fabaceae,Fabales,Climber,"86,87,88",OT-017(2026),,
279,46161,GENBANK,,37,F261062,CIAT19212,Clitoria,ternatea L.,Clitoria ternatea L.,Fabaceae,Fabales,Climber,"86,87,88",OT-017(2026),,
280,46161,GENBANK,,37,F261063,CIAT19221,Clitoria,ternatea L.,Clitoria ternatea L.,Fabaceae,Fabales,Climber,"86,87,88",OT-017(2026),,
281,46161,GENBANK,,37,F261064,CIAT19447,Clitoria,ternatea L.,Clitoria ternatea L.,Fabaceae,Fabales,Climber,"86,87,88",OT-017(2026),,
282,46161,GENBANK,,37,F261065,CIAT19806,Clitoria,ternatea L.,Clitoria ternatea L.,Fabaceae,Fabales,Climber,"86,87,88",OT-017(2026),,
283,46161,GENBANK,,37,F261066,CIAT21204,Clitoria,ternatea L.,Clitoria ternatea L.,Fabaceae,Fabales,Climber,"86,87,88",OT-017(2026),,
284,46161,GENBANK,,37,F261067,CIAT21705,Clitoria,ternatea L.,Clitoria ternatea L.,Fabaceae,Fabales,Climber,"86,87,88",OT-017(2026),,
285,46161,GENBANK,,37,F261068,CIAT21815,Clitoria,ternatea L.,Clitoria ternatea L.,Fabaceae,Fabales,Climber,"86,87,88",OT-017(2026),,
286,46161,GENBANK,,37,F261069 ,CIAT22274,Clitoria,ternatea L.,Clitoria ternatea L.,Fabaceae,Fabales,Climber,"86,87,88",OT-017(2026),,
287,46161,BREEDING,,37,F260540 ,CIAT-BR09_2656,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
288,46161,BREEDING,,37,F260541,CIAT-BR09_4151,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
289,46161,BREEDING,,37,F260542,CIAT-BR09_4014,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
290,46161,BREEDING,,37,F260543,CIAT-BR15_582,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
291,46161,BREEDING,,37,F260544,CIAT-BR09_834,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
292,46161,BREEDING,,37,F260545,CIAT-BR19_2886,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
293,46161,BREEDING,,37,F260546,CIAT-BR05_1467,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
294,46161,BREEDING,,37,F260547,CIAT-BR19_5294,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
295,46161,BREEDING,,37,F260548,CIAT-BR19_626,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
296,46161,BREEDING,,37,F260549,CIAT-BR12_3436,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
297,46161,BREEDING,,37,F260550,CIAT-BR09_305,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
298,46161,BREEDING,,37,F260551,CIAT-BR09_2267,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
299,46161,BREEDING,,37,F260552,CIAT-BR09_3167,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
300,46161,BREEDING,,37,F260553,CIAT-BR09_343,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
301,46161,BREEDING,,37,F260554,CIAT-BR12_5082,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
302,46161,BREEDING,,37,F260555,CIAT-BR12_5323,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
303,46161,BREEDING,,37,F260556,CIAT-BR15_1168,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
304,46161,BREEDING,,37,F260557,CIAT-BR12_2679,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"86,87,88",OT-007 (2026),,
