40_sample_serial_no,40_date,40_requisitioner,40_set_ciat,40_ciat_lab_id,40_gene_bank_breeding_program_id,40_genus,40_species,40_tax_name,40_family,40_order,40_functional_group,40_dm_percentage,40_av_dm_105,40_ash_dm,40_av_ash_percentage,40_om_percentage,40_om_percentage,40_pc_percentage_dm,40_av_pc_percentage,40_adf_percentage_dm,40_av_adf_percentage_dm,40_ndf_percentage_dm,40_av_ndf_percentage_dm
Sample serial No,"Date (M,D.Y)",Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
107,46119,Genebank,34,F260088,CIAT26075,Setaria,incrassata,Setaria incrassata,Poaceae,Poales,Grasses,94.4816555,94.58135965,16.2562554,16.25178265,83.7437446,83.74821735,13.92628533,13.92628533,37.55541466,37.33788718,64.91293077,64.99346436
108,46119,Genebank,34,F260088,CIAT26075,Setaria,incrassata,Setaria incrassata,Poaceae,Poales,Grasses,94.68106379,,16.24730991,,83.75269009,,13.92628533,,37.1203597,,65.07399794,
109,46119,Genebank,34,F260089,CIAT26079,Setaria,incrassata,Setaria incrassata,Poaceae,Poales,Grasses,94.00119976,94.08589135,15.29147715,15.31881045,84.70852285,84.68118955,14.85947497,14.85947497,34.7750706,34.47677804,66.12005143,66.12994374
110,46119,Genebank,34,F260089,CIAT26079,Setaria,incrassata,Setaria incrassata,Poaceae,Poales,Grasses,94.17058294,,15.34614376,,84.65385624,,14.85947497,,34.17848548,,66.13983606,
111,46119,Genebank,34,F260090,CIAT26235,Hyparrhenia,sp.,Hyparrhenia sp.,Poaceae,Poales,Grasses,95.81251249,95.80209791,13.53020753,13.53156001,86.46979247,86.46843999,12.62200462,12.62200462,32.27137444,31.77212937,61.02186695,60.73821986
112,46119,Genebank,34,F260090,CIAT26235,Hyparrhenia,sp.,Hyparrhenia sp.,Poaceae,Poales,Grasses,95.79168333,,13.53291249,,86.46708751,,12.62200462,,31.27288429,,60.45457278,
113,46119,Genebank,34,F260091,CIAT26661,Paspalum,virgatum,Paspalum virgatum,Poaceae,Poales,Grasses,92.22,92.21155938,9.879455528,9.834119262,90.12054447,90.16588074,12.6468038,12.6468038,42.43143584,42.54498754,71.13318099,71.37955647
114,46119,Genebank,34,F260091,CIAT26661,Paspalum,virgatum,Paspalum virgatum,Poaceae,Poales,Grasses,92.20311875,,9.788782996,,90.211217,,12.6468038,,42.65853923,,71.62593195,
115,46119,Genebank,34,F260092,CIAT26838,Echinochloa,pyramidalis,Echinochloa pyramidalis,Poaceae,Poales,Grasses,94.93253373,94.97751124,16.15364378,16.13259669,83.84635622,83.86740331,12.61369448,12.58809616,38.62589179,37.62580438,66.00242328,65.11200561
116,46119,Genebank,34,F260092,CIAT26838,Echinochloa,pyramidalis,Echinochloa pyramidalis,Poaceae,Poales,Grasses,95.02248876,,16.11154959,,83.88845041,,12.56249783,,36.62571698,,64.22158794,
117,46119,Genebank,34,F260093,CIAT26850,Pennisetum,purpureum,Pennisetum purpureum,Poaceae,Poales,Grasses,91.53169366,91.54584683,14.97310804,14.94729663,85.02689196,85.05270337,16.91788047,16.91788047,33.98996984,33.96239974,62.20125254,62.51320212
118,46119,Genebank,34,F260093,CIAT26850,Pennisetum,purpureum,Pennisetum purpureum,Poaceae,Poales,Grasses,91.56,,14.92148522,,85.07851478,,16.91788047,,33.93482963,,62.82515169,
119,46119,Genebank,34,F260094,CIAT26858,Hyparrhenia,rufa,Hyparrhenia rufa,Poaceae,Poales,Grasses,94.27229108,94.3622551,10.99576271,10.82627119,89.00423729,89.17372881,13.90419054,13.90419054,35.04794503,35.15395115,65.7312201,65.69371456
120,46119,Genebank,34,F260094,CIAT26858,Hyparrhenia,rufa,Hyparrhenia rufa,Poaceae,Poales,Grasses,94.45221911,,10.65677966,,89.34322034,,13.90419054,,35.25995726,,65.65620902,
121,46119,Genebank,34,F260095,CIAT26867,Chloris,gayana,Chloris gayana,Poaceae,Poales,Grasses,93.00209937,93.10774634,13.2065393,13.3018332,86.7934607,86.6981668,14.04353457,14.04353457,39.61600105,40.02057737,68.96177444,69.45178432
122,46119,Genebank,34,F260095,CIAT26867,Chloris,gayana,Chloris gayana,Poaceae,Poales,Grasses,93.2133933,,13.3971271,,86.6028729,,14.04353457,,40.42515369,,69.9417942,
123,46119,Genebank,34,F260096,CIAT26877,Echinochloa,pyramidalis,Echinochloa pyramidalis,Poaceae,Poales,Grasses,94.14117177,96.02181708,13.90727719,9.556024189,86.09272281,90.44397581,12.7989208,12.7989208,40.8590279,43.35989475,68.65224773,75.82063607
124,46119,Genebank,34,F260096,CIAT26877,Echinochloa,pyramidalis,Echinochloa pyramidalis,Poaceae,Poales,Grasses,94.21173648,,13.60866182,,86.39133818,,12.7989208,,40.25061776,,67.80415102,
125,46119,Genebank,34,F260097,CIAT26895,Vetiveria,zizanioides,Vetiveria zizanioides,Poaceae,Poales,Grasses,95.8424945,96.02181708,9.575410661,9.556024189,90.42458934,90.44397581,11.27435983,11.27435983,43.06980712,43.35989475,75.13087051,75.82063607
126,46119,Genebank,34,F260097,CIAT26895,Vetiveria,zizanioides,Vetiveria zizanioides,Poaceae,Poales,Grasses,96.20113966,,9.536637717,,90.46336228,,11.27435983,,43.64998238,,76.51040163,
127,46119,Genebank,34,F260098,CIAT26898,Vetiveria,zizanioides,Vetiveria zizanioides,Poaceae,Poales,Grasses,94.84206317,93.58160508,9.134969972,19.34726185,90.86503003,80.65273815,10.46709115,10.46709115,44.30004004,33.52893508,76.63700032,58.71820117
128,46119,Genebank,34,F260098,CIAT26898,Vetiveria,zizanioides,Vetiveria zizanioides,Poaceae,Poales,Grasses,94.90203918,,9.156042567,,90.84395743,,10.46709115,,44.35169714,,76.75768242,
129,46119,Genebank,34,F260099,CIAT26980,Pennisetum,purpureum,Pennisetum purpureum,Poaceae,Poales,Grasses,93.57192842,94.31142363,19.25014601,16.50501224,80.74985399,83.49498776,17.5771254,17.5771254,33.62131268,38.16012163,58.79903327,62.10697712
130,46119,Genebank,34,F260099,CIAT26980,Pennisetum,purpureum,Pennisetum purpureum,Poaceae,Poales,Grasses,93.59128174,,19.44437768,,80.55562232,,17.5771254,,33.43655748,,58.63736907,
131,46119,Genebank,34,F260100,CIAT26985,Paspalum,guenoarum,Paspalum guenoarum,Poaceae,Poales,Grasses,94.28171549,94.32198529,16.42998356,13.45981008,83.57001644,86.54018992,10.77653796,10.77653796,38.21138881,36.47800057,62.31749925,65.83514599
132,46119,Genebank,34,F260100,CIAT26985,Paspalum,guenoarum,Paspalum guenoarum,Poaceae,Poales,Grasses,94.34113177,,16.58004092,,83.41995908,,10.77653796,,38.10885446,,61.89645499,
133,46119,Genebank,34,F260101,CIAT26993,Paspalum,sp.,Paspalum sp.,Poaceae,Poales,Grasses,94.28171549,93.88152048,13.53467074,10.84074301,86.46532926,89.15925699,13.89984761,13.89984761,36.35636242,38.66265145,65.50925059,68.88209134
134,46119,Genebank,34,F260101,CIAT26993,Paspalum,sp.,Paspalum sp.,Poaceae,Poales,Grasses,94.3622551,,13.38494942,,86.61505058,,13.89984761,,36.59963872,,66.16104139,
135,46119,Genebank,34,F260102,CIAT36011,Paspalum,plicatulum,Paspalum plicatulum,Poaceae,Poales,Grasses,93.82061794,95.13195502,10.83171965,15.57215023,89.16828035,84.42784977,14.84242124,14.82363857,39.54370116,35.37009118,70.12386636,60.0709404
136,46119,Genebank,34,F260102,CIAT36011,Paspalum,plicatulum,Paspalum plicatulum,Poaceae,Poales,Grasses,93.94242303,,10.84976636,,89.15023364,,14.80485591,,37.78160174,,67.64031633,
137,46119,Genebank,34,F260103,CIAT36018,Paspalum,yaguaronense,Paspalum yaguaronense,Poaceae,Poales,Grasses,95.09294423,94.04119176,15.48497695,13.31596853,84.51502305,86.68403147,15.78347234,15.78347234,34.63320504,30.52458986,59.29854097,61.13583042
138,46119,Genebank,34,F260103,CIAT36018,Paspalum,yaguaronense,Paspalum yaguaronense,Poaceae,Poales,Grasses,95.17096581,,15.65932351,,84.34067649,,15.78347234,,36.10697732,,60.84333983,
139,46119,Genebank,34,F260104,CIAT36061,Brachiaria,xruziziensisxdecumbe,Brachiaria xruziziensisxdecumbe,Poaceae,Poales,Grasses,93.94121176,93.13068486,13.40633638,14.63925911,86.59366362,85.36074089,15.76766825,15.76766825,30.57894236,31.37466062,61.29254398,62.48166921
140,46119,Genebank,34,F260104,CIAT36061,Brachiaria,xruziziensisxdecumbe,Brachiaria xruziziensisxdecumbe,Poaceae,Poales,Grasses,94.14117177,,13.22560068,,86.77439932,,15.76766825,,30.47023737,,60.97911685,
141,46119,Genebank,34,F260105,CIAT36062,Brachiaria,xruziziensisxdecumbe,Brachiaria xruziziensisxdecumbe,Poaceae,Poales,Grasses,93.11,93.74656097,14.69977379,12.31738568,85.30022621,87.68261432,13.10190657,13.10190657,31.2973783,36.13229179,62.08186936,63.93578953
142,46119,Genebank,34,F260105,CIAT36062,Brachiaria,xruziziensisxdecumbe,Brachiaria xruziziensisxdecumbe,Poaceae,Poales,Grasses,93.15136973,,14.57874444,,85.42125556,,13.10190657,,31.45194293,,62.88146905,
143,46119,Genebank,34,F260106,CIAT36088,Paspalum,dilatatum,Paspalum dilatatum,Poaceae,Poales,Grasses,93.762495,95.15123438,12.2302234,13.87444864,87.7697766,86.12555136,18.77653815,18.77653815,35.80157471,39.0629747,63.65247875,66.65044903
144,46119,Genebank,34,F260106,CIAT36088,Paspalum,dilatatum,Paspalum dilatatum,Poaceae,Poales,Grasses,93.73062694,,12.40454796,,87.59545204,,18.77653815,,36.46300887,,64.21910031,
145,46119,Genebank,34,F260107,CIAT36089,Paspalum,dilatatum,Paspalum dilatatum,Poaceae,Poales,Grasses,95.06246877,86.37136573,13.83420654,15.7443988,86.16579346,84.2556012,16.38792145,16.38792145,40.0742238,36.6892504,67.88680056,62.15308131
146,46119,Genebank,34,F260107,CIAT36089,Paspalum,dilatatum,Paspalum dilatatum,Poaceae,Poales,Grasses,95.24,,13.91469074,,86.08530926,,16.38792145,,38.05172559,,65.4140975,
147,46119,Genebank,34,F260108,CIAT36090,Cenchrus,ciliaris,Cenchrus ciliaris,Poaceae,Poales,Grasses,86.4,86.37136573,15.88489412,15.7443988,84.11510588,84.2556012,17.77740265,17.77740265,35.87633493,36.6892504,61.82553887,62.15308131
148,46119,Genebank,34,F260108,CIAT36090,Cenchrus,ciliaris,Cenchrus ciliaris,Poaceae,Poales,Grasses,86.34273145,,15.60390348,,84.39609652,,17.77740265,,37.50216587,,62.48062374,
149,46119,Breeding,34,F252184,CIAT-BH22_0303,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,,,,,,,,,,,
150,46119,Breeding,34,F252184,CIAT-BH22_0303,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,,,,,,,,,,,
151,46119,Breeding,34,F252191,CIAT-BH22_0517,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,96.84,96.865,10.23,10.265,89.77,89.735,8.17,8.21,34.35,34.305,69.43,69.455
152,46119,Breeding,34,F252191,CIAT-BH22_0517,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,96.89,,10.3,,89.7,,8.25,,34.26,,69.48,
153,46119,Breeding,34,F252192,CIAT-BH22_0519,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,,,,,,,,,,,
154,46119,Breeding,34,F252192,CIAT-BH22_0519,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,,,,,,,,,,,,
155,46119,Genebank,34,F252586,CIAT7289,Chamaecrista,mimosoides,Chamaecrista mimosoides,Fabaceae,Fabales,Herbaceous,91.45,91.40629561,5.863928698,5.748212086,94.1360713,94.25178791,18.55944373,18.55944373,37.05595298,36.53673911,58.07161357,57.4537689
156,46119,Genebank,34,F252586,CIAT7289,Chamaecrista,mimosoides,Chamaecrista mimosoides,Fabaceae,Fabales,Herbaceous,91.36259122,,5.632495474,,94.36750453,,18.55944373,,36.01752524,,56.83592424,
157,46119,Genebank,34,F260042,CIAT33127,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,,,,,,,,,,,,
158,46119,Genebank,34,F260042,CIAT33127,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,,,,,,,,,,,,
159,46119,ISABEL MOLINA,34,F260569,E2 P1 D1 R A1424 DIG,N/A,N/A,N/A,N/A,N/A,N/A,93.90121976,93.83123375,7.064464571,9.984017048,92.93553543,90.01598295,2.247574179,2.192072234,52.74345204,52.83526454,86.0089096,86.30733201
160,46119,ISABEL MOLINA,34,F260569,E2 P1 D1 R A1424 DIG,N/A,N/A,N/A,N/A,N/A,N/A,93.76124775,,12.90356953,,87.09643047,,2.136570289,,52.92707705,,86.60575441,
161,46119,ISABEL MOLINA,34,F260570,E2 P1 D1 R A1413 DIG,N/A,N/A,N/A,N/A,N/A,N/A,95.64087183,95.75064289,8.635290669,5.82140131,91.36470933,94.17859869,2.166894753,2.157155584,53.17752257,53.83388864,86.72820632,88.01123143
162,46119,ISABEL MOLINA,34,F260570,E2 P1 D1 R A1413 DIG,N/A,N/A,N/A,N/A,N/A,N/A,95.86041396,,3.007511952,,96.99248805,,2.147416416,,54.4902547,,89.29425654,
163,46119,ISABEL MOLINA,34,F260571,E2 P1 D1 R A1402 DIG,N/A,N/A,N/A,N/A,N/A,N/A,94.95151455,94.75711659,4.473255977,7.004334407,95.52674402,92.99566559,2.482499744,2.509608747,52.02204842,51.91326055,87.57843405,87.55563075
164,46119,ISABEL MOLINA,34,F260571,E2 P1 D1 R A1402 DIG,N/A,N/A,N/A,N/A,N/A,N/A,94.56271864,,9.535412836,,90.46458716,,2.53671775,,51.80447268,,87.53282745,
165,46119,ISABEL MOLINA/ JUAN CAMILO CÉRON,34,Estrella 100%,Estrella 100%,N/A,N/A,N/A,N/A,N/A,N/A,91.54,91.54,8.12,8.12,91.88,91.88,4.28,4.28,41.16,41.16,80.6,80.6
166,46119,ISABEL MOLINA/ JUAN CAMILO CÉRON,34,Estrella 100%,Estrella 100%,N/A,N/A,N/A,N/A,N/A,N/A,91.54,,8.12,,91.88,,4.28,,41.16,,80.6,
167,46119,ISABEL MOLINA/ JUAN CAMILO CÉRON,34,Estrella_70%_Indsuf_30%,Estrella_70%_Indsuf_30%,N/A,N/A,N/A,N/A,N/A,N/A,92.61943547,92.62232395,8.383371786,8.334834009,91.61662821,91.66516599,11.9566971,12.23005925,37.29757562,37.4443166,69.58698572,69.47600492
168,46119,ISABEL MOLINA/ JUAN CAMILO CÉRON,34,Estrella_70%_Indsuf_30%,Estrella_70%_Indsuf_30%,N/A,N/A,N/A,N/A,N/A,N/A,92.62521244,,8.286296232,,91.71370377,,12.5034214,,37.59105758,,69.36502412,
169,46119,ISABEL MOLINA/ JUAN CAMILO CÉRON,34,Estrella_70%_Canabra_30%,Estrella_70%_Canabra_30%,N/A,N/A,N/A,N/A,N/A,N/A,92.55060816,92.71225241,9.747598453,9.716976226,90.25240155,90.28302377,10.44561645,10.39383581,36.58789355,36.84430514,68.29380842,68.74429233
170,46119,ISABEL MOLINA/ JUAN CAMILO CÉRON,34,Estrella_70%_Canabra_30%,Estrella_70%_Canabra_30%,N/A,N/A,N/A,N/A,N/A,N/A,92.87389666,,9.686353999,,90.313646,,10.34205518,,37.10071674,,69.19477623,
171,46119,ISABEL MOLINA/ JUAN CAMILO CÉRON,34,Estrella_70%_Leudiv_30%,Estrella_70%_Leudiv_30%,N/A,N/A,N/A,N/A,N/A,N/A,92.57729874,92.56369037,8.348058701,8.375305949,91.6519413,91.62469405,12.09541593,12.01543604,38.5556473,38.35200882,71.22880362,71.87138843
172,46119,ISABEL MOLINA/ JUAN CAMILO CÉRON,34,Estrella_70%_Leudiv_30%,Estrella_70%_Leudiv_30%,N/A,N/A,N/A,N/A,N/A,N/A,92.55008201,,8.402553196,,91.5974468,,11.93545615,,38.14837034,,72.51397325,
173,46119,ISABEL MOLINA/ JUAN CAMILO CÉRON,34,Estrella_55%_Indsuf_45%,Estrella_55%_Indsuf_45%,N/A,N/A,N/A,N/A,N/A,N/A,93.1641532,93.16535162,8.489245513,8.444354923,91.51075449,91.55564508,15.76691861,16.20291687,35.45146199,35.58814407,64.2760166,63.91331609
174,46119,ISABEL MOLINA/ JUAN CAMILO CÉRON,34,Estrella_55%_Indsuf_45%,Estrella_55%_Indsuf_45%,N/A,N/A,N/A,N/A,N/A,N/A,93.16655003,,8.399464333,,91.60053567,,16.63891513,,35.72482616,,63.55061558,
175,46119,ISABEL MOLINA/ JUAN CAMILO CÉRON,34,Estrella_55%_Canabra_45%,Estrella_55%_Canabra_45%,N/A,N/A,N/A,N/A,N/A,N/A,93.06091224,93.3002443,10.53558551,10.51756825,89.46441449,89.48243175,13.50029764,13.44858172,34.38693888,34.68812688,62.33625066,62.8157472
176,46119,ISABEL MOLINA/ JUAN CAMILO CÉRON,34,Estrella_55%_Canabra_45%,Estrella_55%_Canabra_45%,N/A,N/A,N/A,N/A,N/A,N/A,93.53957636,,10.49955098,,89.50044902,,13.39686581,,34.98931489,,63.29524374,
177,46119,ISABEL MOLINA/ JUAN CAMILO CÉRON,34,Estrella_55%_Leudiv_45%,Estrella_55%_Leudiv_45%,N/A,N/A,N/A,N/A,N/A,N/A,93.10094811,93.07740125,8.436275885,8.505062832,91.56372412,91.49493717,15.97499685,15.88098206,37.33856951,36.9496824,66.73874345,67.50639136
178,46119,ISABEL MOLINA/ JUAN CAMILO CÉRON,34,Estrella_55%_Leudiv_45%,Estrella_55%_Leudiv_45%,N/A,N/A,N/A,N/A,N/A,N/A,93.05385439,,8.573849779,,91.42615022,,15.78696727,,36.56079529,,68.27403927,
179,46119,Genebank,34,F260426,CIAT17524,Aeschynomene,americana,Aeschynomene americana,Fabaceae,Fabales,Herbaceous,93.25202439,93.30667606,7.971314576,8.009216275,92.02868542,91.99078373,26.23018361,26.23018361,24.6700162,25.80390589,53.92044804,53.5393585
180,46119,Genebank,34,F260426,CIAT17524,Aeschynomene,americana,Aeschynomene americana,Fabaceae,Fabales,Herbaceous,93.36132773,,8.047117974,,91.95288203,,26.23018361,,26.93779558,,53.15826896,
181,46119,Genebank,34,F260427,CIAT7026,Aeschynomene,americana,Aeschynomene americana,Fabaceae,Fabales,Herbaceous,92.94211736,92.92676754,8.72468498,8.746639147,91.27531502,91.25336085,26.4281162,26.4281162,32.53435288,32.451024,54.28283414,53.96354733
182,46119,Genebank,34,F260427,CIAT7026,Aeschynomene,americana,Aeschynomene americana,Fabaceae,Fabales,Herbaceous,92.91141772,,8.768593314,,91.23140669,,26.4281162,,32.36769512,,53.64426053,
183,46119,Genebank,34,F260428,CIAT508,Teramnus,uncinatus,Teramnus uncinatus,Fabaceae,Fabales,Climber,92.5814837,92.58074185,12.69988578,12.75516268,87.30011422,87.24483732,23.2164732,23.2164732,34.1539844,33.90438255,53.31603771,54.12637326
184,46119,Genebank,34,F260428,CIAT508,Teramnus,uncinatus,Teramnus uncinatus,Fabaceae,Fabales,Climber,92.58,,12.81043958,,87.18956042,,23.2164732,,33.6547807,,54.93670882,
185,46119,Genebank,34,F260429,CIAT795,Rhynchosia,reticulata,Rhynchosia reticulata,Fabaceae,Fabales,Climber,94.71211515,94.74605758,9.716834355,9.766273102,90.28316564,90.2337269,16.71865494,16.71865494,46.93440679,46.58719765,61.56917235,61.73604771
186,46119,Genebank,34,F260429,CIAT795,Rhynchosia,reticulata,Rhynchosia reticulata,Fabaceae,Fabales,Climber,94.78,,9.815711849,,90.18428815,,16.71865494,,46.23998851,,61.90292306,
187,46119,Genebank,34,F260430,CIAT936,Teramnus,uncinatus,Teramnus uncinatus,Fabaceae,Fabales,Climber,93.42263095,93.44696834,11.46716036,11.42016082,88.53283964,88.57983918,22.39640073,22.39640073,31.53308059,32.41033559,54.17836869,54.92303397
188,46119,Genebank,34,F260430,CIAT936,Teramnus,uncinatus,Teramnus uncinatus,Fabaceae,Fabales,Climber,93.47130574,,11.37316128,,88.62683872,,22.39640073,,33.28759059,,55.66769925,
189,46119,Genebank,34,F260431,CIAT958,Canavalia,rosea,Canavalia rosea,Fabaceae,Fabales,Climber,93.74125175,93.60627874,12.52870494,12.96128171,87.47129506,87.03871829,21.55562929,21.55562929,28.65149829,28.5999438,46.73105725,47.59811321
190,46119,Genebank,34,F260431,CIAT958,Canavalia,rosea,Canavalia rosea,Fabaceae,Fabales,Climber,93.47130574,,13.39385848,,86.60614152,,21.55562929,,28.54838931,,48.46516918,
191,46119,Genebank,34,F260432,CIAT966,Teramnus,labialis,Teramnus labialis,Fabaceae,Fabales,Climber,92.77072293,92.87536146,11.57349478,11.03571754,88.42650522,88.96428246,18.12297408,18.12297408,37.58843795,37.48149443,53.69561175,53.431861
192,46119,Genebank,34,F260432,CIAT966,Teramnus,labialis,Teramnus labialis,Fabaceae,Fabales,Climber,92.98,,10.4979403,,89.5020597,,18.12297408,,37.37455091,,53.16811025,
193,46119,Genebank,34,F260433,CIAT4042,Centrosema,grazielae,Centrosema grazielae,Fabaceae,Fabales,Climber,95.47181128,95.53590564,12.04300913,12.04541773,87.95699087,87.95458227,20.66577313,20.66577313,41.12363335,40.67688764,62.96838633,61.06951237
194,46119,Genebank,34,F260433,CIAT4042,Centrosema,grazielae,Centrosema grazielae,Fabaceae,Fabales,Climber,95.6,,12.04782634,,87.95217366,,20.66577313,,40.23014193,,59.1706384,
195,46119,Genebank,34,F260434,CIAT4862,Macrotyloma,daltonii,Macrotyloma daltonii,Fabaceae,Fabales,Climber,92.07237829,92.02239328,8.951656708,9.054861488,91.04834329,90.94513851,21.52054168,21.52054168,33.98846089,33.45185711,53.42437538,52.29181899
196,46119,Genebank,34,F260434,CIAT4862,Macrotyloma,daltonii,Macrotyloma daltonii,Fabaceae,Fabales,Climber,91.97240828,,9.158066268,,90.84193373,,21.52054168,,32.91525333,,51.15926261,
197,46119,Genebank,34,F260435,CIAT4986,Teramnus,labialis,Teramnus labialis,Fabaceae,Fabales,Climber,92.36381809,92.3880472,12.44127701,12.3992381,87.55872299,87.6007619,21.33935528,21.23441323,32.743435,31.96445449,50.75885858,49.93712823
198,46119,Genebank,34,F260435,CIAT4986,Teramnus,labialis,Teramnus labialis,Fabaceae,Fabales,Climber,92.41227632,,12.3571992,,87.6428008,,21.12947118,,31.18547397,,49.11539788,
199,46119,Genebank,34,F260436,CIAT5098,Centrosema,schottii,Centrosema schottii,Fabaceae,Fabales,Climber,94.20115977,94.21144662,9.455558401,9.354279004,90.5444416,90.645721,19.01920801,19.01920801,39.17592312,38.84472249,53.30852068,53.02675808
200,46119,Genebank,34,F260436,CIAT5098,Centrosema,schottii,Centrosema schottii,Fabaceae,Fabales,Climber,94.22173348,,9.252999606,,90.74700039,,19.01920801,,38.51352187,,52.74499549,
201,46119,Genebank,34,F260437,CIAT5121,Centrosema,grazielae,Centrosema grazielae,Fabaceae,Fabales,Climber,94.35,94.38083825,13.79517309,13.46474644,86.20482691,86.53525356,18.55506191,18.5582561,38.35896421,38.10836299,57.10505058,56.28492
202,46119,Genebank,34,F260437,CIAT5121,Centrosema,grazielae,Centrosema grazielae,Fabaceae,Fabales,Climber,94.4116765,,13.13431979,,86.86568021,,18.56145029,,37.85776177,,55.46478941,
203,46119,Genebank,34,F260438,CIAT5166,Centrosema,schottii,Centrosema schottii,Fabaceae,Fabales,Climber,94.56054395,94.54081986,8.175544795,8.069382834,91.82445521,91.93061717,15.65162904,15.65162904,32.83073095,32.2969052,56.33223124,55.37721699
204,46119,Genebank,34,F260438,CIAT5166,Centrosema,schottii,Centrosema schottii,Fabaceae,Fabales,Climber,94.52109578,,7.963220873,,92.03677913,,15.65162904,,31.76307945,,54.42220275,
205,46119,Genebank,34,F260439,CIAT5196,Centrosema,pascuorum,Centrosema pascuorum,Fabaceae,Fabales,Climber,93.53064694,93.60127268,13.17158065,12.90325361,86.82841935,87.09674639,20.81990116,20.81990116,34.80143931,35.767377,54.01661783,54.30321081
206,46119,Genebank,34,F260439,CIAT5196,Centrosema,pascuorum,Centrosema pascuorum,Fabaceae,Fabales,Climber,93.67189843,,12.63492656,,87.36507344,,20.81990116,,36.73331468,,54.58980379,
207,46119,Genebank,34,F260440,CIAT5217,Centrosema,pascuorum,Centrosema pascuorum,Fabaceae,Fabales,Climber,93.49260296,93.59161695,13.58552662,13.35252396,86.41447338,86.64747604,22.14639204,22.14639204,37.07062833,37.23148094,56.34337457,57.49791749
208,46119,Genebank,34,F260440,CIAT5217,Centrosema,pascuorum,Centrosema pascuorum,Fabaceae,Fabales,Climber,93.69063094,,13.1195213,,86.8804787,,22.14639204,,37.39233356,,58.65246042,
209,46119,Genebank,34,F260441,CIAT5236,Centrosema,arenarium,Centrosema arenarium,Fabaceae,Fabales,Climber,94.80051995,94.80025997,10.50524978,10.46358106,89.49475022,89.53641894,19.840259,19.840259,42.36746734,41.07224376,61.65691514,60.26855259
210,46119,Genebank,34,F260441,CIAT5236,Centrosema,arenarium,Centrosema arenarium,Fabaceae,Fabales,Climber,94.8,,10.42191235,,89.57808765,,19.840259,,39.77702018,,58.88019005,
211,46119,Genebank,34,F260442,CIAT5325,Centrosema,virginianum,Centrosema virginianum,Fabaceae,Fabales,Climber,93.64254298,93.95655796,10.44745974,10.44370563,89.55254026,89.55629437,21.3682967,21.3682967,41.86695315,42.22477897,60.17635552,59.34196218
212,46119,Genebank,34,F260442,CIAT5325,Centrosema,virginianum,Centrosema virginianum,Fabaceae,Fabales,Climber,94.27057294,,10.43995152,,89.56004848,,21.3682967,,42.58260479,,58.50756884,
213,46119,Genebank,34,F260443,CIAT5383,Periandra,coccinea,Periandra coccinea,Fabaceae,Fabales,Climber,95.89164334,95.84166333,9.522319566,9.558823529,90.47768043,90.44117647,16.97734443,16.97734443,40.96246095,40.56290456,59.45215609,59.29510154
214,46119,Genebank,34,F260443,CIAT5383,Periandra,coccinea,Periandra coccinea,Fabaceae,Fabales,Climber,95.79168333,,9.595327493,,90.40467251,,16.97734443,,40.16334818,,59.13804699,
215,46119,Genebank,34,F260444,CIAT5484,Centrosema,vexillatum,Centrosema vexillatum,Fabaceae,Fabales,Climber,95.5813256,95.55610971,10.83854603,10.91232859,89.16145397,89.08767141,15.31448489,15.31448489,44.76259588,44.6819881,59.42687768,59.91380965
216,46119,Genebank,34,F260444,CIAT5484,Centrosema,vexillatum,Centrosema vexillatum,Fabaceae,Fabales,Climber,95.53089382,,10.98611115,,89.01388885,,15.31448489,,44.60138033,,60.40074163,
217,46119,Genebank,34,F260445,CIAT5504,Centrosema,pascuorum,Centrosema pascuorum,Fabaceae,Fabales,Climber,95.39138259,95.40637809,9.996332582,10.22685598,90.00366742,89.77314402,15.73928551,15.65447754,47.03572356,46.38360701,64.14479255,63.54406926
218,46119,Genebank,34,F260445,CIAT5504,Centrosema,pascuorum,Centrosema pascuorum,Fabaceae,Fabales,Climber,95.42137359,,10.45737937,,89.54262063,,15.56966957,,45.73149047,,62.94334597,
219,46119,Genebank,34,F260446,CIAT5599,Centrosema,arenarium,Centrosema arenarium,Fabaceae,Fabales,Climber,93.86122775,93.8915256,11.01263607,11.00037347,88.98736393,88.99962653,20.68514758,20.68514758,40.39925449,40.83274994,58.79112316,58.42201837
220,46119,Genebank,34,F260446,CIAT5599,Centrosema,arenarium,Centrosema arenarium,Fabaceae,Fabales,Climber,93.92182345,,10.98811087,,89.01188913,,20.68514758,,41.2662454,,58.05291359,
