40_sample_serial_no,40_date,40_requisitioner,40_set_ciat,40_ciat_lab_id,40_gene_bank_breeding_program_id,40_genus,40_species,40_tax_name,40_family,40_order,40_functional_group,40_dm_percentage,40_av_dm_105,40_ash_dm,40_av_ash_percentage,40_om_percentage,40_om_percentage,40_pc_percentage_dm,40_av_pc_percentage,40_adf_percentage_dm,40_av_adf_percentage_dm,40_ndf_percentage_dm,40_av_ndf_percentage_dm
Sample serial No,"Date (M,D.Y)",Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
25,46090,Genebank,32,F260055,CIAT6793,Panicum,maximum,Panicum maximum,Poaceae,Poales,Grasses,94.41111778,94.4519357,13.88788533,13.49955638,86.11211467,86.50044362,13.84396502,13.84396502,32.52566598,32.18288705,63.87156139,64.04665506
26,46090,Genebank,32,F260055,CIAT6793,Panicum,maximum,Panicum maximum,Poaceae,Poales,Grasses,94.49275362,,13.11122742,,86.88877258,,13.84396502,,31.84010813,,64.22174874,
27,46090,Genebank,32,F260056,CIAT6817,Panicum,maximum,Panicum maximum,Poaceae,Poales,Grasses,94.38056194,94.44192998,14.53658046,14.7922116,85.46341954,85.2077884,14.53292956,14.53292956,37.31240172,36.55016218,71.44343721,70.59330487
28,46090,Genebank,32,F260056,CIAT6817,Panicum,maximum,Panicum maximum,Poaceae,Poales,Grasses,94.50329802,,15.04784275,,84.95215725,,14.53292956,,35.78792265,,69.74317253,
29,46090,Genebank,32,F260057,CIAT6901,Panicum,maximum,Panicum maximum,Poaceae,Poales,Grasses,94.67213115,93.06819951,14.58561597,13.66666502,85.41438403,86.33333498,12.74698237,12.74698237,37.74716519,37.92396134,71.76747171,72.15725591
30,46090,Genebank,32,F260057,CIAT6901,Panicum,maximum,Panicum maximum,Poaceae,Poales,Grasses,91.46426787,,12.74771407,,87.25228593,,12.74698237,,38.10075748,,72.54704011,
31,46090,Genebank,32,F260058,CIAT16076,Pennisetum,purpureum,Pennisetum purpureum,Poaceae,Poales,Grasses,92.05238428,92.06356972,20.70773573,20.54179823,79.29226427,79.45820177,19.6031136,19.6031136,29.37191192,29.26652116,57.42656396,56.79550874
32,46090,Genebank,32,F260058,CIAT16076,Pennisetum,purpureum,Pennisetum purpureum,Poaceae,Poales,Grasses,92.07475515,,20.37586074,,79.62413926,,19.6031136,,29.16113039,,56.16445353,
33,46090,Genebank,32,F260059,CIAT16081,Paspalum,secans,Paspalum secans,Poaceae,Poales,Grasses,93.99060094,94.0111957,10.85932269,10.47010189,89.14067731,89.52989811,11.21059818,11.21059818,44.21973411,43.80456817,77.31129468,77.68084801
34,46090,Genebank,32,F260059,CIAT16081,Paspalum,secans,Paspalum secans,Poaceae,Poales,Grasses,94.03179046,,10.08088109,,89.91911891,,11.21059818,,43.38940223,,78.05040133,
35,46090,Genebank,32,F260060,CIAT16082,Paspalum,guenoarum,Paspalum guenoarum,Poaceae,Poales,Grasses,93.48390965,93.61820433,9.863956899,9.96103961,90.1360431,90.03896039,9.403140686,9.403140686,42.327918,41.92433718,75.23225936,74.95848152
36,46090,Genebank,32,F260060,CIAT16082,Paspalum,guenoarum,Paspalum guenoarum,Poaceae,Poales,Grasses,93.752499,,10.05812232,,89.94187768,,9.403140686,,41.52075636,,74.68470367,
37,46090,Genebank,32,F260061,CIAT16215,Brachiaria,lachnantha,Brachiaria lachnantha,Poaceae,Poales,Grasses,94.20057994,94.26142552,11.66850602,11.62433824,88.33149398,88.37566176,15.87678158,15.87678158,35.4506918,35.27578132,69.09899814,68.64994649
38,46090,Genebank,32,F260061,CIAT16215,Brachiaria,lachnantha,Brachiaria lachnantha,Poaceae,Poales,Grasses,94.32227109,,11.58017045,,88.41982955,,15.87678158,,35.10087084,,68.20089484,
39,46090,Genebank,32,F260062,CIAT16234,Echinochloa,pyramidalis,Echinochloa pyramidalis,Poaceae,Poales,Grasses,93.3240056,93.31767166,14.3188129,15.95019514,85.6811871,84.04980486,13.5547749,13.57394645,26.48386384,26.42452395,54.81171286,54.77437217
40,46090,Genebank,32,F260062,CIAT16234,Echinochloa,pyramidalis,Echinochloa pyramidalis,Poaceae,Poales,Grasses,93.31133773,,17.58157738,,82.41842262,,13.593118,,26.36518406,,54.73703148,
41,46090,Genebank,32,F260063,CIAT16254,Hyparrhenia,hirta,Hyparrhenia hirta,Poaceae,Poales,Grasses,,,,,,,,,,,,
42,46090,Genebank,32,F260063,CIAT16254,Hyparrhenia,hirta,Hyparrhenia hirta,Poaceae,Poales,Grasses,,,,,,,,,,,,
43,46090,Genebank,32,F260064,CIAT16287,Echinochloa,haploclada,Echinochloa haploclada,Poaceae,Poales,Grasses,92.07475515,92.07475515,15.08737653,16.2867687,84.91262347,83.7132313,15.26773355,15.26773355,36.31183785,36.49215392,66.07911705,66.06236549
44,46090,Genebank,32,F260064,CIAT16287,Echinochloa,haploclada,Echinochloa haploclada,Poaceae,Poales,Grasses,92.07475515,,17.48616086,,82.51383914,,15.26773355,,36.67246999,,66.04561393,
45,46090,Genebank,32,F260065,CIAT16309,Brachiaria,brizantha,Brachiaria brizantha,Poaceae,Poales,Grasses,94.71211515,94.68185984,19.57353499,18.94628157,80.42646501,81.05371843,13.64938134,13.64938134,31.46046659,31.88939411,63.49300772,64.03286222
