42_no,42_requisitioer,42_set_ciat,42_ciat_lab_id,42_gene_bank_breeding_program_id,42_genus,42_species,42_tax_name,42_family,42_order,42_functional_group,42_net_gas_8_24h_ml,42_net_gas_24h_ml,42_gas_ml_g_dm_incubated_24h,42_percentage_dmd_truly_digestibility,42_part_fact,42_ch4_percentage_in_gas_8h,42_ch4_percentage_in_gas_24h,42_ch4_ml_g_dm_incubated_24h,42_ch4_ml_g_dmd_24h,42_ch4_ml_g_ndf_digested_in_24h,42_ch4_g_g_dm_incubated_24h,42_ch4_g_g_dmd_24h
No,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group7,"Net gas 8-24h, ml","Net gas 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 % in gas, h8","CH4 % in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h"
10,Genetic bank,14,F24-3618,ABC-923,Galactia,latisiliqua,Galactia latisiliqua,Fabaceae,Fabales,Climber,1.087803443,2.147015568,4.584584951,2.82918343,0.191013289,0.240883149,0.403237087,1.321932216,3.286340795,6.05756007,0.733695251,1.823975998
11,Genetic bank,14,F24-3619,ABC-3813,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,1.004621159,0.811442411,1.750297597,2.147585272,0.28994654,0.864670065,1.197764011,0.817581205,5.824890809,3.907897866,0.453771714,3.232915176
12,Genetic bank,14,F24-3620,ABC-5512,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,1.427961915,1.097620489,2.349794946,1.872348133,0.123630876,0.25724082,0.533860281,0.691338927,1.387841188,4.036537961,0.383705065,0.77027587
13,Genetic bank,14,F24-3621,ABC-5568,Centrosema,acutifolium,Centrosema acutifolium,Fabaceae,Fabales,Climber,0.848042399,1.514133365,3.265325598,2.896913101,0.200367258,0.472450925,0.669203186,1.276490272,4.086055689,4.957496536,0.708474186,2.267831601
14,Genetic bank,14,F24-3622,ABC-5657,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,1.7669379,1.284827098,2.789665991,5.822053191,0.392338163,0.249443826,0.559905082,0.770209715,5.954355311,10.78157998,0.427479717,3.304770214
15,Genetic bank,14,F24-3623,ABC-5744,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,0.842047275,1.099235612,2.380070506,5.160768598,0.412327546,0.564441095,0.80822021,1.243775338,8.201259975,9.068298363,0.690316831,4.551841177
16,Genetic bank,14,F24-3624,ABC-7131,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,0.951237538,2.352872516,5.10732367,5.163164194,0.574141831,1.171537451,1.309617541,1.272239036,11.62387687,8.345856613,0.706114676,6.451452771
17,Genetic bank,14,F24-3625,ABC-7318,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,2.764401292,4.58027653,9.897503796,5.765155889,0.451190983,0.351559028,0.445051442,1.791282094,7.97966273,13.97444162,0.994192553,4.428850872
18,Genetic bank,14,F24-3626,ABC-7395,Galactia,striata,Galactia striata,Fabaceae,Fabales,Climber,2.791933106,5.651518489,12.28381481,9.77392034,0.783601167,0.421122013,0.630207972,2.502904542,14.9285649,20.37294495,1.389155323,8.285611797
19,Genetic bank,14,F24-3627,ABC-7648,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,2.078410833,4.195456114,9.061623579,9.218370868,0.655718566,0.427140468,0.669386794,2.255083369,8.894858141,22.54431614,1.251610285,4.936800158
20,Genetic bank,14,F24-3628,ABC-7746,Crotalaria,paulina,Crotalaria paulina,Fabaceae,Fabales,Herbaceous,1.93477152,3.195621342,6.918191514,7.978902534,0.566666156,0.3392075,0.616124752,1.504219865,6.629092162,18.52973185,0.834868049,3.67926084
21,Genetic bank,14,F24-3629,ABC-7813,Indigofera,cryptantha,Indigofera cryptantha,Fabaceae,Fabales,Herbaceous,2.396748571,3.691236391,8.138715568,9.40059051,0.470091294,0.164130361,0.336819694,1.616066966,10.74364011,30.62580391,0.896945126,5.962906138
22,Genetic bank,14,F24-3630,ABC-7831,Tephrosia,rhodesica,Tephrosia rhodesica,Fabaceae,Fabales,Shrub,1.845238497,5.516549782,11.81016436,6.070761382,0.500970328,0.237788162,0.56310248,2.475514704,9.521447381,11.68240428,1.37395349,5.284568027
23,Genetic bank,14,F24-3631,ABC-7894,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,1.668351805,3.815564401,8.162363241,7.70439149,0.590120052,0.45,0.445412262,1.654512315,9.329030018,18.82793619,0.918282959,5.177773062
24,Genetic bank,14,F24-3632,ABC-7991,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,1.613922664,2.824164052,6.062012462,8.812982947,0.731848475,1.983823469,1.999899661,3.547873749,23.53338052,22.5338352,1.969131313,13.06143334
25,Genetic bank,14,F24-3633,ABC-8202,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,2.042356551,2.755054919,5.947419136,6.450423284,0.42733819,0.268512133,0.50084269,1.257299017,7.561551879,14.03181049,0.697822707,4.196792116
26,Genetic bank,14,F24-3634,ABC-9189,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,1.481880571,2.085038561,4.479313018,7.562803387,0.588832362,0.643719659,0.70672695,1.198353137,7.232267062,19.19249686,0.665106724,4.014033345
27,Genetic bank,14,F24-3635,ABC-9434,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,1.216325445,4.279598443,9.418385728,7.90989673,0.574128396,0.121335165,0.41176002,2.160047102,13.07370493,16.59128837,1.198863513,7.256132423
28,Genetic bank,14,F24-3636,ABC-11162,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,2.163400045,3.047946547,6.610325897,8.951414743,0.557782572,0.19324531,0.412031187,1.408267402,10.88036721,17.41689803,0.781612773,6.038792045
29,Genetic bank,14,F24-3637,ABC-13301,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,1.540398404,2.490719864,5.381297517,4.924484056,0.851952175,0.513160144,0.542343182,0.879657318,10.4122186,8.387811371,0.488225031,5.778961468
30,Genetic bank,14,F24-3638,ABC-15401,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,3.862830993,4.516096849,9.698914269,1.555023974,0.229378342,0.176126114,0.333453697,1.617923318,3.315554215,3.132602688,0.897975433,1.840189952
31,LMF,14,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,0.873407215,2.647904559,11.49428135,6.563317103,0.426282794,0.439696865,0.61641939,2.547902677,13.21853804,#DIV/0!,1.414130067,7.336517304
32,LMF,14,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,1.499936066,1.464551261,6.408127502,14.28652169,0.627550227,0.279941685,0.390080732,1.145886026,66.53724779,#DIV/0!,0.63598657,36.92932368
33,LMF,14,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,1.343261534,3.365152683,7.196889524,9.982164051,0.893990338,0.427017271,0.705880429,1.581287657,43.49330849,#DIV/0!,0.877642008,24.13953869
34,Genetic bank,15,F24-3639,ABC-17360,Alysicarpus,vaginalis,Alysicarpus vaginalis,Fabaceae,Fabales,Herbaceous,1.555187037,1.012262113,2.194613556,3.30779804,0.201186825,0.549298093,0.351142442,0.635103004,2.239970299,8.924316849,0.352493155,1.24322227
35,Genetic bank,15,F24-3640,ABC-17768,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,1.868024101,4.36255343,9.305701577,6.935158912,0.383864368,0.571547607,0.387729589,1.863090622,6.58315033,14.42570756,1.034047528,3.653762328
36,Genetic bank,15,F24-3641,ABC-18004,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,1.705678316,2.716840569,5.820313436,3.292394345,0.200925382,0.44583117,0.242300856,1.149597532,4.078370669,7.243195126,0.638046519,2.263566281
37,Genetic bank,15,F24-3642,ABC-18430,Alysicarpus,vaginalis,Alysicarpus vaginalis,Fabaceae,Fabales,Herbaceous,1.840647529,1.149788912,2.487715415,4.687054426,0.289257133,0.451608921,0.382361371,0.86956031,4.64823004,11.6986258,0.482621017,2.579848091
38,Genetic bank,15,F24-3644,ABC-18708,Crotalaria,pallida,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,2.39686178,2.413633579,5.177221778,4.385738307,0.339683959,0.389047587,0.780955286,1.691792887,4.844646664,10.2327072,0.938974322,2.688862716
39,Genetic bank,15,F24-3645,ABC-18850,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,0.909922426,1.37393074,2.921759269,4.579048153,0.324656189,0.476095229,0.476779945,0.587153237,3.901902772,11.29095834,0.325880205,2.165623546
40,Genetic bank,15,F24-3646,ABC-18865,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,1.611674338,0.978874936,2.087224047,3.58453129,0.233325159,0.389047587,0.38685066,0.758969851,3.615419508,8.685561642,0.421241399,2.006620377
41,Genetic bank,15,F24-3647,ABC-19032,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,2.164746189,3.703840113,8.031661954,5.285116423,0.323251353,0.359010987,0.372536358,1.477879412,4.926507187,13.26252553,0.820248642,2.734296722
42,Genetic bank,15,F24-3648,ABC-19119,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,2.103579586,1.462151283,3.180426501,8.941614575,0.610714093,0.307117221,0.339891328,0.500166438,6.948601653,21.61637755,0.277601027,3.856594136
43,Genetic bank,15,F24-3650,ABC-20303,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,1.666973012,3.279620453,7.386148859,9.181220393,0.537467652,0.453246179,0.443795242,1.145311506,10.1253704,27.77138655,0.635667701,5.619755752
44,Genetic bank,15,F24-3651,ABC-20589,Uraria,lagopodioides,Uraria lagopodioides,Fabaceae,Fabales,Herbaceous,1.979240635,3.918084219,8.516374318,5.240121258,0.350907043,0.462948148,0.512829546,1.873694727,4.831011051,13.59305125,1.03993299,2.681294715
45,Genetic bank,15,F24-3652,ABC-21687,Desmanthus,virgatus,Desmanthus virgatus,Fabaceae,Fabales,Shrub,1.585208264,2.91481989,6.324867663,8.111847578,0.577731134,0.711805217,0.862023929,2.005088371,9.47484383,16.91730465,1.112858736,5.25870225
46,Genetic bank,15,F24-3653,ABC-22048,Aeschynomene,americana,Aeschynomene americana,Fabaceae,Fabales,Herbaceous,0.824556361,2.840174781,6.36385002,2.1570612,0.144131241,0.36968455,0.167503345,1.192917083,1.960942018,5.214701318,0.66208962,1.088356746
47,Genetic bank,15,F24-3654,ABC-22156,Arachis,pintoi,Arachis pintoi,Fabaceae,Fabales,Herbaceous,1.880586333,2.162095166,4.853811431,8.679385494,0.39615131,0.64310205,0.525898885,0.867274825,11.08653045,20.7690488,0.481352532,6.153216209
48,Genetic bank,15,F24-3655,ABC-22507,Desmanthus,subulatus,Desmanthus subulatus,Fabaceae,Fabales,Shrub,3.210907853,2.943523808,6.551012833,6.018547908,0.494102756,0.37579847,0.39901427,0.825858365,7.966763221,13.76926998,0.458365681,4.421691421
49,Genetic bank,15,F24-3656,ABC-22510,Desmanthus,bicornutus,Desmanthus bicornutus,Fabaceae,Fabales,Shrub,1.937268806,4.121933972,9.340449057,7.039446245,0.769044407,0.471533403,0.369344957,1.369974405,16.0208437,16.42044844,0.760359497,8.89184543
50,Genetic bank,15,F24-3657,ABC-22598,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,4.312037052,6.013350406,13.51856371,9.258836488,0.662038092,0.49280538,0.408116179,2.168434683,9.166271748,20.38717712,1.203518765,5.087439406
51,Genetic bank,15,F24-3658,ABC-22784,Desmanthus,bicornutus,Desmanthus bicornutus,Fabaceae,Fabales,Shrub,1.106834471,3.461516674,7.460741981,7.325255153,0.510284617,0.766077672,0.935244875,1.617041387,9.082717716,17.58342572,0.897485946,5.041065473
52,Genetic bank,15,F24-3659,ABC-25113,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,1.459255112,3.120291533,6.830599,8.907628676,0.611996933,0.406009544,0.325279206,0.832878646,10.86717883,16.58621856,0.462262058,6.031472264
53,Genetic bank,15,F24-3660,ABC-33114,Dendrolobium,sp.,Dendrolobium sp.,Fabaceae,Fabales,Shrub,3.279361307,4.731956382,10.31675992,5.036731196,0.440466184,0.645053292,0.495129645,1.343903942,11.30936184,9.156860643,0.745889939,6.276891484
54,Genetic bank,15,F24-3662,ABC-43477,Desmodium,cinereum,Desmodium cinereum,Fabaceae,Fabales,Shrub,0.638959251,1.496379603,3.272178693,8.20870511,0.607271297,0.527605295,0.337763238,0.558965018,14.67294769,21.40470694,0.310235256,8.143739826
55,Genetic bank,15,F24-3539,ABC-172-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,3.328594219,2.387585491,5.232596778,8.878639553,0.516761251,0.389087251,0.177593937,0.806915705,20.75777363,10.29885112,0.447852177,11.5209235
56,Genetic bank,15,F24-3540,ABC-1467-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,,,,,,,,,,,,
57,Genetic bank,15,F24-3541,ABC-1475-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,,,,,,,,,,,,
58,Genetic bank,15,F24-3542,ABC-1650-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,2.653974845,4.027630516,8.748189224,4.568976237,0.180107103,0.446757022,0.414238133,0.705413055,4.772685096,4.415109665,0.39151645,2.648922801
59,Genetic bank,15,F24-3543,ABC-1706-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,1.918614214,2.86856239,6.184991995,6.926140679,0.42017115,0.489064079,0.378560982,0.663779992,11.03557247,6.954654763,0.36840938,6.124933645
60,Genetic bank,15,F24-3544,ABC-1727-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,1.664796333,3.628839145,7.861847347,7.258291659,0.406063891,4.04641552,2.160550438,3.296524073,11.74099133,7.161963253,1.829627894,6.516453321
61,Genetic bank,15,F24-3545,ABC-1803-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,,,,,,,,,,,,
62,Genetic bank,15,F24-3546,ABC-1964-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,1.684823321,4.770489893,10.54041093,5.095123537,0.245601411,0.511262055,0.369111396,1.094930434,5.423499624,6.388869639,0.607705334,3.010136124
63,Genetic bank,15,F24-3547,ABC-2613-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,0.757415848,4.7110808,10.22257241,6.857526111,0.376521578,0.547722558,0.484000172,1.11013481,4.687278863,8.911664861,0.616144026,2.601520864
64,LMF,15,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,2.505590281,3.278681671,14.27872335,9.255990972,0.429975028,0.484481395,0.505098023,1.44836953,35.55485167,#DIV/0!,0.803870148,19.73355781
65,LMF,15,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,1.795882998,2.093580914,9.413892743,6.21217802,0.237408878,0.231516738,0.369695957,1.115442742,12.43665893,#DIV/0!,0.61909002,6.902560874
66,LMF,15,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,1.39156627,4.269366557,9.089360802,6.709872024,0.460487181,0.368178701,0.365746634,1.163096866,15.50225658,#DIV/0!,0.645538884,8.604020605
67,Breding ,16,F25-1701,CIAT-BR12_1362,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,4.72668938,2.3863091,5.172742607,8.805008154,0.622640941,1.103641559,0.857570634,1.766006986,5.281594589,15.27984061,0.980164431,2.931376374
68,Breding ,16,F25-1702,CIAT-BR12_2462,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,3.426205596,5.977082619,12.48261548,4.25899689,0.346714318,1.092510983,0.962192875,2.620408906,3.382856676,7.253677748,1.454372279,1.877543982
69,Breding ,16,F25-1703,CIAT-BR12_3868,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,4.220354086,3.865361373,8.193066233,4.053289083,0.413601127,1.280432026,0.989161194,2.334611014,4.1443435,7.460498956,1.295749504,2.300182344
70,Breding ,16,F25-1704,CIAT-BR15_2558,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,3.495358292,2.942843592,6.302402093,4.399705872,0.366231453,1.477568908,1.059277088,1.40844245,2.360473195,7.657655334,0.781709927,1.310103462
71,Breding ,16,F25-1705,CIAT-BR15_2811,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,2.471102466,1.664796333,3.545566362,7.370932181,0.513623609,1.181754293,1.017383674,1.376550687,4.768088422,13.21429219,0.764009447,2.646371567
72,Breding ,16,F25-1706,CIAT-BR15_2891,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,3.106485618,2.60283652,5.560417561,5.026779183,0.372669799,1.244345234,1.116092762,1.572355604,3.147288898,8.534429853,0.872684563,1.74679979
73,Breding ,16,F25-1707,CIAT-BR19_1343,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,2.205403549,1.946605095,4.152496946,4.903861576,0.406797942,1.297956609,0.958724622,1.284502746,5.541709756,8.323621448,0.712921247,3.075744792
74,Breding ,16,F25-1708,CIAT-CIAT_26110,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,3.729572121,3.829509771,8.139266394,5.020682595,0.414542918,1.022825909,0.82376717,1.995898531,7.181350732,7.645321449,1.107758216,3.985773901
75,Breding ,16,F25-1709,CIAT-CIAT_26646,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,4.853362371,3.984502666,8.558966944,5.028720774,0.430039091,1.311581836,0.866414172,2.049813197,9.104700706,8.292061627,1.137681788,5.053266413
76,Breding ,16,F25-1710,CIAT-CIAT_6297,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,3.557057946,3.365878165,7.09861068,9.193864666,0.625249915,1.004926138,0.760399351,1.60982623,16.50545541,14.85037097,0.893481409,9.160813312
77,Breding ,16,F25-1711,CIAT-BR12_4400,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,4.103607511,2.318422847,4.930346694,9.197461208,0.537176748,1.035422023,0.704133758,1.341797999,12.39205621,15.99975856,0.744721104,6.877805593
78,Breding ,16,F25-1712,CIAT-BR15_3434,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,5.310495767,2.332974848,4.915251606,9.003349259,0.561187659,0.880796497,0.782402581,1.774236795,13.4631662,16.04446094,0.984732117,7.472290167
79,Breding ,16,F25-1713,CIAT-BR15_3811,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,5.544333433,2.255529679,4.689033404,9.694844276,0.635531682,0.725377722,0.564089815,1.113798171,13.03594518,16.62353271,0.618177255,7.235175113
80,Breding ,16,F25-1714,CIAT-BR15_6547,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,1.885092859,9.335849018,19.70377968,9.346913291,0.925099394,1.409491634,0.906171795,1.757031788,10.54460115,16.04758055,0.975183041,5.852436071
81,Breding ,16,F25-1715,CIAT-BR15_7121,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,3.710727573,2.598653761,5.462345762,7.464394075,0.484621118,0.941367537,0.836775782,1.336072926,7.120635397,13.21599518,0.741543589,3.95207584
82,Breding ,16,F25-1716,CIAT-BR15_8887,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,3.485803944,2.156108623,4.557916526,4.778126059,0.266646988,1.002038738,0.732818794,0.726533097,4.326203396,8.037893951,0.403238439,2.401117733
83,Breding ,16,F25-1717,CIAT-BR19_4678,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,5.061728468,3.569481536,7.658946882,6.516261113,0.36374514,0.780945928,0.67842852,1.335140226,6.435086577,12.09290362,0.741025925,3.571584384
84,Breding ,16,F25-1718,CIAT-BR19_5029,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,3.229950979,3.213315406,6.733144087,7.637506896,0.540665313,1.010439337,0.688783654,0.925425832,7.164682574,12.92849242,0.513627347,3.976522785
85,Breding ,16,F25-1719,CIAT-BR19_5357,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,5.646000457,4.049384267,8.550841998,9.496545934,0.519666137,0.744527359,0.65622215,1.517933695,9.972189395,16.25981668,0.842479463,5.534737643
86,Breding ,16,F25-1720,CIAT-BR19_5381,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,3.680186759,2.742412699,5.817534732,9.898560723,0.642277239,0.849981844,0.708738359,0.923480289,11.64368554,16.63021538,0.512547537,6.462446924
87,Breding ,16,F25-1721,CIAT-BR02_0465,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,3.734794338,2.319790975,4.799099727,7.545826234,0.458050127,0.998888271,0.8247387,1.291868333,8.149672035,11.50015428,0.717009276,4.523208977
88,Breding ,16,F25-1722,CIAT-BR04_3025,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,4.321004024,3.249537925,6.778128767,6.81002502,0.3781161,0.934655149,0.574813477,1.005921987,7.47966111,10.10089739,0.558304106,4.151341322
89,Breding ,16,F25-1723,CIAT-BR05_1435,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,3.517462898,3.590919549,7.488171322,6.091622667,0.457973572,1.200102876,0.844617627,1.168429587,6.059616063,9.935274365,0.648498636,3.363191753
90,Breding ,16,F25-1724,CIAT-BR09_3660,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,3.468626341,2.635804876,5.463585276,8.450047776,0.586141053,1.347161367,1.017029222,0.949235872,11.01562693,13.79599637,0.526842332,6.113863528
91,Breding ,16,F25-1725,CIAT-BR19_1264,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,4.336835293,3.346965074,6.935819308,5.004706386,0.328241408,0.793725393,0.559233347,0.80336378,5.435968342,8.889354149,0.445880797,3.017056478
92,Breding ,16,F25-1726,CIAT-BR19_5217,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,2.97047759,4.264420666,8.876096209,6.140388988,0.317677074,1.072856192,0.77355465,0.769795997,7.647508122,10.11512888,0.427250097,4.244499318
93,Breding ,16,F25-1727,CIAT-CIAT_26124,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,4.196551769,2.68697997,5.592111083,8.833775438,0.582941435,0.884991456,0.771151021,1.185263186,10.07636301,13.61660954,0.657841575,5.592555802
94,LMF,16,F25-2076,ILRI-15551,Leucaena,diversifolia,Leucaena diversifolia,Fabaceae,"	Fabales",Tree,2.154782528,2.581946918,5.369323451,6.322648181,0.417568554,0.874584449,0.523716183,0.480033662,4.742416708,10.43944222,0.266426987,2.632123322
95,LMF-invivo,16,F25-2122,ILRI-15551,Leucaena,diversifolia,Leucaena diversifolia,Fabaceae,"	Fabales",Tree,3.446649974,4.204896109,9.241309604,8.226328555,0.820172444,0.677868846,0.319978767,0.834351139,6.666345074,15.86256952,0.463079317,3.699936851
96,LMF,16,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,2.835248169,3.65878013,16.07226548,17.61703671,1.023609926,1.205650758,0.697849038,1.919606033,53.54518208,#DIV/0!,1.065414559,29.71850244
97,LMF,16,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,3.431185004,2.115397341,9.371575535,13.67271982,0.550080577,0.777619031,0.35692839,0.996659017,21.09971686,#DIV/0!,0.553162998,11.7107079
98,LMF,16,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,2.005102262,2.099049801,4.481812003,6.986704531,0.655923803,0.770922167,0.478607664,0.445306931,15.56343525,#DIV/0!,0.247153051,8.637975828
99,Genetic bank,17,F25-0929,ABC-15474,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,0.784845993,2.438303924,5.299253449,6.248545534,0.63548886,0.585234996,0.421760329,1.128676108,7.700658213,11.15313795,0.626434767,4.273998537
100,Genetic bank,17,F25-0930,ABC-15470,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,1.022508994,2.443124615,5.193155342,6.239839663,0.581332588,0.831330928,0.67862048,1.313535294,8.437285408,10.68740201,0.729034814,4.682839375
101,Genetic bank,17,F25-0931,ABC-13268,Tadehagi,triquetrum,Tadehagi triquetrum,Fabaceae,Fabales,Herbaceous,0.785904062,2.124804221,4.528809628,6.76791823,0.76484696,0.488636298,0.415316856,0.810159259,5.144383196,13.35685461,0.449652406,2.855221677
102,Genetic bank,17,F25-0932,ABC-22768,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,1.084464908,2.108529614,4.471742824,6.925498719,0.379034351,0.355902608,0.290420536,0.90533412,6.765592722,13.9824323,0.5024761,3.755021012
103,Genetic bank,17,F25-0933,ABC-22770,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,0.956449837,1.624704304,3.465772909,8.77716208,0.442024617,0.476969601,0.380197818,0.901988693,8.154153245,21.75796252,0.50061933,4.525696126
104,Genetic bank,17,F25-0934,ABC-18701,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,0.873320717,2.913588049,6.150919499,8.683782288,0.983573192,0.880796497,0.509479332,0.970853573,22.38656628,14.44408232,0.53884053,12.42493159
105,Genetic bank,17,F25-0935,ABC-20891,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,0.929634225,0.996921642,2.076008563,5.402232079,0.583066825,0.820267948,0.514563741,0.655997106,8.708166823,10.03479535,0.364089743,4.833183247
106,Genetic bank,17,F25-0936,ABC-5172,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,0.490439704,2.386423063,5.110872455,8.968238057,0.781274321,0.670175949,0.484149347,1.10972173,12.10881627,14.49412211,0.61591476,6.720602524
107,Genetic bank,17,F25-0937,ABC-5452,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,1.356951462,1.45151365,3.069675441,2.68415645,0.225210248,0.37579847,0.254392574,0.481385049,4.724695936,5.314108988,0.267177031,2.622287987
108,Genetic bank,17,F25-0938,ABC-5733,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,2.092241067,5.381185065,11.3106717,7.833063047,0.618524388,0.669069743,0.49884644,1.714652194,11.56004439,16.3888755,0.951661633,6.416024637
