40qraw_no,40qraw_set_ciat,40qraw_sample_id,40qraw_gene_bank_breeding_program_id,40qraw_genus,40qraw_species,40qraw_tax_name,40qraw_family,40qraw_order,40qraw_functional_group,40qraw_replication_dm_percentage,40qraw_dm_percentage,40qraw_av_dm_105,40qraw_ash_dm,40qraw_av_ash_percentage,40qraw_om_percentage,40qraw_om_percentage,40qraw_pc_percentage_dm,40qraw_av_pc_percentage,40qraw_adf_percentage_dm,40qraw_av_adf_percentage_dm,40qraw_ndf_percentage_dm,40qraw_av_ndf_percentage_dm
No,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Replication,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
29,14,F24-3623,ABC-5744,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,A,93.59,93.595,14.87,14.865,85.13,85.135,17.67,17.67,33.13,33.74,56.74,56.91
30,14,F24-3623,ABC-5744,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,B,93.6,,14.86,,85.14,,17.67,,34.35,,57.08,
31,14,F24-3624,ABC-7131,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,A,92.13,92.21,6.92,7.09,93.08,92.91,16.02,16.02,50.26,49.775,62.53,61.865
32,14,F24-3624,ABC-7131,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,B,92.29,,7.26,,92.74,,16.02,,49.29,,61.2,
33,14,F24-3625,ABC-7318,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,A,92.38,92.41,17.45,17.32,82.55,82.68,17.71,17.71,20.25,20.895,41.72,41.255
34,14,F24-3625,ABC-7318,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,B,92.44,,17.19,,82.81,,17.71,,21.54,,40.79,
35,14,F24-3626,ABC-7395,Galactia,striata,Galactia striata,Fabaceae,Fabales,Climber,A,91.77,91.725,16.67,16.66,83.33,83.34,13.71,13.71,21.22,20.775,47.32,47.975
36,14,F24-3626,ABC-7395,Galactia,striata,Galactia striata,Fabaceae,Fabales,Climber,B,91.68,,16.65,,83.35,,13.71,,20.33,,48.63,
37,14,F24-3627,ABC-7648,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,A,91.95,91.985,18.02,18.015,81.98,81.985,22.05,22.05,18.52,17.995,42.47,40.89
38,14,F24-3627,ABC-7648,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,B,92.02,,18.01,,81.99,,22.05,,17.47,,39.31,
39,14,F24-3628,ABC-7746,Crotalaria,paulina,Crotalaria paulina,Fabaceae,Fabales,Herbaceous,A,91.95,92.06,21.97,22.45,78.03,77.55,14.81,14.81,20.58,21.01,41.54,43.06
40,14,F24-3628,ABC-7746,Crotalaria,paulina,Crotalaria paulina,Fabaceae,Fabales,Herbaceous,B,92.17,,22.93,,77.07,,14.81,,21.44,,44.58,
41,14,F24-3629,ABC-7813,Indigofera,cryptantha,Indigofera cryptantha,Fabaceae,Fabales,Herbaceous,A,90.15,90.14,14.11,12.325,85.89,87.675,26.44,26.44,20.27,20.9,30.63,30.695
42,14,F24-3629,ABC-7813,Indigofera,cryptantha,Indigofera cryptantha,Fabaceae,Fabales,Herbaceous,B,90.13,,10.54,,89.46,,26.44,,21.53,,30.76,
43,14,F24-3630,ABC-7831,Tephrosia,rhodesica,Tephrosia rhodesica,Fabaceae,Fabales,Shrub,A,93.65,93.595,15.1,17.205,84.9,82.795,21.67,21.67,19.71,19.27,50.36,51.965
44,14,F24-3630,ABC-7831,Tephrosia,rhodesica,Tephrosia rhodesica,Fabaceae,Fabales,Shrub,B,93.54,,19.31,,80.69,,21.67,,18.83,,53.57,
45,14,F24-3631,ABC-7894,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,A,93.33,93.355,23.39,21.765,76.61,78.235,21.13,21.16,19.73,19.125,40.15,40.92
46,14,F24-3631,ABC-7894,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,B,93.38,,20.14,,79.86,,21.19,,18.52,,41.69,
47,14,F24-3632,ABC-7991,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,A,92.89,92.96,19.91,23.025,80.09,76.975,24.54,24.54,22.79,23.24,38.52,39.11
48,14,F24-3632,ABC-7991,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,B,93.03,,26.14,,73.86,,24.54,,23.69,,39.7,
49,14,F24-3633,ABC-8202,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,A,92.72,92.655,22.54,17.515,77.46,82.485,24.37,24.37,23.04,22.99,43.77,45.97
