21_no,21_date,21_requisitioner,21_set_ciat,21_ciat_lab_id,21_gene_bank_breeding_program_id,21_genus,21_species,21_tax_name,21_family,21_order,21_functional_group,21_ot,21_replication,21_dm_percentage,21_av_dm_105,21_ash_percentage,21_av_ash_percentage,21_om_percentage,21_av_om_percentage
No,Date,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,,Replication,"DM, %",Av DM 105,"Ash, %","Av Ash, %","OM, %","Av OM, %"
32,,Genetic bank,23,F25-1660,CIAT-7799,Dioclea,guianensis,Dioclea guianensis,Fabaceae,Fabales,Climber,OT-008,B,93.53387967,,7.720355565,,92.27964444,
33,,Genetic bank,23,F25-1661,CIAT-7803,Dioclea,holtiana,Dioclea holtiana,Fabaceae,Fabales,Climber,OT-008,A,94.21289355,94.24259232,11.443454,11.45463261,88.556546,88.54536739
34,,Genetic bank,23,F25-1661,CIAT-7803,Dioclea,holtiana,Dioclea holtiana,Fabaceae,Fabales,Climber,OT-008,B,94.27229108,,11.46581123,,88.53418877,
35,,Genetic bank,23,F25-1662,CIAT-8182,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,OT-008,A,93.16478465,93.32304419,7.26000462,7.31538588,92.73999538,92.68461412
36,,Genetic bank,23,F25-1662,CIAT-8182,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,OT-008,B,93.48130374,,7.37076714,,92.62923286,
37,,Genetic bank,23,F25-1663,CIAT-8434,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,OT-008,A,93.49195241,93.51597621,8.41315038,8.366292233,91.58684962,91.63370777
38,,Genetic bank,23,F25-1663,CIAT-8434,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,OT-008,B,93.54,,8.319434086,,91.68056591,
39,,Genetic bank,23,F25-1664,CIAT-8702,Calopogonium,caeruleum,Calopogonium caeruleum,Fabaceae,Fabales,Climber,OT-008,A,92.91495953,93.00885921,8.670523453,8.677197194,91.32947655,91.32280281
40,,Genetic bank,23,F25-1664,CIAT-8702,Calopogonium,caeruleum,Calopogonium caeruleum,Fabaceae,Fabales,Climber,OT-008,B,93.1027589,,8.683870935,,91.31612906,
41,,Genetic bank,23,F25-1665,CIAT-8816,Crotalaria,micans,Crotalaria micans,Fabaceae,Fabales,Herbaceous,OT-008,A,93.40065993,93.44598084,9.319961125,9.292747145,90.68003887,90.70725285
42,,Genetic bank,23,F25-1665,CIAT-8816,Crotalaria,micans,Crotalaria micans,Fabaceae,Fabales,Herbaceous,OT-008,B,93.49130174,,9.265533166,,90.73446683,
43,,Genetic bank,23,F25-1666,CIAT-8826,Zapoteca,formosa,Zapoteca formosa,Fabaceae,Fabales,Shrub,OT-008,A,93.62063794,93.70687069,9.560776092,9.521533042,90.43922391,90.47846696
44,,Genetic bank,23,F25-1666,CIAT-8826,Zapoteca,formosa,Zapoteca formosa,Fabaceae,Fabales,Shrub,OT-008,B,93.79310345,,9.482289992,,90.51771001,
45,,Genetic bank,23,F25-1667,CIAT-9578,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,OT-008,A,95.05049495,95.07598225,7.22507715,7.245384357,92.77492285,92.75461564
46,,Genetic bank,23,F25-1667,CIAT-9578,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,OT-008,B,95.10146956,,7.265691564,,92.73430844,
47,,Genetic bank,23,F25-1668,CIAT-9740,Chamaecrista,desvauxii,Chamaecrista desvauxii,Fabaceae,Fabales,Herbaceous,OT-008,A,95.26189524,95.38162242,8.258246254,8.269140098,91.74175375,91.7308599
