23_no,23_date,23_requisitioner,23_set_ciat,23_ciat_lab_id,23_gene_bank_breeding_program_id,23_genus,23_species,23_tax_name,23_family,23_order,23_functional_group,23_batches_ciat,23_id_lab,23_replication,23_adf_percentage_dm,23_av_adf_percentage_dm,
No,Date,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Batches  CIAT,ID LAB,Replication,"ADF, % (DM)"," Av ADF, % (DM)",
32,46041,Genbank,27,F251743,CIAT-23933,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),B,50.69885089,,
33,46041,Genbank,27,F251744,CIAT-23934,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),A,42.44053698,43.73700737,
34,46041,Genbank,27,F251744,CIAT-23934,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),B,45.03347776,,
35,46041,Genbank,27,F251745,CIAT-23936,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),A,48.06815266,49.20967469,
36,46041,Genbank,27,F251745,CIAT-23936,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),B,50.35119672,,
37,46041,Genbank,27,F251746,CIAT-33119,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),A,41.53419899,40.97747309,
38,46041,Genbank,27,F251746,CIAT-33119,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),B,40.4207472,,
39,46041,Genbank,27,F251747,CIAT-33383,Dendrolobium,sp.,Dendrolobium sp.,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),A,46.50900028,47.33808634,
40,46041,Genbank,27,F251747,CIAT-33383,Dendrolobium,sp.,Dendrolobium sp.,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),B,48.1671724,,
41,46041,Genbank,27,F251748,CIAT-33402,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),A,45.1747339,45.18159981,
42,46041,Genbank,27,F251748,CIAT-33402,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),B,45.18846573,,
43,46041,Genbank,27,F251749,CIAT-33508,Dendrolobium,umbellatum,Dendrolobium umbellatum,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),A,44.31520343,45.81166384,
44,46041,Genbank,27,F251749,CIAT-33508,Dendrolobium,umbellatum,Dendrolobium umbellatum,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),B,47.30812425,,
45,46041,Genbank,27,F251750,CIAT-33515,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),A,50.95605371,51.4709948,
46,46041,Genbank,27,F251750,CIAT-33515,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),B,51.98593588,,
47,46041,Genbank,27,F251751,CIAT-7353,Prosopis,juliflora,Prosopis juliflora,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),A,28.99543989,29.37746941,
48,46041,Genbank,27,F251751,CIAT-7353,Prosopis,juliflora,Prosopis juliflora,Fabaceae,Fabales,Tree,"58,59, 69",OT-010 (2025),B,29.75949892,,
