24_no,24_date,24_requisitioner,24_set_ciat,24_ciat_lab_id,24_gene_bank_breeding_program_id,24_genus,24_species,24_tax_name,24_family,24_order,24_functional_group,24_batches_ciat,24_id_lab,24_replication,24_ndf_percentage_dm,24_av_adf_percentage_dm,
No,Date,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Batches  CIAT,ID LAB,Replication,"NDF, % (DM)"," Av ADF, % (DM)",
140,46048,Genbank,28,F252581,CIAT2690,Stylosanthes,angustifolia,Stylosanthes angustifolia,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,59.69515569,,
141,46048,Genbank,28,F252582,CIAT4069,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,50.50997569,51.70747699,
142,46048,Genbank,28,F252582,CIAT4069,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,52.90497829,,
143,46048,Genbank,28,F252583,CIAT4141,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,48.46037716,49.14474341,
144,46048,Genbank,28,F252583,CIAT4141,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,49.82910966,,
145,46048,Genbank,28,F252584,CIAT4532,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,48.02170794,48.31644356,
146,46048,Genbank,28,F252584,CIAT4532,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,48.61117918,,
147,46048,Genbank,28,F252585,CIAT4537,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,51.30312744,49.62995675,
148,46048,Genbank,28,F252585,CIAT4537,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,47.95678606,,
149,46048,Genbank,28,F252586,CIAT7289,Chamaecrista,mimosoides,Chamaecrista mimosoides,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,58.07161357,57.4537689,
150,46048,Genbank,28,F252586,CIAT7289,Chamaecrista,mimosoides,Chamaecrista mimosoides,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,56.83592424,,
151,46048,Genbank,28,F252587,CIAT7826,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,53.01180437,53.5689522,
152,46048,Genbank,28,F252587,CIAT7826,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,54.12610002,,
153,46048,Genbank,28,F252588,CIAT8014,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,56.56295091,54.87836737,
154,46048,Genbank,28,F252588,CIAT8014,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,53.19378383,,
155,46048,Genbank,28,F252589,CIAT8849,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,52.25595779,51.95522499,
156,46048,Genbank,28,F252589,CIAT8849,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,51.6544922,,
157,46048,Genbank,28,F252590,CIAT9326,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,49.51312019,49.99219678,
158,46048,Genbank,28,F252590,CIAT9326,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,50.47127337,,
159,46048,Genbank,28,F252591,CIAT9337,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,46.74297958,47.12307465,
160,46048,Genbank,28,F252591,CIAT9337,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,47.50316973,,
161,46048,Genbank,28,F252592,CIAT9350,Crotalaria,pumila,Crotalaria pumila,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,49.65055275,49.72480329,
162,46048,Genbank,28,F252592,CIAT9350,Crotalaria,pumila,Crotalaria pumila,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,49.79905383,,
163,46048,Genbank,28,F252593,CIAT9352,Crotalaria,pumila,Crotalaria pumila,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,55.45730519,56.4475563,
164,46048,Genbank,28,F252593,CIAT9352,Crotalaria,pumila,Crotalaria pumila,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,57.43780741,,
165,46048,Genbank,28,F252594,CIAT9472,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,51.00615057,49.46694066,
166,46048,Genbank,28,F252594,CIAT9472,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,47.92773074,,
167,46048,Genbank,28,F252595,CIAT9531,Indigofera,spicata,Indigofera spicata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,43.30245075,42.67117825,
168,46048,Genbank,28,F252595,CIAT9531,Indigofera,spicata,Indigofera spicata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,42.03990575,,
169,46048,Genbank,28,F252596,CIAT10026,Stylosanthes,seabrana,Stylosanthes seabrana,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,56.31724449,57.2475561,
170,46048,Genbank,28,F252596,CIAT10026,Stylosanthes,seabrana,Stylosanthes seabrana,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,58.17786772,,
171,46048,Genbank,28,F252597,CIAT12411,Stylosanthes,sympodialis,Stylosanthes sympodialis,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,59.84167667,61.11490658,
172,46048,Genbank,28,F252597,CIAT12411,Stylosanthes,sympodialis,Stylosanthes sympodialis,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,62.3881365,,
173,46048,Genbank,28,F252598,CIAT13494,Desmodium,tortuosum,Desmodium tortuosum,Fabaceae,Fabales,Shurb_Tree,"60,61, 62",OT-031,A,51.17510205,50.71948924,
174,46048,Genbank,28,F252598,CIAT13494,Desmodium,tortuosum,Desmodium tortuosum,Fabaceae,Fabales,Shurb_Tree,"60,61, 62",OT-031,B,50.26387644,,
175,46048,Genbank,28,F252599,CIAT13562,Desmodium,tortuosum,Desmodium tortuosum,Fabaceae,Fabales,Shurb_Tree,"60,61, 62",OT-031,A,48.93826659,50.31546122,
176,46048,Genbank,28,F252599,CIAT13562,Desmodium,tortuosum,Desmodium tortuosum,Fabaceae,Fabales,Shurb_Tree,"60,61, 62",OT-031,B,51.69265585,,
177,46048,Genbank,28,F252600,CIAT13593,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,58.87300675,58.29471345,
178,46048,Genbank,28,F252600,CIAT13593,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,57.71642016,,
179,46048,Genbank,28,F252601,CIAT13608,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,58.51360874,59.51631388,
180,46048,Genbank,28,F252601,CIAT13608,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,60.51901901,,
181,46048,Genbank,28,F252602,CIAT18277,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,51.31534157,49.95690317,
182,46048,Genbank,28,F252602,CIAT18277,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,48.59846477,,
183,46048,Genbank,28,F252603,CIAT18952,Indigofera,atriceps,Indigofera atriceps,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,A,48.97461106,48.14587528,
184,46048,Genbank,28,F252603,CIAT18952,Indigofera,atriceps,Indigofera atriceps,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,B,47.3171395,,
185,46048,Jacobo Arango/ Alejandro Montoya,28,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,"60,61, 62",OT-002,A,76.1,76.1,
186,46048,Jacobo Arango/ Alejandro Montoya,28,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,"60,61, 62",OT-002,B,76.1,,
187,46055,Genbank,29,F252604,CIAT18953,Indigofera,atriceps,Indigofera atriceps,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),A,52.56458331,52.71607252,
188,46055,Genbank,29,F252604,CIAT18953,Indigofera,atriceps,Indigofera atriceps,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),B,52.86756172,,
189,46055,Genbank,29,F252605,CIAT18954,Indigofera,atriceps,Indigofera atriceps,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),A,53.16702551,51.54142924,
190,46055,Genbank,29,F252605,CIAT18954,Indigofera,atriceps,Indigofera atriceps,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),B,49.91583297,,
191,46055,Genbank,29,F252606,CIAT19198,Tephrosia,villosa,Tephrosia villosa,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),A,51.80362673,51.72595541,
192,46055,Genbank,29,F252606,CIAT19198,Tephrosia,villosa,Tephrosia villosa,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),B,51.64828408,,
193,46055,Genbank,29,F252607,CIAT19460,Sesbania,cannabina,Sesbania cannabina,Fabaceae,Fabales,Shurb_Tree,"62,63,70",OT-031 (2025),A,53.94964439,53.52216236,
194,46055,Genbank,29,F252607,CIAT19460,Sesbania,cannabina,Sesbania cannabina,Fabaceae,Fabales,Shurb_Tree,"62,63,70",OT-031 (2025),B,53.09468033,,
195,46055,Genbank,29,F252608,CIAT20044,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),A,44.20562716,47.09847003,
196,46055,Genbank,29,F252608,CIAT20044,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),B,49.99131291,,
197,46055,Genbank,29,F252609,CIAT22423,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),A,49.2720946,48.09171036,
198,46055,Genbank,29,F252609,CIAT22423,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),B,46.91132612,,
199,46055,Genbank,29,F252610,CIAT22480,Sesbania,cannabina,Sesbania cannabina,Fabaceae,Fabales,Shurb_Tree,"62,63,70",OT-031 (2025),A,45.0150221,45.50718605,
200,46055,Genbank,29,F252610,CIAT22480,Sesbania,cannabina,Sesbania cannabina,Fabaceae,Fabales,Shurb_Tree,"62,63,70",OT-031 (2025),B,45.99934999,,
201,46055,Genbank,29,F252611,CIAT23116,Desmodium,tortuosum,Desmodium tortuosum,Fabaceae,Fabales,Shurb_Tree,"62,63,70",OT-031 (2025),A,58.82616843,59.76976267,
202,46055,Genbank,29,F252611,CIAT23116,Desmodium,tortuosum,Desmodium tortuosum,Fabaceae,Fabales,Shurb_Tree,"62,63,70",OT-031 (2025),B,60.71335691,,
203,46055,Genbank,29,F252612,CIAT23416,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,"62,63,70",OT-031 (2025),A,56.80832741,56.80210099,
204,46055,Genbank,29,F252612,CIAT23416,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,"62,63,70",OT-031 (2025),B,56.79587457,,
205,46055,Genbank,29,F252613,CIAT23806,Desmodium,angustifolium,Desmodium angustifolium,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),A,58.98550734,58.8249955,
206,46055,Genbank,29,F252613,CIAT23806,Desmodium,angustifolium,Desmodium angustifolium,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),B,58.66448366,,
207,46055,Genbank,29,F252614,CIAT24104,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),A,45.16684591,45.24206845,
208,46055,Genbank,29,F252614,CIAT24104,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),B,45.31729099,,
209,46055,Genbank,29,F252615,CIAT24565,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),A,49.24363864,49.60982929,
210,46055,Genbank,29,F252615,CIAT24565,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),B,49.97601993,,
211,46055,Genbank,29,F252616,CIAT33561,Desmodium,wigginsii,Desmodium wigginsii,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),A,53.77150408,54.68491243,
212,46055,Genbank,29,F252616,CIAT33561,Desmodium,wigginsii,Desmodium wigginsii,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),B,55.59832078,,
213,46055,Genbank,29,F252617,CIAT34038,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),A,46.16750937,46.95850581,R
214,46055,Genbank,29,F252617,CIAT34038,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),B,47.74950224,,R
215,46055,Genbank,29,F252618,CIAT34040,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),A,41.94484888,41.97499569,
216,46055,Genbank,29,F252618,CIAT34040,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),B,42.0051425,,
217,46055,Genbank,29,F252619,CIAT34042,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),A,49.68867385,48.96011878,
218,46055,Genbank,29,F252619,CIAT34042,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),B,48.23156371,,
219,46055,Genbank,29,F252620,CIAT34044,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),A,55.23353182,54.26696547,
220,46055,Genbank,29,F252620,CIAT34044,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),B,53.30039912,,
221,46055,Genbank,29,F252621,CIAT34148,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),A,44.08476708,44.74617815,
222,46055,Genbank,29,F252621,CIAT34148,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),B,45.40758921,,
223,46055,Genbank,29,F252622,CIAT34159,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),A,48.13623771,48.63590186,
224,46055,Genbank,29,F252622,CIAT34159,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),B,49.135566,,
225,46055,Genbank,29,F252623,CIAT34347,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),A,43.22372754,42.67650731,
226,46055,Genbank,29,F252623,CIAT34347,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),B,42.12928707,,
227,46055,Genbank,29,F251692,CIAT-23715,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,"62,63,70",OT-008 (2025),A,64.69971686,65.41813429,
228,46055,Genbank,29,F251692,CIAT-23715,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,"62,63,70",OT-008 (2025),B,66.13655172,,
229,46055,Jacobo Arango/ Alejandro Montoya,29,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,"62,63,70",OT-002 (2025),A,76.1,76.1,
230,46055,Jacobo Arango/ Alejandro Montoya,29,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,"62,63,70",OT-002 (2025),B,76.1,,
231,46062,Genbank,30,F260013,CIAT590,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,55.8271184,55.46053751,
232,46062,Genbank,30,F260013,CIAT590,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,55.09395663,,
233,46062,Genbank,30,F260014,CIAT778,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,52.30029735,52.82335268,
234,46062,Genbank,30,F260014,CIAT778,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,53.34640801,,
235,46062,Genbank,30,F260015,CIAT827,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,47.08554151,47.59931685,
236,46062,Genbank,30,F260015,CIAT827,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,48.11309219,,
237,46062,Genbank,30,F260016,CIAT997,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,50.53571142,50.82440462,
238,46062,Genbank,30,F260016,CIAT997,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,51.11309781,,
239,46062,Genbank,30,F260017,CIAT1405,Stylosanthes,capitata,Stylosanthes capitata,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,61.52843714,60.85475545,
240,46062,Genbank,30,F260017,CIAT1405,Stylosanthes,capitata,Stylosanthes capitata,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,60.18107376,,
241,46062,Genbank,30,F260018,CIAT1812,Stylosanthes,viscosa,Stylosanthes viscosa,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,55.43478458,56.27749872,
242,46062,Genbank,30,F260018,CIAT1812,Stylosanthes,viscosa,Stylosanthes viscosa,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,57.12021285,,
243,46062,Genbank,30,F260019,CIAT3694,Desmodium,sandwicense,Desmodium sandwicense,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,59.80370585,61.01002163,
244,46062,Genbank,30,F260019,CIAT3694,Desmodium,sandwicense,Desmodium sandwicense,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,62.21633741,,
245,46062,Genbank,30,F260020,CIAT4080,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,51.09512052,51.2582552,
246,46062,Genbank,30,F260020,CIAT4080,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,51.42138988,,
247,46062,Genbank,30,F260021,CIAT7162,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,44.92651898,45.22297582,
248,46062,Genbank,30,F260021,CIAT7162,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,45.51943266,,
249,46062,Genbank,30,F260022,CIAT8820,Tephrosia,cinerea,Tephrosia cinerea,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,51.84466,51.88640213,
250,46062,Genbank,30,F260022,CIAT8820,Tephrosia,cinerea,Tephrosia cinerea,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,51.92814426,,
251,46062,Genbank,30,F260023,CIAT14080,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,47.66846964,46.64743066,
252,46062,Genbank,30,F260023,CIAT14080,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,45.62639169,,
253,46062,Genbank,30,F260024,CIAT18950,Indigofera,spicata,Indigofera spicata,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,41.18982428,41.87243206,
254,46062,Genbank,30,F260024,CIAT18950,Indigofera,spicata,Indigofera spicata,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,42.55503985,,
255,46062,Genbank,30,F260025,CIAT19193,Tephrosia,villosa,Tephrosia villosa,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,57.97107762,58.06170212,
256,46062,Genbank,30,F260025,CIAT19193,Tephrosia,villosa,Tephrosia villosa,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,58.15232662,,
257,46062,Genbank,30,F260026,CIAT19641,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,61.3245639,61.48689666,
258,46062,Genbank,30,F260026,CIAT19641,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,61.64922941,,
259,46062,Genbank,30,F260027,CIAT23503,Desmodium,macrodesmum,Desmodium macrodesmum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,56.17776724,55.64138337,
260,46062,Genbank,30,F260027,CIAT23503,Desmodium,macrodesmum,Desmodium macrodesmum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,55.1049995,,
261,46062,Genbank,30,F260028,CIAT24333,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,55.38347234,55.05017813,
262,46062,Genbank,30,F260028,CIAT24333,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,54.71688391,,
263,46062,Genbank,30,F260029,CIAT33235,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,55.28578059,56.61392534,
264,46062,Genbank,30,F260029,CIAT33235,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,57.9420701,,
265,46062,Genbank,30,F260030,CIAT33605,Desmodium,sandwicense x intortum,Desmodium sandwicense x intortum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,60.38181453,59.61207668,
266,46062,Genbank,30,F260030,CIAT33605,Desmodium,sandwicense x intortum,Desmodium sandwicense x intortum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,58.84233884,,
267,46062,Genbank,30,F260031,CIAT34144,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,49.03854788,48.92808471,
268,46062,Genbank,30,F260031,CIAT34144,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),B,48.81762153,,
269,46062,Genbank,30,F260032,CIAT7934,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),B,48.26924806,48.67231746,
270,46062,Genbank,30,F260032,CIAT7934,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),B,49.07538686,,
271,46062,Genbank,30,F260033,CIAT7937,Mimosa,nuda,Mimosa nuda,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),B,61.9745792,62.25922773,
272,46062,Genbank,30,F260033,CIAT7937,Mimosa,nuda,Mimosa nuda,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),B,62.54387625,,
273,46062,Genbank,30,F260034,CIAT8056,Mimosa,diplotricha,Mimosa diplotricha,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),B,53.93183451,54.43280223,
,46062,Genbank,30,F260034,CIAT8056,Mimosa,diplotricha,Mimosa diplotricha,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),B,54.93376996,,
,46062,Genbank,30,F260035,CIAT17514,Mimosa,pudica,Mimosa pudica,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),B,59.10010519,59.39065915,
,46062,Genbank,30,F260035,CIAT17514,Mimosa,pudica,Mimosa pudica,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),B,59.6812131,,
,46062,Genbank,30,F260036,CIAT17725,Mimosa,polycarpa,Mimosa polycarpa,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),B,60.31573107,61.08402371,
,46062,Genbank,30,F260036,CIAT17725,Mimosa,polycarpa,Mimosa polycarpa,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),B,61.85231634,,
,46062,Genbank,30,F260037,CIAT18947,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),B,44.9274122,46.00442211,
,46062,Genbank,30,F260037,CIAT18947,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),B,47.08143203,,
,46062,Genbank,30,F260038,CIAT19165,Sesbania,keniensis,Sesbania keniensis,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),B,50.45526667,50.40359431,
,46062,Genbank,30,F260038,CIAT19165,Sesbania,keniensis,Sesbania keniensis,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),B,50.35192195,,
,46062,Genbank,30,F260039,CIAT21899,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),B,63.16837771,63.02658913,
,46062,Genbank,30,F260039,CIAT21899,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),B,62.88480054,,
,46062,Genbank,30,F260040,CIAT23414,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),B,61.39164182,62.85339032,
,46062,Genbank,30,F260040,CIAT23414,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),B,64.31513883,,
,46062,Genbank,30,F260041,CIAT23767,Desmodium,nicaraguense,Desmodium nicaraguense,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),B,55.90629074,54.7173096,
,46062,Genbank,30,F260041,CIAT23767,Desmodium,nicaraguense,Desmodium nicaraguense,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),B,53.52832846,,
