40_sample_serial_no,40_date,40_requisitioner,40_set_ciat,40_ciat_lab_id,40_gene_bank_breeding_program_id,40_genus,40_species,40_tax_name,40_family,40_order,40_functional_group,40_av_dm_105,40_av_ash_percentage,40_om_percente,40_av_pc_percentage,40_av_adf_percentage_dm,40_av_ndf_percentage_dm
Sample serial No,"Date (M,D.Y)",Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Av DM 105,"Av Ash, %","OM, %","Av PC, %"," Av ADF, % (DM)"," Av NDF, % (DM)"
138,46062,Genbank,30,F260035,CIAT17514,Mimosa,pudica,Mimosa pudica,Fabaceae,Fabales,Shurb_Tree,96.43587706,10.03494151,89.96505849,19.83297352,19.83297352,41.7560847
139,46062,Genbank,30,F260036,CIAT17725,Mimosa,polycarpa,Mimosa polycarpa,Fabaceae,Fabales,Shurb_Tree,95.66717287,7.997879094,92.00212091,21.37591113,21.37591113,35.5817939
140,46062,Genbank,30,F260037,CIAT18947,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,95.48091164,9.727651968,90.27234803,28.7937842,28.7937842,20.43736611
141,46062,Genbank,30,F260038,CIAT19165,Sesbania,keniensis,Sesbania keniensis,Fabaceae,Fabales,Shurb_Tree,96.44159927,10.39549328,89.60450672,25.52109302,25.52109302,30.66274946
142,46062,Genbank,30,F260039,CIAT21899,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,95.83687564,7.989151378,92.01084862,18.3249602,18.3249602,41.75912475
143,46062,Genbank,30,F260040,CIAT23414,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,96.30663719,9.335742891,90.66425711,15.86640488,16.19449371,42.72209983
144,46062,Genbank,30,F260041,CIAT23767,Desmodium,nicaraguense,Desmodium nicaraguense,Fabaceae,Fabales,Shurb_Tree,94.9960096,10.09841445,89.90158555,19.05313828,19.05313828,27.53672068
145,46062,Genbank,30,F260042,CIAT33127,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,95.60154985,9.531062323,90.46893768,13.66830468,13.66206871,43.8186202
146,46062,Breeding,30,F252104,CIAT-BR06_1348,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,93.09,14.475,85.525,12.27,12.225,25.43
147,46062,Breeding,30,F252166,CIAT-BH22_0528,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,98.21,13.78,86.22,8.73,8.765,36.96
148,46062,Jacobo Arango/ Alejandro Montoya,30,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,93.7,11.4,88.6,13.1,13.1,37.8
