31_no,31_date,31_requisitioner,31_gene_bank_id,31_genus,31_species,31_tax_name,31_family,31_order,31_functional_group,31_ciat_id,31_set_ciat,31_batch,31_run,31_replication,31_syrange_no,31_sample_weight_g,31_dm_incubated_mg,31_digested_feed_mg,31_time_0h,31_gas_0h_ml,31_time_8h,31_gas_8h_ml,31_ch4_8h_percentage,31_v8_push_back_ml,31_time_24h,31_gas_24h_ml,31_ch4_24h_percentage,31_remarks,31_gp_8h_ml,31_gp_8_24h,31_net_gas_8h_ml,31_net_gas_8_24h_ml,31_net_gas_24h_ml,31_ch4_8h_ml,31_ch4_8_24h_ml,31_ch4_24h_ml,31_gas_ml_g_dm_incubated_24h,31_percentage_dmd_truly_digestibility,31_part_fact,31_ch4_ml_in_gas_8h,31_ch4_ml_in_gas_24h,31_ch4_ml_g_dm_incubated_24h,31_ch4_ml_g_dmd_24h2,31_ch4_ml_g_ndf_digested_in_24h,31_ch4_g_g_dm_incubated_24h,31_ch4_g_g_dmd_24h,31_remarks
No,Date,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Sample weight, g","DM Incubated, mg","Digested feed, mg",Time 0h,"Gas 0h, ml",Time 8h,"Gas 8h, ml",CH4 8h %,"V8 Push back, ml",Time 24h,"Gas 24h, ml","CH4 24h, %",Remarks,"GP 8h, ml","GP 8-24h, ml","Net gas 8h, ml","Net gas 8-24h, ml","Net gas 24h, ml","CH4 8h, ml","CH4 8-24h, ml","CH4 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 ml in gas, h8","CH4 ml in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h2",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h",Remarks
1,46041,,BLANK 24 H,BLANK,,BLANK 24 H,,,,BLANK 24 H,27,58,1,1,181,,,,0.367361111,40,0.7,42.5,,40,0.366666667,43.5,,,2.5,3.5,,,,,,,,,,,,,,,,,
2,46041,,BLANK 24 H,BLANK,,BLANK 24 H,,,,BLANK 24 H,27,58,1,2,182,,,,0.368055556,39.5,0.7,42,,39,0.367361111,43.5,,,2.5,4.5,,,,,,,,,,,,,,,,,
3,46041,Genbank,CIAT-13262,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251728,27,58,1,1,183,0.5007,475.3259358,146.5259358,0.368055556,40.5,0.7,71,12.3,40,0.368055556,64.5,16.9,,30.5,24.5,27.84497973,20.81247185,48.65745158,3.424932507,3.517307743,6.94224025,102.3664983,30.82641294,3.011377107,12.3,14.26757881,14.60522081,47.37891768,-0.478196663,8.106150236,26.29611902,
4,46041,Genbank,CIAT-13262,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251728,27,58,1,2,184,0.5003,474.9462066,0,0.36875,41,0.700694444,71,13.8,41,0.36875,64.5,17.7,,30,23.5,,,,,,,,,,,,,,,,,Elimn Dig neg
5,46041,Genbank,CIAT-13262,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251728,27,58,1,3,185,0.5005,475.1360712,116.0360712,0.36875,41.5,0.700694444,73,13.7,40.5,0.369444444,64.5,17.8,,31.5,24,28.84497973,20.31247185,49.15745158,3.951762223,3.615619989,7.567382212,103.4597341,24.4216506,2.360498103,13.7,15.39417112,15.9267685,65.21577414,-0.301241039,8.839632068,36.19588295,
6,46041,Genbank,CIAT-13528,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,F251729,27,58,1,1,186,0.5,475.2287044,92.22870438,0.36875,41,0.702083333,69.5,12.4,40.5,0.370138889,57.5,16.6,,28.5,17,25.84497973,13.31247185,39.15745158,3.204777487,2.209870327,5.414647814,82.39706739,19.4072251,2.35532959,12.4,13.82788612,11.39377265,58.70892202,-0.129878029,6.323740944,32.58446745,
7,46041,Genbank,CIAT-13528,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,F251729,27,58,1,2,187,0.5005,475.7039331,115.2039331,0.369444444,41,0.702083333,66.5,13.5,40,0.370833333,57,16.6,,25.5,17,22.84497973,13.31247185,36.15745158,3.084072264,2.209870327,5.293942591,76.00830909,24.21757002,3.186174026,13.5,14.64135983,11.12865003,45.95279388,-0.159296905,6.176593306,25.50459563,
8,46041,Genbank,CIAT-13528,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,F251729,27,58,1,3,188,0.5004,475.6088873,126.9088873,0.369444444,41,0.702777778,67.5,12.9,40,0.370833333,58,16.7,,26.5,18,23.84497973,14.31247185,38.15745158,3.076002385,2.390182799,5.466185184,80.22863449,26.68345582,3.325926709,12.9,14.32534134,11.49302574,43.07172885,-0.189155084,6.378828127,23.9055547,
9,46041,Genbank,CIAT-13529,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251730,27,58,1,1,189,0.5007,472.4454148,129.8454148,0.370138889,41.5,0.703472222,73,13.2,40,0.370833333,71,17.3,,31.5,31,28.84497973,27.31247185,56.15745158,3.807537325,4.72505763,8.532594955,118.8654812,27.48368609,2.31216715,13.2,15.19405656,18.06048845,65.71348684,-0.406828154,10.02388355,36.47212211,
10,46041,Genbank,CIAT-13529,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251730,27,58,1,2,190,0.5005,472.2567008,0,0.370138889,41.5,0.703472222,68,15.3,41,0.788888889,71.5,17.5,,26.5,30.5,,,,,,,,,,,,,,,,,Elimn Dig neg
11,46041,Genbank,CIAT-13529,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251730,27,58,1,3,191,0.5004,472.1623438,142.9623438,0.36875,42.5,0.704166667,71.5,13.3,40.5,0.372222222,70.5,17.5,,29,30,26.34497973,26.31247185,52.65745158,3.503882304,4.604682574,8.108564878,111.5240389,30.27821801,2.714949917,13.3,15.39870357,17.17325616,56.71818649,-0.497105516,9.531454282,31.47957479,
12,46041,Genbank,CIAT-13710,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,F251731,27,58,1,1,192,0.5001,470.7573441,0,0.370833333,42,0.705555556,67.5,13.3,41,0.372916667,57.5,16.6,,25.5,16.5,,,,,,,,,,,,,,,,,Elimn Dig neg
13,46041,Genbank,CIAT-13710,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,F251731,27,58,1,2,193,0.5005,471.1338747,60.63387469,0.370833333,41,0.705555556,66,13.5,41,0.372916667,57,16.6,,25,16,22.34497973,12.31247185,34.65745158,3.016572264,2.043870327,5.060442591,73.56179091,12.86977608,1.749519134,13.5,14.60131187,10.74098651,83.45900071,-0.143007838,5.961433341,46.32118932,
14,46041,Genbank,CIAT-13710,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,F251731,27,58,1,3,194,0.5005,471.1338747,75.83387469,0.370833333,41.5,0.70625,64.5,13.9,40,0.373611111,55.5,16.6,,23,15.5,20.34497973,11.81247185,32.15745158,2.827952183,1.960870327,4.78882251,68.25544354,16.09603528,2.35820536,13.9,14.89179731,10.1644623,63.14885702,-0.157668623,5.641452435,35.04870819,
15,46041,Genbank,CIAT-22004,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251732,27,58,1,1,195,0.5003,471.7621368,83.76213685,0.372222222,42,0.706944444,70,13.1,40.5,0.374305556,64.5,16.7,,28,24,25.34497973,20.31247185,45.65745158,3.320192345,3.392182799,6.712375144,96.7806613,17.7551631,1.834577576,13.1,14.70159834,14.2283041,80.13614978,-0.229103435,7.896954937,44.47694956,
16,46041,Genbank,CIAT-22004,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251732,27,58,1,2,196,0.5001,471.5735451,118.6735451,0.372222222,41.5,0.706944444,67,13.7,40.5,0.374305556,66.5,16.5,,25.5,26,22.84497973,22.31247185,45.15745158,3.129762223,3.681557855,6.811320078,95.75908582,25.16543737,2.627994738,13.7,15.08349085,14.44381295,57.3954378,-0.385940324,8.01656608,31.85546098,
17,46041,Genbank,CIAT-22004,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251732,27,58,1,3,197,0.5006,472.0450244,102.4450244,0.372222222,42.5,0.707638889,69,13.1,40.5,0.374305556,64.5,16.5,,26.5,24,23.84497973,20.31247185,44.15745158,3.123692345,3.351557855,6.4752502,93.54499952,21.70238412,2.319994038,13.1,14.6640034,13.71744191,63.20707363,-0.280399342,7.613417585,35.08101941,
18,46041,Genbank,CIAT-23104,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251733,27,58,1,1,198,0.5002,463.3481606,85.54816055,0.372916667,42,0.708333333,66,14.7,41,0.375,65,16.9,,24,24,21.34497973,20.31247185,41.65745158,3.137712021,3.432807743,6.570519763,89.9052918,18.46304093,2.053610034,14.7,15.77273576,14.18052411,76.80492159,-0.308482235,7.87043622,42.62806029,
19,46041,Genbank,CIAT-23104,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251733,27,58,1,2,199,0.5006,463.7186909,77.21869087,0.372916667,42,0.708333333,66.5,13.8,40.5,0.375694444,64,17.2,,24.5,23.5,21.84497973,19.81247185,41.65745158,3.014607203,3.407745158,6.422352361,89.83345378,16.65205487,1.85365854,13.8,15.41705533,13.84967328,83.17095627,-0.267668897,7.686808283,46.16131967,
20,46041,Genbank,CIAT-23104,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251733,27,58,1,3,200,0.5,463.1628954,96.66289539,0.373611111,41.5,0.709027778,67,14.2,40,0.375694444,64.5,17.3,,25.5,24.5,22.84497973,20.81247185,43.65745158,3.243987122,3.60055763,6.844544752,94.25938912,20.87017254,2.214121345,14.2,15.6778385,14.7778348,70.80839782,-0.386293528,8.201953984,39.29988585,
21,46041,Genbank,CIAT-23106,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251734,27,58,1,1,201,0.5002,473.4526737,87.25267366,0.374305556,41.5,0.709027778,65,13.6,40,0.376388889,59,17.2,,23.5,19,20.84497973,15.31247185,36.15745158,2.834917244,2.633745158,5.468662402,76.36972731,18.42901699,2.413131176,13.6,15.1245792,11.55059989,62.67615847,-0.268329245,6.410782778,34.78635231,
22,46041,Genbank,CIAT-23106,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251734,27,58,1,2,202,0.5005,473.7366317,92.23663168,0.374305556,41,0.709722222,63,15,41,0.376388889,60,17.5,,22,19,19.34497973,15.31247185,34.65745158,2.90174696,2.679682574,5.581429533,73.15763499,19.47002311,2.661379515,15,16.10455841,11.78171406,60.51207022,-0.296189324,6.539055138,33.58524589,
23,46041,Genbank,CIAT-23106,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251734,27,58,1,3,203,0.5002,473.4526737,67.45267366,0.374305556,42,0.710416667,65.5,13.6,40,0.377083333,68.5,17.4,,23.5,28.5,20.84497973,24.81247185,45.65745158,2.834917244,4.317370102,7.152287345,96.43509082,14.24697281,1.477363964,13.6,15.66510416,15.10665742,106.0341563,-0.269367285,8.384456229,58.85079127,
24,46041,Genbank,CIAT-23107,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251735,27,58,1,1,204,0.5001,475.0300252,84.23002524,0.375,41.5,0.710416667,61.5,14.9,41,0.377083333,60.5,17.3,,20,19.5,17.34497973,15.81247185,33.15745158,2.58440198,2.73555763,5.31995961,69.80074905,17.73151606,2.540304554,14.9,16.04453707,11.19920706,63.15989571,-0.237574759,6.215753673,35.05483485,
25,46041,Genbank,CIAT-23107,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251735,27,58,1,2,205,0.5002,475.1250122,95.92501224,0.375,41.5,0.711111111,64.5,13.7,41.5,0.377777778,60.5,17.1,,23,19,20.34497973,15.31247185,35.65745158,2.787262223,2.618432686,5.40569491,75.04856756,20.18942589,2.690181378,13.7,15.16007081,11.37741599,56.35334083,-0.288517766,6.314662713,31.27707913,
26,46041,Genbank,CIAT-23107,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251735,27,58,1,3,206,0.5007,475.5999473,0,0.375694444,42,0.711805556,62,13.5,41,0.377777778,59,17.2,,20,18,,,,,,,,,,,,,,,,,Elimn Dig neg
27,46041,Genbank,CIAT-23108,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251736,27,58,1,1,207,0.5004,473.0945433,82.39454327,0.375694444,41.5,0.7125,63.5,13.8,42.5,0.378472222,63.5,17.7,,22,21,19.34497973,17.31247185,36.65745158,2.669607203,3.064307517,5.73391472,77.48441005,17.41608405,2.247688798,13.8,15.64188036,12.12001872,69.59095217,-0.300911532,6.726820078,38.62418245,
28,46041,Genbank,CIAT-23108,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251736,27,58,1,2,208,0.5007,473.3781731,68.0781731,0.376388889,42.5,0.7125,66,12.6,41,0.378472222,60.5,17.6,,23.5,19.5,20.84497973,15.81247185,36.65745158,2.626467446,2.782995046,5.409462492,77.4379844,14.38135025,1.857144186,12.6,14.75678821,11.42735935,79.45957193,-0.230876595,6.342382144,44.10143715,
29,46041,Genbank,CIAT-23108,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251736,27,58,1,3,209,0.5002,472.9054567,0,0.377083333,42.5,0.7125,67,12.5,41.5,0.379166667,61.5,17.3,,24.5,20,,,,,,,,,,,,,,,,,Elimn Dig neg
30,46041,Genbank,CIAT-23412,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251737,27,58,1,1,210,0.5,470.9382233,98.23822333,0.377083333,41.5,0.713194444,66,13.2,41,0.379166667,58,16.4,,24.5,17,21.84497973,13.31247185,35.15745158,2.883537325,2.183245383,5.066782708,74.65406255,20.86010828,2.794236184,13.2,14.41168936,10.75891159,51.57648964,-0.185153812,5.971382071,28.62584408,
31,46041,Genbank,CIAT-23412,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251737,27,58,1,2,211,0.5007,471.5975368,107.2975368,0.377777778,42,0.713194444,67,12.3,40,0.379861111,55.5,16.3,,25,15.5,22.34497973,11.81247185,34.15745158,2.748432507,1.925432911,4.673865418,72.42924085,22.75192902,3.141262942,12.3,13.68329662,9.910707867,43.55985753,-0.192177022,5.500614332,24.17647456,
32,46041,Genbank,CIAT-23412,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251737,27,58,1,3,212,0.5003,471.2207863,104.1207863,0.377777778,41.5,0.713888889,63.5,12.2,40.5,0.379861111,56,16.5,,22,15.5,19.34497973,11.81247185,31.15745158,2.360087527,1.949057855,4.309145382,66.12070709,22.09596633,3.341761954,12.2,13.83022412,9.144641977,41.38602422,-0.169809761,5.075434509,22.96995947,
33,46041,Genbank,CIAT-23413,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251738,27,58,1,1,213,0.5,467.6333571,108.7333571,0.377777778,41.5,0.714583333,68,13.7,41,0.380555556,63.5,16,,26.5,22.5,23.84497973,18.81247185,42.65745158,3.266762223,3.009995496,6.276757719,91.21986473,23.25183939,2.548988584,13.7,14.71432888,13.4223909,57.72614666,-0.224403492,7.449659173,32.03901012,
34,46041,Genbank,CIAT-23413,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251738,27,58,1,2,214,0.5005,468.1009905,118.1009905,0.377777778,40.5,0.714583333,67.5,13.9,40,0.380555556,61.5,15.8,,27,21.5,24.34497973,17.81247185,42.15745158,3.383952183,2.814370552,6.198322735,90.06059043,25.22980999,2.801426226,13.9,14.70279275,13.24142196,52.48324091,-0.25122127,7.349218278,29.12910672,
35,46041,Genbank,CIAT-23413,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251738,27,58,1,3,215,0.5001,467.7268838,119.6268838,0.378472222,41.5,0.715277778,69.5,12.5,40,0.38125,61,15.9,,28,21,25.34497973,17.31247185,42.65745158,3.168122466,2.752683024,5.920805491,91.20162441,25.57622577,2.804360771,12.5,13.87988563,12.65868116,49.49393734,-0.245726083,7.025787051,27.46999152,
36,46041,Genbank,CIAT-23419,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251739,27,58,1,1,216,0.5003,470.0690296,93.3690296,0.379166667,41.5,0.715972222,66,14,40.5,0.381944444,61,17.1,,24.5,20.5,21.84497973,16.81247185,38.65745158,3.058297162,2.874932686,5.933229849,82.23781859,19.86283369,2.415291898,14,15.34821776,12.62203948,63.546016,-0.177057408,7.005450284,35.26913829,
37,46041,Genbank,CIAT-23419,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251739,27,58,1,2,217,0.5006,470.3509019,90.35090189,0.379166667,43.5,0.715972222,70,12.4,40.5,0.381944444,61.5,17.2,,26.5,21,23.84497973,17.31247185,41.15745158,2.956777487,2.977745158,5.934522645,87.50371566,19.20925452,2.195250153,12.4,14.41907217,12.61722391,65.68304821,-0.171522554,7.00277756,36.45522814,
38,46041,Genbank,CIAT-23419,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251739,27,58,1,3,218,0.5002,469.9750722,64.07507217,0.380555556,42,0.715972222,67,13.5,41,0.382638889,61.5,17.1,,25,20.5,22.34497973,16.81247185,39.15745158,3.016572264,2.874932686,5.89150495,83.31814579,13.63371718,1.636344286,13.5,15.04568023,12.53578179,91.94691088,-0.134239409,6.957575774,51.03212631,
39,46041,Genbank,CIAT-23422,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251740,27,58,1,1,219,0.5003,459.5628183,92.16281826,0.383333333,41.5,0.716666667,69.5,14.5,40.5,0.382638889,66,17.7,,28,25.5,25.34497973,21.81247185,47.15745158,3.675022061,3.860807517,7.535829578,102.6137227,20.05445493,1.954363842,14.5,15.98014593,16.39782262,81.76648372,-0.222165734,9.101075256,45.38181311,
40,46041,Genbank,CIAT-23422,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251740,27,58,1,2,220,0.5003,459.5628183,103.8628183,0.383333333,41,0.717361111,52,13.7,40,0.383333333,50.5,17.7,,11,10.5,8.344979732,6.81247185,15.15745158,1.143262223,1.205807517,2.349069741,32.98232794,22.6003528,6.852261259,13.7,15.49778819,5.111531323,22.61704217,-0.079212946,2.836988319,12.5528497,
41,46041,Genbank,CIAT-23422,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251740,27,58,1,3,221,0.5005,459.7465332,67.24653316,0.384722222,42.5,0.717361111,69,15,40,0.383333333,64.5,17.8,,26.5,24.5,23.84497973,20.81247185,44.65745158,3.57674696,3.704619989,7.281366949,97.13493928,14.62687118,1.505830064,15,16.30493163,15.83778544,108.2786964,-0.169287622,8.790244929,60.09654985,
42,46041,Genbank,CIAT-23734,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251741,27,58,1,1,222,0.5001,473.6499597,181.7499597,0.384722222,42,0.718055556,71.5,15.1,40.5,0.384027778,68.5,17.6,,29.5,28,26.84497973,24.31247185,51.15745158,4.053591939,4.278995046,8.332586985,108.0068741,38.37221053,3.552756326,15.1,16.28811977,17.59228902,45.84643098,-2.582750199,9.76402477,25.44556238,
43,46041,Genbank,CIAT-23734,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251741,27,58,1,2,223,0.5002,473.7446708,156.4446708,0.384722222,42,0.71875,70.5,15.4,41,0.384027778,68.5,17.4,,28.5,27.5,25.84497973,23.81247185,49.65745158,3.980126879,4.143370102,8.123496981,104.8190189,33.02299328,3.150477236,15.4,16.35906943,17.14741607,51.92568682,-0.666616716,9.517112586,28.81965455,
44,46041,Genbank,CIAT-23734,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251741,27,58,1,3,224,0.5001,473.6499597,121.0499597,0.385416667,41.4,0.71875,70,15.3,41,0.384722222,69,17.5,,28.6,28,25.94497973,24.31247185,50.25745158,3.969581899,4.254682574,8.224264473,106.1067367,25.55683945,2.408597251,15.3,16.36426881,17.36359162,67.94107565,-0.333075,9.637093758,37.70847244,
45,46041,Genbank,CIAT-23932,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251742,27,58,1,1,225,0.5005,476.0853659,90.38536585,0.386111111,41.5,0.719444444,71,14.3,40.5,0.384722222,67.5,17.9,,29.5,27,26.84497973,23.31247185,50.15745158,3.838832102,4.172932461,8.011764563,105.3539033,18.98511745,1.802032659,14.3,15.97322892,16.82842015,88.64006343,-0.220622005,9.340064331,49.19676877,
46,46041,Genbank,CIAT-23932,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251742,27,58,1,2,226,0.5004,475.9902439,114.5902439,0.386111111,41,0.719444444,68.5,15.8,41,0.385416667,69,17.5,,27.5,28,24.84497973,24.31247185,49.15745158,3.925506798,4.254682574,8.180189371,103.2740738,24.07407407,2.331085933,15.8,16.64079221,17.18562403,71.38643826,-0.294762086,9.538318663,39.62070829,
47,46041,Genbank,CIAT-23932,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251742,27,58,1,3,227,0.5005,476.0853659,107.5853659,0.386111111,43,0.720138889,71,14.4,40,0.385416667,66.5,18.2,,28,26.5,25.34497973,22.81247185,48.15745158,3.649677081,4.151869877,7.801546958,101.152976,22.59791491,2.234033619,14.4,16.20008265,16.38686571,72.51494565,-0.258025202,9.09499398,40.24704942,
48,46041,Genbank,CIAT-23933,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251743,27,58,1,1,228,0.5003,468.8874022,102.1874022,0.386805556,42,0.720833333,68.5,15,41,0.386111111,71.5,17.4,,26.5,30.5,23.84497973,26.81247185,50.65745158,3.57674696,4.665370102,8.242117062,108.0375616,21.79359089,2.017223508,15,16.27029549,17.57803051,80.65688025,-0.383416008,9.756111051,44.76596399,
49,46041,Genbank,CIAT-23933,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251743,27,58,1,2,229,0.5005,469.0748447,116.0748447,0.386805556,41.5,0.720833333,66,16.1,41,0.386805556,71.5,17.3,,24.5,30.5,21.84497973,26.81247185,48.65745158,3.517041737,4.63855763,8.155599367,103.7306778,24.74548486,2.385551255,16.1,16.76125465,17.38656306,70.26155744,-0.482275565,9.649843304,38.99637998,
50,46041,Genbank,CIAT-23933,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251743,27,58,1,3,230,0.5005,469.0748447,96.77484468,0.3875,41.5,0.721527778,65.5,15.7,40,0.386805556,70,17.3,,24,30,21.34497973,26.31247185,47.65745158,3.351161818,4.55205763,7.903219448,101.5988219,20.63100287,2.030634066,15.7,16.58338662,16.84852543,81.66605148,-0.339155219,9.351223109,45.32607148,
51,46041,Genbank,BLANK 8H,BLANK,8H,BLANK 8H,Fabaceae,Fabales,Tree,BLANK8H,27,58,1,1,231,,,0,0.388194444,39.5,0.721527778,43,,,,,,,3.5,4,,,,,,,,,,,,,,,,,
52,46041,Genbank,BLANK 8H,BLANK,8H,BLANK 8H,Fabaceae,Fabales,Tree,BLANK8H,27,58,1,2,232,,,0,0.388194444,40,0.722222222,42,,,,,,,2,4,,,,,,,,,,,,,,,,,
53,46041,Genbank,CIAT-23934,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251744,27,58,1,1,233,0.5004,471.2354868,123.3354868,0.388194444,41.5,0.722222222,75.5,14.5,40.5,0.3875,73,17.2,,34,32.5,31.34497973,28.81247185,60.15745158,4.545022061,4.955745158,9.500767219,127.6590012,26.17279263,2.050211296,14.5,15.79316771,20.16140016,77.03190273,-0.362521708,11.1899259,42.75403875,
54,46041,Genbank,CIAT-23934,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251744,27,58,1,2,234,0.5003,471.141315,155.241315,0.388194444,43,0.722916667,77,13.6,41,0.3875,71.5,17.1,,34,30.5,31.34497973,26.81247185,58.15745158,4.262917244,4.584932686,8.84784993,123.4395069,32.95005343,2.669328019,13.6,15.21361354,18.77960953,56.9941702,-0.60511642,10.4230082,31.63275052,
55,46041,Genbank,CIAT-23934,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251744,27,58,1,3,235,0.5005,471.3296585,133.2296585,0.389583333,42.5,0.723611111,71.5,15.5,41,0.388194444,68,17.1,,29,27,26.34497973,23.31247185,49.65745158,4.083471858,3.986432686,8.069904545,105.3560935,28.26676745,2.682974141,15.5,16.25114517,17.1215717,60.57138204,-0.356636752,9.502768517,33.61816498,
56,46041,Genbank,CIAT-23936,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251745,27,58,1,1,236,0.5005,470.7631171,84.86311713,0.389583333,42.5,0.723611111,68,14.3,40.5,0.388888889,60,17.9,,25.5,19.5,22.84497973,15.81247185,38.65745158,3.266832102,2.830432461,6.097264563,82.11656813,18.02671323,2.195258965,14.3,15.77254659,12.95187397,71.8482277,-0.185025794,7.188514134,39.87700942,
57,46041,Genbank,CIAT-23936,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251745,27,58,1,2,237,0.5001,470.3868829,72.58688287,0.389583333,42.5,0.724305556,69,13.6,40.5,0.389583333,64,17.9,,26.5,23.5,23.84497973,19.81247185,43.65745158,3.242917244,3.546432461,6.789349705,92.81179636,15.43131527,1.6626459,13.6,15.55141095,14.43354386,93.534113,-0.1826906,8.010866557,51.91305095,
58,46041,Genbank,CIAT-23936,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251745,27,58,1,3,238,0.5004,470.6690586,139.8690586,0.390277778,41.5,0.724305556,67.5,14.7,42,0.389583333,67.5,17.7,,26,25.5,23.34497973,21.81247185,45.15745158,3.431712021,3.860807517,7.292519538,95.94310643,29.71707105,3.097363861,14.7,16.14909452,15.49394294,52.13818991,-0.521160738,8.599406394,28.93759744,
59,46041,Genbank,CIAT-33119,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251746,27,58,1,1,239,0.5006,477.0072699,132.8072699,0.390277778,41.5,0.724305556,72.5,14.7,40,0.390277778,67.5,18.3,,31,27.5,28.34497973,23.81247185,52.15745158,4.166712021,4.357682348,8.524394369,109.3430957,27.84177062,2.546276052,14.7,16.34357913,17.87057537,64.18620287,-0.399859886,9.91847851,35.62445308,
60,46041,Genbank,CIAT-33119,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251746,27,58,1,2,240,0.5003,476.7214086,193.2214086,0.390277778,41.5,0.725,73,14.8,40.5,0.390277778,68.5,18.1,,31.5,28,28.84497973,24.31247185,53.15745158,4.269057,4.400557405,8.669614405,111.5063235,40.5313051,3.634888484,14.8,16.30931158,18.18591372,44.86880863,533.390823,10.09349675,24.90296507,
