21_no,21_date,21_requisitioner,21_set_ciat,21_ciat_lab_id,21_gene_bank_breeding_program_id,21_genus,21_species,21_tax_name,21_family,21_order,21_functional_group,21_batches_ciat,21_id_lab,21_dm_percentage,21_av_dm_105,21_ash_percentage,21_av_ash_percentage,21_om_percentage,21_om_percentage
No,Date,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Batches  CIAT,ID LAB,"DM, %",Av DM 105,"Ash, %","Av Ash, %","OM, %","OM, %"
114,46048,Genbank,28,F252189,CIAT-BH22_2365,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,97.14,,12.05973223,,87.94026777,
115,46048,Genbank,28,F252190,CIAT-BH22_3572,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,96.44035596,96.50034997,9.85390115,10.04041032,90.14609885,89.95958968
116,46048,Genbank,28,F252190,CIAT-BH22_3572,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,96.56034397,,10.22691949,,89.77308051,
117,46048,Genbank,28,F252191,CIAT-BH22_0517,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,96.84126349,96.86671949,10.2264613,10.26103525,89.7735387,89.73896475
118,46048,Genbank,28,F252191,CIAT-BH22_0517,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,96.89217548,,10.2956092,,89.7043908,
119,46048,Genbank,28,F252192,CIAT-BH22_0519,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,97.68,97.65535539,11.14122206,11.14466989,88.85877794,88.85533011
120,46048,Genbank,28,F252192,CIAT-BH22_0519,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,97.63071079,,11.14811772,,88.85188228,
121,46048,Genbank,28,F252193,CIAT-BH22_0521,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,96.43107068,96.52654873,11.04028177,10.99203537,88.95971823,89.00796463
122,46048,Genbank,28,F252193,CIAT-BH22_0521,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,96.62202678,,10.94378898,,89.05621102,
123,46048,Genbank,28,F252574,CIAT326,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,91.67249825,91.67666508,13.39088534,13.17408809,86.60911466,86.82591191
124,46048,Genbank,28,F252574,CIAT326,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,91.68083192,,12.95729083,,87.04270917,
125,46048,Jacobo Arango/Alejandro Montoya,28,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,"60,61, 62",OT-002,93.3,93.55,11.3,11.4,88.7,88.6
126,46048,Jacobo Arango/Alejandro Montoya,28,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,"60,61, 62",OT-002,93.8,,11.5,,88.5,
127,46048,Genbank,28,F252575,CIAT415,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,92,91.93662535,21.24289414,20.26553982,78.75710586,79.73446018
128,46048,Genbank,28,F252575,CIAT415,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,91.8732507,,19.2881855,,80.7118145,
129,46048,Genbank,28,F252576,CIAT416,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,91.40343862,91.42885574,10.76909636,10.75762617,89.23090364,89.24237383
130,46048,Genbank,28,F252576,CIAT416,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,91.45427286,,10.74615599,,89.25384401,
131,46048,Genbank,28,F252577,CIAT517,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,91.03448276,91.0831282,13.69492173,13.68599877,86.30507827,86.31400123
132,46048,Genbank,28,F252577,CIAT517,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,91.13177365,,13.67707581,,86.32292419,
133,46048,Genbank,28,F252578,CIAT563,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,92.94423346,92.99781159,12.97101742,12.88760478,87.02898258,87.11239522
134,46048,Genbank,28,F252578,CIAT563,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,93.05138972,,12.80419213,,87.19580787,
135,46048,Genbank,28,F252579,CIAT789,Zornia,latifolia,Zornia latifolia,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,88.95110489,88.84780354,8.519336184,8.444929231,91.48066382,91.55507077
136,46048,Genbank,28,F252579,CIAT789,Zornia,latifolia,Zornia latifolia,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,88.7445022,,8.370522279,,91.62947772,
137,46048,Genbank,28,F252580,CIAT2085,Stylosanthes,seabrana,Stylosanthes seabrana,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,91.95402299,91.97281233,9.25897764,9.331025136,90.74102236,90.66897486
138,46048,Genbank,28,F252580,CIAT2085,Stylosanthes,seabrana,Stylosanthes seabrana,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,91.99160168,,9.403072633,,90.59692737,
139,46048,Genbank,28,F252581,CIAT2690,Stylosanthes,angustifolia,Stylosanthes angustifolia,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,90.92453773,91.01315869,9.620171759,9.451343506,90.37982824,90.54865649
140,46048,Genbank,28,F252581,CIAT2690,Stylosanthes,angustifolia,Stylosanthes angustifolia,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,91.10177964,,9.282515254,,90.71748475,
141,46048,Genbank,28,F252582,CIAT4069,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,92.24465321,92.30309045,14.3679293,14.76074376,85.6320707,85.23925624
142,46048,Genbank,28,F252582,CIAT4069,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,92.36152769,,15.15355823,,84.84644177,
143,46048,Genbank,28,F252583,CIAT4141,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,90.88,90.94089982,11.91982928,11.81969195,88.08017072,88.18030805
144,46048,Genbank,28,F252583,CIAT4141,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,91.00179964,,11.71955462,,88.28044538,
145,46048,Genbank,28,F252584,CIAT4532,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,92.03159368,92.05698448,12.06619846,11.96785912,87.93380154,88.03214088
146,46048,Genbank,28,F252584,CIAT4532,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,92.08237529,,11.86951978,,88.13048022,
147,46048,Genbank,28,F252585,CIAT4537,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,92.25154969,92.22311644,12.06614445,12.06373267,87.93385555,87.93626733
148,46048,Genbank,28,F252585,CIAT4537,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,92.19468319,,12.06132089,,87.93867911,
149,46048,Genbank,28,F252586,CIAT7289,Chamaecrista,mimosoides,Chamaecrista mimosoides,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,91.45,91.40629561,5.863928698,5.748212086,94.1360713,94.25178791
150,46048,Genbank,28,F252586,CIAT7289,Chamaecrista,mimosoides,Chamaecrista mimosoides,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,91.36259122,,5.632495474,,94.36750453,
151,46048,Genbank,28,F252587,CIAT7826,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,90.74277717,90.75685004,8.261360626,8.322782107,91.73863937,91.67721789
152,46048,Genbank,28,F252587,CIAT7826,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,90.77092291,,8.384203587,,91.61579641,
153,46048,Genbank,28,F252588,CIAT8014,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,91.32260322,91.31391004,8.911631019,8.932184411,91.08836898,91.06781559
154,46048,Genbank,28,F252588,CIAT8014,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,91.30521687,,8.952737802,,91.0472622,
155,46048,Genbank,28,F252589,CIAT8849,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,90.24,90.25548645,9.594984572,9.616661972,90.40501543,90.38333803
156,46048,Genbank,28,F252589,CIAT8849,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,90.2709729,,9.638339373,,90.36166063,
157,46048,Genbank,28,F252590,CIAT9326,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,91.94080592,92.00579942,7.727001032,7.754170516,92.27299897,92.24582948
158,46048,Genbank,28,F252590,CIAT9326,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,92.07079292,,7.781339999,,92.21866,
159,46048,Genbank,28,F252591,CIAT9337,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,92.13157369,92.16734622,8.786604645,8.753189862,91.21339536,91.24681014
160,46048,Genbank,28,F252591,CIAT9337,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,92.20311875,,8.719775078,,91.28022492,
161,46048,Genbank,28,F252592,CIAT9350,Crotalaria,pumila,Crotalaria pumila,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,91.0726782,91.19264221,7.58605569,7.575093181,92.41394431,92.42490682
162,46048,Genbank,28,F252592,CIAT9350,Crotalaria,pumila,Crotalaria pumila,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,91.31260622,,7.564130673,,92.43586933,
163,46048,Genbank,28,F252593,CIAT9352,Crotalaria,pumila,Crotalaria pumila,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,93.3220034,93.40632717,9.332756194,9.403270852,90.66724381,90.59672915
164,46048,Genbank,28,F252593,CIAT9352,Crotalaria,pumila,Crotalaria pumila,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,93.49065093,,9.47378551,,90.52621449,
165,46048,Genbank,28,F252594,CIAT9472,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,92.05079492,92.0961833,10.07541438,10.150903,89.92458562,89.849097
166,46048,Genbank,28,F252594,CIAT9472,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,92.14157169,,10.22639163,,89.77360837,
167,46048,Genbank,28,F252595,CIAT9531,Indigofera,spicata,Indigofera spicata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,91.72165567,91.5983853,16.40530513,16.18926784,83.59469487,83.81073216
168,46048,Genbank,28,F252595,CIAT9531,Indigofera,spicata,Indigofera spicata,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,91.47511493,,15.97323055,,84.02676945,
169,46048,Genbank,28,F252596,CIAT10026,Stylosanthes,seabrana,Stylosanthes seabrana,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,92.75144971,92.74681353,9.90671487,9.970892531,90.09328513,90.02910747
170,46048,Genbank,28,F252596,CIAT10026,Stylosanthes,seabrana,Stylosanthes seabrana,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,92.74217735,,10.03507019,,89.96492981,
171,46048,Genbank,28,F252597,CIAT12411,Stylosanthes,sympodialis,Stylosanthes sympodialis,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,91.69166167,91.72124329,11.95776032,11.77848324,88.04223968,88.22151676
172,46048,Genbank,28,F252597,CIAT12411,Stylosanthes,sympodialis,Stylosanthes sympodialis,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,91.75082492,,11.59920616,,88.40079384,
173,46048,Genbank,28,F252598,CIAT13494,Desmodium,tortuosum,Desmodium tortuosum,Fabaceae,Fabales,Shurb_Tree,"60,61, 62",OT-031,91.71082892,91.66625229,10.89714137,10.88023618,89.10285863,89.11976382
174,46048,Genbank,28,F252598,CIAT13494,Desmodium,tortuosum,Desmodium tortuosum,Fabaceae,Fabales,Shurb_Tree,"60,61, 62",OT-031,91.62167566,,10.863331,,89.136669,
175,46048,Genbank,28,F252599,CIAT13562,Desmodium,tortuosum,Desmodium tortuosum,Fabaceae,Fabales,Shurb_Tree,"60,61, 62",OT-031,91.76164767,91.81204447,14.59211655,14.8037139,85.40788345,85.1962861
176,46048,Genbank,28,F252599,CIAT13562,Desmodium,tortuosum,Desmodium tortuosum,Fabaceae,Fabales,Shurb_Tree,"60,61, 62",OT-031,91.86244127,,15.01531125,,84.98468875,
177,46048,Genbank,28,F252600,CIAT13593,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,90.70185963,90.70871514,10.37179103,10.4798948,89.62820897,89.5201052
178,46048,Genbank,28,F252600,CIAT13593,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,90.71557066,,10.58799856,,89.41200144,
179,46048,Genbank,28,F252601,CIAT13608,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,92.33459924,92.60907873,9.766400206,9.977345563,90.23359979,90.02265444
180,46048,Genbank,28,F252601,CIAT13608,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,92.88355822,,10.18829092,,89.81170908,
181,46048,Genbank,28,F252602,CIAT18277,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,89.66413435,89.82756762,10.88317298,10.32823895,89.11682702,89.67176105
182,46048,Genbank,28,F252602,CIAT18277,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,89.9910009,,9.773304922,,90.22669508,
183,46048,Genbank,28,F252603,CIAT18952,Indigofera,atriceps,Indigofera atriceps,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,90.28485757,90.34290874,17.74570271,18.09235425,82.25429729,81.90764575
184,46048,Genbank,28,F252603,CIAT18952,Indigofera,atriceps,Indigofera atriceps,Fabaceae,Fabales,Herbaceous,"60,61, 62",OT-031,90.4009599,,18.43900578,,81.56099422,
185,46048,Jacobo Arango/ Alejandro Montoya,28,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,"60,61, 62",OT-002,93.3,93.55,11.3,11.4,88.7,88.6
186,46048,Jacobo Arango/ Alejandro Montoya,28,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,"60,61, 62",OT-002,93.8,,11.5,,88.5,
187,46055,Genbank,29,F252604,CIAT18953,Indigofera,atriceps,Indigofera atriceps,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),89.52,89.53656703,13.61454923,11.97121274,86.38545077,88.02878726
188,46055,Genbank,29,F252604,CIAT18953,Indigofera,atriceps,Indigofera atriceps,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),89.55313406,,10.32787624,,89.67212376,
189,46055,Genbank,29,F252605,CIAT18954,Indigofera,atriceps,Indigofera atriceps,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),92.92141572,92.94105982,18.88991662,20.28407787,81.11008338,79.71592213
190,46055,Genbank,29,F252605,CIAT18954,Indigofera,atriceps,Indigofera atriceps,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),92.96070393,,21.67823913,,78.32176087,
191,46055,Genbank,29,F252606,CIAT19198,Tephrosia,villosa,Tephrosia villosa,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),90.54472764,90.54283677,12.19806906,11.32255879,87.80193094,88.67744121
192,46055,Genbank,29,F252606,CIAT19198,Tephrosia,villosa,Tephrosia villosa,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),90.54094591,,10.44704853,,89.55295147,
193,46055,Genbank,29,F252607,CIAT19460,Sesbania,cannabina,Sesbania cannabina,Fabaceae,Fabales,Shurb_Tree,"62,63,70",OT-031 (2025),91.01449275,91.03358847,8.004031197,10.42628781,91.9959688,89.57371219
194,46055,Genbank,29,F252607,CIAT19460,Sesbania,cannabina,Sesbania cannabina,Fabaceae,Fabales,Shurb_Tree,"62,63,70",OT-031 (2025),91.05268419,,12.84854442,,87.15145558,
195,46055,Genbank,29,F252608,CIAT20044,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),92.12157568,92.1761763,11.94212961,11.53051385,88.05787039,88.46948615
196,46055,Genbank,29,F252608,CIAT20044,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),92.23077692,,11.11889809,,88.88110191,
197,46055,Genbank,29,F252609,CIAT22423,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),90.5,90.60592881,11.40101993,12.05092136,88.59898007,87.94907864
198,46055,Genbank,29,F252609,CIAT22423,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),90.71185763,,12.70082279,,87.29917721,
199,46055,Genbank,29,F252610,CIAT22480,Sesbania,cannabina,Sesbania cannabina,Fabaceae,Fabales,Shurb_Tree,"62,63,70",OT-031 (2025),92.55446732,92.47913271,15.38883498,11.67710884,84.61116502,88.32289116
200,46055,Genbank,29,F252610,CIAT22480,Sesbania,cannabina,Sesbania cannabina,Fabaceae,Fabales,Shurb_Tree,"62,63,70",OT-031 (2025),92.4037981,,7.965382704,,92.0346173,
201,46055,Genbank,29,F252611,CIAT23116,Desmodium,tortuosum,Desmodium tortuosum,Fabaceae,Fabales,Shurb_Tree,"62,63,70",OT-031 (2025),92.5814837,92.56574185,10.76856967,10.86687472,89.23143033,89.13312528
202,46055,Genbank,29,F252611,CIAT23116,Desmodium,tortuosum,Desmodium tortuosum,Fabaceae,Fabales,Shurb_Tree,"62,63,70",OT-031 (2025),92.55,,10.96517977,,89.03482023,
203,46055,Genbank,29,F252612,CIAT23416,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,"62,63,70",OT-031 (2025),92.78144371,92.80751346,12.35644188,12.2738173,87.64355812,87.7261827
204,46055,Genbank,29,F252612,CIAT23416,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,"62,63,70",OT-031 (2025),92.83358321,,12.19119272,,87.80880728,
205,46055,Genbank,29,F252613,CIAT23806,Desmodium,angustifolium,Desmodium angustifolium,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),92.75072493,92.76608432,9.819417471,9.926703061,90.18058253,90.07329694
206,46055,Genbank,29,F252613,CIAT23806,Desmodium,angustifolium,Desmodium angustifolium,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),92.78144371,,10.03398865,,89.96601135,
207,46055,Genbank,29,F252614,CIAT24104,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),92.24387806,92.29770388,13.03822577,13.07267813,86.96177423,86.92732187
208,46055,Genbank,29,F252614,CIAT24104,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),92.35152969,,13.10713049,,86.89286951,
209,46055,Genbank,29,F252615,CIAT24565,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),90.04,90.07247376,11.43523606,11.42128206,88.56476394,88.57871794
210,46055,Genbank,29,F252615,CIAT24565,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),90.10494753,,11.40732805,,88.59267195,
211,46055,Genbank,29,F252616,CIAT33561,Desmodium,wigginsii,Desmodium wigginsii,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),91.83081692,91.87581242,9.838384938,9.909125537,90.16161506,90.09087446
212,46055,Genbank,29,F252616,CIAT33561,Desmodium,wigginsii,Desmodium wigginsii,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),91.92080792,,9.979866137,,90.02013386,
213,46055,Genbank,29,F252617,CIAT34038,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),91.75494703,91.78910886,12.28167067,12.2447827,87.71832933,87.7552173
214,46055,Genbank,29,F252617,CIAT34038,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),91.82327069,,12.20789474,,87.79210526,
215,46055,Genbank,29,F252618,CIAT34040,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),90.72185563,90.65592781,12.74896054,12.81090438,87.25103946,87.18909562
216,46055,Genbank,29,F252618,CIAT34040,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),90.59,,12.87284823,,87.12715177,
217,46055,Genbank,29,F252619,CIAT34042,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),91.06089391,91.07089291,12.35177866,12.36824769,87.64822134,87.63175231
218,46055,Genbank,29,F252619,CIAT34042,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),91.08089191,,12.38471673,,87.61528327,
219,46055,Genbank,29,F252620,CIAT34044,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),91.60503698,91.57463243,10.3460043,10.43929542,89.6539957,89.56070458
220,46055,Genbank,29,F252620,CIAT34044,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),91.54422789,,10.53258654,,89.46741346,
221,46055,Genbank,29,F252621,CIAT34148,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),89.59312206,89.54261182,10.26019192,10.26070483,89.73980808,89.73929517
222,46055,Genbank,29,F252621,CIAT34148,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),89.49210158,,10.26121774,,89.73878226,
223,46055,Genbank,29,F252622,CIAT34159,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),90.56188762,90.48238338,12.16568135,11.99382056,87.83431865,88.00617944
224,46055,Genbank,29,F252622,CIAT34159,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),90.40287914,,11.82195977,,88.17804023,
225,46055,Genbank,29,F252623,CIAT34347,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),89.46210758,89.49262532,11.92038605,11.99798549,88.07961395,88.00201451
226,46055,Genbank,29,F252623,CIAT34347,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),89.52314306,,12.07558493,,87.92441507,
227,46055,Genbank,29,F251692,CIAT-23715,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,"62,63,70",OT-008 (2025),93.76374175,93.79248875,5.199855362,5.216884679,94.80014464,94.78311532
228,46055,Genbank,29,F251692,CIAT-23715,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,"62,63,70",OT-008 (2025),93.82123575,,5.233913996,,94.766086,
229,46055,Jacobo Arango/ Alejandro Montoya,29,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,"62,63,70",OT-002 (2025),93.3,93.55,11.3,11.4,88.7,88.6
230,46055,Jacobo Arango/ Alejandro Montoya,29,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,"62,63,70",OT-002 (2025),93.8,,11.5,,88.5,
231,46062,Genbank,30,F260013,CIAT590,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),92.73435938,92.60293254,10.67360319,10.54077955,89.32639681,89.45922045
232,46062,Genbank,30,F260013,CIAT590,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),92.4715057,,10.4079559,,89.5920441,
233,46062,Genbank,30,F260014,CIAT778,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),92.57371314,92.58296774,12.37190073,12.35694073,87.62809927,87.64305927
234,46062,Genbank,30,F260014,CIAT778,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),92.59222233,,12.34198072,,87.65801928,
235,46062,Genbank,30,F260015,CIAT827,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),94.79,94.765,11.63931831,11.78705218,88.36068169,88.21294782
236,46062,Genbank,30,F260015,CIAT827,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),94.74,,11.93478605,,88.06521395,
237,46062,Genbank,30,F260016,CIAT997,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),93.58192542,93.56128568,12.29840735,12.30498063,87.70159265,87.69501937
238,46062,Genbank,30,F260016,CIAT997,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),93.54064594,,12.3115539,,87.6884461,
239,46062,Genbank,30,F260017,CIAT1405,Stylosanthes,capitata,Stylosanthes capitata,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),94.55108978,94.62686923,13.39732003,14.27728367,86.60267997,85.72271633
240,46062,Genbank,30,F260017,CIAT1405,Stylosanthes,capitata,Stylosanthes capitata,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),94.70264868,,15.1572473,,84.8427527,
241,46062,Genbank,30,F260018,CIAT1812,Stylosanthes,viscosa,Stylosanthes viscosa,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),95.42183127,95.45704257,11.34088113,10.53930727,88.65911887,89.46069273
