32_no,32_date,32_requisitioner,32_gene_bank_id,32_genus,32_species,32_tax_name,32_family,32_order,32_functional_group,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight_g,32_digested_weight_g,32_remarks,32_undigested_dm_g,32_digested_feed_mg,32_percentage_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_percentage_ndf_digestibility_in_24h,32_remarks_1,32_remarks_2
No,Date,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks,
318,"18/11/24, Mon",Genbank,CIAT-21810,Acacia,angustissima,Acacia angustissima,Fabaceae,Fabales,Tree,F251769,28,60,1,1,246,0.5825,0.8778,,0.2953,178.6340652,37.69175468,248.1877268,-47.11227322,-18.98251531,,
319,"18/11/24, Mon",Genbank,CIAT-21810,Acacia,angustissima,Acacia angustissima,Fabaceae,Fabales,Tree,F251769,28,60,1,2,247,0.5892,0.8929,,0.3037,170.328852,35.9321698,248.2373643,-55.46263568,-22.3425816,,
320,"18/11/24, Mon",Genbank,CIAT-21810,Acacia,angustissima,Acacia angustissima,Fabaceae,Fabales,Tree,F251769,28,60,1,3,248,0.5886,0.9178,,0.3292,145.0184257,30.58051265,248.3366394,-80.86336059,-32.56199358,,
321,"18/11/24, Mon",Genbank,CIAT-21888,Leucaena,leucocephala,Leucaena leucocephala,Fabaceae,Fabales,Tree,F251770,28,60,1,1,249,0.5759,0.8055,,0.2296,239.4982468,51.05502918,265.8192111,36.21921114,13.62550547,,
322,"18/11/24, Mon",Genbank,CIAT-21888,Leucaena,leucocephala,Leucaena leucocephala,Fabaceae,Fabales,Tree,F251770,28,60,1,2,250,0.5663,0.8091,,0.2428,226.1108324,48.22043271,265.7130109,22.9130109,8.623217516,,
323,"18/11/24, Mon",Genbank,CIAT-21888,Leucaena,leucocephala,Leucaena leucocephala,Fabaceae,Fabales,Tree,F251770,28,60,1,3,251,0.5731,0.872,,0.2989,169.7297108,36.2182992,265.5537105,-33.34628947,-12.55726738,,
324,"18/11/24, Mon",Genbank,CIAT-22310,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,F251771,28,60,1,1,252,0.561,0.9527,,0.3917,82.88713102,17.46510295,261.0327097,-130.6672903,-50.05782244,,
325,"18/11/24, Mon",Genbank,CIAT-22310,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,F251771,28,60,1,2,253,0.5823,0.9506,,0.3683,106.476852,22.42671512,261.1370602,-107.1629398,-41.03704767,,
326,"18/11/24, Mon",Genbank,CIAT-22310,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,F251771,28,60,1,3,254,0.5941,0.9582,,0.3641,110.3922705,23.26534643,260.9805344,-103.1194656,-39.51232063,,
327,"18/11/24, Mon",Genbank,CIAT-22311,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,F251772,28,60,1,1,255,0.5967,1.0139,,0.4172,52.46743826,11.17118923,257.986427,-159.213573,-61.71393388,,
328,"20/11/24, Wed",Genbank,CIAT-22311,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,F251772,28,60,1,2,256,0.5887,0.9915,,0.4028,67.14906974,14.28858446,258.1411261,-144.6588739,-56.03867782,,
329,"20/11/24, Wed",Genbank,CIAT-22311,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,F251772,28,60,1,3,257,0.6036,0.9607,,0.3571,112.7551926,23.99786027,258.0895597,-99.01044029,-38.36282274,,
330,"20/11/24, Wed",Genbank,CIAT-22316,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,F251773,28,60,1,1,258,0.5906,0.9234,,0.3328,145.16156,30.37096958,259.8033495,-72.99665047,-28.09688582,,
331,"20/11/24, Wed",Genbank,CIAT-22316,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,F251773,28,60,1,2,259,0.6013,0.9407,,0.3394,138.2750123,28.94750798,259.6475921,-79.75240787,-30.71563546,,
332,"20/11/24, Wed",Genbank,CIAT-22316,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,F251773,28,60,1,3,260,0.6056,0.938,,0.3324,145.1794964,30.39902204,259.595673,-72.80432701,-28.04527755,,
333,"20/11/24, Wed",Genbank,CIAT-23239,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251774,28,60,1,1,261,0.5787,0.9604,,0.3817,97.77085312,20.391407,312.5830694,-69.11693061,-22.11154006,,
334,"20/11/24, Wed",Genbank,CIAT-23239,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251774,28,60,1,2,262,0.5788,0.9534,,0.3746,105.1584206,21.91903593,312.7705442,-61.82945576,-19.76831159,,
335,"20/11/24, Wed",Genbank,CIAT-23239,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251774,28,60,1,3,263,0.5994,0.9841,,0.3847,94.96256478,19.79778531,312.7080526,-71.99194737,-23.02209578,,
336,"20/11/24, Wed",Genbank,CIAT-33116,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251775,28,60,1,1,264,0.5868,0.9385,,0.3517,126.933619,26.51999651,311.9394714,-39.76052856,-12.74623194,,
337,"20/11/24, Wed",Genbank,CIAT-33116,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251775,28,60,1,2,265,0.589,0.9971,,0.4081,70.43798795,14.71941407,311.8771459,-96.22285413,-30.85280707,,
338,"20/11/24, Wed",Genbank,CIAT-33116,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251775,28,60,1,3,266,0.5747,1.0531,,0.4784,,,,,,,
339,"20/11/24, Wed",Genbank,CIAT-BH22_0303,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252184,28,60,1,1,267,0.5793,0.8274,,0.2481,226.3909747,47.71238796,323.0147809,74.91478087,23.1923693,,
340,"20/11/24, Wed",Genbank,CIAT-BH22_0303,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252184,28,60,1,2,268,0.5843,0.9601,,0.3758,98.97549856,20.84679998,323.2084735,-52.59152648,-16.27170411,,
341,"20/11/24, Wed",Genbank,CIAT-BH22_0303,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252184,28,60,1,3,269,0.5788,0.9198,,0.341,133.3012921,28.10477102,322.8856524,-18.11434757,-5.610143229,,
342,"20/11/24, Wed",Genbank,CIAT-BH22_1594,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252185,28,60,1,1,270,0.575,0.8661,,0.2911,184.46995,38.78923595,324.8879972,33.78799724,10.39989089,,
343,"20/11/24, Wed",Genbank,CIAT-BH22_1594,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252185,28,60,1,2,271,0.5724,0.9356,,0.3632,112.5601019,23.65900408,325.0179005,-38.18209953,-11.74769127,,
344,"20/11/24, Wed",Genbank,CIAT-BH22_1594,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252185,28,60,1,3,272,0.593,0.91,,0.317,158.7601019,33.36978054,325.0179005,8.017900474,2.466910426,,
345,"20/11/24, Wed",Genbank,CIAT-BH22_0468,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252186,28,60,1,1,3,0.5877,0.9418,,0.3541,126.0990176,26.25974085,325.7825859,-28.31741413,-8.692120255,,
346,"20/11/24, Wed",Genbank,CIAT-BH22_0468,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252186,28,60,1,2,4,0.57,0.8722,,0.3022,178.1910588,37.09291743,325.9128728,23.71287284,7.275831923,,
347,"20/11/24, Wed",Genbank,CIAT-BH22_0468,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252186,28,60,1,3,5,0.5869,0.8892,,0.3023,177.8990176,37.04693493,325.7825859,23.48258587,7.208054354,,
348,"20/11/24, Wed",Genbank,CIAT-BH22_3830,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252187,28,60,1,1,6,0.5672,0.9064,,0.3392,140.9858614,29.36068567,323.7815609,-15.41843912,-4.761988013,,
349,"20/11/24, Wed",Genbank,CIAT-BH22_3830,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252187,28,60,1,2,7,0.561,0.7925,,0.2315,248.8777822,51.80876207,323.91097,92.41096998,28.52974383,,
350,"20/11/24, Wed",Genbank,CIAT-BH22_3830,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252187,28,60,1,3,8,0.5632,0.8498,,0.2866,193.6818218,40.32670258,323.8462654,37.24626543,11.50121814,,
351,"20/11/24, Wed",Genbank,CIAT-BH22_1710,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252188,28,60,1,1,9,0.562,0.8849,,0.3229,163.6459054,33.63421695,337.6214396,14.72143958,4.360339083,,
352,"20/11/24, Wed",Genbank,CIAT-BH22_1710,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252188,28,60,1,2,10,0.5986,0.8796,,0.281,205.9349865,42.29209077,337.8914287,56.89142874,16.83719204,,
353,"20/11/24, Wed",Genbank,CIAT-BH22_1710,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252188,28,60,1,3,11,0.5761,0.9143,,0.3382,148.3459054,30.48960103,337.6214396,-0.578560417,-0.171363649,,
354,"20/11/24, Wed",Genbank,CIAT-BH22_2365,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252189,28,60,1,1,12,0.5633,0.9072,,0.3439,141.9884,29.2224305,311.6408636,-32.25913639,-10.35138204,,
355,"20/11/24, Wed",Genbank,CIAT-BH22_2365,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252189,28,60,1,2,13,0.5737,0.847,,0.2733,212.5884,43.75251601,311.6408636,38.34086361,12.30289994,,
356,"20/11/24, Wed",Genbank,CIAT-BH22_2365,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252189,28,60,1,3,19,0.5799,0.8732,,0.2933,192.4913,39.62427899,311.5785853,18.27858526,5.866444654,,
357,"20/11/24, Wed",Genbank,CIAT-BH22_3572,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252190,28,60,1,1,20,0.5756,0.932,,0.3564,126.4877512,26.19402768,329.2933306,-27.1066694,-8.231769939,,
358,"20/11/24, Wed",Genbank,CIAT-BH22_3572,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252190,28,60,1,2,21,0.5624,0.9215,,0.3591,123.8842516,25.64974969,329.3591366,-29.74086338,-9.029919037,,
359,"20/11/24, Wed",Genbank,CIAT-BH22_3572,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252190,28,60,1,3,17,0.5516,0.9044,,0.3528,130.1842516,26.95414005,329.3591366,-23.44086338,-7.11711344,,
360,"20/11/24, Wed",Genbank,CIAT-BH22_0517,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252191,28,60,1,1,18,0.5544,0.9277,,0.3733,111.517931,23.0020228,336.7346477,-36.56535234,-10.8588031,,
361,"20/11/24, Wed",Genbank,CIAT-BH22_0517,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252191,28,60,1,2,14,0.5701,0.9773,,0.4072,77.32733087,15.95933314,336.5328087,-70.66719129,-20.99860384,,
362,"20/11/24, Wed",Genbank,CIAT-BH22_0517,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252191,28,60,1,3,15,0.5794,0.9157,,0.3363,148.517931,30.63375373,336.7346477,0.434647658,0.129077201,,
363,"20/11/24, Wed",Genbank,CIAT-BH22_0519,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252192,28,60,1,1,16,0.5717,0.8541,,0.2824,205.876777,42.16395018,315.3158344,32.91583442,10.43900459,,
364,"20/11/24, Wed",Genbank,CIAT-BH22_0519,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252192,28,60,1,2,22,0.5889,0.9461,,0.3572,131.2720877,26.87402023,315.4419607,-41.75803925,-13.2379469,,
365,"20/11/24, Wed",Genbank,CIAT-BH22_0519,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252192,28,60,1,3,23,0.574,0.9275,,0.3535,135.3627091,27.68930961,315.6942134,-37.80578658,-11.9754449,,
366,"20/11/24, Wed",Genbank,CIAT-BH22_0521,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252193,28,60,1,1,24,0.5712,0.898,,0.3268,156.2188499,32.34218497,323.025185,-3.774814955,-1.168582244,,
367,"20/11/24, Wed",Genbank,CIAT-BH22_0521,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252193,28,60,1,2,25,0.5739,0.9573,,0.3834,99.42579675,20.59247816,322.8960783,-60.50392174,-18.73789303,,
368,"20/11/24, Wed",Genbank,CIAT-BH22_0521,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F252193,28,60,1,3,26,0.568,0.8925,,0.3245,158.3257968,32.79149495,322.8960783,-1.603921744,-0.496730017,,
369,"20/11/24, Wed",Genbank,CIAT326,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,F252574,28,60,1,1,27,0.6081,0.9261,,0.318,140.4750021,30.6396208,255.1653881,-62.83461189,-24.62505293,,
370,"20/11/24, Wed",Genbank,CIAT326,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,F252574,28,60,1,2,28,0.5982,0.9883,,0.3901,68.28332542,14.89655527,255.1143652,-134.9856348,-52.91181257,,
371,"20/11/24, Wed",Genbank,CIAT326,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,F252574,28,60,1,3,29,0.5934,0.8814,,0.288,170.7500321,37.22071284,255.3184567,-32.68154327,-12.80030582,,
372,"20/11/24, Wed",Jacobo Arango/Alejandro Montoya,Sample 8,Cynodon,nlemfuensis,Cynodon nlemfuensis ,Poaceae,Poales,grasses,F250008,28,60,1,1,30,0.5823,0.8909,,0.3086,159.61775,34.09049529,356.3137078,47.71370775,13.39092679,,
373,"20/11/24, Wed",Jacobo Arango/Alejandro Montoya,Sample 8,Cynodon,nlemfuensis,Cynodon nlemfuensis ,Poaceae,Poales,grasses,F250008,28,60,1,2,31,0.6282,1.0097,,0.3815,86.6242,18.50453363,356.2425162,-25.2574838,-7.089968954,,
374,"20/11/24, Wed",Jacobo Arango/Alejandro Montoya,Sample 8,Cynodon,nlemfuensis,Cynodon nlemfuensis ,Poaceae,Poales,grasses,F250008,28,60,1,3,32,0.5791,0.907,,0.3279,139.94355,29.91246753,356.0289416,28.12894155,7.900745773,,
375,"20/11/24, Wed",0,BLANK 8 H,BLANK,0,BLANK 8 H,0,0,0,BLANK8H,28,60,1,1,33,,,,,,,,,,,
376,"20/11/24, Wed",0,BLANK 8 H,BLANK,0,BLANK 8 H,0,0,0,BLANK8H,28,60,1,2,34,,,,,,,,,,,
377,"20/11/24, Wed",Genbank,CIAT415,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,F252575,28,60,1,1,35,0.5851,0.806,,0.2209,238.7831267,51.94515806,193.9781702,-26.92182984,-13.87879359,,
378,"20/11/24, Wed",Genbank,CIAT415,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,F252575,28,60,1,2,36,0.5837,0.8529,,0.2692,190.5750634,41.44963017,194.0169658,-75.1830342,-38.75075249,,
379,"25/11/24, Mon",Genbank,CIAT415,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,F252575,28,60,1,3,37,0.5738,0.8371,,0.2633,196.8428099,42.7786343,194.1721483,-69.12785167,-35.60132195,,
380,"25/11/24, Mon",Genbank,CIAT416,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,F252576,28,60,1,1,38,0.5761,0.8095,,0.2334,224.0185653,48.97452405,207.9410718,-25.45892822,-12.24333798,,
381,"25/11/24, Mon",Genbank,CIAT416,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,F252576,28,60,1,2,39,0.559,0.7667,,0.2077,249.7185653,54.59301048,207.9410718,0.241071778,0.115932738,,
382,"25/11/24, Mon",Genbank,CIAT416,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,F252576,28,60,1,3,40,0.5706,0.7628,,0.1922,265.3099941,57.98998875,207.9826351,15.78263505,7.588438838,,
383,"25/11/24, Mon",Genbank,CIAT517,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,F252577,28,60,1,1,41,0.5627,0.817,,0.2543,201.2978073,44.18322566,207.7891133,-46.51088667,-22.38369755,,
384,"25/11/24, Mon",Genbank,CIAT517,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,F252577,28,60,1,2,42,0.5634,0.8944,,0.331,124.7799735,27.37723919,207.8721957,-123.1278043,-59.23245474,,
385,"25/11/24, Mon",Genbank,CIAT517,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,F252577,28,60,1,3,43,0.5819,0.8212,,0.2393,216.4799735,47.49659619,207.8721957,-31.42780426,-15.11881094,,
386,"25/11/24, Mon",Genbank,CIAT563,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,F252578,28,60,1,1,44,0.5733,0.808,,0.2347,230.289058,49.525694,239.1810228,4.481022825,1.873485936,,
387,"25/11/24, Mon",Genbank,CIAT563,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,F252578,28,60,1,2,45,0.5653,0.8386,,0.2733,192.0610492,41.27140626,239.3723676,-33.92763236,-14.1735793,,
388,"25/11/24, Mon",Genbank,CIAT563,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,F252578,28,60,1,3,46,0.5687,0.8933,,0.3246,140.5750536,30.21981779,239.2766952,-85.32330477,-35.65884454,,
389,"25/11/24, Mon",Genbank,CIAT789,Zornia,latifolia,Zornia latifolia,Fabaceae,Fabales,Herbaceous,F252579,28,60,1,1,47,0.5738,0.8186,,0.2448,199.4390177,44.89452969,226.9255042,-17.87449576,-7.876812183,,
390,"25/11/24, Mon",Genbank,CIAT789,Zornia,latifolia,Zornia latifolia,Fabaceae,Fabales,Herbaceous,F252579,28,60,1,2,48,0.5714,0.7848,,0.2134,230.9278655,51.97240224,226.9708893,13.57088934,5.979132115,,
391,"25/11/24, Mon",Genbank,CIAT789,Zornia,latifolia,Zornia latifolia,Fabaceae,Fabales,Herbaceous,F252579,28,60,1,3,49,0.5798,0.8163,,0.2365,207.9167133,46.7841796,227.0162744,-9.483725563,-4.177553167,,
392,"25/11/24, Mon",Genbank,CIAT2085,Stylosanthes,seabrana,Stylosanthes seabrana,Fabaceae,Fabales,Herbaceous,F252580,28,60,1,1,50,0.5826,0.8739,,0.2913,168.7480073,36.6805213,263.0618059,-28.23819411,-10.73443331,,
393,"25/11/24, Mon",Genbank,CIAT2085,Stylosanthes,seabrana,Stylosanthes seabrana,Fabaceae,Fabales,Herbaceous,F252580,28,60,1,2,51,0.5655,0.8759,,0.3104,149.8319529,32.55574759,263.1669885,-47.23301146,-17.94792414,,
394,"25/11/24, Mon",Genbank,CIAT2085,Stylosanthes,seabrana,Stylosanthes seabrana,Fabaceae,Fabales,Herbaceous,F252580,28,60,1,3,52,0.5686,0.8758,,0.3072,152.9399801,33.23770738,263.1143972,-44.08560278,-16.75529855,,
395,"25/11/24, Mon",Genbank,CIAT2690,Stylosanthes,angustifolia,Stylosanthes angustifolia,Fabaceae,Fabales,Herbaceous,F252581,28,60,1,1,53,0.5768,0.8658,,0.289,166.2478198,36.51809246,273.5596616,-15.44033838,-5.644230692,,
396,"25/11/24, Mon",Genbank,CIAT2690,Stylosanthes,angustifolia,Stylosanthes angustifolia,Fabaceae,Fabales,Herbaceous,F252581,28,60,1,2,54,0.5671,0.8925,,0.3254,129.6657934,28.49385634,273.4502815,-51.94971849,-18.99786616,,
397,"25/11/24, Mon",Genbank,CIAT2690,Stylosanthes,angustifolia,Stylosanthes angustifolia,Fabaceae,Fabales,Herbaceous,F252581,28,60,1,3,55,0.5623,0.8621,,0.2998,155.2657934,34.11941651,273.4502815,-26.34971849,-9.636018054,,
398,"25/11/24, Mon",Genbank,CIAT4069,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,F252582,28,60,1,1,56,0.5743,0.8882,,0.3139,147.7077553,31.99854284,238.6857239,-75.21427612,-31.51184533,,
399,"25/11/24, Mon",Genbank,CIAT4069,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,F252582,28,60,1,2,57,0.5641,0.8373,,0.2732,188.5000584,40.82738457,238.7334515,-34.46654852,-14.43725138,,
400,"25/11/24, Mon",Genbank,CIAT4069,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,F252582,28,60,1,3,58,0.5603,0.8856,,0.3253,136.2154523,29.5148194,238.6379963,-86.66200372,-36.31525787,,
401,"25/11/24, Mon",Genbank,CIAT4141,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,F252583,28,60,1,1,59,0.5974,0.8279,,0.2305,224.4773218,49.33813424,223.5974374,-6.902562634,-3.087049081,,
402,"25/11/24, Mon",Genbank,CIAT4141,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,F252583,28,60,1,2,60,0.6101,0.8291,,0.219,235.9773218,51.86573275,223.5974374,4.597437366,2.056122566,,
403,"25/11/24, Mon",Genbank,CIAT4141,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,F252583,28,60,1,3,61,0.5836,0.866,,0.2824,172.5773218,37.93097228,223.5974374,-58.80256263,-26.29840634,,
404,"25/11/24, Mon",Genbank,CIAT4532,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,F252584,28,60,1,1,62,0.5909,0.8179,,0.227,233.5610934,50.71229349,222.5267407,-4.473259262,-2.010212008,,
405,"25/11/24, Mon",Genbank,CIAT4532,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,F252584,28,60,1,2,63,0.5919,0.8898,,0.2979,162.3849224,35.27921826,222.3933048,-75.50669525,-33.95187428,,
406,"25/11/24, Mon",Genbank,CIAT4532,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,F252584,28,60,1,3,64,0.582,0.8102,,0.2282,232.2690364,50.44183605,222.4822621,-5.717737923,-2.569974734,,
407,"25/11/24, Mon",Genbank,CIAT4537,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,F252585,28,60,1,1,65,0.5766,0.8403,,0.2637,197.6922515,42.84689456,228.9887749,-34.7112251,-15.15848326,,
408,"25/11/24, Mon",Genbank,CIAT4537,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,F252585,28,60,1,2,66,0.5793,0.8243,,0.245,216.3922515,46.89984516,228.9887749,-16.0112251,-6.992144096,,
409,"25/11/24, Mon",Genbank,CIAT4537,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,F252585,28,60,1,3,67,0.5702,0.7821,,0.2119,249.4000284,54.06460287,228.9430046,17.0430046,7.444212865,,
410,"25/11/24, Mon",Genbank,CIAT7289,Chamaecrista,mimosoides,Chamaecrista mimosoides,Fabaceae,Fabales,Herbaceous,F252586,28,60,1,1,68,0.569,0.956,,0.387,70.03147806,15.32311918,262.5818092,-124.4181908,-47.38263901,,
411,"25/11/24, Mon",Genbank,CIAT7289,Chamaecrista,mimosoides,Chamaecrista mimosoides,Fabaceae,Fabales,Herbaceous,F252586,28,60,1,2,69,0.5778,0.854,,0.2762,180.8314781,39.56652588,262.5818092,-13.61819078,-5.186265881,,
412,"25/11/24, Mon",Genbank,CIAT7289,Chamaecrista,mimosoides,Chamaecrista mimosoides,Fabaceae,Fabales,Herbaceous,F252586,28,60,1,3,70,0.5648,0.8185,,0.2537,203.4228844,44.50070021,262.6343256,8.934325581,3.401811839,,
413,"25/11/24, Mon",Genbank,CIAT7826,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,F252587,28,60,1,1,71,0.5546,0.8231,,0.2685,185.2842502,40.83091251,243.0874681,-25.41253194,-10.45406913,,
414,"25/11/24, Mon",Genbank,CIAT7826,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,F252587,28,60,1,2,72,0.5366,0.8505,,0.3139,140.2472776,30.88145289,243.281938,-70.61806197,-29.02725231,,
415,"25/11/24, Mon",Genbank,CIAT7826,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,F252587,28,60,1,3,73,0.5419,0.8007,,0.2588,195.3472776,43.01408094,243.281938,-15.51806197,-6.378632995,,
416,"25/11/24, Mon",Genbank,CIAT8014,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,F252588,28,60,1,1,74,0.5374,0.7856,,0.2482,208.552178,45.6598103,250.6581382,2.458138236,0.980673619,,
417,"25/11/24, Mon",Genbank,CIAT8014,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,F252588,28,60,1,2,75,0.5652,0.7909,,0.2257,231.143492,50.59577208,250.7082498,25.00824982,9.975040645,,
418,"25/11/24, Mon",Genbank,CIAT8014,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,F252588,28,60,1,3,76,0.5977,0.8312,,0.2335,223.4348059,48.89861814,250.7583614,17.2583614,6.882466972,,
419,"25/11/24, Mon",Genbank,CIAT8849,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,F252589,28,60,1,1,77,0.5628,0.9,,0.3372,114.5287097,25.35342723,234.6966675,-102.5033325,-43.67481381,,
420,"25/11/24, Mon",Genbank,CIAT8849,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,F252589,28,60,1,2,78,0.5788,0.8411,,0.2623,189.2481987,41.91096305,234.6028826,-27.69711742,-11.80595784,,
421,"25/11/24, Mon",Genbank,CIAT8849,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,F252589,28,60,1,3,79,0.5731,0.8613,,0.2882,163.4384542,36.18789602,234.649775,-53.55022497,-22.82134086,,
422,"25/11/24, Mon",Genbank,CIAT9326,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,F252590,28,60,1,1,80,0.5864,0.8247,,0.2383,222.0970203,48.24032531,230.1625844,-8.137415625,-3.535507584,,
423,"25/11/24, Mon",Genbank,CIAT9326,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,F252590,28,60,1,2,81,0.5606,0.8135,,0.2529,207.4050145,45.05816968,230.1165887,-22.78341135,-9.900812227,,
