32_no,32_date,32_requisitioner,32_gene_bank_id,32_genus,32_species,32_tax_name,32_family,32_order,32_functional_group,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight_g,32_digested_weight_g,32_remarks,32_undigested_dm_g,32_digested_feed_mg,32_percentage_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_percentage_ndf_digestibility_in_24h,32_remarks_1,32_remarks_2
No,Date,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks,
24,45630,Genbank,CIAT-23107,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251735,27,58,1,1,204,0.5777,0.9685,,0.3908,84.23002524,17.73151606,319.299877,-71.50012298,-22.39278125,,
25,45630,Genbank,CIAT-23107,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251735,27,58,1,2,205,0.5735,0.9527,,0.3792,95.92501224,20.18942589,319.3637242,-59.83627577,-18.73609031,,
26,45630,Genbank,CIAT-23107,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251735,27,58,1,3,206,0.5578,1.3983,,,,,,,,*,Eliminado Dig negativo
27,45630,Genbank,CIAT-23108,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251736,27,58,1,1,207,0.5711,0.9618,,0.3907,82.39454327,17.41608405,328.167237,-62.53276303,-19.05515115,,
28,45630,Genbank,CIAT-23108,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251736,27,58,1,2,208,0.574,0.9793,,0.4053,68.0781731,14.38135025,328.3639799,-76.93602009,-23.43010342,,
29,45630,Genbank,CIAT-23108,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251736,27,58,1,3,209,0.5747,1.0431,,,,,,,,,
30,45630,Genbank,CIAT-23412,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251737,27,58,1,1,210,0.5974,0.9701,,0.3727,98.23822333,20.86010828,292.6229586,-80.07704144,-27.36526274,,
31,45630,Genbank,CIAT-23412,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251737,27,58,1,2,211,0.5827,0.947,,0.3643,107.2975368,22.75192902,293.0326307,-71.2673693,-24.3206257,,
32,45630,Genbank,CIAT-23412,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251737,27,58,1,3,212,0.5663,0.9334,,0.3671,104.1207863,22.09596633,292.7985323,-74.30146766,-25.37631151,,
33,45630,Genbank,CIAT-23413,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251738,27,58,1,1,213,0.5864,0.9453,Embolo duro 24H,0.3589,108.7333571,23.25183939,280.4544814,-78.44551864,-27.97085583,,
34,45630,Genbank,CIAT-23413,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251738,27,58,1,2,214,0.5501,0.9001,,0.35,118.1009905,25.22980999,280.7349358,-69.26506416,-24.67276257,,
35,45630,Genbank,CIAT-23413,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251738,27,58,1,3,215,0.5649,0.913,Emboloo duro,0.3481,119.6268838,25.57622577,280.5105723,-67.58942775,-24.09514451,,
36,45630,Genbank,CIAT-23419,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251739,27,58,1,1,216,0.5804,0.9571,,0.3767,93.3690296,19.86283369,282.1507189,-94.54928107,-33.51020385,,
37,45630,Genbank,CIAT-23419,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251739,27,58,1,2,217,0.5814,0.9614,,0.38,90.35090189,19.20925452,282.3199078,-97.68009215,-34.59908049,,
38,45630,Genbank,CIAT-23419,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251739,27,58,1,3,218,0.5759,0.9818,Cambio recipiente Sln,0.4059,64.07507217,13.63371718,282.0943226,-123.8056774,-43.88804292,,
39,45630,Genbank,CIAT-23422,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251740,27,58,1,1,219,0.5723,0.9397,,0.3674,92.16281826,20.05445493,274.3431875,-93.05681254,-33.91985542,,
40,45630,Genbank,CIAT-23422,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251740,27,58,1,2,220,0.5629,0.9186,"Residuo de muestra por encima del embolo, embolo duro 8h ",0.3557,103.8628183,22.6003528,274.3431875,-81.35681254,-29.65512404,,
41,45630,Genbank,CIAT-23422,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251740,27,58,1,3,221,0.5685,0.961,,0.3925,67.24653316,14.62687118,274.4528589,-118.0471411,-43.01180958,,
42,45630,Genbank,CIAT-23734,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251741,27,58,1,1,222,0.5991,0.891,,0.2919,181.7499597,38.37221053,282.7769214,-9.123078553,-3.226245801,,
43,45630,Genbank,CIAT-23734,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251741,27,58,1,2,223,0.5639,0.8812,,0.3173,156.4446708,33.02299328,282.8334655,-34.46653448,-12.18615853,,
44,45630,Genbank,CIAT-23734,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251741,27,58,1,3,224,0.5541,0.9067,,0.3526,121.0499597,25.55683945,282.7769214,-69.82307855,-24.69192967,,
45,45630,Genbank,CIAT-23932,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251742,27,58,1,1,225,0.5732,0.9589,,0.3857,90.38536585,18.98511745,282.948747,-102.751253,-36.31444,,
46,45630,Genbank,CIAT-23932,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251742,27,58,1,2,226,0.5827,0.9441,,0.3614,114.5902439,24.07407407,282.8922138,-78.50778619,-27.75183704,,
47,45630,Genbank,CIAT-23932,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251742,27,58,1,3,227,0.5784,0.9469,Embolo duro 24H,0.3685,107.5853659,22.59791491,282.948747,-85.55125297,-30.23560057,,
48,45630,Genbank,CIAT-23933,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251743,27,58,1,1,228,0.5872,0.9539,,0.3667,102.1874022,21.79359089,301.8192978,-64.88070215,-21.4965387,,
49,45630,Genbank,CIAT-23933,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251743,27,58,1,2,229,0.5753,0.9283,,0.353,116.0748447,24.74548486,301.9399532,-51.06004683,-16.91066263,,
50,45630,Genbank,CIAT-23933,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251743,27,58,1,3,230,0.5584,0.9307,,0.3723,96.77484468,20.63100287,301.9399532,-70.36004683,-23.30266203,,
51,45630,Genbank,BLANK 8H,BLANK,8H,BLANK 8H,Fabaceae,Fabales,Tree,BLANK8H,27,58,1,1,231,,,,,,,,,,,
52,45630,Genbank,BLANK 8H,BLANK,8H,BLANK 8H,Fabaceae,Fabales,Tree,BLANK8H,27,58,1,2,232,,,,,,,,,,,
53,45630,Genbank,CIAT-23934,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251744,27,58,1,1,233,0.5878,0.9357,,0.3479,123.3354868,26.17279263,275.657275,-72.24272498,-26.20744364,,
54,45630,Genbank,CIAT-23934,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251744,27,58,1,2,234,0.5659,0.8818,,0.3159,155.241315,32.95005343,275.6021876,-40.29781237,-14.62173168,,
55,45635,Genbank,CIAT-23934,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251744,27,58,1,3,235,0.5581,0.8962,,0.3381,133.2296585,28.26676745,275.7123624,-62.3876376,-22.62779843,,
56,45635,Genbank,CIAT-23936,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251745,27,58,1,1,236,0.5798,0.9657,,0.3859,84.86311713,18.02671323,290.2516536,-95.64834639,-32.95359224,,
57,45635,Genbank,CIAT-23936,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251745,27,58,1,2,237,0.5728,0.9706,,0.3978,72.58688287,15.43131527,290.0196843,-107.7803157,-37.16310361,,
58,45635,Genbank,CIAT-23936,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251745,27,58,1,3,238,0.5745,0.9053,,0.3308,139.8690586,29.71707105,290.1936613,-40.60633873,-13.99284138,,
59,45635,Genbank,CIAT-33119,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,F251746,27,58,1,1,239,0.5808,0.925,,0.3442,132.8072699,27.84177062,283.7161126,-60.48388742,-21.31845346,,
