40_sample_serial_no,40_dat,40_requisitioner,40_set_ciat,40_ciat_lab_id,40_gene_bank_breeding_program_id,40_genus,40_species,40_tax_name,40_family,40_order,40_functional_group,40_dm_percentage,40_av_dm_105,40_ash_dm,40_av_ash_percentage,40_om_percentage,40_av_om_percentage,40_pc_percentage_dm,40_av_pc_percentage,40_adf_percentage_dm,40_av_adf_percentage_dm,40_ndf_percentage_dm,40_av_ndf_percentage_dm
Sample serial No,"Date (M,D.Y)",Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
23,46041,Genbank,27,F251739,CIAT-23419,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,93.81309345,93.95743146,7.223065372,7.202507611,92.77693463,92.79749239,20.19491829,20.19491829,56.13635627,56.43442414,67.803578,67.78394011
24,46041,Genbank,27,F251739,CIAT-23419,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.10176947,,7.181949849,,92.81805015,,20.19491829,,56.73249201,,67.76430223,
25,46041,Genbank,27,F251740,CIAT-23422,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,91.79328269,91.85744918,7.08423443,7.063174198,92.91576557,92.9368258,21.67495417,21.67495417,52.99601533,54.62975611,66.23846684,66.57310598
26,46041,Genbank,27,F251740,CIAT-23422,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,91.92161568,,7.042113967,,92.95788603,,21.67495417,,56.26349688,,66.90774512,
27,46041,Genbank,27,F251741,CIAT-23734,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.63053695,94.71104974,7.844129164,7.859177882,92.15587084,92.14082212,21.43501368,21.43501368,46.54285785,47.21960114,61.49707875,62.02315039
28,46041,Genbank,27,F251741,CIAT-23734,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.79156253,,7.8742266,,92.1257734,,21.43501368,,47.89634444,,62.54922202,
29,46041,Genbank,27,F251742,CIAT-23932,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,95.12195122,95.12195122,7.292980244,7.292980244,92.70701976,92.70701976,18.84082731,18.84082731,48.77625445,49.89224893,63.45312053,63.09107017
30,46041,Genbank,27,F251742,CIAT-23932,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,95.12195122,,7.292980244,,92.70701976,,18.84082731,,51.00824342,,62.72901982,
31,46041,Genbank,27,F251743,CIAT-23933,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,93.64063594,93.72124769,7.329515172,7.371449396,92.67048483,92.6285506,17.58420593,17.58420593,47.91811618,49.30848354,63.09477967,64.36924866
32,46041,Genbank,27,F251743,CIAT-23933,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,93.80185944,,7.413383621,,92.58661638,,17.58420593,,50.69885089,,65.64371764,
33,46041,Genbank,27,F251744,CIAT-23934,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.13351989,94.17175994,8.161033383,8.195338377,91.83896662,91.80466162,22.61279649,22.61279649,42.44053698,43.73700737,58.9098312,58.49671401
34,46041,Genbank,27,F251744,CIAT-23934,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.21,,8.229643371,,91.77035663,,22.61279649,,45.03347776,,58.08359683,
35,46041,Genbank,27,F251745,CIAT-23936,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.06356186,94.05856486,7.745842852,7.798969346,92.25415715,92.20103065,19.26631303,19.26631303,48.06815266,49.20967469,61.64912252,61.65556371
36,46041,Genbank,27,F251745,CIAT-23936,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.05356786,,7.85209584,,92.14790416,,19.26631303,,50.35119672,,61.6620049,
37,46041,Genbank,27,F251746,CIAT-33119,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,95.21143657,95.28710945,7.427947681,7.395369239,92.57205232,92.60463076,17.30043112,17.30043112,41.53419899,40.97747309,60.2515628,59.47836238
38,46041,Genbank,27,F251746,CIAT-33119,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,95.36278233,,7.362790797,,92.6372092,,17.30043112,,40.4207472,,58.70516196,
39,46041,Genbank,27,F251747,CIAT-33383,Dendrolobium,sp.,Dendrolobium sp.,Fabaceae,Fabales,Tree,94.55,94.67156206,9.569927656,9.804579653,90.43007234,90.19542035,14.84210098,14.66394754,46.50900028,47.33808634,60.21848759,59.75799108
40,46041,Genbank,27,F251747,CIAT-33383,Dendrolobium,sp.,Dendrolobium sp.,Fabaceae,Fabales,Tree,94.79312413,,10.03923165,,89.96076835,,14.48579409,,48.1671724,,59.29749457,
41,46041,Genbank,27,F251748,CIAT-33402,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.58325005,94.631891,6.906845339,6.908571878,93.09315466,93.09142812,20.08407391,20.08407391,45.1747339,45.18159981,59.82504626,60.09139911
42,46041,Genbank,27,F251748,CIAT-33402,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,94.68053195,,6.910298417,,93.08970158,,20.08407391,,45.18846573,,60.35775197,
43,46041,Genbank,27,F251749,CIAT-33508,Dendrolobium,umbellatum,Dendrolobium umbellatum,Fabaceae,Fabales,Tree,93.71062894,93.74624719,8.660813979,8.665280104,91.33918602,91.3347199,22.60556623,22.60556623,44.31520343,45.81166384,57.85094085,58.36144016
44,46041,Genbank,27,F251749,CIAT-33508,Dendrolobium,umbellatum,Dendrolobium umbellatum,Fabaceae,Fabales,Tree,93.78186544,,8.66974623,,91.33025377,,22.60556623,,47.30812425,,58.87193946,
45,46041,Genbank,27,F251750,CIAT-33515,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,93.40197941,93.4109897,8.22996707,11.11094838,91.77003293,88.88905162,20.96312701,20.96312701,50.95605371,51.4709948,63.08412086,63.31758966
46,46041,Genbank,27,F251750,CIAT-33515,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,93.42,,13.99192969,,86.00807031,,20.96312701,,51.98593588,,63.55105846,
47,46041,Genbank,27,F251751,CIAT-7353,Prosopis,juliflora,Prosopis juliflora,Fabaceae,Fabales,Tree,94.57217113,94.62661746,9.845299072,9.418371019,90.15470093,90.58162898,30.48645396,30.48645396,28.99543989,29.37746941,47.11828276,46.32447246
48,46041,Genbank,27,F251751,CIAT-7353,Prosopis,juliflora,Prosopis juliflora,Fabaceae,Fabales,Tree,94.68106379,,8.991442967,,91.00855703,,30.48645396,,29.75949892,,45.53066216,
49,46041,Genbank,27,F251752,CIAT-7976,Cassia,sp.,Cassia sp.,Fabaceae,Fabales,Tree,93.40197941,93.41763138,8.058159435,12.05353052,91.94184056,87.94646948,25.58851827,25.58851827,38.50830267,39.53895727,49.5760496,50.11579047
50,46041,Genbank,27,F251752,CIAT-7976,Cassia,sp.,Cassia sp.,Fabaceae,Fabales,Tree,93.43328336,,16.04890161,,83.95109839,,25.58851827,,40.56961188,,50.65553134,
51,46041,Genbank,27,F251753,CIAT-8018,Acacia,aroma,Acacia aroma,Fabaceae,Fabales,Tree,93.76,93.79561688,17.69805515,18.11200023,82.30194485,81.88799977,23.53692406,23.53692406,57.85384616,58.52671131,71.12141109,70.33432005
52,46041,Genbank,27,F251753,CIAT-8018,Acacia,aroma,Acacia aroma,Fabaceae,Fabales,Tree,93.83123375,,18.52594532,,81.47405468,,23.53692406,,59.19957645,,69.54722901,
53,46041,Genbank,27,F251754,CIAT-9990,Prosopis,juliflora,Prosopis juliflora,Fabaceae,Fabales,Tree,92.96422147,92.97421547,10.14726432,12.38310223,89.85273568,87.61689777,31.75200833,31.75200833,28.74080466,28.64229725,49.16636527,48.76403521
